"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size"
1,3206,0.603312006021829,5314
3,3145,0.609732454439705,5158
5,3058,0.611722344468894,4999
7,2987,0.617531527806492,4837
9,2928,0.623642172523962,4695
11,2850,0.627615062761506,4541
13,2786,0.634479617399226,4391
15,2726,0.641411764705882,4250
17,2655,0.646142613774641,4109
19,2577,0.651745068285281,3954
21,2498,0.658408012651555,3794
23,2446,0.666303459547807,3671
25,2372,0.674246731097214,3518
27,2300,0.67966903073286,3384
29,2228,0.681345565749235,3270
31,2168,0.689129052765416,3146
33,2108,0.697089947089947,3024
35,2046,0.700924974306269,2919
37,1978,0.708960573476702,2790
39,1928,0.71380970011107,2701
41,1865,0.71868978805395,2595
43,1792,0.722289399435711,2481
45,1733,0.726624737945493,2385
47,1676,0.735087719298246,2280
49,1616,0.737899543378995,2190
51,1562,0.744518589132507,2098
53,1503,0.753006012024048,1996
55,1448,0.755741127348643,1916
57,1401,0.765573770491803,1830
59,1349,0.768660968660969,1755
61,1287,0.774368231046931,1662
63,1233,0.779393173198483,1582
65,1188,0.781065088757396,1521
67,1141,0.78743961352657,1449
69,1095,0.793478260869565,1380
71,1047,0.801684532924962,1306
73,997,0.805331179321486,1238
75,961,0.808922558922559,1188
77,926,0.812280701754386,1140
79,890,0.819521178637201,1086
81,866,0.831892411143132,1041
83,826,0.835187057633974,989
85,782,0.841765339074273,929
87,739,0.851382488479263,868
89,708,0.859223300970874,824
91,681,0.864213197969543,788
93,659,0.871693121693122,756
95,629,0.873611111111111,720
97,598,0.87683284457478,682
99,578,0.887864823348694,651
101,546,0.892156862745098,612
103,522,0.896907216494845,582
105,489,0.900552486187845,543
107,459,0.901768172888016,509
109,427,0.902748414376321,473
111,406,0.904231625835189,449
113,390,0.911214953271028,428
115,375,0.919117647058823,408
117,350,0.923482849604222,379
119,337,0.930939226519337,362
121,325,0.933908045977011,348
123,308,0.941896024464832,327
125,295,0.939490445859873,314
127,274,0.938356164383562,292
129,262,0.945848375451264,277
131,250,0.961538461538462,260
133,233,0.962809917355372,242
135,222,0.965217391304348,230
137,208,0.976525821596244,213
139,196,0.975124378109453,201
141,186,0.973821989528796,191
143,171,0.977142857142857,175
145,161,0.975757575757576,165
147,154,0.974683544303797,158
149,143,0.986206896551724,145
151,136,0.985507246376812,138
153,126,0.984375,128
155,117,0.991525423728814,118
157,110,0.990990990990991,111
159,105,0.990566037735849,106
161,98,0.98989898989899,99
163,93,0.98936170212766,94
165,88,0.98876404494382,89
167,77,0.987179487179487,78
169,71,0.986111111111111,72
171,66,1,66
173,58,1,58
175,49,1,49
177,47,1,47
179,43,1,43
181,42,1,42
183,36,1,36
185,32,1,32
187,29,1,29
189,27,1,27
191,23,1,23
193,22,1,22
195,19,1,19
197,15,1,15
199,12,1,12
201,9,1,9
203,7,1,7
205,6,1,6
207,2,1,2
209,2,1,2
