"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size"
1,31,0.33695652173913,92
3,77,0.308,250
5,123,0.306733167082294,401
7,168,0.305454545454545,550
9,207,0.302631578947368,684
11,260,0.30267753201397,859
13,300,0.3003003003003,999
15,329,0.289357959542656,1137
17,372,0.288148721920992,1291
19,406,0.281553398058252,1442
21,445,0.279522613065327,1592
23,480,0.277938621887666,1727
25,512,0.273212379935966,1874
27,539,0.270175438596491,1995
29,563,0.267331433998101,2106
31,595,0.265625,2240
33,622,0.265245202558635,2345
35,648,0.262348178137652,2470
37,671,0.260178363706863,2579
39,688,0.257388701833146,2673
41,706,0.253865516001438,2781
43,727,0.251644167532018,2889
45,743,0.249328859060403,2980
47,758,0.245864417774895,3083
49,778,0.24503937007874,3175
51,795,0.24282223579719,3274
53,807,0.239750445632799,3366
55,815,0.236231884057971,3450
57,827,0.234277620396601,3530
59,834,0.231088944305902,3609
61,844,0.228354978354978,3696
63,852,0.226174674807539,3767
65,862,0.224654678133959,3837
67,870,0.222791293213828,3905
69,884,0.222838416939753,3967
71,891,0.219728729963009,4055
73,897,0.218035974720467,4114
75,897,0.216092507829439,4151
77,905,0.214964370546318,4210
79,909,0.213983050847458,4248
81,919,0.213522304832714,4304
83,926,0.211947814145113,4369
85,931,0.210443037974684,4424
87,934,0.208761734465802,4474
89,935,0.207363051674429,4509
91,939,0.206418993185315,4549
93,943,0.205805325185509,4582
95,944,0.20463906351615,4613
97,949,0.203954437996991,4653
99,951,0.20272862929013,4691
101,952,0.201609487505294,4722
103,955,0.200798990748528,4756
105,955,0.19937369519833,4790
107,956,0.19821687746216,4823
109,958,0.197119341563786,4860
111,958,0.196150696150696,4884
113,958,0.195510204081633,4900
115,958,0.194675878886405,4921
117,962,0.19438270357648,4949
119,963,0.193879605395611,4967
121,965,0.193814018879293,4979
123,965,0.193077230892357,4998
125,965,0.192384370015949,5016
127,966,0.191857000993049,5035
129,966,0.191249257572758,5051
131,966,0.190645352279455,5067
133,966,0.189933149823044,5086
135,966,0.189486072969792,5098
137,968,0.189321337766478,5113
139,968,0.188914910226386,5124
141,968,0.188436830835118,5137
143,968,0.188034188034188,5148
145,968,0.187633262260128,5159
147,968,0.187270265041594,5169
149,969,0.187101757095964,5179
151,969,0.186921296296296,5184
153,970,0.186682063125481,5196
155,970,0.186323472915866,5206
157,970,0.186180422264875,5210
159,970,0.185894978919126,5218
161,970,0.185752585216392,5222
163,970,0.185539403213466,5228
165,970,0.185255920550038,5236
167,970,0.184902783072817,5246
169,971,0.184987616688893,5249
171,971,0.184706106144189,5257
173,971,0.184355420543004,5267
175,971,0.184215518876873,5271
177,971,0.184110731892302,5274
179,971,0.184006064051544,5277
181,971,0.18386669191441,5281
183,971,0.183692773363602,5286
185,971,0.183623298033283,5288
187,971,0.183484504913076,5292
189,971,0.183345921450151,5296
191,971,0.18331130828771,5297
193,971,0.18331130828771,5297
195,971,0.18313843832516,5302
197,971,0.183000376931775,5306
199,971,0.182896967413826,5309
201,971,0.182828092637921,5311
203,971,0.182793674698795,5312
205,971,0.182656132430399,5316
207,971,0.182621779198796,5317
209,971,0.1825874388868,5318
