Date,Campaign ID,Campaign Name,Send Date,Send Time,Total Recipients,Total Placed Order Value,Total Refunded Order Value,Total Cancelled Order Value,Tags,Subject,Preview Text,List,Excluded List,Day of Week,Campaign Channel
2024,01J1JZDZV71MSV8XQZB7AEEXQM,7.2.24_Summer New Styles,2024-07-01,09:00 PM,13128,1092.38,0.0,0.0,N/A,New in: Summer styles,Exclusive and limited edition,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months",,Monday,Email
2024,01J18X4HW0QTXM8Y303YM88X9S,6.27.24_Barbecue Outfits,2024-06-26,04:45 PM,13144,1750.4,1155.86,0.0,N/A,"Summer occasions, sorted","Plus, 30% off spring","International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months",,Wednesday,Email
2024,01J0W4F65R08XH5EF1QZFDXXNZ,6.25.24_Spring Sale,2024-06-24,06:30 PM,13199,3954.39,1165.85,0.0,N/A,30% off spring styles,It’s sale time,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months",,Monday,Email
2024,01J0PZQMAMFRXW161XFH70F95G,6.20.24_First Day Of Summer,2024-06-19,04:30 PM,13155,4469.36,2482.45,0.0,N/A,It’s official: summer is here,Take the plunge,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months",,Wednesday,Email
2024,01J04SZWS94P8FQ5RCXS4X29DQ,6.18.24_Iris Dress Waitlist,2024-06-17,02:45 PM,13079,4094.03,450.5,0.0,N/A,Join the waitlist: our best-seller is returning,Your favorite is coming back,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months",,Monday,Email
2024,01HZW7JEKHWH06ZZ6MCSHTE2WC,6.13.24_Caroline's Suitcase,2024-06-12,02:45 PM,12907,5667.03,410.63,0.0,N/A,Caroline’s suitcase: Amalfi,Our founder’s packing list,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months",,Wednesday,Email
2024,01HZQN1BVEJV20015DN35TPAVA,6.11.24_Summer Drop 2,2024-06-10,04:45 PM,13003,6078.36,345.05,0.0,N/A,New: Summer Part Two is here!,Shop our new collection,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months",,Monday,Email
2024,01HZGB751VX1JX80ZGKA987J2J,6.6.24_Simona Waitlist,2024-06-05,03:00 PM,12887,2456.01,805.6,0.0,N/A,Our best-seller is coming back!,Sign up to be the first to know,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months",,Wednesday,Email
2024,01HZ5ZT0C11ZXGMBS8MTRGFNVW,6.4.24_One Of A Kind Story,2024-06-03,02:45 PM,13007,3461.32,770.72,0.0,N/A,One of a kind treasures,Celebrating craft in our new collection,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months",,Monday,Email
2024,01HYV7EW6K8JTD7VTQSCSA0QWN,5.30.24_Summer Mood Board,2024-05-29,07:30 PM,13004,5439.66,0.0,0.0,N/A,Into the blue,The blue palette,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months",,Wednesday,Email
2024,01HYTN56QFSYP6DB03ETJWZTMA,5.28.24_Exclusive New Styles,2024-05-27,04:45 PM,5156,651.31,0.0,0.0,N/A,New in: exclusive dresses!,See what’s new for summer,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months",,Monday,Email
2024,01HYS26CX5KS88PCDRHQ7QH9X8,5.26.24_Memorial Day Sale Reminder [VIPs],2024-05-26,04:45 PM,529,260.0,0.0,0.0,N/A,Don’t miss out: sale ends soon,The clock is ticking,"VIP - All [LTV $1,000+, 3 orders over all time]",,Sunday,Email
2024,01HY8SEX3X89VBP25ANC6BZ0FS,5.26.24_Memorial Day Sale Reminder,2024-05-26,04:45 PM,12613,868.55,0.0,0.0,N/A,Don’t miss out: sale ends soon,The clock is ticking,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months","VIP - All [LTV $1,000+, 3 orders over all time]",Sunday,Email
2024,01HY4NXWPWPXBC8H140AJSXW4P,5.21.24_Memorial Day Sale [VIPs],2024-05-22,06:48 AM,528,557.68,285.0,285.0,N/A,Your exclusive code for 30% off,N/A,"VIP - All [LTV $1,000+, 3 orders over all time]",,Wednesday,Email
2024,01HY4N19ZX70E5GHWTY4WQWVP2,5.21.24_Memorial Day Sale,2024-05-21,07:34 AM,12570,937.43,863.08,0.0,N/A,Sale time: take 25% off,New items added!,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months","VIP - All [LTV $1,000+, 3 orders over all time]",Tuesday,Email
2024,01HXMJTFKR6MF8D7NB89R7VARG,5.16.24_Spring Weddings,2024-05-15,02:30 PM,12890,3261.39,0.0,0.0,N/A,What to wear: Wedding season, Love is in the air,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months",,Wednesday,Email
2024,01HXAR0RQB42F1SD3P28K3F45G,5.14.24_Summer Launch Marine Fantasy,2024-05-13,02:45 PM,13079,4410.56,1304.0,0.0,N/A,New in: Marvelous marine prints,Behind our new summer collection,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months",,Monday,Email
2024,01HX88WA3HWDNM60MAFM7B3CSN,5.9.24_Summer Launch,2024-05-08,09:00 PM,13090,7731.37,0.0,0.0,N/A,Introducing our Summer Collection,Shop New In,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months",,Wednesday,Email
2024,01HX58FFSVV45BS7WSZHWNG1Q1,5.7.24_Kids Collection Launch,2024-05-06,09:30 PM,13108,3348.93,2665.39,0.0,N/A,Match your little ones with exclusive kids styles,New in: Banjanan Kids!,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months",,Monday,Email
2024,01HWTD71BPZAHZ722647KMBHSM,5.2.24_Hand Painting Spotlight,2024-05-01,06:45 PM,12966,5692.18,274.55,0.0,N/A,One of a kind treasures,Our latest hand-crafted obsession,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months",,Wednesday,Email
2024,01HWP6TYQK6FF9GM50P4E6M4XY,4.30.24_20% Off Sale Final Reminder (clone),2024-04-29,09:00 PM,13162,8340.11,473.4,473.4,N/A,Ending soon: Get more than 65% off!,The clock’s ticking,"International Segment | Engaged 9 Months, USA Segment | Engaged 9 Months, Country Not Set | Engaged 9 Months",,Monday,Email
2024,01HW86N1AN6KZAM3YWJKQ8ZH2P,4.25.24_Rainbow Gingham/Iris Dress,2024-04-24,09:00 PM,13517,4825.94,300.0,0.0,N/A,"Our fan favorite dress, now in a new print",What’s new for the Iris dress,"Country Not Set, International List, USA Segment | Engaged 9 Months",,Wednesday,Email
2024,01HVYFQ46JEXXCN2CCKHDG54K6,4.23.24_20% Off Sale,2024-04-22,07:45 PM,13571,12051.72,0.0,0.0,N/A,Sale time: 20% off our site,Valid this week only,"Country Not Set, International List, USA Segment | Engaged 9 Months",5 Orders Over All Time,Monday,Email
2024,01HVMPAWW8PNAQYH5WYZ8G5MY4,4.18.24_VIP 20% Off,2024-04-18,10:36 AM,182,1843.2,0.0,0.0,N/A,Early access: 20% off sitewide,VIPs shop first,5 Orders Over All Time,,Thursday,Email
2024,01HVCNBG3A7EFEAK2N7YF1AJXC,4.16.24_Paisley,2024-04-15,03:00 PM,13799,2154.88,0.0,0.0,N/A,"An immortal print, reimagined",A classic gets a Banjanan update,"Country Not Set, International List, USA Segment | Engaged 9 Months",,Monday,Email
2024,01HV2NK3ACPS0WRSYYR8BDCMAS,4.11.24_Collectible Prints,2024-04-10,09:15 PM,13811,4224.41,0.0,0.0,N/A,"Your favorite silhouettes, now in new prints",Refresh your Banjanan collection,"Country Not Set, International List, USA Segment | Engaged 9 Months",,Wednesday,Email
2024,01HTSWQ8NFES1MHBTBBK7F0TKY,4.9.24_Embroidery Spotlight,2024-04-08,03:00 PM,13919,2422.42,395.0,0.0,N/A,Embroidered by hand,Meet Srinagar Embroidery ,"Country Not Set, International List, USA Segment | Engaged 9 Months",,Monday,Email
2024,01HTE55S07B2J1P0NVV8B1Z3KY,4.4.24_Best Dressed Guest,2024-04-03,05:45 PM,13480,2250.78,1321.01,0.0,N/A,Be the best dressed guest,Unforgettable party dresses ,"Country Not Set, International List, USA Segment | Engaged 9 Months",,Wednesday,Email
2024,01HT8EMWNH76J0EFBFE01EDFZ3,4.2.24_Spring Warehouse Sale,2024-04-01,09:15 PM,14126,9324.19,420.0,0.0,N/A,Early Access: 70% off Archive Sale,Subscribers shop first,"Country Not Set, International List, USA Segment | Engaged 9 Months",,Monday,Email
2024,01HSSAERT9REBBYW28GCKRVZXK,3.26.24_Spring Break Fashion Editorial,2024-03-25,09:15 PM,11132,1983.0,0.0,0.0,N/A,A little sunshine,Where will spring break take you? ,USA Segment | Engaged 9 Months,,Monday,Email
2024,01HS8RCBB530VN5TCKNDNXH9J9,3.19.24_Garden Party,2024-03-18,09:00 PM,9460,2417.28,0.0,0.0,N/A,You’re Invited: Garden Party,Vibrant florals for daytime events,USA Segment | Engaged 90 Days,,Monday,Email
2024,01HRTB06662SG1YF04SB8JRESY,3.14.24_Knit Dresses,2024-03-13,07:45 PM,9362,2165.36,0.0,0.0,N/A,Textural delights,The perfect dresses for in between seasons,USA Segment | Engaged 90 Days,,Wednesday,Email
2024,01HR2K1V491H9J2F3MM33AGXKT,3.11.24_Spring Drop 2,2024-03-12,06:00 AM,9526,5691.68,0.0,0.0,N/A,New in: Spring Part 2,A dose of craft and color,USA Segment | Engaged 90 Days,,Tuesday,Email
2024,01HQZXZG2HN7R9DYF23NRYEWTH,3.5.24_Caroline's Picks March,2024-03-04,02:45 PM,9494,1722.72,0.0,0.0,N/A,Caroline’s sketchbook: March,Spring inspiration,USA Segment | Engaged 60 Days,,Monday,Email
2024,01HQGXVRRG8KSMCCZPV4HX2KXV,2.27.24_Magnolia Print,2024-02-27,06:45 AM,9513,4505.73,0.0,0.0,N/A,Spring’s biggest bloom,Introducing our new hand-drawn print,USA Segment | Engaged 60 Days,,Tuesday,Email
2024,01HQ4J6STY8X3KBKXEH4M7CZ0V,2.22.24_Folk Lace Spotlight,2024-02-21,12:45 PM,12527,2344.8,0.0,0.0,N/A,Meet the Folk Lace Print,Notes from a Venetian island village,USA Residents,,Wednesday,Email
2024,01HPWF1NF43MVGBDXB18KN8B2H,2.19.24_President's Day Sale,2024-02-19,02:46 PM,12585,8811.45,0.0,0.0,N/A,Take 40% off Resort (and an extra 20% off Sale),Last chance to shop our sale,USA Residents,,Monday,Email
2024,01HPCDKM5QQNK3VHYRNWCYFZX2,2.16.24_Spring 2024 Collection Announcement,2024-02-15,10:55 AM,12519,2085.41,0.0,0.0,N/A,Introducing Our Spring Collection,Shop the latest,USA Residents,,Thursday,Email
2024,01HPCC16KA0RHC5Q5G8GRR94A0,2.13.24_New Knits Spring 2024,2024-02-13,04:26 PM,12690,863.5,0.0,0.0,N/A,New in: Joyful Knits,Handcrafted sweaters for spring,USA Residents,,Tuesday,Email
2024,01HN5TNMY0RZE5XBP1QRTQT48S,2.2.24_Collection Countdown,2024-02-01,10:46 AM,12702,1269.11,0.0,0.0,N/A,Coming soon…,Get a sneak peek of our Spring Collection,USA Residents,,Thursday,Email
2024,01HMT0MH6G0SHBATBE3KBH0GYT,1.27.24_Caroline's Picks January,2024-01-26,03:15 PM,12766,3058.51,0.0,0.0,N/A,Caroline’s sketchbook: January,Open for inspiration ,USA Residents,,Friday,Email
2024,01HM6XD102D91212YY2M7C80ZS,1.16.24_Winter Sale Extra 20% Off,2024-01-16,06:30 AM,12824,5039.73,0.0,0.0,N/A,This week only: Take an extra 20% off sale,Update your spring wardrobe ,USA Residents,,Tuesday,Email
