"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size","seasons"
1,84,0.19047619047619,441,"2011_2012"
3,77,0.17906976744186,430,"2011_2012"
5,76,0.180522565320665,421,"2011_2012"
7,73,0.177615571776156,411,"2011_2012"
9,70,0.172413793103448,406,"2011_2012"
11,64,0.164102564102564,390,"2011_2012"
13,58,0.155495978552279,373,"2011_2012"
15,55,0.151098901098901,364,"2011_2012"
17,53,0.149717514124294,354,"2011_2012"
19,44,0.130177514792899,338,"2011_2012"
21,43,0.131498470948012,327,"2011_2012"
23,37,0.119354838709677,310,"2011_2012"
25,33,0.110738255033557,298,"2011_2012"
27,30,0.104529616724739,287,"2011_2012"
29,29,0.102836879432624,282,"2011_2012"
31,26,0.0948905109489051,274,"2011_2012"
33,25,0.0932835820895522,268,"2011_2012"
35,23,0.0881226053639847,261,"2011_2012"
37,22,0.088,250,"2011_2012"
39,19,0.0788381742738589,241,"2011_2012"
41,18,0.0772532188841202,233,"2011_2012"
43,18,0.079646017699115,226,"2011_2012"
45,17,0.0790697674418605,215,"2011_2012"
47,17,0.083743842364532,203,"2011_2012"
49,16,0.0829015544041451,193,"2011_2012"
51,14,0.0773480662983425,181,"2011_2012"
53,13,0.0742857142857143,175,"2011_2012"
55,12,0.072289156626506,166,"2011_2012"
57,12,0.0754716981132075,159,"2011_2012"
59,12,0.0821917808219178,146,"2011_2012"
61,12,0.0888888888888889,135,"2011_2012"
63,11,0.0887096774193548,124,"2011_2012"
65,11,0.0901639344262295,122,"2011_2012"
67,10,0.0840336134453782,119,"2011_2012"
69,10,0.0892857142857143,112,"2011_2012"
71,9,0.0857142857142857,105,"2011_2012"
73,8,0.0808080808080808,99,"2011_2012"
75,8,0.0879120879120879,91,"2011_2012"
77,8,0.0909090909090909,88,"2011_2012"
79,8,0.0987654320987654,81,"2011_2012"
81,7,0.0875,80,"2011_2012"
83,7,0.0933333333333333,75,"2011_2012"
85,5,0.0735294117647059,68,"2011_2012"
87,4,0.0677966101694915,59,"2011_2012"
89,3,0.0545454545454545,55,"2011_2012"
91,3,0.0545454545454545,55,"2011_2012"
93,3,0.0545454545454545,55,"2011_2012"
95,3,0.0576923076923077,52,"2011_2012"
97,3,0.0612244897959184,49,"2011_2012"
99,3,0.0666666666666667,45,"2011_2012"
101,3,0.075,40,"2011_2012"
103,3,0.0789473684210526,38,"2011_2012"
105,3,0.0967741935483871,31,"2011_2012"
107,3,0.107142857142857,28,"2011_2012"
109,2,0.0769230769230769,26,"2011_2012"
111,1,0.0416666666666667,24,"2011_2012"
113,1,0.0416666666666667,24,"2011_2012"
115,1,0.0454545454545455,22,"2011_2012"
117,1,0.05,20,"2011_2012"
119,0,0,18,"2011_2012"
121,0,0,17,"2011_2012"
123,0,0,17,"2011_2012"
125,0,0,16,"2011_2012"
127,0,0,16,"2011_2012"
129,0,0,15,"2011_2012"
131,0,0,13,"2011_2012"
133,0,0,11,"2011_2012"
135,0,0,10,"2011_2012"
137,0,0,10,"2011_2012"
139,0,0,8,"2011_2012"
141,0,0,8,"2011_2012"
143,0,0,6,"2011_2012"
145,0,0,6,"2011_2012"
147,0,0,6,"2011_2012"
149,0,0,6,"2011_2012"
151,0,0,6,"2011_2012"
153,0,0,4,"2011_2012"
155,0,0,4,"2011_2012"
157,0,0,4,"2011_2012"
159,0,0,4,"2011_2012"
161,0,0,4,"2011_2012"
163,0,0,3,"2011_2012"
165,0,0,3,"2011_2012"
167,0,0,2,"2011_2012"
169,0,0,2,"2011_2012"
171,0,0,2,"2011_2012"
173,0,0,2,"2011_2012"
175,0,0,2,"2011_2012"
177,0,0,2,"2011_2012"
179,0,0,2,"2011_2012"
181,0,0,2,"2011_2012"
183,0,0,2,"2011_2012"
185,0,0,2,"2011_2012"
187,0,0,2,"2011_2012"
189,0,0,2,"2011_2012"
191,0,0,2,"2011_2012"
193,0,0,2,"2011_2012"
195,0,0,1,"2011_2012"
197,0,NA,0,"2011_2012"
199,0,NA,0,"2011_2012"
201,0,NA,0,"2011_2012"
203,0,NA,0,"2011_2012"
205,0,NA,0,"2011_2012"
207,0,NA,0,"2011_2012"
209,0,NA,0,"2011_2012"
1,135,0.207373271889401,651,"2013_2014"
3,126,0.201277955271566,626,"2013_2014"
5,122,0.200988467874794,607,"2013_2014"
7,117,0.198641765704584,589,"2013_2014"
9,112,0.195804195804196,572,"2013_2014"
11,111,0.2,555,"2013_2014"
13,101,0.188081936685289,537,"2013_2014"
15,93,0.181640625,512,"2013_2014"
17,91,0.186858316221766,487,"2013_2014"
19,87,0.187904967602592,463,"2013_2014"
21,81,0.185354691075515,437,"2013_2014"
23,75,0.178571428571429,420,"2013_2014"
25,69,0.173366834170854,398,"2013_2014"
27,63,0.164921465968586,382,"2013_2014"
29,59,0.162534435261708,363,"2013_2014"
31,55,0.156695156695157,351,"2013_2014"
33,47,0.142857142857143,329,"2013_2014"
35,46,0.146031746031746,315,"2013_2014"
37,40,0.134680134680135,297,"2013_2014"
39,39,0.136363636363636,286,"2013_2014"
41,38,0.139705882352941,272,"2013_2014"
43,37,0.137546468401487,269,"2013_2014"
45,32,0.125,256,"2013_2014"
47,27,0.112033195020747,241,"2013_2014"
49,27,0.118421052631579,228,"2013_2014"
51,24,0.110599078341014,217,"2013_2014"
53,21,0.103448275862069,203,"2013_2014"
55,19,0.0969387755102041,196,"2013_2014"
57,19,0.100529100529101,189,"2013_2014"
59,18,0.0989010989010989,182,"2013_2014"
61,17,0.0949720670391061,179,"2013_2014"
63,16,0.0930232558139535,172,"2013_2014"
65,15,0.0903614457831325,166,"2013_2014"
67,15,0.0943396226415094,159,"2013_2014"
69,12,0.0789473684210526,152,"2013_2014"
71,8,0.0563380281690141,142,"2013_2014"
73,8,0.0575539568345324,139,"2013_2014"
75,7,0.0526315789473684,133,"2013_2014"
77,7,0.0534351145038168,131,"2013_2014"
79,6,0.0483870967741935,124,"2013_2014"
81,6,0.0508474576271186,118,"2013_2014"
83,6,0.0530973451327434,113,"2013_2014"
85,6,0.0540540540540541,111,"2013_2014"
87,6,0.0560747663551402,107,"2013_2014"
89,6,0.06,100,"2013_2014"
91,6,0.0618556701030928,97,"2013_2014"
93,6,0.0638297872340425,94,"2013_2014"
95,5,0.0555555555555556,90,"2013_2014"
97,4,0.0493827160493827,81,"2013_2014"
99,4,0.0506329113924051,79,"2013_2014"
101,4,0.051948051948052,77,"2013_2014"
103,3,0.0410958904109589,73,"2013_2014"
105,2,0.0294117647058824,68,"2013_2014"
107,2,0.0298507462686567,67,"2013_2014"
109,2,0.0350877192982456,57,"2013_2014"
111,2,0.037037037037037,54,"2013_2014"
113,2,0.0392156862745098,51,"2013_2014"
115,2,0.04,50,"2013_2014"
117,2,0.0416666666666667,48,"2013_2014"
119,2,0.0425531914893617,47,"2013_2014"
121,2,0.0465116279069767,43,"2013_2014"
123,1,0.024390243902439,41,"2013_2014"
125,1,0.0256410256410256,39,"2013_2014"
127,1,0.0263157894736842,38,"2013_2014"
129,1,0.0277777777777778,36,"2013_2014"
131,1,0.0294117647058824,34,"2013_2014"
133,1,0.03125,32,"2013_2014"
135,1,0.032258064516129,31,"2013_2014"
137,1,0.0344827586206897,29,"2013_2014"
139,1,0.0416666666666667,24,"2013_2014"
141,1,0.0454545454545455,22,"2013_2014"
143,1,0.05,20,"2013_2014"
145,1,0.0588235294117647,17,"2013_2014"
147,1,0.0625,16,"2013_2014"
149,1,0.0666666666666667,15,"2013_2014"
151,1,0.0714285714285714,14,"2013_2014"
153,1,0.0714285714285714,14,"2013_2014"
155,1,0.0714285714285714,14,"2013_2014"
157,1,0.0714285714285714,14,"2013_2014"
159,1,0.0769230769230769,13,"2013_2014"
161,1,0.0833333333333333,12,"2013_2014"
163,1,0.0833333333333333,12,"2013_2014"
165,1,0.0833333333333333,12,"2013_2014"
167,1,0.0833333333333333,12,"2013_2014"
169,1,0.0833333333333333,12,"2013_2014"
171,0,0,9,"2013_2014"
173,0,0,8,"2013_2014"
175,0,0,6,"2013_2014"
177,0,0,6,"2013_2014"
179,0,0,6,"2013_2014"
181,0,0,6,"2013_2014"
183,0,0,5,"2013_2014"
185,0,0,5,"2013_2014"
187,0,0,5,"2013_2014"
189,0,0,5,"2013_2014"
191,0,0,4,"2013_2014"
193,0,0,4,"2013_2014"
195,0,0,4,"2013_2014"
197,0,0,3,"2013_2014"
199,0,0,2,"2013_2014"
201,0,0,1,"2013_2014"
203,0,0,1,"2013_2014"
205,0,0,1,"2013_2014"
