"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size","seasons"
1,3,0.333333333333333,9,"2011_2012"
3,8,0.4,20,"2011_2012"
5,11,0.392857142857143,28,"2011_2012"
7,12,0.363636363636364,33,"2011_2012"
9,15,0.357142857142857,42,"2011_2012"
11,25,0.40983606557377,61,"2011_2012"
13,28,0.368421052631579,76,"2011_2012"
15,30,0.357142857142857,84,"2011_2012"
17,37,0.37,100,"2011_2012"
19,40,0.36697247706422,109,"2011_2012"
21,45,0.362903225806452,124,"2011_2012"
23,51,0.354166666666667,144,"2011_2012"
25,52,0.346666666666667,150,"2011_2012"
27,55,0.34375,160,"2011_2012"
29,57,0.343373493975904,166,"2011_2012"
31,59,0.339080459770115,174,"2011_2012"
33,60,0.335195530726257,179,"2011_2012"
35,61,0.324468085106383,188,"2011_2012"
37,64,0.321608040201005,199,"2011_2012"
39,65,0.315533980582524,206,"2011_2012"
41,66,0.314285714285714,210,"2011_2012"
43,67,0.297777777777778,225,"2011_2012"
45,67,0.285106382978723,235,"2011_2012"
47,68,0.276422764227642,246,"2011_2012"
49,69,0.268482490272374,257,"2011_2012"
51,70,0.263157894736842,266,"2011_2012"
53,72,0.264705882352941,272,"2011_2012"
55,72,0.256227758007117,281,"2011_2012"
57,72,0.245733788395904,293,"2011_2012"
59,72,0.24,300,"2011_2012"
61,72,0.232258064516129,310,"2011_2012"
63,73,0.22884012539185,319,"2011_2012"
65,74,0.228395061728395,324,"2011_2012"
67,74,0.225609756097561,328,"2011_2012"
69,74,0.221556886227545,334,"2011_2012"
71,76,0.221574344023324,343,"2011_2012"
73,76,0.216524216524217,351,"2011_2012"
75,76,0.214084507042254,355,"2011_2012"
77,76,0.211699164345404,359,"2011_2012"
79,76,0.209944751381215,362,"2011_2012"
81,77,0.210382513661202,366,"2011_2012"
83,78,0.209677419354839,372,"2011_2012"
85,80,0.210526315789474,380,"2011_2012"
87,80,0.208333333333333,384,"2011_2012"
89,81,0.208762886597938,388,"2011_2012"
91,81,0.208762886597938,388,"2011_2012"
93,81,0.208226221079692,389,"2011_2012"
95,81,0.206632653061224,392,"2011_2012"
97,81,0.205063291139241,395,"2011_2012"
99,81,0.200992555831266,403,"2011_2012"
101,81,0.20049504950495,404,"2011_2012"
103,81,0.197560975609756,410,"2011_2012"
105,81,0.195652173913043,414,"2011_2012"
107,82,0.197115384615385,416,"2011_2012"
109,83,0.198090692124105,419,"2011_2012"
111,83,0.198090692124105,419,"2011_2012"
113,83,0.197619047619048,420,"2011_2012"
115,83,0.197149643705463,421,"2011_2012"
117,84,0.197647058823529,425,"2011_2012"
119,84,0.197183098591549,426,"2011_2012"
121,84,0.197183098591549,426,"2011_2012"
123,84,0.197183098591549,426,"2011_2012"
125,84,0.19672131147541,427,"2011_2012"
127,84,0.196261682242991,428,"2011_2012"
129,84,0.196261682242991,428,"2011_2012"
131,84,0.194895591647332,431,"2011_2012"
133,84,0.193995381062356,433,"2011_2012"
135,84,0.193995381062356,433,"2011_2012"
