"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size","seasons"
1,262,0.594104308390023,441,"2011_2012"
3,260,0.604651162790698,430,"2011_2012"
5,253,0.600950118764846,421,"2011_2012"
7,249,0.605839416058394,411,"2011_2012"
9,248,0.610837438423645,406,"2011_2012"
11,243,0.623076923076923,390,"2011_2012"
13,238,0.638069705093834,373,"2011_2012"
15,234,0.642857142857143,364,"2011_2012"
17,229,0.646892655367232,354,"2011_2012"
19,222,0.656804733727811,338,"2011_2012"
21,217,0.663608562691132,327,"2011_2012"
23,210,0.67741935483871,310,"2011_2012"
25,208,0.697986577181208,298,"2011_2012"
27,201,0.700348432055749,287,"2011_2012"
29,198,0.702127659574468,282,"2011_2012"
31,193,0.704379562043796,274,"2011_2012"
33,191,0.712686567164179,268,"2011_2012"
35,188,0.720306513409962,261,"2011_2012"
37,181,0.724,250,"2011_2012"
39,177,0.734439834024896,241,"2011_2012"
41,172,0.738197424892704,233,"2011_2012"
43,166,0.734513274336283,226,"2011_2012"
45,159,0.73953488372093,215,"2011_2012"
47,150,0.738916256157635,203,"2011_2012"
49,146,0.756476683937824,193,"2011_2012"
51,139,0.767955801104972,181,"2011_2012"
53,134,0.765714285714286,175,"2011_2012"
55,128,0.771084337349398,166,"2011_2012"
57,123,0.773584905660377,159,"2011_2012"
59,114,0.780821917808219,146,"2011_2012"
61,105,0.777777777777778,135,"2011_2012"
63,97,0.782258064516129,124,"2011_2012"
65,95,0.778688524590164,122,"2011_2012"
67,93,0.781512605042017,119,"2011_2012"
69,87,0.776785714285714,112,"2011_2012"
71,83,0.79047619047619,105,"2011_2012"
73,80,0.808080808080808,99,"2011_2012"
75,75,0.824175824175824,91,"2011_2012"
77,72,0.818181818181818,88,"2011_2012"
79,67,0.82716049382716,81,"2011_2012"
81,67,0.8375,80,"2011_2012"
83,62,0.826666666666667,75,"2011_2012"
85,58,0.852941176470588,68,"2011_2012"
87,50,0.847457627118644,59,"2011_2012"
89,48,0.872727272727273,55,"2011_2012"
91,48,0.872727272727273,55,"2011_2012"
93,48,0.872727272727273,55,"2011_2012"
95,45,0.865384615384615,52,"2011_2012"
97,42,0.857142857142857,49,"2011_2012"
99,38,0.844444444444444,45,"2011_2012"
101,33,0.825,40,"2011_2012"
103,31,0.81578947368421,38,"2011_2012"
105,26,0.838709677419355,31,"2011_2012"
107,24,0.857142857142857,28,"2011_2012"
109,23,0.884615384615385,26,"2011_2012"
111,22,0.916666666666667,24,"2011_2012"
113,22,0.916666666666667,24,"2011_2012"
115,21,0.954545454545455,22,"2011_2012"
117,19,0.95,20,"2011_2012"
119,18,1,18,"2011_2012"
121,17,1,17,"2011_2012"
123,17,1,17,"2011_2012"
125,16,1,16,"2011_2012"
127,16,1,16,"2011_2012"
129,15,1,15,"2011_2012"
131,13,1,13,"2011_2012"
133,11,1,11,"2011_2012"
135,10,1,10,"2011_2012"
137,10,1,10,"2011_2012"
139,8,1,8,"2011_2012"
141,8,1,8,"2011_2012"
143,6,1,6,"2011_2012"
