"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size","seasons"
1,2,0.222222222222222,9,"2011_2012"
3,7,0.35,20,"2011_2012"
5,10,0.357142857142857,28,"2011_2012"
7,13,0.393939393939394,33,"2011_2012"
9,15,0.357142857142857,42,"2011_2012"
11,19,0.311475409836066,61,"2011_2012"
13,27,0.355263157894737,76,"2011_2012"
15,30,0.357142857142857,84,"2011_2012"
17,38,0.38,100,"2011_2012"
19,41,0.376146788990826,109,"2011_2012"
21,48,0.387096774193548,124,"2011_2012"
23,53,0.368055555555556,144,"2011_2012"
25,58,0.386666666666667,150,"2011_2012"
27,63,0.39375,160,"2011_2012"
29,67,0.403614457831325,166,"2011_2012"
31,71,0.408045977011494,174,"2011_2012"
33,73,0.407821229050279,179,"2011_2012"
35,78,0.414893617021277,188,"2011_2012"
37,84,0.422110552763819,199,"2011_2012"
39,89,0.432038834951456,206,"2011_2012"
41,90,0.428571428571429,210,"2011_2012"
43,102,0.453333333333333,225,"2011_2012"
45,108,0.459574468085106,235,"2011_2012"
47,114,0.463414634146341,246,"2011_2012"
49,120,0.46692607003891,257,"2011_2012"
51,127,0.477443609022556,266,"2011_2012"
53,130,0.477941176470588,272,"2011_2012"
55,136,0.483985765124555,281,"2011_2012"
57,145,0.494880546075085,293,"2011_2012"
59,150,0.5,300,"2011_2012"
61,159,0.512903225806452,310,"2011_2012"
63,165,0.517241379310345,319,"2011_2012"
65,169,0.521604938271605,324,"2011_2012"
67,172,0.524390243902439,328,"2011_2012"
69,177,0.529940119760479,334,"2011_2012"
71,181,0.527696793002915,343,"2011_2012"
73,186,0.52991452991453,351,"2011_2012"
75,190,0.535211267605634,355,"2011_2012"
77,193,0.537604456824513,359,"2011_2012"
79,195,0.538674033149171,362,"2011_2012"
81,198,0.540983606557377,366,"2011_2012"
83,202,0.543010752688172,372,"2011_2012"
85,208,0.547368421052632,380,"2011_2012"
87,212,0.552083333333333,384,"2011_2012"
89,214,0.551546391752577,388,"2011_2012"
91,214,0.551546391752577,388,"2011_2012"
93,215,0.552699228791774,389,"2011_2012"
95,218,0.556122448979592,392,"2011_2012"
97,221,0.559493670886076,395,"2011_2012"
99,229,0.568238213399504,403,"2011_2012"
101,230,0.569306930693069,404,"2011_2012"
103,234,0.570731707317073,410,"2011_2012"
105,237,0.572463768115942,414,"2011_2012"
107,238,0.572115384615385,416,"2011_2012"
109,240,0.572792362768496,419,"2011_2012"
111,240,0.572792362768496,419,"2011_2012"
113,241,0.573809523809524,420,"2011_2012"
115,241,0.572446555819477,421,"2011_2012"
117,244,0.574117647058824,425,"2011_2012"
119,245,0.575117370892019,426,"2011_2012"
121,245,0.575117370892019,426,"2011_2012"
123,245,0.575117370892019,426,"2011_2012"
125,246,0.576112412177986,427,"2011_2012"
127,247,0.577102803738318,428,"2011_2012"
129,247,0.577102803738318,428,"2011_2012"
131,250,0.580046403712297,431,"2011_2012"
133,252,0.581986143187067,433,"2011_2012"
135,252,0.581986143187067,433,"2011_2012"
137,253,0.58294930875576,434,"2011_2012"
139,254,0.583908045977012,435,"2011_2012"
141,255,0.584862385321101,436,"2011_2012"
143,256,0.585812356979405,437,"2011_2012"
145,256,0.585812356979405,437,"2011_2012"
147,256,0.585812356979405,437,"2011_2012"
149,256,0.585812356979405,437,"2011_2012"
151,257,0.58675799086758,438,"2011_2012"
153,258,0.587699316628702,439,"2011_2012"
155,258,0.587699316628702,439,"2011_2012"
157,258,0.587699316628702,439,"2011_2012"
159,258,0.587699316628702,439,"2011_2012"
161,258,0.587699316628702,439,"2011_2012"
163,259,0.588636363636364,440,"2011_2012"
165,260,0.589569160997732,441,"2011_2012"
167,260,0.589569160997732,441,"2011_2012"
169,260,0.589569160997732,441,"2011_2012"
171,260,0.589569160997732,441,"2011_2012"
173,260,0.589569160997732,441,"2011_2012"
175,260,0.589569160997732,441,"2011_2012"
177,260,0.589569160997732,441,"2011_2012"
179,260,0.589569160997732,441,"2011_2012"
181,260,0.589569160997732,441,"2011_2012"
183,260,0.589569160997732,441,"2011_2012"
185,260,0.589569160997732,441,"2011_2012"
187,260,0.589569160997732,441,"2011_2012"
189,260,0.589569160997732,441,"2011_2012"
191,260,0.589569160997732,441,"2011_2012"
193,260,0.589569160997732,441,"2011_2012"
195,262,0.591422121896163,443,"2011_2012"
197,262,0.591422121896163,443,"2011_2012"
199,262,0.591422121896163,443,"2011_2012"
201,262,0.591422121896163,443,"2011_2012"
203,262,0.591422121896163,443,"2011_2012"
205,262,0.591422121896163,443,"2011_2012"
207,262,0.591422121896163,443,"2011_2012"
209,262,0.591422121896163,443,"2011_2012"
1,8,0.571428571428571,14,"2013_2014"
3,16,0.457142857142857,35,"2013_2014"
5,29,0.508771929824561,57,"2013_2014"
7,37,0.528571428571429,70,"2013_2014"
9,41,0.482352941176471,85,"2013_2014"
11,55,0.509259259259259,108,"2013_2014"
13,58,0.467741935483871,124,"2013_2014"
15,72,0.473684210526316,152,"2013_2014"
