Stage,Date Start,Date End,Competition,Year
Preliminary Round 1,2011-06-29,2011-07-03,"World Cup Qualifiers, Asia",2011
Preliminary Round 2,2011-07-23,2011-07-28,"World Cup Qualifiers, Asia",2011
Group Stage,2011-09-02,2012-02-29,"World Cup Qualifiers, Asia",2011
Round 3,2012-06-03,2013-06-18,"World Cup Qualifiers, Asia",2012
Round 4,2013-09-06,2014-06-18,"World Cup Qualifiers, Asia",2013
Preliminary Round 1,2015-03-12,2015-03-17,"World Cup Qualifiers, Asia",2015
Preliminary Round 2,2015-06-11,2016-03-29,"World Cup Qualifiers, Asia",2015
Group Stage,2016-06-07,2017-06-13,"World Cup Qualifiers, Asia",2016
Round 3,2017-09-05,2017-11-15,"World Cup Qualifiers, Asia",2017
Preliminary Round 1,2019-06-06,2019-06-11,"World Cup Qualifiers, Asia",2019
Preliminary Round 2,2019-09-05,2021-06-15,"World Cup Qualifiers, Asia",2019
Group Stage,2021-09-02,2022-03-29,"World Cup Qualifiers, Asia",2021
Round 3,2022-06-07,2022-06-14,"World Cup Qualifiers, Asia",2022
Preliminary Round,2011-11-11,2011-11-15,"World Cup Qualifiers, Africa",2011
Group Stage,2012-06-01,2013-09-10,"World Cup Qualifiers, Africa",2012
Round 3,2013-10-11,2013-11-19,"World Cup Qualifiers, Africa",2013
Preliminary Round 1,2015-10-05,2015-10-13,"World Cup Qualifiers, Africa",2015
Preliminary Round 2,2015-11-09,2015-11-17,"World Cup Qualifiers, Africa",2015
Group Stage,2016-10-07,2017-11-14,"World Cup Qualifiers, Africa",2016
Round 3,2017-08-31,2017-11-14,"World Cup Qualifiers, Africa",2017
Preliminary Round 1,2019-09-04,2019-09-10,"World Cup Qualifiers, Africa",2019
Group Stage,2020-03-22,2021-11-16,"World Cup Qualifiers, Africa",2020
Round 3,2022-03-24,2022-03-29,"World Cup Qualifiers, Africa",2022
Preliminary Round,2011-06-15,2011-07-16,"World Cup Qualifiers, CONCACAF",2011
Group Stage,2011-09-02,2011-11-15,"World Cup Qualifiers, CONCACAF",2011
Round 3,2012-06-08,2012-10-16,"World Cup Qualifiers, CONCACAF",2012
Round 4,2013-02-06,2013-10-15,"World Cup Qualifiers, CONCACAF",2013
Preliminary Round 1,2015-03-23,2015-03-31,"World Cup Qualifiers, CONCACAF",2015
