"interval","sum_mv_prediction_correct","average_mv_prediction_correct","sample_size"
10000,0,NA,0
20000,0,NA,0
30000,0,NA,0
40000,0,NA,0
50000,0,NA,0
60000,0,NA,0
70000,0,NA,0
80000,0,NA,0
90000,0,NA,0
1e+05,0,NA,0
110000,0,NA,0
120000,0,NA,0
130000,0,NA,0
140000,0,NA,0
150000,0,NA,0
160000,0,NA,0
170000,0,NA,0
180000,0,NA,0
190000,0,NA,0
2e+05,1,1,1
210000,1,1,1
220000,1,1,1
230000,1,1,1
240000,1,1,1
250000,1,1,1
260000,1,1,1
270000,1,1,1
280000,1,1,1
290000,1,1,1
3e+05,1,1,1
310000,1,1,1
320000,1,1,1
330000,1,1,1
340000,1,1,1
350000,1,1,1
360000,1,1,1
370000,1,1,1
380000,1,1,1
390000,1,1,1
4e+05,1,1,1
410000,1,1,1
420000,1,1,1
430000,1,1,1
440000,1,1,1
450000,1,1,1
460000,1,1,1
470000,1,1,1
480000,1,1,1
490000,1,1,1
5e+05,1,0.5,2
510000,1,0.5,2
520000,1,0.5,2
530000,1,0.5,2
540000,1,0.5,2
550000,1,0.5,2
560000,1,0.5,2
570000,1,0.5,2
580000,1,0.5,2
590000,1,0.5,2
6e+05,1,0.5,2
610000,1,0.5,2
620000,1,0.5,2
630000,1,0.5,2
640000,1,0.5,2
650000,1,0.5,2
660000,1,0.5,2
670000,1,0.5,2
680000,1,0.5,2
690000,1,0.5,2
7e+05,1,0.5,2
710000,1,0.5,2
720000,1,0.5,2
730000,1,0.5,2
740000,1,0.5,2
750000,1,0.5,2
760000,1,0.5,2
770000,1,0.5,2
780000,1,0.5,2
790000,1,0.5,2
8e+05,1,0.5,2
810000,1,0.5,2
820000,1,0.5,2
830000,1,0.5,2
840000,1,0.5,2
850000,1,0.5,2
860000,1,0.5,2
870000,1,0.5,2
880000,1,0.5,2
890000,1,0.5,2
9e+05,1,0.5,2
910000,1,0.5,2
920000,1,0.5,2
930000,1,0.5,2
940000,1,0.5,2
950000,1,0.5,2
960000,1,0.5,2
970000,1,0.5,2
980000,1,0.5,2
990000,1,0.5,2
1e+06,1,0.5,2
1010000,1,0.5,2
1020000,1,0.5,2
1030000,1,0.5,2
1040000,1,0.5,2
1050000,1,0.5,2
1060000,1,0.5,2
1070000,1,0.5,2
1080000,1,0.5,2
1090000,1,0.5,2
1100000,1,0.5,2
1110000,1,0.5,2
1120000,1,0.5,2
1130000,1,0.5,2
1140000,1,0.5,2
1150000,1,0.5,2
1160000,1,0.5,2
1170000,1,0.5,2
1180000,1,0.5,2
1190000,1,0.5,2
1200000,1,0.5,2
1210000,1,0.5,2
1220000,1,0.5,2
1230000,1,0.5,2
1240000,1,0.5,2
1250000,1,0.5,2
1260000,1,0.5,2
1270000,1,0.5,2
1280000,1,0.5,2
1290000,1,0.5,2
1300000,1,0.5,2
1310000,1,0.5,2
1320000,1,0.5,2
1330000,1,0.5,2
1340000,1,0.5,2
1350000,1,0.5,2
1360000,1,0.5,2
1370000,1,0.5,2
1380000,1,0.5,2
1390000,1,0.5,2
1400000,1,0.5,2
1410000,1,0.5,2
1420000,1,0.5,2
1430000,1,0.5,2
1440000,1,0.5,2
1450000,1,0.5,2
1460000,1,0.5,2
1470000,1,0.5,2
1480000,1,0.5,2
1490000,1,0.5,2
1500000,1,0.5,2
1510000,1,0.5,2
1520000,1,0.5,2
1530000,1,0.5,2
1540000,1,0.5,2
1550000,1,0.5,2
1560000,1,0.5,2
1570000,1,0.5,2
1580000,1,0.5,2
1590000,1,0.5,2
1600000,1,0.5,2
1610000,1,0.5,2
1620000,1,0.5,2
1630000,1,0.5,2
1640000,1,0.5,2
1650000,1,0.5,2
1660000,1,0.5,2
1670000,1,0.5,2
1680000,1,0.5,2
1690000,1,0.5,2
1700000,1,0.5,2
1710000,1,0.5,2
1720000,1,0.5,2
1730000,1,0.5,2
1740000,1,0.5,2
1750000,1,0.5,2
1760000,1,0.5,2
1770000,1,0.5,2
1780000,1,0.5,2
1790000,1,0.5,2
1800000,1,0.5,2
1810000,1,0.5,2
1820000,1,0.5,2
1830000,1,0.5,2
1840000,1,0.5,2
1850000,1,0.5,2
1860000,1,0.5,2
1870000,1,0.5,2
1880000,1,0.5,2
1890000,1,0.5,2
1900000,1,0.5,2
1910000,1,0.5,2
1920000,1,0.5,2
1930000,1,0.5,2
1940000,1,0.5,2
1950000,1,0.5,2
1960000,1,0.5,2
1970000,1,0.5,2
1980000,1,0.5,2
1990000,1,0.5,2
2e+06,1,0.5,2
2010000,1,0.5,2
2020000,1,0.5,2
2030000,1,0.5,2
2040000,1,0.5,2
2050000,1,0.5,2
2060000,1,0.5,2
2070000,1,0.5,2
2080000,1,0.5,2
2090000,1,0.5,2
2100000,1,0.5,2
2110000,1,0.5,2
2120000,1,0.5,2
2130000,1,0.5,2
2140000,1,0.5,2
2150000,1,0.5,2
2160000,1,0.5,2
2170000,1,0.5,2
2180000,1,0.5,2
2190000,1,0.5,2
2200000,1,0.5,2
2210000,1,0.5,2
2220000,1,0.5,2
2230000,1,0.5,2
2240000,1,0.5,2
2250000,1,0.5,2
2260000,1,0.5,2
2270000,1,0.5,2
2280000,1,0.5,2
2290000,1,0.5,2
2300000,1,0.5,2
2310000,1,0.5,2
2320000,1,0.5,2
2330000,1,0.5,2
2340000,1,0.5,2
2350000,1,0.5,2
2360000,1,0.5,2
2370000,1,0.5,2
2380000,1,0.5,2
2390000,1,0.5,2
2400000,1,0.5,2
2410000,1,0.5,2
2420000,1,0.5,2
2430000,1,0.5,2
2440000,1,0.5,2
2450000,1,0.5,2
2460000,1,0.5,2
2470000,1,0.5,2
2480000,1,0.5,2
2490000,1,0.5,2
2500000,1,0.5,2
2510000,1,0.5,2
2520000,1,0.5,2
2530000,1,0.5,2
2540000,1,0.5,2
2550000,1,0.5,2
2560000,1,0.5,2
2570000,1,0.5,2
2580000,1,0.5,2
2590000,1,0.5,2
2600000,1,0.5,2
2610000,1,0.5,2
2620000,1,0.5,2
2630000,1,0.5,2
2640000,1,0.5,2
2650000,1,0.5,2
2660000,1,0.5,2
2670000,1,0.5,2
2680000,1,0.5,2
2690000,1,0.5,2
2700000,1,0.5,2
2710000,1,0.5,2
2720000,1,0.5,2
2730000,1,0.5,2
2740000,1,0.5,2
2750000,1,0.5,2
2760000,1,0.5,2
2770000,1,0.5,2
2780000,1,0.5,2
2790000,1,0.5,2
2800000,1,0.5,2
2810000,1,0.5,2
2820000,1,0.5,2
2830000,1,0.5,2
2840000,1,0.5,2
2850000,1,0.5,2
2860000,1,0.5,2
2870000,1,0.5,2
2880000,1,0.5,2
2890000,1,0.5,2
2900000,1,0.5,2
2910000,1,0.5,2
2920000,1,0.5,2
2930000,1,0.5,2
2940000,1,0.5,2
2950000,1,0.5,2
2960000,1,0.5,2
2970000,1,0.5,2
2980000,1,0.5,2
2990000,1,0.5,2
3e+06,1,0.5,2
3010000,1,0.5,2
3020000,1,0.5,2
3030000,1,0.5,2
3040000,1,0.5,2
3050000,1,0.5,2
3060000,1,0.5,2
3070000,1,0.5,2
3080000,1,0.5,2
3090000,1,0.5,2
3100000,1,0.5,2
3110000,1,0.5,2
3120000,1,0.5,2
3130000,1,0.5,2
3140000,1,0.5,2
3150000,1,0.5,2
3160000,1,0.5,2
3170000,1,0.5,2
3180000,1,0.5,2
3190000,1,0.5,2
3200000,1,0.5,2
3210000,1,0.5,2
3220000,1,0.5,2
3230000,1,0.5,2
3240000,1,0.5,2
3250000,1,0.5,2
3260000,1,0.5,2
3270000,1,0.5,2
3280000,1,0.5,2
3290000,1,0.5,2
3300000,1,0.5,2
3310000,1,0.5,2
3320000,1,0.5,2
3330000,1,0.5,2
3340000,1,0.5,2
3350000,1,0.5,2
3360000,1,0.5,2
3370000,1,0.5,2
3380000,1,0.5,2
3390000,1,0.5,2
3400000,1,0.5,2
3410000,1,0.5,2
3420000,1,0.5,2
3430000,1,0.5,2
3440000,1,0.5,2
3450000,1,0.5,2
3460000,1,0.5,2
3470000,1,0.5,2
3480000,1,0.5,2
3490000,1,0.5,2
3500000,1,0.5,2
3510000,1,0.5,2
3520000,1,0.5,2
3530000,1,0.5,2
3540000,1,0.5,2
3550000,1,0.5,2
3560000,1,0.5,2
3570000,1,0.5,2
3580000,1,0.5,2
3590000,1,0.5,2
3600000,1,0.5,2
3610000,1,0.5,2
3620000,1,0.5,2
3630000,1,0.5,2
3640000,1,0.5,2
3650000,1,0.5,2
3660000,1,0.5,2
3670000,1,0.5,2
3680000,1,0.5,2
3690000,1,0.5,2
3700000,1,0.5,2
3710000,1,0.5,2
3720000,1,0.5,2
3730000,1,0.5,2
3740000,1,0.5,2
3750000,1,0.5,2
3760000,1,0.5,2
3770000,1,0.5,2
3780000,1,0.5,2
3790000,1,0.5,2
3800000,1,0.5,2
3810000,1,0.5,2
3820000,1,0.5,2
3830000,1,0.5,2
3840000,1,0.5,2
3850000,1,0.5,2
3860000,1,0.5,2
3870000,1,0.5,2
3880000,1,0.5,2
3890000,1,0.5,2
3900000,1,0.5,2
3910000,1,0.5,2
3920000,1,0.5,2
3930000,1,0.5,2
3940000,1,0.5,2
3950000,1,0.5,2
3960000,1,0.5,2
3970000,1,0.5,2
3980000,1,0.5,2
3990000,1,0.5,2
4e+06,1,0.5,2
4010000,1,0.5,2
4020000,1,0.5,2
4030000,1,0.5,2
4040000,1,0.5,2
4050000,1,0.5,2
4060000,1,0.5,2
4070000,1,0.5,2
4080000,1,0.5,2
