"interval","sum_mv_prediction_correct","average_mv_prediction_correct","sample_size"
10000,0,NA,0
20000,0,NA,0
30000,0,NA,0
40000,0,NA,0
50000,0,0,1
60000,0,0,1
70000,0,0,1
80000,0,0,1
90000,0,0,1
1e+05,0,0,1
110000,0,0,1
120000,0,0,1
130000,0,0,1
140000,0,0,1
150000,0,0,1
160000,0,0,1
170000,0,0,2
180000,0,0,2
190000,0,0,2
2e+05,0,0,4
210000,0,0,4
220000,0,0,4
230000,0,0,4
240000,0,0,4
250000,0,0,4
260000,0,0,4
270000,0,0,4
280000,1,0.2,5
290000,1,0.2,5
3e+05,1,0.142857142857143,7
310000,1,0.142857142857143,7
320000,1,0.111111111111111,9
330000,1,0.1,10
340000,2,0.181818181818182,11
350000,3,0.230769230769231,13
360000,3,0.230769230769231,13
370000,3,0.230769230769231,13
380000,3,0.214285714285714,14
390000,4,0.266666666666667,15
4e+05,4,0.235294117647059,17
410000,4,0.235294117647059,17
420000,4,0.235294117647059,17
430000,4,0.235294117647059,17
440000,4,0.235294117647059,17
450000,4,0.235294117647059,17
460000,4,0.235294117647059,17
470000,4,0.235294117647059,17
480000,5,0.277777777777778,18
490000,5,0.277777777777778,18
5e+05,5,0.277777777777778,18
510000,5,0.277777777777778,18
520000,5,0.277777777777778,18
530000,5,0.263157894736842,19
540000,6,0.3,20
550000,6,0.3,20
560000,6,0.3,20
570000,6,0.3,20
580000,6,0.3,20
590000,6,0.3,20
6e+05,6,0.3,20
610000,7,0.318181818181818,22
620000,7,0.318181818181818,22
630000,8,0.333333333333333,24
640000,8,0.333333333333333,24
650000,10,0.384615384615385,26
660000,10,0.384615384615385,26
670000,10,0.384615384615385,26
680000,10,0.384615384615385,26
690000,10,0.384615384615385,26
7e+05,10,0.384615384615385,26
710000,10,0.384615384615385,26
720000,10,0.384615384615385,26
730000,10,0.384615384615385,26
740000,11,0.407407407407407,27
750000,11,0.392857142857143,28
760000,11,0.392857142857143,28
770000,11,0.392857142857143,28
780000,11,0.392857142857143,28
790000,12,0.413793103448276,29
8e+05,13,0.433333333333333,30
810000,13,0.433333333333333,30
820000,13,0.433333333333333,30
830000,13,0.419354838709677,31
840000,13,0.419354838709677,31
850000,14,0.424242424242424,33
860000,14,0.424242424242424,33
870000,14,0.424242424242424,33
880000,14,0.424242424242424,33
890000,14,0.424242424242424,33
9e+05,14,0.4,35
910000,14,0.4,35
920000,14,0.388888888888889,36
930000,14,0.388888888888889,36
940000,14,0.388888888888889,36
950000,14,0.378378378378378,37
960000,14,0.378378378378378,37
970000,14,0.378378378378378,37
980000,14,0.378378378378378,37
990000,14,0.378378378378378,37
1e+06,14,0.378378378378378,37
1010000,14,0.378378378378378,37
1020000,14,0.378378378378378,37
1030000,14,0.378378378378378,37
1040000,14,0.378378378378378,37
1050000,14,0.378378378378378,37
1060000,14,0.378378378378378,37
1070000,15,0.394736842105263,38
1080000,15,0.384615384615385,39
1090000,15,0.384615384615385,39
1100000,15,0.384615384615385,39
1110000,15,0.375,40
1120000,15,0.375,40
1130000,15,0.365853658536585,41
1140000,15,0.365853658536585,41
1150000,15,0.357142857142857,42
1160000,15,0.357142857142857,42
1170000,15,0.357142857142857,42
1180000,16,0.372093023255814,43
1190000,16,0.363636363636364,44
1200000,16,0.355555555555556,45
1210000,16,0.355555555555556,45
1220000,16,0.355555555555556,45
1230000,16,0.347826086956522,46
1240000,16,0.347826086956522,46
1250000,16,0.347826086956522,46
1260000,16,0.347826086956522,46
1270000,16,0.347826086956522,46
1280000,16,0.347826086956522,46
1290000,16,0.347826086956522,46
1300000,17,0.361702127659574,47
1310000,17,0.361702127659574,47
1320000,17,0.361702127659574,47
1330000,18,0.36,50
1340000,18,0.36,50
1350000,19,0.365384615384615,52
1360000,19,0.365384615384615,52
1370000,19,0.365384615384615,52
1380000,19,0.365384615384615,52
1390000,19,0.365384615384615,52
1400000,19,0.365384615384615,52
1410000,19,0.365384615384615,52
1420000,19,0.365384615384615,52
1430000,19,0.358490566037736,53
1440000,19,0.358490566037736,53
1450000,19,0.358490566037736,53
1460000,19,0.358490566037736,53
1470000,19,0.358490566037736,53
1480000,19,0.358490566037736,53
1490000,20,0.37037037037037,54
1500000,21,0.381818181818182,55
1510000,21,0.381818181818182,55
1520000,21,0.375,56
1530000,21,0.368421052631579,57
1540000,21,0.368421052631579,57
1550000,21,0.362068965517241,58
1560000,21,0.362068965517241,58
1570000,21,0.362068965517241,58
1580000,21,0.362068965517241,58
1590000,21,0.362068965517241,58
1600000,22,0.372881355932203,59
1610000,22,0.372881355932203,59
1620000,22,0.372881355932203,59
1630000,22,0.372881355932203,59
1640000,22,0.372881355932203,59
1650000,24,0.39344262295082,61
1660000,24,0.39344262295082,61
1670000,24,0.39344262295082,61
1680000,24,0.39344262295082,61
1690000,24,0.39344262295082,61
1700000,24,0.387096774193548,62
1710000,24,0.380952380952381,63
1720000,24,0.380952380952381,63
1730000,24,0.380952380952381,63
1740000,24,0.380952380952381,63
1750000,24,0.380952380952381,63
1760000,24,0.380952380952381,63
1770000,24,0.380952380952381,63
1780000,24,0.380952380952381,63
1790000,24,0.380952380952381,63
1800000,26,0.4,65
1810000,26,0.4,65
1820000,26,0.4,65
1830000,27,0.409090909090909,66
1840000,27,0.409090909090909,66
1850000,28,0.411764705882353,68
1860000,29,0.420289855072464,69
1870000,29,0.420289855072464,69
1880000,29,0.420289855072464,69
1890000,29,0.420289855072464,69
1900000,29,0.420289855072464,69
1910000,29,0.420289855072464,69
1920000,29,0.420289855072464,69
1930000,30,0.428571428571429,70
1940000,30,0.428571428571429,70
1950000,30,0.428571428571429,70
1960000,30,0.428571428571429,70
1970000,31,0.436619718309859,71
1980000,31,0.436619718309859,71
1990000,31,0.436619718309859,71
2e+06,31,0.430555555555556,72
2010000,31,0.430555555555556,72
2020000,32,0.438356164383562,73
2030000,32,0.438356164383562,73
2040000,32,0.438356164383562,73
2050000,32,0.432432432432432,74
2060000,32,0.432432432432432,74
2070000,32,0.432432432432432,74
2080000,32,0.426666666666667,75
2090000,32,0.426666666666667,75
2100000,32,0.421052631578947,76
2110000,32,0.421052631578947,76
2120000,32,0.421052631578947,76
2130000,32,0.421052631578947,76
2140000,32,0.421052631578947,76
2150000,32,0.415584415584416,77
2160000,32,0.415584415584416,77
2170000,32,0.415584415584416,77
2180000,32,0.415584415584416,77
2190000,32,0.415584415584416,77
2200000,32,0.41025641025641,78
2210000,33,0.4125,80
2220000,33,0.407407407407407,81
2230000,33,0.407407407407407,81
2240000,33,0.407407407407407,81
2250000,33,0.407407407407407,81
2260000,33,0.407407407407407,81
2270000,33,0.402439024390244,82
2280000,34,0.409638554216867,83
2290000,34,0.409638554216867,83
2300000,34,0.409638554216867,83
2310000,34,0.409638554216867,83
2320000,34,0.409638554216867,83
2330000,34,0.409638554216867,83
2340000,34,0.409638554216867,83
2350000,34,0.4,85
2360000,34,0.4,85
2370000,34,0.4,85
2380000,34,0.4,85
2390000,34,0.4,85
2400000,35,0.402298850574713,87
2410000,36,0.409090909090909,88
2420000,36,0.409090909090909,88
2430000,36,0.409090909090909,88
2440000,36,0.409090909090909,88
2450000,36,0.409090909090909,88
2460000,37,0.406593406593407,91
2470000,37,0.406593406593407,91
2480000,37,0.406593406593407,91
2490000,37,0.406593406593407,91
2500000,37,0.402173913043478,92
2510000,37,0.402173913043478,92
2520000,37,0.402173913043478,92
2530000,37,0.397849462365591,93
2540000,37,0.397849462365591,93
2550000,37,0.397849462365591,93
2560000,37,0.393617021276596,94
2570000,37,0.393617021276596,94
2580000,37,0.393617021276596,94
2590000,37,0.393617021276596,94
2600000,37,0.393617021276596,94
2610000,37,0.393617021276596,94
2620000,37,0.393617021276596,94
2630000,37,0.389473684210526,95
2640000,37,0.389473684210526,95
2650000,37,0.389473684210526,95
2660000,37,0.385416666666667,96
2670000,37,0.385416666666667,96
2680000,37,0.385416666666667,96
2690000,37,0.385416666666667,96
2700000,37,0.385416666666667,96
2710000,37,0.385416666666667,96
2720000,37,0.385416666666667,96
2730000,37,0.381443298969072,97
2740000,37,0.381443298969072,97
2750000,37,0.381443298969072,97
2760000,37,0.381443298969072,97
2770000,37,0.381443298969072,97
2780000,37,0.381443298969072,97
2790000,37,0.377551020408163,98
2800000,37,0.373737373737374,99
2810000,37,0.373737373737374,99
2820000,37,0.373737373737374,99
2830000,37,0.373737373737374,99
2840000,37,0.373737373737374,99
2850000,37,0.373737373737374,99
2860000,37,0.373737373737374,99
2870000,37,0.373737373737374,99
2880000,38,0.38,100
2890000,38,0.38,100
2900000,38,0.38,100
2910000,38,0.38,100
2920000,38,0.38,100
2930000,39,0.386138613861386,101
2940000,39,0.386138613861386,101
2950000,40,0.392156862745098,102
2960000,40,0.388349514563107,103
2970000,40,0.388349514563107,103
2980000,40,0.384615384615385,104
2990000,40,0.384615384615385,104
3e+06,43,0.398148148148148,108
3010000,43,0.398148148148148,108
3020000,43,0.398148148148148,108
3030000,43,0.398148148148148,108
3040000,43,0.398148148148148,108
3050000,43,0.394495412844037,109
3060000,43,0.394495412844037,109
3070000,43,0.394495412844037,109
3080000,43,0.390909090909091,110
3090000,43,0.390909090909091,110
3100000,43,0.390909090909091,110
3110000,43,0.390909090909091,110
3120000,43,0.390909090909091,110
3130000,43,0.390909090909091,110
3140000,43,0.390909090909091,110
3150000,43,0.387387387387387,111
3160000,43,0.387387387387387,111
3170000,43,0.387387387387387,111
3180000,43,0.387387387387387,111
3190000,43,0.387387387387387,111
