"interval","sum_mv_prediction_correct","average_mv_prediction_correct","sample_size"
10000,0,0,18
20000,0,0,20
30000,7,0.205882352941176,34
40000,10,0.227272727272727,44
50000,15,0.258620689655172,58
60000,16,0.266666666666667,60
70000,17,0.274193548387097,62
80000,19,0.27536231884058,69
90000,20,0.27027027027027,74
100000,20,0.25974025974026,77
110000,20,0.256410256410256,78
120000,22,0.268292682926829,82
130000,25,0.277777777777778,90
140000,26,0.285714285714286,91
150000,29,0.278846153846154,104
160000,29,0.276190476190476,105
170000,31,0.281818181818182,110
180000,32,0.271186440677966,118
190000,34,0.278688524590164,122
200000,37,0.274074074074074,135
210000,39,0.282608695652174,138
220000,39,0.274647887323944,142
230000,45,0.296052631578947,152
240000,48,0.309677419354839,155
250000,49,0.308176100628931,159
260000,50,0.31055900621118,161
270000,51,0.312883435582822,163
280000,53,0.313609467455621,169
290000,54,0.313953488372093,172
300000,59,0.329608938547486,179
310000,60,0.32967032967033,182
320000,62,0.33695652173913,184
330000,65,0.343915343915344,189
340000,65,0.340314136125654,191
350000,66,0.33,200
360000,67,0.331683168316832,202
370000,67,0.326829268292683,205
380000,69,0.331730769230769,208
390000,71,0.334905660377358,212
400000,72,0.330275229357798,218
410000,72,0.327272727272727,220
420000,72,0.327272727272727,220
430000,72,0.322869955156951,223
440000,75,0.327510917030568,229
450000,79,0.331932773109244,238
460000,79,0.327800829875519,241
470000,81,0.329268292682927,246
480000,83,0.328063241106719,253
490000,84,0.325581395348837,258
500000,84,0.320610687022901,262
510000,84,0.319391634980989,263
520000,85,0.319548872180451,266
530000,86,0.319702602230483,269
540000,87,0.318681318681319,273
550000,88,0.314285714285714,280
560000,89,0.313380281690141,284
570000,90,0.31578947368421,285
580000,91,0.310580204778157,293
590000,91,0.310580204778157,293
600000,92,0.308724832214765,298
610000,92,0.304635761589404,302
620000,93,0.304918032786885,305
630000,96,0.307692307692308,312
640000,96,0.306709265175719,313
650000,99,0.307453416149068,322
660000,99,0.306501547987616,323
670000,101,0.307926829268293,328
680000,101,0.299703264094956,337
690000,101,0.295321637426901,342
700000,102,0.292263610315186,349
710000,103,0.292613636363636,352
720000,104,0.293785310734463,354
730000,105,0.291666666666667,360
740000,105,0.288461538461538,364
750000,106,0.28494623655914,372
760000,106,0.284182305630027,373
770000,106,0.283422459893048,374
780000,107,0.280104712041885,382
790000,108,0.27979274611399,386
800000,109,0.27735368956743,393
810000,109,0.276649746192893,394
820000,109,0.275949367088608,395
830000,109,0.271144278606965,402
840000,109,0.26980198019802,404
850000,110,0.268948655256724,409
860000,111,0.270731707317073,410
870000,111,0.270731707317073,410
880000,113,0.272289156626506,415
890000,113,0.270334928229665,418
900000,116,0.271028037383178,428
910000,116,0.269767441860465,430
920000,118,0.273148148148148,432
930000,118,0.270642201834862,436
940000,118,0.269406392694064,438
950000,121,0.272522522522523,444
960000,121,0.271300448430493,446
970000,121,0.270693512304251,447
980000,123,0.270925110132159,454
990000,124,0.271929824561404,456
1000000,125,0.272331154684096,459
1010000,125,0.271739130434783,460
1020000,126,0.272727272727273,462
1030000,127,0.273706896551724,464
1040000,127,0.273706896551724,464
1050000,127,0.271367521367521,468
1060000,127,0.270788912579957,469
1070000,127,0.26963906581741,471
1080000,127,0.267932489451477,474
1090000,128,0.267782426778243,478
1100000,129,0.268191268191268,481
1110000,130,0.269151138716356,483
1120000,130,0.269151138716356,483
1130000,131,0.26844262295082,488
1140000,131,0.26844262295082,488
1150000,131,0.26734693877551,490
1160000,131,0.266802443991853,491
1170000,131,0.265720081135903,493
1180000,131,0.264646464646465,495
1190000,131,0.263052208835341,498
1200000,133,0.263888888888889,504
1210000,133,0.263366336633663,505
1220000,133,0.263366336633663,505
1230000,134,0.263261296660118,509
1240000,134,0.262745098039216,510
1250000,136,0.264077669902913,515
1260000,136,0.263565891472868,516
1270000,136,0.263056092843327,517
1280000,136,0.262548262548263,518
1290000,136,0.261538461538462,520
1300000,136,0.260038240917782,523
1310000,136,0.259541984732824,524
1320000,136,0.259047619047619,525
1330000,137,0.258003766478343,531
1340000,137,0.257518796992481,532
1350000,137,0.255597014925373,536
1360000,137,0.25512104283054,537
1370000,138,0.256505576208178,538
1380000,138,0.255555555555556,540
1390000,139,0.255985267034991,543
1400000,139,0.254113345521024,547
1410000,139,0.252727272727273,550
1420000,139,0.252727272727273,550
1430000,142,0.256781193490054,553
1440000,142,0.256781193490054,553
1450000,142,0.256317689530686,554
1460000,142,0.254937163375224,557
1470000,142,0.254937163375224,557
1480000,143,0.255813953488372,559
1490000,143,0.254448398576512,562
1500000,143,0.25354609929078,564
1510000,143,0.25354609929078,564
1520000,144,0.254416961130742,566
1530000,146,0.256590509666081,569
1540000,146,0.256140350877193,570
1550000,146,0.25569176882662,571
1560000,147,0.256544502617801,573
1570000,149,0.259130434782609,575
1580000,150,0.259067357512953,579
1590000,150,0.259067357512953,579
1600000,151,0.259450171821306,582
1610000,151,0.259005145797599,583
1620000,151,0.259005145797599,583
1630000,151,0.258561643835616,584
1640000,151,0.257240204429302,587
1650000,152,0.257191201353638,591
1660000,152,0.257191201353638,591
1670000,154,0.258389261744966,596
1680000,154,0.257956448911223,597
1690000,154,0.257956448911223,597
1700000,155,0.257903494176373,601
1710000,155,0.256622516556291,604
1720000,155,0.254934210526316,608
1730000,155,0.254098360655738,610
1740000,155,0.253267973856209,612
1750000,155,0.253267973856209,612
1760000,155,0.253267973856209,612
1770000,155,0.252854812398042,613
1780000,155,0.251623376623377,616
1790000,155,0.250809061488673,618
1800000,155,0.248397435897436,624
1810000,155,0.248397435897436,624
1820000,155,0.248397435897436,624
1830000,155,0.246815286624204,628
1840000,155,0.246815286624204,628
1850000,156,0.247226624405705,631
1860000,157,0.248025276461295,633
1870000,157,0.248025276461295,633
1880000,157,0.247634069400631,634
1890000,157,0.247244094488189,635
1900000,157,0.246467817896389,637
1910000,157,0.246081504702194,638
1920000,157,0.2453125,640
1930000,157,0.244929797191888,641
1940000,157,0.243788819875776,644
1950000,157,0.242658423493045,647
1960000,157,0.241538461538462,650
1970000,157,0.240428790199081,653
1980000,160,0.24390243902439,656
1990000,160,0.243531202435312,657
2000000,161,0.244309559939302,659
2010000,161,0.243939393939394,660
2020000,162,0.244343891402715,663
2030000,162,0.24287856071964,667
2040000,162,0.24287856071964,667
2050000,164,0.244047619047619,672
2060000,165,0.244807121661721,674
2070000,165,0.244807121661721,674
2080000,165,0.243722304283604,677
