"interval","sum_mv_prediction_correct","average_mv_prediction_correct","sample_size"
10000,3250,0.613091869458593,5301
20000,3249,0.613018867924528,5300
30000,3243,0.613507377979569,5286
40000,3242,0.613666477380276,5283
50000,3238,0.613838862559242,5275
60000,3232,0.614448669201521,5260
70000,3230,0.614418870077991,5257
80000,3226,0.614359169681965,5251
90000,3225,0.614636935391652,5247
100000,3225,0.61487130600572,5245
110000,3223,0.614841663487219,5242
120000,3222,0.614768174012593,5241
130000,3216,0.615031554790591,5229
140000,3216,0.615149196633512,5228
150000,3216,0.615149196633512,5228
160000,3212,0.616033755274262,5214
170000,3211,0.616196507388217,5211
180000,3207,0.616138328530259,5205
190000,3203,0.616198537899192,5198
200000,3203,0.616317106022705,5197
210000,3195,0.616557313778464,5182
220000,3195,0.61667631731326,5181
230000,3190,0.617140646159799,5169
240000,3190,0.617618586640852,5165
250000,3190,0.617857834592291,5163
260000,3188,0.617829457364341,5160
270000,3187,0.617875145405196,5158
280000,3183,0.618058252427184,5150
290000,3183,0.618178287046028,5149
300000,3182,0.618344345122425,5146
310000,3181,0.619112495134293,5138
320000,3180,0.619038349231069,5137
330000,3179,0.619567335801988,5131
340000,3178,0.619613959836225,5129
350000,3177,0.6197815060476,5126
360000,3172,0.619773348964439,5118
370000,3171,0.619820172009382,5116
380000,3168,0.619839561729603,5111
390000,3167,0.619886474848307,5109
400000,3165,0.619858989424207,5106
410000,3163,0.620317709354775,5099
420000,3163,0.620317709354775,5099
430000,3162,0.620364920541495,5097
440000,3159,0.620506776664702,5091
450000,3157,0.620723554856469,5086
460000,3155,0.621307601417881,5078
470000,3153,0.621403232163973,5074
480000,3151,0.621499013806706,5070
490000,3147,0.621445497630332,5064
500000,3146,0.621616281367319,5061
510000,3144,0.621712477753609,5057
520000,3142,0.621808826439739,5053
530000,3141,0.621980198019802,5050
540000,3138,0.621878715814506,5046
550000,3138,0.622001982160555,5045
560000,3134,0.622319301032565,5036
570000,3133,0.622244289970209,5035
580000,3129,0.622438830316292,5027
590000,3129,0.622562674094708,5026
600000,3128,0.622487562189055,5025
610000,3123,0.622235505080693,5019
620000,3122,0.622408293460925,5016
630000,3120,0.623127621330138,5007
640000,3119,0.623052337195366,5006
650000,3119,0.623176823176823,5005
660000,3115,0.623374024414649,4997
670000,3114,0.623298638911129,4996
680000,3103,0.622717238611278,4983
690000,3102,0.622766512748444,4981
700000,3097,0.62251256281407,4975
710000,3093,0.622584541062802,4968
720000,3091,0.622432541280709,4966
730000,3089,0.622405802941769,4963
740000,3086,0.622428398547802,4958
750000,3083,0.622325393621316,4954
760000,3077,0.622118883946624,4946
770000,3076,0.622042467138524,4945
780000,3076,0.622672064777328,4940
790000,3072,0.622618565058776,4934
800000,3071,0.62254206365295,4933
810000,3066,0.622411693057247,4926
820000,3065,0.622335025380711,4925
830000,3061,0.622407482716551,4918
840000,3060,0.622330689444783,4917
850000,3057,0.622100122100122,4914
860000,3055,0.622199592668024,4910
870000,3055,0.622326339376655,4909
880000,3054,0.62262996941896,4905
