interval,sum_mv_prediction_correct,average_mv_prediction_correct,sample_size,Competition
10000,0,,0,All
20000,0,,0,All
30000,0,,0,All
40000,0,,0,All
50000,0,,0,All
60000,0,,0,All
70000,0,,0,All
80000,0,,0,All
90000,0,,0,All
100000,0,,0,All
110000,0,,0,All
120000,0,,0,All
130000,0,,0,All
140000,0,,0,All
150000,0,,0,All
160000,0,,0,All
170000,0,,0,All
180000,0,,0,All
190000,0,,0,All
200000,0,,0,All
210000,0,0.0,1,All
220000,0,0.0,1,All
230000,1,0.5,2,All
240000,1,0.5,2,All
250000,1,0.5,2,All
260000,1,0.5,2,All
270000,1,0.5,2,All
280000,1,0.5,2,All
290000,1,0.5,2,All
300000,1,0.5,2,All
310000,1,0.5,2,All
320000,1,0.5,2,All
330000,1,0.5,2,All
340000,1,0.5,2,All
350000,1,0.5,2,All
360000,1,0.5,2,All
370000,1,0.5,2,All
380000,1,0.5,2,All
390000,1,0.5,2,All
400000,1,0.5,2,All
410000,1,0.5,2,All
420000,1,0.5,2,All
430000,1,0.5,2,All
440000,1,0.5,2,All
450000,1,0.5,2,All
460000,1,0.5,2,All
470000,1,0.5,2,All
480000,1,0.5,2,All
490000,1,0.5,2,All
500000,1,0.5,2,All
510000,1,0.5,2,All
520000,1,0.5,2,All
530000,1,0.5,2,All
540000,1,0.5,2,All
550000,1,0.5,2,All
560000,1,0.5,2,All
570000,1,0.5,2,All
580000,1,0.5,2,All
590000,1,0.5,2,All
600000,1,0.5,2,All
610000,1,0.5,2,All
620000,1,0.5,2,All
630000,1,0.5,2,All
640000,1,0.5,2,All
650000,1,0.5,2,All
660000,1,0.5,2,All
670000,1,0.5,2,All
680000,1,0.5,2,All
690000,1,0.5,2,All
700000,1,0.5,2,All
710000,1,0.5,2,All
720000,1,0.5,2,All
730000,1,0.5,2,All
740000,1,0.5,2,All
750000,1,0.5,2,All
760000,1,0.5,2,All
770000,1,0.5,2,All
780000,1,0.5,2,All
790000,1,0.5,2,All
800000,1,0.5,2,All
810000,1,0.5,2,All
820000,1,0.5,2,All
830000,1,0.5,2,All
840000,1,0.5,2,All
850000,1,0.5,2,All
860000,1,0.5,2,All
870000,1,0.5,2,All
880000,1,0.5,2,All
890000,1,0.5,2,All
900000,1,0.5,2,All
910000,1,0.5,2,All
920000,1,0.5,2,All
930000,1,0.5,2,All
940000,1,0.5,2,All
950000,1,0.5,2,All
960000,1,0.5,2,All
970000,1,0.5,2,All
980000,1,0.5,2,All
990000,1,0.5,2,All
1000000,1,0.5,2,All
1010000,1,0.5,2,All
1020000,1,0.5,2,All
1030000,1,0.5,2,All
1040000,1,0.5,2,All
1050000,1,0.5,2,All
1060000,1,0.5,2,All
1070000,1,0.5,2,All
1080000,1,0.5,2,All
1090000,1,0.5,2,All
1100000,1,0.5,2,All
1110000,1,0.5,2,All
1120000,1,0.5,2,All
1130000,1,0.5,2,All
1140000,1,0.5,2,All
1150000,1,0.5,2,All
1160000,1,0.5,2,All
1170000,1,0.5,2,All
1180000,1,0.5,2,All
1190000,1,0.5,2,All
1200000,1,0.5,2,All
1210000,1,0.5,2,All
1220000,1,0.5,2,All
1230000,1,0.5,2,All
1240000,1,0.5,2,All
1250000,2,0.6666666666666666,3,All
1260000,2,0.6666666666666666,3,All
1270000,2,0.6666666666666666,3,All
1280000,2,0.6666666666666666,3,All
1290000,2,0.6666666666666666,3,All
1300000,2,0.6666666666666666,3,All
1310000,2,0.6666666666666666,3,All
1320000,2,0.6666666666666666,3,All
1330000,2,0.6666666666666666,3,All
1340000,2,0.6666666666666666,3,All
1350000,2,0.6666666666666666,3,All
1360000,2,0.6666666666666666,3,All
1370000,2,0.6666666666666666,3,All
1380000,2,0.6666666666666666,3,All
1390000,2,0.6666666666666666,3,All
1400000,2,0.6666666666666666,3,All
1410000,2,0.6666666666666666,3,All
1420000,2,0.6666666666666666,3,All
1430000,3,0.75,4,All
1440000,3,0.75,4,All
1450000,3,0.75,4,All
1460000,3,0.75,4,All
1470000,3,0.75,4,All
1480000,3,0.75,4,All
1490000,3,0.75,4,All
1500000,3,0.75,4,All
1510000,3,0.75,4,All
1520000,3,0.75,4,All
1530000,3,0.75,4,All
1540000,3,0.75,4,All
1550000,3,0.75,4,All
1560000,3,0.75,4,All
1570000,3,0.75,4,All
1580000,3,0.75,4,All
1590000,3,0.75,4,All
1600000,3,0.75,4,All
1610000,3,0.75,4,All
1620000,3,0.75,4,All
1630000,3,0.75,4,All
1640000,3,0.75,4,All
1650000,3,0.75,4,All
1660000,3,0.75,4,All
1670000,3,0.6,5,All
1680000,3,0.6,5,All
1690000,3,0.6,5,All
1700000,3,0.6,5,All
1710000,3,0.6,5,All
1720000,3,0.6,5,All
1730000,3,0.6,5,All
1740000,3,0.6,5,All
1750000,3,0.6,5,All
1760000,3,0.6,5,All
1770000,3,0.6,5,All
1780000,3,0.6,5,All
1790000,3,0.6,5,All
1800000,3,0.6,5,All
1810000,3,0.6,5,All
1820000,3,0.6,5,All
1830000,3,0.6,5,All
1840000,3,0.6,5,All
1850000,3,0.6,5,All
1860000,3,0.6,5,All
1870000,3,0.6,5,All
1880000,3,0.6,5,All
1890000,3,0.6,5,All
1900000,3,0.6,5,All
1910000,3,0.6,5,All
1920000,3,0.6,5,All
1930000,3,0.6,5,All
1940000,3,0.6,5,All
1950000,3,0.6,5,All
1960000,3,0.6,5,All
1970000,3,0.6,5,All
1980000,3,0.6,5,All
1990000,3,0.6,5,All
2000000,3,0.6,5,All
2010000,3,0.6,5,All
2020000,3,0.5,6,All
2030000,3,0.5,6,All
2040000,3,0.5,6,All
2050000,3,0.5,6,All
2060000,3,0.5,6,All
2070000,3,0.5,6,All
2080000,3,0.5,6,All
2090000,3,0.5,6,All
