interval,sum_mv_prediction_correct,average_mv_prediction_correct,sample_size,Competition
10000,18,0.72,25,All
20000,18,0.72,25,All
30000,18,0.72,25,All
40000,18,0.72,25,All
50000,18,0.72,25,All
60000,18,0.72,25,All
70000,18,0.72,25,All
80000,18,0.72,25,All
90000,18,0.72,25,All
100000,18,0.72,25,All
110000,18,0.72,25,All
120000,18,0.72,25,All
130000,18,0.72,25,All
140000,18,0.72,25,All
150000,18,0.72,25,All
160000,18,0.72,25,All
170000,18,0.72,25,All
180000,18,0.72,25,All
190000,18,0.72,25,All
200000,18,0.72,25,All
210000,18,0.72,25,All
220000,18,0.72,25,All
230000,18,0.72,25,All
240000,18,0.72,25,All
250000,18,0.72,25,All
260000,18,0.72,25,All
270000,18,0.72,25,All
280000,18,0.72,25,All
290000,18,0.72,25,All
300000,18,0.72,25,All
310000,18,0.72,25,All
320000,18,0.72,25,All
330000,18,0.72,25,All
340000,18,0.72,25,All
350000,18,0.72,25,All
360000,18,0.75,24,All
370000,18,0.75,24,All
380000,18,0.75,24,All
390000,18,0.75,24,All
400000,18,0.75,24,All
410000,18,0.75,24,All
420000,18,0.75,24,All
430000,18,0.75,24,All
440000,18,0.75,24,All
450000,18,0.75,24,All
460000,18,0.75,24,All
470000,18,0.75,24,All
480000,18,0.75,24,All
490000,18,0.75,24,All
500000,18,0.75,24,All
510000,18,0.75,24,All
520000,18,0.75,24,All
530000,18,0.75,24,All
540000,18,0.75,24,All
550000,18,0.75,24,All
560000,18,0.75,24,All
570000,18,0.75,24,All
580000,18,0.75,24,All
590000,18,0.75,24,All
600000,18,0.75,24,All
610000,18,0.75,24,All
620000,18,0.75,24,All
630000,18,0.75,24,All
640000,18,0.75,24,All
650000,18,0.75,24,All
660000,18,0.75,24,All
670000,18,0.75,24,All
680000,18,0.75,24,All
690000,18,0.75,24,All
700000,18,0.75,24,All
710000,18,0.75,24,All
720000,18,0.75,24,All
730000,18,0.75,24,All
740000,18,0.75,24,All
750000,18,0.75,24,All
760000,18,0.75,24,All
770000,18,0.75,24,All
780000,18,0.75,24,All
790000,18,0.75,24,All
800000,18,0.75,24,All
810000,18,0.75,24,All
820000,18,0.75,24,All
830000,18,0.75,24,All
840000,18,0.75,24,All
850000,18,0.75,24,All
860000,18,0.75,24,All
870000,18,0.75,24,All
880000,18,0.75,24,All
890000,18,0.75,24,All
900000,18,0.75,24,All
910000,18,0.75,24,All
