Team Name,Interval Range,Total Matches,Total Wins,Win Percentage,Interval Side
Afghanistan,$100000 - $500000.0,6,5,83.33333333333334,More Valuable
Afghanistan,$1000000 - $5000000.0,0,0,0.0,More Valuable
Afghanistan,$5000000.0 - $10000000,0,0,0.0,More Valuable
Afghanistan,$10000000 - $50000000.0,0,0,0.0,More Valuable
Afghanistan,$50000000.0 - $100000000,0,0,0.0,More Valuable
Afghanistan,$100000000 - $500000000.0,0,0,0.0,More Valuable
Afghanistan,$500000000.0 - $1000000000,0,0,0.0,More Valuable
Afghanistan,$-100000 - $-500000.0,5,1,20.0,Less Valuable
Afghanistan,$-1000000 - $-5000000.0,5,0,0.0,Less Valuable
Afghanistan,$-5000000.0 - $-10000000,0,0,0.0,Less Valuable
Afghanistan,$-10000000 - $-50000000.0,4,0,0.0,Less Valuable
Afghanistan,$-50000000.0 - $-100000000,1,0,0.0,Less Valuable
Afghanistan,$-100000000 - $-500000000.0,0,0,0.0,Less Valuable
Afghanistan,$-500000000.0 - $-1000000000,0,0,0.0,Less Valuable
Albania,$100000 - $500000.0,0,0,0,More Valuable
Albania,$1000000 - $5000000.0,1,1,100.0,More Valuable
Albania,$5000000.0 - $10000000,4,3,75.0,More Valuable
Albania,$10000000 - $50000000.0,25,15,60.0,More Valuable
Albania,$50000000.0 - $100000000,6,3,50.0,More Valuable
Albania,$100000000 - $500000000.0,0,0,0,More Valuable
Albania,$500000000.0 - $1000000000,0,0,0,More Valuable
Albania,$-100000 - $-500000.0,0,0,0,Less Valuable
Albania,$-1000000 - $-5000000.0,0,0,0,Less Valuable
Albania,$-5000000.0 - $-10000000,2,0,0.0,Less Valuable
Albania,$-10000000 - $-50000000.0,14,5,35.714285714285715,Less Valuable
Albania,$-50000000.0 - $-100000000,8,1,12.5,Less Valuable
Albania,$-100000000 - $-500000000.0,13,2,15.384615384615385,Less Valuable
Albania,$-500000000.0 - $-1000000000,1,0,0.0,Less Valuable
Algeria,$100000 - $500000.0,1,0,0.0,More Valuable
Algeria,$1000000 - $5000000.0,2,2,100.0,More Valuable
Algeria,$5000000.0 - $10000000,0,0,0.0,More Valuable
Algeria,$10000000 - $50000000.0,25,16,64.0,More Valuable
Algeria,$50000000.0 - $100000000,21,13,61.904761904761905,More Valuable
Algeria,$100000000 - $500000000.0,21,12,57.14285714285714,More Valuable
Algeria,$500000000.0 - $1000000000,0,0,0.0,More Valuable
Algeria,$-100000 - $-500000.0,1,0,0.0,Less Valuable
Algeria,$-1000000 - $-5000000.0,2,1,50.0,Less Valuable
Algeria,$-5000000.0 - $-10000000,1,1,100.0,Less Valuable
Algeria,$-10000000 - $-50000000.0,5,0,0.0,Less Valuable
Algeria,$-50000000.0 - $-100000000,0,0,0.0,Less Valuable
Algeria,$-100000000 - $-500000000.0,4,2,50.0,Less Valuable
