,Unnamed: 0,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,Lookup Still Required?,Lookup Return Case,Name(s) Found,Translated Name,Original Case,To Remove
0,0,540,"Euros 2016, Qualifiers",12.10.14,Russia vs Moldova,2014,Moldova,MD,7. Кожокарь,True,Failed Using Name Looking at Season and Season +-1,['No matches found even with the lowest threshold.'],Kozhokar,Cyrillic Dudes,False
1,1,543,"Euros 2016, Qualifiers",15.11.14,Moldova vs Liechtenstein,2014,Moldova,MD,9. Кожокарь,True,Failed Using Name Looking at Season and Season +-1,['No matches found even with the lowest threshold.'],Kozhokar,Cyrillic Dudes,False
2,2,552,"Euros 2016, Qualifiers",05.09.15,Austria vs Moldova,2015,Moldova,MD,7. Кожокарь,True,Failed Using Name Looking at Season and Season +-1,['No matches found even with the lowest threshold.'],Kozhokar,Cyrillic Dudes,False
3,3,553,"Euros 2016, Qualifiers",05.09.15,Montenegro vs Liechtenstein,2015,Liechtenstein,LI,6. Кристен,True,Failed Using Name Looking at Season and Season +-1,['Mathias Christen'],Kristen,Cyrillic Dudes,False
4,4,404,"Euros 2016, Qualifiers",06.09.15,Wales vs Israel,2015,Israel,IL,20. Бен-Аруш,True,Failed Using Name Looking at Season and Season +-1,['Eden Ben Basat'],Ben Arush,Cyrillic Dudes,False
5,5,11,"U-20 World Cup, 2015",10.06.15,Ukraine U-20 vs Senegal U-20,2015,Senegal,SN,4. М. Сане,True,Failed Using Name Looking at Season and Season +-1,['Mouhameth Sané'],M Sane,Cyrillic Dudes,False
6,6,11,"U-20 World Cup, 2015",10.06.15,Ukraine U-20 vs Senegal U-20,2015,Senegal,SN,8. Сиди Сарр,True,Failed Using Name Looking at Season and Season +-1,['Sidy Sarr'],Sidi Sarr,Cyrillic Dudes,False
7,7,11,"U-20 World Cup, 2015",10.06.15,Ukraine U-20 vs Senegal U-20,2015,Senegal,SN,12. М.Л. Ндиайе,True,Failed Using Name Looking at Season and Season +-1,['Mamadou Loum'],M L Ndiaye,Cyrillic Dudes,False
8,8,11,"U-20 World Cup, 2015",10.06.15,Ukraine U-20 vs Senegal U-20,2015,Senegal,SN,14. М. Коне,True,Failed Using Name Looking at Season and Season +-1,['Moussa Koné'],M Kone,Cyrillic Dudes,False
9,9,11,"U-20 World Cup, 2015",10.06.15,Ukraine U-20 vs Senegal U-20,2015,Senegal,SN,17. Роджер Гомис,True,Failed Using Name Looking at Season and Season +-1,['Roger Gomis'],Roger Gomis,Cyrillic Dudes,False
