,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,Lookup Still Required?,Lookup Return Case,Name(s) Found,Translated Name,Original Case,To Remove
0,148,4,310,World Cup 2022,21.11.22,England vs Iran,2022,Iran,IR,Hosseini,True,Name Confusion,"['Hossein Hosseini', 'Majid Hosseini']",,Group 1 Fail,False
1,153,9,318,World Cup 2022,26.11.22,Poland vs Saudi Arabia,2022,Saudi Arabia,SA,Al-Dawsari,True,Name Confusion,"['Salem Al-Dawsari', 'Nasser Al-Dawsari']",,Group 1 Fail,False
2,173,29,1873,Nations League 2022-2023,29.03.22,Cyprus vs Estonia,2022,Cyprus,CY,Cham Kyriakou,True,Name Confusion,"['Charalampos Kyriakou', 'Vangelis Kyriakou']",,Group 1 Fail,False
3,192,48,951,"Euros 2024, Qualifiers",15.10.23,Wales vs Croatia,2023,Wales,WA,James,True,Name Confusion,"['Daniel James', 'Jordan James']",,Group 1 Fail,False
4,193,49,953,"Euros 2024, Qualifiers",18.11.23,Armenia vs Wales,2023,Wales,WA,James,True,Name Confusion,"['Daniel James', 'Jordan James']",,Group 1 Fail,False
5,194,50,956,"Euros 2024, Qualifiers",21.11.23,Wales vs Turkey,2023,Wales,WA,James,True,Name Confusion,"['Daniel James', 'Jordan James']",,Group 1 Fail,False
6,195,51,1985,"World Cup Qualifiers, Africa, 2018",12-11-2016,Cape Verde vs Burkina Faso,2016,Cape Verde,CV,Ricardo,True,Name Confusion,"['Ricardo Silva', 'Ricardo Gomes']",,Group 1 Fail,False
7,202,58,857,"Euros 2020, Qualifiers",11.06.19,Liechtenstein vs Finland,2019,Liechtenstein,LI,M Büchel,True,Name Confusion,"['Martin Büchel', 'Marcel Büchel']",,Group 1 Fail,False
8,205,61,1086,"Euros 2024, Qualifiers",20.06.23,Bosnia-Herzegovina vs Luxembourg,2023,Luxembourg,LU,Sinani,True,Name Confusion,"['Danel Sinani', 'Dejvid Sinani']",,Group 1 Fail,False
9,309,165,1531,Nations League 2018-2020,16.10.18,Gibraltar vs Liechtenstein,2018,Gibraltar,GI,Casciaro,True,Name Confusion,"['Kyle Casciaro', 'Lee Casciaro']",,Group 1 Fail,False
10,310,166,1534,Nations League 2018-2020,19.11.18,Liechtenstein vs Armenia,2018,Liechtenstein,LI,M Büchel,True,Name Confusion,"['Martin Büchel', 'Marcel Büchel']",,Group 1 Fail,False
11,322,178,2057,"World Cup Qualifiers, Africa, 2022",06-10-2021,Sudan vs Guinea,2021,Guinea,GN,M Camara,True,Name Confusion,"['Mohamed Camara', 'Mady Camara']",,Group 1 Fail,False
12,323,179,2057,"World Cup Qualifiers, Africa, 2022",06-10-2021,Sudan vs Guinea,2021,Guinea,GN,M Camara,True,Name Confusion,"['Mohamed Camara', 'Mady Camara']",,Group 1 Fail,False
13,330,186,1632,Nations League 2020-2021,14.10.20,Bulgaria vs Wales,2020,Wales,WA,Davies,True,Name Confusion,"['Ben Davies', 'Adam Davies']",,Group 1 Fail,False
14,342,198,1701,Nations League 2020-2021,14.11.20,San Marino vs Gibraltar,2020,Gibraltar,GI,Casciaro,True,Name Confusion,"['Kyle Casciaro', 'Lee Casciaro']",,Group 1 Fail,False
15,343,199,3641,"Gold Cup, 2013",12-07-2013,Mexico vs Canada,2013,Mexico,MX,J Orozco,True,Name Confusion,"['Javier Orozco', 'Jonathan Orozco']",,Group 1 Fail,False
16,344,200,3656,"Gold Cup, 2013",25-07-2013,Panama vs Mexico,2013,Mexico,MX,J Orozco,True,Name Confusion,"['Javier Orozco', 'Jonathan Orozco']",,Group 1 Fail,False
17,345,201,3658,"Gold Cup, 2013",20-07-2013,Mexico vs Trinidad and Tobago,2013,Mexico,MX,J Orozco,True,Name Confusion,"['Javier Orozco', 'Jonathan Orozco']",,Group 1 Fail,False
18,350,206,2180,"World Cup Qualifiers, Africa, 2022",12-11-2021,Burkina Faso vs Niger,2021,Niger,NE,A Moumouni,True,Name Confusion,"['Abdoul Madjid Moumouni', 'Abdoul Moumouni']",,Group 1 Fail,False
19,351,207,2185,"World Cup Qualifiers, Africa, 2022",04-09-2019,Liberia vs Sierra Leone,2019,Liberia,LR,T Tisdell,True,Name Confusion,"['Tonia Tisdell', 'Terrence Tisdell']",,Group 1 Fail,False
