,Unnamed: 0.2,Match ID,Competition,Season,Country Code,Lookup Still Required?,Lookup Return Case,Translated Name,Original Case,To Remove,Nationality,Name(s) Found,ORIGINAL JERSEY,Match,Date,Market Value New,Status New,Match Case
0,0,310,World Cup 2022,2022,IR,TRUE,Name Confusion,,Group 1 Fail,FALSE,Iran,Majid Hosseini,Majid Hosseini,England vs Iran,21.11.22,1400000.0,Done,single
1,1,318,World Cup 2022,2022,SA,TRUE,Name Confusion,,Group 1 Fail,FALSE,Saudi Arabia,Salem Al-Dawsari,Al-Dawsari,Poland vs Saudi Arabia,26.11.22,1700000.0,Done,single
2,2,1873,Nations League 2022-2023,2022,CY,TRUE,Name Confusion,,Group 1 Fail,FALSE,Cyprus,Charalampos Kyriakou,Cham Kyriakou,Cyprus vs Estonia,29.03.22,,,single
3,3,951,"Euros 2024, Qualifiers",2023,WA,TRUE,Name Confusion,,Group 1 Fail,FALSE,Wales,Jordan James,James,Wales vs Croatia,15.10.23,3800000,Done,single
4,4,953,"Euros 2024, Qualifiers",2023,WA,TRUE,Name Confusion,,Group 1 Fail,FALSE,Wales,Jordan James,James,Armenia vs Wales,18.11.23,3800000,Done,single
5,5,956,"Euros 2024, Qualifiers",2023,WA,TRUE,Name Confusion,,Group 1 Fail,FALSE,Wales,Jordan James,James,Wales vs Turkey,21.11.23,3800000,Done,single
6,6,1985,"World Cup Qualifiers, Africa, 2018",2016,CV,TRUE,Name Confusion,,Group 1 Fail,FALSE,Cape Verde,Ricardo Silva,Ricardo,Cape Verde vs Burkina Faso,12-11-2016,160000,Done,single
7,7,857,"Euros 2020, Qualifiers",2019,LI,TRUE,Name Confusion,,Group 1 Fail,FALSE,Liechtenstein,Marcel Büchel,M Büchel,Liechtenstein vs Finland,11.06.19,500000,Done,single
8,8,1086,"Euros 2024, Qualifiers",2023,LU,TRUE,Name Confusion,,Group 1 Fail,FALSE,Luxembourg,Danel Sinani,Sinani,Bosnia-Herzegovina vs Luxembourg,20.06.23,1000000,Done,single
9,9,1531,Nations League 2018-2020,2018,GI,TRUE,Name Confusion,,Group 1 Fail,FALSE,Gibraltar,Lee Casciaro,Casciaro,Gibraltar vs Liechtenstein,16.10.18,25000,Done,single
10,10,1534,Nations League 2018-2020,2018,LI,TRUE,Name Confusion,,Group 1 Fail,FALSE,Liechtenstein,Marcel Büchel,M Büchel,Liechtenstein vs Armenia,19.11.18,500000,Done,single
11,11,2057,"World Cup Qualifiers, Africa, 2022",2021,GN,TRUE,Name Confusion,,Group 1 Fail,FALSE,Guinea,Mady Camara,M Camara,Sudan vs Guinea,06-10-2021,15000000.0,Done,single
12,12,2057,"World Cup Qualifiers, Africa, 2022",2021,GN,TRUE,Name Confusion,,Group 1 Fail,FALSE,Guinea,Mohamed Camara,M Camara,Sudan vs Guinea,06-10-2021,3000000.0,Done,single
13,13,1632,Nations League 2020-2021,2020,WA,TRUE,Name Confusion,,Group 1 Fail,FALSE,Wales,Ben Davies,Davies,Bulgaria vs Wales,14.10.20,,,single
14,14,1701,Nations League 2020-2021,2020,GI,TRUE,Name Confusion,,Group 1 Fail,FALSE,Gibraltar,Lee Casciaro,Casciaro,San Marino vs Gibraltar,14.11.20,,,single
15,15,3641,"Gold Cup, 2013",2013,MX,TRUE,Name Confusion,,Group 1 Fail,FALSE,Mexico,Jonathan Orozco,J Orozco,Mexico vs Canada,12-07-2013,,,single
16,16,3656,"Gold Cup, 2013",2013,MX,TRUE,Name Confusion,,Group 1 Fail,FALSE,Mexico,Jonathan Orozco,J Orozco,Panama vs Mexico,25-07-2013,,,single
17,17,3658,"Gold Cup, 2013",2013,MX,TRUE,Name Confusion,,Group 1 Fail,FALSE,Mexico,Jonathan Orozco,J Orozco,Mexico vs Trinidad and Tobago,20-07-2013,,,single
18,18,2180,"World Cup Qualifiers, Africa, 2022",2021,NE,TRUE,Name Confusion,,Group 1 Fail,FALSE,Niger,Abdoul Moumouni,A Moumouni,Burkina Faso vs Niger,12-11-2021,350000.0,Done,single
19,19,2185,"World Cup Qualifiers, Africa, 2022",2019,LR,TRUE,Name Confusion,,Group 1 Fail,FALSE,Liberia,Terrence Tisdell,T Tisdell,Liberia vs Sierra Leone,04-09-2019,25000,Done,single
20,20,3765,"Gold Cup, 2021",2021,MX,TRUE,Name Confusion,,Group 1 Fail,FALSE,Mexico,Edson Álvarez,E Álvarez,Mexico vs Trinidad and Tobago,11-07-2021,,,single
21,21,3770,"Gold Cup, 2021",2021,MX,TRUE,Name Confusion,,Group 1 Fail,FALSE,Mexico,Edson Álvarez,E Álvarez,Guatemala vs Mexico,15-07-2021,,,single
22,22,668,"Euros 2020, Qualifiers",2019,NL,TRUE,Name Confusion,,Group 1 Fail,FALSE,Netherlands,Frenkie de Jong,de Jong,Netherlands vs Germany,24.03.19,,,single
23,23,675,"Euros 2020, Qualifiers",2019,NL,TRUE,Name Confusion,,Group 1 Fail,FALSE,Netherlands,Frenkie de Jong,de Jong,Germany vs Netherlands,06.09.19,,,single
24,24,677,"Euros 2020, Qualifiers",2019,NL,TRUE,Name Confusion,,Group 1 Fail,FALSE,Netherlands,Frenkie de Jong,de Jong,Estonia vs Netherlands,09.09.19,,,single
25,25,679,"Euros 2020, Qualifiers",2019,NL,TRUE,Name Confusion,,Group 1 Fail,FALSE,Netherlands,Frenkie de Jong,de Jong,Netherlands vs Northern Ireland,10.10.19,,,single
26,26,680,"Euros 2020, Qualifiers",2019,NL,TRUE,Name Confusion,,Group 1 Fail,FALSE,Netherlands,Frenkie de Jong,de Jong,Belarus vs Netherlands,13.10.19,,,single
27,27,683,"Euros 2020, Qualifiers",2019,NL,TRUE,Name Confusion,,Group 1 Fail,FALSE,Netherlands,Frenkie de Jong,de Jong,Northern Ireland vs Netherlands,16.11.19,,,single
28,28,228,World Cup 2018,2018,BE,TRUE,Name Confusion,,Group 1 Fail,FALSE,Belgium,Eden Hazard,Hazard,Brazil vs Belgium,06.07.18,110000000,Done,single
29,29,2157,"World Cup Qualifiers, Africa, 2022",2019,SO,TRUE,Name Confusion,,Group 1 Fail,FALSE,Somalia,Omar Mohamed,A Sheikuna Mohamed,Somalia vs Zimbabwe,05-09-2019,175000,Done,single
30,30,2157,"World Cup Qualifiers, Africa, 2022",2019,SO,TRUE,Name Confusion,,Group 1 Fail,FALSE,Somalia,Hussein Mohamed,A Mohamed,Somalia vs Zimbabwe,05-09-2019,25000,Done,single
31,31,262,World Cup 2018,2018,IS,TRUE,Name Confusion,,Group 1 Fail,FALSE,Iceland,Jóhann Berg Gudmundsson,Gudmundsson,Iceland vs Croatia,26.06.18,,,single
32,32,2750,"World Cup Qualifiers, Asia, 2026",2023,IN,TRUE,Name Confusion,,Group 1 Fail,FALSE,India,Manvir Singh,M Singh,Kuwait vs India,16-11-2023,250000.0,Done,single
33,33,1188,Euros 2020,2021,NL,TRUE,Name Confusion,,Group 1 Fail,FALSE,Netherlands,Frenkie de Jong,de Jong,Netherlands vs Ukraine,13.06.21,,,single
34,34,1190,Euros 2020,2021,NL,TRUE,Name Confusion,,Group 1 Fail,FALSE,Netherlands,Frenkie de Jong,de Jong,Netherlands vs Austria,17.06.21,,,single
35,35,1746,Nations League 2022-2023,2022,BE,TRUE,Name Confusion,,Group 1 Fail,FALSE,Belgium,Eden Hazard,Hazard,Belgium vs Poland,08.06.22,,,single
36,36,451,"Euros 2016, Qualifiers",2014,SC,TRUE,Name Confusion,,Group 1 Fail,FALSE,Scotland,Russell Martin,Martin,Poland vs Scotland,14.10.14,3000000,Done,single
37,37,464,"Euros 2016, Qualifiers",2015,GI,TRUE,Name Confusion,,Group 1 Fail,FALSE,Gibraltar,Lee Casciaro,Casciaro,Poland vs Gibraltar,07.09.15,25000,Done,single
38,38,2099,"World Cup Qualifiers, Africa, 2022",2021,GN,TRUE,Name Confusion,,Group 1 Fail,FALSE,Guinea,Mohamed Camara,M Camara,Guinea vs Sudan,09-10-2021,3000000,Done,single
39,39,2710,"World Cup Qualifiers, Asia, 2026",2023,BD,TRUE,Name Confusion,,Group 1 Fail,FALSE,Bangladesh,Sohel Rana,Sohel Rana,Maldives vs Bangladesh,12-10-2023,,,single
40,40,2719,"World Cup Qualifiers, Asia, 2026",2023,BT,TRUE,Name Confusion,,Group 1 Fail,FALSE,Bhutan,Tenzin Dorji,T Dorji,Bhutan vs Hong Kong,17-10-2023,75000,Done,single
41,41,2725,"World Cup Qualifiers, Asia, 2026",2023,NP,TRUE,Name Confusion,,Group 1 Fail,FALSE,Nepal,Anjan Bista,A Bista,Nepal vs Laos,12-10-2023,125000,Done,single
42,42,2218,"World Cup Qualifiers, Africa, 2026",2023,NE,TRUE,Name Confusion,,Group 1 Fail,FALSE,Niger,Abdoul Moumouni,A Moumouni,Niger vs Zambia,21-11-2023,300000,Done,single
43,43,2740,"World Cup Qualifiers, Asia, 2026",2023,BD,TRUE,Name Confusion,,Group 1 Fail,FALSE,Bangladesh,Sohel Rana,Sohel Rana,Bangladesh vs Lebanon,21-11-2023,,,single
44,44,2756,"World Cup Qualifiers, Asia, 2026",2023,BD,TRUE,Name Confusion,,Group 1 Fail,FALSE,Bangladesh,Sohel Rana,Sohel Rana,Bangladesh vs Maldives,17-10-2023,,,single
45,45,609,"Euros 2016, Qualifiers",2015,RS,TRUE,Name Confusion,,Group 1 Fail,FALSE,Serbia,Zoran Tosic,Tosic,Albania vs Serbia,08.10.15,8000000,Done,single
