TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Date,Match,Code,Found?,Match ID
Brazil U-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"U-20 World Cup, 2015",20.06.15,Brazil U-20 vs Serbia U-20,BR,FALSE,0
Serbia U-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"U-20 World Cup, 2015",20.06.15,Brazil U-20 vs Serbia U-20,RS,FALSE,0
Senegal U-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"U-20 World Cup, 2015",20.06.15,Senegal U-20 vs Mali U-20,SN,FALSE,1
Mali U-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"U-20 World Cup, 2015",20.06.15,Senegal U-20 vs Mali U-20,ML,FALSE,1
Brazil U-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"U-20 World Cup, 2015",17.06.15,Brazil U-20 vs Senegal U-20,BR,FALSE,2
Senegal U-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"U-20 World Cup, 2015",17.06.15,Brazil U-20 vs Senegal U-20,SN,FALSE,2
Serbia U-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"U-20 World Cup, 2015",17.06.15,Serbia U-20 vs Mali U-20,RS,FALSE,3
Mali U-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"U-20 World Cup, 2015",17.06.15,Serbia U-20 vs Mali U-20,ML,FALSE,3
Brazil U-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"U-20 World Cup, 2015",14.06.15,Brazil U-20 vs Portugal U-20,BR,FALSE,4
Portugal U-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"U-20 World Cup, 2015",14.06.15,Brazil U-20 vs Portugal U-20,PT,FALSE,4
Mali U-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"U-20 World Cup, 2015",14.06.15,Mali U-20 vs Germany U-20,ML,FALSE,5
Germany U-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"U-20 World Cup, 2015",14.06.15,Mali U-20 vs Germany U-20,DE,FALSE,5
Uzbekistan U-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"U-20 World Cup, 2015",14.06.15,Uzbekistan U-20 vs Senegal U-20,UZ,FALSE,6
Senegal U-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"U-20 World Cup, 2015",14.06.15,Uzbekistan U-20 vs Senegal U-20,SN,FALSE,6
United States U-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"U-20 World Cup, 2015",14.06.15,United States U-20 vs Serbia U-20,US,FALSE,7
