,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
0,1066,1066,3181,"World Cup Qualifiers, Europe, 2018",Turkey vs Iceland,06-10-2017,Turkey,TR,2017,FAIL,"['Arda Turan', 'Atila Turan']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 10 A. Turan",False,"['Arda Turan', 'Atila Turan']",A Turan,multiple
1,1313,213,2688,"World Cup Qualifiers, Asia, 2022",Afghanistan vs Qatar,19-11-2019,Qatar,QA,2019,FAIL,"['Khaled Abdulraaouf', 'Meshaal Abdullah', 'Abdulrahman Anad']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Khaled Abdulraaouf', 'Meshaal Abdullah', 'Abdulrahman Anad']",False,"['Khaled Abdulraaouf', 'Meshaal Abdullah', 'Abdulrahman Anad']",Fahad Al Abdulrahman,multiple
2,1327,227,2689,"World Cup Qualifiers, Asia, 2022",Oman vs India,19-11-2019,Oman,OM,2019,FAIL,"['Ahmed Al-Khamisi', 'Ahmed Al-Kaabi', 'Khalid Al-Hajri']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 12 Ahmad Almahaijri",False,"['Ahmed Al-Khamisi', 'Ahmed Al-Kaabi', 'Khalid Al-Hajri']",Ahmad Almahaijri,multiple
3,1538,438,2698,"World Cup Qualifiers, Asia, 2022",Oman vs Vietnam,12-10-2021,Vietnam,VN,2021,FAIL,"['Nguyen Sa Pham', 'Duy Cuong Luong']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Nguyen Sa Pham', 'Duy Cuong Luong']",False,"['Nguyen Sa Pham', 'Duy Cuong Luong']",Nguyn Công Phng,multiple
4,1615,515,2702,"World Cup Qualifiers, Asia, 2022",Vietnam vs United Arab Emirates,14-11-2019,Vietnam,VN,2019,FAIL,"['Tuyen Quang Vu', 'Ngoc Quang Chau', 'Nguyen Manh Tran']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Tuyen Quang Vu', 'Ngoc Quang Chau', 'Nguyen Manh Tran']",False,"['Tuyen Quang Vu', 'Ngoc Quang Chau', 'Nguyen Manh Tran']",Nguyn Quang Hi,multiple
5,1659,559,2704,"World Cup Qualifiers, Asia, 2022",Vietnam vs Thailand,19-11-2019,Vietnam,VN,2019,FAIL,"['Tuyen Quang Vu', 'Ngoc Quang Chau', 'Nguyen Manh Tran']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Tuyen Quang Vu', 'Ngoc Quang Chau', 'Nguyen Manh Tran']",False,"['Tuyen Quang Vu', 'Ngoc Quang Chau', 'Nguyen Manh Tran']",Nguyn Quang Hi,multiple
6,1748,648,2709,"World Cup Qualifiers, Asia, 2026",Myanmar vs North Korea,21-11-2023,Myanmar,MM,2023,FAIL,"['Sithu Aung', 'Than Htet Aung', 'Thiha Htet Aung']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Sithu Aung', 'Than Htet Aung', 'Thiha Htet Aung']",False,"['Sithu Aung', 'Than Htet Aung', 'Thiha Htet Aung']",Thu Aung,multiple
7,1834,734,2713,"World Cup Qualifiers, Asia, 2026",Cambodia vs Pakistan,12-10-2023,Cambodia,KH,2023,FAIL,"['Sokheang Chea', 'Meng Chheng', 'Pok Chanthan']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Sokheang Chea', 'Meng Chheng', 'Pok Chanthan']",False,"['Sokheang Chea', 'Meng Chheng', 'Pok Chanthan']",Sieng Chanthea,multiple
8,1849,749,2714,"World Cup Qualifiers, Asia, 2026",Turkmenistan vs Uzbekistan,16-11-2023,Turkmenistan,TM,2023,FAIL,"['Merdan Gurbanov', 'Amir Gurbani']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Merdan Gurbanov', 'Amir Gurbani']",False,"['Merdan Gurbanov', 'Amir Gurbani']",Y Gurbanow,multiple
9,1904,804,2716,"World Cup Qualifiers, Asia, 2026",Philippines vs Vietnam,16-11-2023,Vietnam,VN,2023,FAIL,"['Nguyen Manh Tran', 'Tien Thanh Dinh', 'Xuan Thanh Nguyen']",0.0,True,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Nguyen Manh Tran', 'Tien Thanh Dinh', 'Xuan Thanh Nguyen']",False,"['Nguyen Manh Tran', 'Tien Thanh Dinh', 'Xuan Thanh Nguyen']",Nguyn Thanh Bình,multiple
