,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Match(es) Found,Status
0,2700,217,World Cup 2014,18.06.14,Russia vs South Korea,2014,Korea Republic,KR,12. Ли Ён,Li Yeon,['Lee Yong'],Success
1,2701,217,World Cup 2014,18.06.14,Russia vs South Korea,2014,Korea Republic,KR,13. Ку Джа Чхоль,Ku Ja Chol,['Ja-cheol Koo'],Success
2,2702,217,World Cup 2014,18.06.14,Russia vs South Korea,2014,Korea Republic,KR,14. Хан Гук Ен,Hang Guk Yeon,['Kook-young Han'],Success
3,2703,217,World Cup 2014,18.06.14,Russia vs South Korea,2014,Korea Republic,KR,16. Ки Сон Ен,Ki Sung Yeon,['Sung-yueng Ki'],Success
4,2704,217,World Cup 2014,18.06.14,Russia vs South Korea,2014,Korea Republic,KR,17. Ли Чхон Ён,Lee Cheonyoung,['Chung-yong Lee'],Success
5,2705,217,World Cup 2014,18.06.14,Russia vs South Korea,2014,Korea Republic,KR,20. Хон Джон Хо,Hong Jong Ho,['Jeong-ho Hong'],Success
6,2706,218,World Cup 2014,22.06.14,Belgium vs Russia,2014,Belgium,BE,15. ван Буйтен,van Buyten,['Daniel Van Buyten'],Success
7,2707,219,World Cup 2014,22.06.14,South Korea vs Algeria,2014,Korea Republic,KR,1. Чон Сон Рён,Jeon Son Ryeon,['Sung-ryong Jung'],Success
8,2708,219,World Cup 2014,22.06.14,South Korea vs Algeria,2014,Korea Republic,KR,14. Хан Гуг Ён,Han Gugyoung,['Kook-young Han'],Success
9,2709,219,World Cup 2014,22.06.14,South Korea vs Algeria,2014,Korea Republic,KR,10. Пак Чу Ён,Pak Chu Yon,['Chu-young Park'],Success
10,2710,219,World Cup 2014,22.06.14,South Korea vs Algeria,2014,Algeria,DZ,2. Бугерра,Boogerra,"['Madjid Bougherra', 'Aimen Bouguerra']",Success
11,2711,219,World Cup 2014,22.06.14,South Korea vs Algeria,2014,Algeria,DZ,6. Месба,Mesbah,['Djamel Mesbah'],Success
12,2712,219,World Cup 2014,22.06.14,South Korea vs Algeria,2014,Algeria,DZ,18. Джабу,Jabu,['Jaouen Hadjam'],Success
13,2713,220,World Cup 2014,26.06.14,South Korea vs Belgium,2014,Korea Republic,KR,14. Хан Гуг Ён,Han Gugyoung,['Kook-young Han'],Success
14,2714,220,World Cup 2014,26.06.14,South Korea vs Belgium,2014,Belgium,BE,15. ван Буйтен,van Buyten,['Van Buyten'],Success
15,2715,221,World Cup 2014,26.06.14,Algeria vs Russia,2014,Algeria,DZ,6. Месба,Mesbah,['Djamel Mesbah'],Success
16,2716,221,World Cup 2014,26.06.14,Algeria vs Russia,2014,Algeria,DZ,18. Джабу,Jabu,['Jaouen Hadjam'],Success
17,2717,228,World Cup 2018,06.07.18,Brazil vs Belgium,2018,Brazil,BR,22. Фагнер,Fagner,['Fagner'],Success
18,2718,231,World Cup 2018,30.06.18,France vs Argentina,2018,Argentina,AR,15. Перес Эн.,Peres En,['Enzo Pérez'],Success
19,2719,235,World Cup 2018,02.07.18,Brazil vs Mexico,2018,Brazil,BR,22. Фагнер,Fagner,['Fagner'],Success
20,2720,239,World Cup 2018,14.06.18,Russia vs Saudi Arabia,2018,Saudi Arabia,SA,3. Хавсави У.,U Hawsavi,['Osama Hawsawi'],Success
21,2721,240,World Cup 2018,15.06.18,Egypt vs Uruguay,2018,Egypt,EG,2. Габр,Gabr,['Ali Gabr'],Success
22,2722,240,World Cup 2018,15.06.18,Egypt vs Uruguay,2018,Egypt,EG,7. Фатхи А.,A Fathi,['Ahmed Fathi'],Success
23,2723,240,World Cup 2018,15.06.18,Egypt vs Uruguay,2018,Egypt,EG,8. Хамед Т.,T Hamed,['Tarek Hamed'],Success
