,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Match(es) Found,Status
0,1800,1527,Nations League 2018-2020,09.09.18,Liechtenstein vs Gibraltar,2018,Liechtenstein,LI,16. Зеле М.,M Zele,['Mathias Sele'],Success
1,1801,1527,Nations League 2018-2020,09.09.18,Liechtenstein vs Gibraltar,2018,Gibraltar,GI,8. Бардон,Bardon,['Anthony Bardon'],Success
2,1802,1528,Nations League 2018-2020,13.10.18,Armenia vs Gibraltar,2018,Gibraltar,GI,8. Бардон,Bardon,['Anthony Bardon'],Success
3,1803,1529,Nations League 2018-2020,13.10.18,North Macedonia vs Liechtenstein,2018,Liechtenstein,LI,22. Рекштайнер,Reksteiner,['Martin Rechsteiner'],Success
4,1804,1529,Nations League 2018-2020,13.10.18,North Macedonia vs Liechtenstein,2018,Liechtenstein,LI,23. Польверино,Polverino,['Michele Polverino'],Success
5,1805,1530,Nations League 2018-2020,16.10.18,Armenia vs North Macedonia,2018,Armenia,AM,17. Дагбашян,Dagbashyan,['Gagik Daghbashyan'],Success
6,1806,1530,Nations League 2018-2020,16.10.18,Armenia vs North Macedonia,2018,Armenia,AM,2. Хачатуров,Khachaturov,['Artyom Khachaturov'],Success
7,1807,1531,Nations League 2018-2020,16.10.18,Gibraltar vs Liechtenstein,2018,Gibraltar,GI,8. Бардон,Bardon,['Anthony Bardon'],Success
8,1808,1531,Nations League 2018-2020,16.10.18,Gibraltar vs Liechtenstein,2018,Gibraltar,GI,19. Кабрера Дж.,J Cabrera,0,Fail
9,1809,1531,Nations League 2018-2020,16.10.18,Gibraltar vs Liechtenstein,2018,Liechtenstein,LI,23. Польверино,Polverino,['Michele Polverino'],Success
10,1810,1532,Nations League 2018-2020,16.11.18,Liechtenstein vs North Macedonia,2018,Liechtenstein,LI,5. Кинтанс,Quintans,['Ivan Quintans'],Success
11,1811,1532,Nations League 2018-2020,16.11.18,Liechtenstein vs North Macedonia,2018,Liechtenstein,LI,22. Рекштайнер,Reksteiner,['Martin Rechsteiner'],Success
12,1812,1532,Nations League 2018-2020,16.11.18,Liechtenstein vs North Macedonia,2018,Liechtenstein,LI,23. Польверино,Polverino,['Michele Polverino'],Success
13,1813,1533,Nations League 2018-2020,16.11.18,Gibraltar vs Armenia,2018,Gibraltar,GI,8. Бардон,Bardon,['Anthony Bardon'],Success
14,1814,1533,Nations League 2018-2020,16.11.18,Gibraltar vs Armenia,2018,Armenia,AM,15. Дагбашян,Dagbashyan,['Gagik Daghbashyan'],Success
15,1815,1534,Nations League 2018-2020,19.11.18,Liechtenstein vs Armenia,2018,Liechtenstein,LI,5. Кинтанс,Quintans,['Ivan Quintans'],Success
16,1816,1534,Nations League 2018-2020,19.11.18,Liechtenstein vs Armenia,2018,Liechtenstein,LI,22. Рекштайнер,Reksteiner,['Martin Rechsteiner'],Success
17,1817,1534,Nations League 2018-2020,19.11.18,Liechtenstein vs Armenia,2018,Liechtenstein,LI,23. Польверино,Polverino,['Michele Polverino'],Success
18,1818,1534,Nations League 2018-2020,19.11.18,Liechtenstein vs Armenia,2018,Armenia,AM,17. Дагбашян,Dagbashyan,['Gagik Daghbashyan'],Success
19,1819,1534,Nations League 2018-2020,19.11.18,Liechtenstein vs Armenia,2018,Armenia,AM,2. Хачатуров,Khachaturov,['Artyom Khachaturov'],Success
20,1820,1535,Nations League 2018-2020,19.11.18,North Macedonia vs Gibraltar,2018,Gibraltar,GI,13. Кафер,Cafer,['Matt Cafer'],Success
21,1821,1535,Nations League 2018-2020,19.11.18,North Macedonia vs Gibraltar,2018,Gibraltar,GI,8. Бардон,Bardon,['Anthony Bardon'],Success
22,1822,1550,Nations League 2020-2021,15.11.20,Italy vs Poland,2020,Italy,IT,10. Инсинье,Insigne,['Lorenzo Insigne'],Success
23,1823,1550,Nations League 2020-2021,15.11.20,Italy vs Poland,2020,Italy,IT,20. Бернандески,Bernandeschi,['Federico Bernardeschi'],Success
24,1824,3906,"World Cup 2014, Qualifiers, CONCACAF",12-Jun-12,Guatemala vs USA,2012,Guatemala,GT,Ruíz,Ruíz,"['Lester Ruiz', 'Andy Ruiz', 'Kevin Ruiz', 'Diego Ruiz', 'Luis Fernando Ruiz', 'Carlos Ruiz', 'Léster Ruiz']",Success
25,1825,3929,"World Cup 2014, Qualifiers, CONCACAF",16-Oct-12,USA vs Guatemala,2012,Guatemala,GT,Ruíz,Ruíz,"['Lester Ruiz', 'Andy Ruiz', 'Kevin Ruiz', 'Diego Ruiz', 'Luis Fernando Ruiz', 'Carlos Ruiz', 'Léster Ruiz']",Success
26,1826,806,"Euros 2020, Qualifiers",11.10.19,Andorra vs Moldova,2019,Moldova,MD,8. Михайлов М-м,Mikhailovmmm,0,Fail
27,1827,808,"Euros 2020, Qualifiers",14.10.19,Iceland vs Andorra,2019,Andorra,AD,22. Родригес В.,V Rodriguez,['Víctor Rodríguez'],Success
28,1828,809,"Euros 2020, Qualifiers",14.10.19,Moldova vs Albania,2019,Moldova,MD,18. Антон Г.,G Anton,['Gheorghe Anton'],Success
29,1829,809,"Euros 2020, Qualifiers",14.10.19,Moldova vs Albania,2019,Moldova,MD,20. Сидоренко,Sydorenko,['Eugen Sidorenco'],Success
30,1830,820,"Euros 2020, Qualifiers",24.03.19,San Marino vs Scotland,2019,Scotland,SC,7. Рассел,Russell,"['Russell Martin', 'Johnny Russell']",Success
31,1831,821,"Euros 2020, Qualifiers",24.03.19,Cyprus vs Belgium,2019,Cyprus,CY,4. Меркис,Merkis,['Georgios Merkis'],Success
32,1832,821,"Euros 2020, Qualifiers",24.03.19,Cyprus vs Belgium,2019,Cyprus,CY,17. Маргаса,Margasa,['Renato Margaça'],Success
33,1833,822,"Euros 2020, Qualifiers",08.06.19,Russia vs San Marino,2019,San Marino,SM,6. Витайоли Ф.,F Vitaioli,0,Fail
34,1834,824,"Euros 2020, Qualifiers",08.06.19,Scotland vs Cyprus,2019,Cyprus,CY,17. Маргаса,Margasa,['Renato Margaça'],Success
35,1835,824,"Euros 2020, Qualifiers",08.06.19,Scotland vs Cyprus,2019,Cyprus,CY,poljarić,poljarić,['Danilo Spoljaric'],Success
36,1836,825,"Euros 2020, Qualifiers",11.06.19,Kazakhstan vs San Marino,2019,San Marino,SM,6. Витайоли Ф.,F Vitaioli,0,Fail
37,1837,826,"Euros 2020, Qualifiers",11.06.19,Belgium vs Scotland,2019,Scotland,SC,17. Рассел,Russell,"['Russell Martin', 'Johnny Russell']",Success
38,1838,827,"Euros 2020, Qualifiers",11.06.19,Russia vs Cyprus,2019,Cyprus,CY,17. Маргаса,Margasa,['Renato Margaça'],Success
39,1839,828,"Euros 2020, Qualifiers",06.09.19,Cyprus vs Kazakhstan,2019,Cyprus,CY,4. Меркис,Merkis,['Georgios Merkis'],Success
40,1840,833,"Euros 2020, Qualifiers",09.09.19,San Marino vs Cyprus,2019,San Marino,SM,2. Витайоли Ф.,F Vitaioli,0,Fail
41,1841,833,"Euros 2020, Qualifiers",09.09.19,San Marino vs Cyprus,2019,Cyprus,CY,poljarić,poljarić,['Danilo Spoljaric'],Success
42,1842,834,"Euros 2020, Qualifiers",10.10.19,Kazakhstan vs Cyprus,2019,Cyprus,CY,4. Меркис,Merkis,['Georgios Merkis'],Success
43,1843,839,"Euros 2020, Qualifiers",13.10.19,Cyprus vs Russia,2019,Cyprus,CY,4. Меркис,Merkis,['Georgios Merkis'],Success
44,1844,839,"Euros 2020, Qualifiers",13.10.19,Cyprus vs Russia,2019,Cyprus,CY,poljarić,poljarić,['Danilo Spoljaric'],Success
45,1845,840,"Euros 2020, Qualifiers",16.11.19,Cyprus vs Scotland,2019,Cyprus,CY,4. Меркис,Merkis,['Georgios Merkis'],Success
46,1846,843,"Euros 2020, Qualifiers",19.11.19,Belgium vs Cyprus,2019,Cyprus,CY,4. Меркис,Merkis,['Georgios Merkis'],Success
47,1847,843,"Euros 2020, Qualifiers",19.11.19,Belgium vs Cyprus,2019,Cyprus,CY,poljarić,poljarić,['Danilo Spoljaric'],Success
48,1848,845,"Euros 2020, Qualifiers",19.11.19,San Marino vs Russia,2019,San Marino,SM,2. Витайоли Ф.,F Vitaioli,0,Fail
49,1849,847,"Euros 2020, Qualifiers",23.03.19,Bosnia-Herzegovina vs Armenia,2019,Armenia,AM,15. Дагбашян,Dagbashyan,['Gagik Daghbashyan'],Success
50,1850,848,"Euros 2020, Qualifiers",23.03.19,Liechtenstein vs Greece,2019,Liechtenstein,LI,22. Рекштайнер,Reksteiner,['Martin Rechsteiner'],Success
51,1851,848,"Euros 2020, Qualifiers",23.03.19,Liechtenstein vs Greece,2019,Liechtenstein,LI,23. Польверино,Polverino,['Michele Polverino'],Success
52,1852,849,"Euros 2020, Qualifiers",26.03.19,Armenia vs Finland,2019,Armenia,AM,15. Дагбашян,Dagbashyan,['Gagik Daghbashyan'],Success
53,1853,850,"Euros 2020, Qualifiers",26.03.19,Italy vs Liechtenstein,2019,Liechtenstein,LI,23. Польверино,Polverino,['Michele Polverino'],Success
54,1854,852,"Euros 2020, Qualifiers",08.06.19,Finland vs Bosnia-Herzegovina,2019,Bosnia,BA,Sarić,Sarić,"['Dario Saric', 'Elvis Saric']",Success
55,1855,853,"Euros 2020, Qualifiers",08.06.19,Armenia vs Liechtenstein,2019,Liechtenstein,LI,23. Польверино,Polverino,['Michele Polverino'],Success
56,1856,855,"Euros 2020, Qualifiers",11.06.19,Italy vs Bosnia-Herzegovina,2019,Bosnia,BA,Sarić,Sarić,"['Dario Saric', 'Elvis Saric']",Success
57,1857,356,"Euros 2016, Qualifiers",10.10.14,Latvia vs Iceland,2014,Latvia,LV,12. Колинько,Kolinko,['Aleksandrs Kolinko'],Success
58,1858,356,"Euros 2016, Qualifiers",10.10.14,Latvia vs Iceland,2014,Latvia,LV,2. Мороз,Moroz,['Viktors Morozs'],Success
59,1859,356,"Euros 2016, Qualifiers",10.10.14,Latvia vs Iceland,2014,Latvia,LV,3. Булвитис,Bulvitis,['Nauris Bulvitis'],Success
60,1860,356,"Euros 2016, Qualifiers",10.10.14,Latvia vs Iceland,2014,Latvia,LV,4. Дубра,Dubra,['Kaspars Dubra'],Success
61,1861,356,"Euros 2016, Qualifiers",10.10.14,Latvia vs Iceland,2014,Latvia,LV,13. Горкшс,Gorkshs,['Kaspars Gorkss'],Success
62,1862,356,"Euros 2016, Qualifiers",10.10.14,Latvia vs Iceland,2014,Latvia,LV,6. Габов,Gabov,['Vladislavs Gabovs'],Success
63,1863,356,"Euros 2016, Qualifiers",10.10.14,Latvia vs Iceland,2014,Latvia,LV,7. Ковалев,Kovalev,['Andrejs Kovalovs'],Success
64,1864,356,"Euros 2016, Qualifiers",10.10.14,Latvia vs Iceland,2014,Latvia,LV,18. Фертовс,Fertovs,['Aleksandrs Fertovs'],Success
65,1865,356,"Euros 2016, Qualifiers",10.10.14,Latvia vs Iceland,2014,Latvia,LV,10. Шабала,Valerijs Sabala,['Valerijs Sabala'],Success
66,1866,356,"Euros 2016, Qualifiers",10.10.14,Latvia vs Iceland,2014,Iceland,IS,1. Хадльдорссон,Haldorsson,"['Hannes Thór Halldórsson', 'Hilmar Árni Halldórsson']",Success
67,1867,356,"Euros 2016, Qualifiers",10.10.14,Latvia vs Iceland,2014,Iceland,IS,23. А.Скуласон,A S Kulason,['Ari Freyr Skúlason'],Success
68,1868,356,"Euros 2016, Qualifiers",10.10.14,Latvia vs Iceland,2014,Iceland,IS,17. Гуннарссон,Gunnarsson,"['Aron Gunnarsson', 'Patrik Gunnarsson', 'Hördur Ingi Gunnarsson']",Success
69,1869,356,"Euros 2016, Qualifiers",10.10.14,Latvia vs Iceland,2014,Iceland,IS,18. Э.Бьярнасон,A Bjarnason,['Aron Bjarnason'],Success
70,1870,356,"Euros 2016, Qualifiers",10.10.14,Latvia vs Iceland,2014,Iceland,IS,20. Хадльфредссон,Hallfredsson,['Emil Hallfredsson'],Success
71,1871,357,"Euros 2016, Qualifiers",10.10.14,Netherlands vs Kazakhstan,2014,Netherlands,NL,2. Ван дер Виль,Vander Wiel,0,Fail
72,1872,357,"Euros 2016, Qualifiers",10.10.14,Netherlands vs Kazakhstan,2014,Kazakhstan,KZ,1. Мокин,Mokin,['Aleksandr Mokin'],Success
73,1873,357,"Euros 2016, Qualifiers",10.10.14,Netherlands vs Kazakhstan,2014,Kazakhstan,KZ,4. Воротников,Vorotnikov,['Ilya Vorotnikov'],Success
74,1874,357,"Euros 2016, Qualifiers",10.10.14,Netherlands vs Kazakhstan,2014,Kazakhstan,KZ,5. Абдулин,Abdulin,['Renat Abdulin'],Success
75,1875,357,"Euros 2016, Qualifiers",10.10.14,Netherlands vs Kazakhstan,2014,Kazakhstan,KZ,8. Дмитренко,Viktor Dmitrenko,['Viktor Dmitrenko'],Success
76,1876,357,"Euros 2016, Qualifiers",10.10.14,Netherlands vs Kazakhstan,2014,Kazakhstan,KZ,15. Мирошниченко,Miroshnichenko,['Dmitriy Miroshnichenko'],Success
77,1877,357,"Euros 2016, Qualifiers",10.10.14,Netherlands vs Kazakhstan,2014,Kazakhstan,KZ,6. Карпович,Andrey Karpovich,['Andrey Karpovich'],Success
78,1878,357,"Euros 2016, Qualifiers",10.10.14,Netherlands vs Kazakhstan,2014,Kazakhstan,KZ,11. Джолчиев,Dzholchiev,['Bauyrzhan Dzholchiev'],Success
79,1879,357,"Euros 2016, Qualifiers",10.10.14,Netherlands vs Kazakhstan,2014,Kazakhstan,KZ,16. Суюмбаев,Suyumbaev,['Gafurzhan Suyumbaev'],Success
80,1880,357,"Euros 2016, Qualifiers",10.10.14,Netherlands vs Kazakhstan,2014,Kazakhstan,KZ,18. Шомко,Shomko,['Dmitriy Shomko'],Success
81,1881,357,"Euros 2016, Qualifiers",10.10.14,Netherlands vs Kazakhstan,2014,Kazakhstan,KZ,19. Богданов,Bogdanov,['Anatoliy Bogdanov'],Success
82,1882,357,"Euros 2016, Qualifiers",10.10.14,Netherlands vs Kazakhstan,2014,Kazakhstan,KZ,20. Хижниченко,Khizhnichenko,['Sergey Khizhnichenko'],Success
83,1883,358,"Euros 2016, Qualifiers",10.10.14,Turkey vs Czech,2014,Turkey,TR,1. Зенгин,Zengin,['Tolga Zengin'],Success
84,1884,358,"Euros 2016, Qualifiers",10.10.14,Turkey vs Czech,2014,Turkey,TR,2. Кайя,Semih Kaya,['Semih Kaya'],Success
85,1885,358,"Euros 2016, Qualifiers",10.10.14,Turkey vs Czech,2014,Turkey,TR,7. Генюл,Genyul,['Gökhan Gönül'],Success
86,1886,358,"Euros 2016, Qualifiers",10.10.14,Turkey vs Czech,2014,Turkey,TR,8. Сельчук Инан,Selcuk Inan,['Selçuk İnan'],Success
87,1887,358,"Euros 2016, Qualifiers",10.10.14,Turkey vs Czech,2014,Turkey,TR,16. Туфан,Tufan,['Ozan Tufan'],Success
88,1888,358,"Euros 2016, Qualifiers",10.10.14,Turkey vs Czech,2014,Turkey,TR,10. Арда Туран,Arda Turan,['Arda Turan'],Success
89,1889,358,"Euros 2016, Qualifiers",10.10.14,Turkey vs Czech,2014,Turkey,TR,11. Тере,Tere,['Gökhan Töre'],Success
90,1890,358,"Euros 2016, Qualifiers",10.10.14,Turkey vs Czech,2014,Turkey,TR,15. Топал,Topal,['Mehmet Topal'],Success
91,1891,358,"Euros 2016, Qualifiers",10.10.14,Turkey vs Czech,2014,Turkey,TR,18. Эркин,Caner Erkin,['Caner Erkin'],Success
92,1892,358,"Euros 2016, Qualifiers",10.10.14,Turkey vs Czech,2014,Turkey,TR,9. Булут,Bulut,"['Umut Bulut', 'Onur Bulut']",Success
93,1893,358,"Euros 2016, Qualifiers",10.10.14,Turkey vs Czech,2014,Czech,CZ,2. Кадержабек,Kaderzhabek,['Pavel Kaderabek'],Success
94,1894,359,"Euros 2016, Qualifiers",13.10.14,Kazakhstan vs Czech,2014,Kazakhstan,KZ,22. Сидельников,Sidelnikov,['Andrey Sidelnikov'],Success
95,1895,359,"Euros 2016, Qualifiers",13.10.14,Kazakhstan vs Czech,2014,Kazakhstan,KZ,4. Воротников,Vorotnikov,['Ilya Vorotnikov'],Success
96,1896,359,"Euros 2016, Qualifiers",13.10.14,Kazakhstan vs Czech,2014,Kazakhstan,KZ,5. Абдулин,Abdulin,['Renat Abdulin'],Success
97,1897,359,"Euros 2016, Qualifiers",13.10.14,Kazakhstan vs Czech,2014,Kazakhstan,KZ,15. Мирошниченко,Miroshnichenko,['Dmitriy Miroshnichenko'],Success
98,1898,359,"Euros 2016, Qualifiers",13.10.14,Kazakhstan vs Czech,2014,Kazakhstan,KZ,23. Логвиненко,F ,0,Fail
99,1899,359,"Euros 2016, Qualifiers",13.10.14,Kazakhstan vs Czech,2014,Kazakhstan,KZ,6. Карпович,Andrey Karpovich,['Andrey Karpovich'],Success
