,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
2722,522,4222,"World Cup 2014, Qualifiers, CONMEBOL",Uruguay vs Peru,10-Jun-12,Peru,PE,2012,FAIL,0,0.0,True,not done yet,False,0,Gonzáles,none
3661,361,4011,"World Cup 2018, Qualifiers, CONCACAF",Guatemala vs Trinidad and Tobago,13-Nov-15,Guatemala,GT,2015,FAIL,0,0.0,True,not done yet,False,0,Ruíz,none
3804,504,4017,"World Cup 2018, Qualifiers, CONCACAF",Saint Vincent and the Grenadines vs Guatemala,17-Nov-15,Guatemala,GT,2015,FAIL,0,0.0,True,not done yet,False,0,Ruíz,none
3991,691,4027,"World Cup 2018, Qualifiers, CONCACAF",Guatemala vs USA,25-Mar-16,Guatemala,GT,2016,FAIL,0,0.0,True,not done yet,False,0,Ruíz,none
4222,922,4037,"World Cup 2018, Qualifiers, CONCACAF",Trinidad and Tobago vs Guatemala,02-Sep-16,Guatemala,GT,2016,FAIL,0,0.0,True,not done yet,False,0,Ruíz,none
4277,977,4040,"World Cup 2018, Qualifiers, CONCACAF",Guatemala vs Saint Vincent and the Grenadines,06-Sep-16,Guatemala,GT,2016,FAIL,0,0.0,True,not done yet,False,0,Ruíz,none
6973,307,1681,Nations League 2020-2021,Belarus vs Lithuania,15.11.20,Lithuania,LT,2020,FAIL,0,0.0,True,not done yet,False,0,13. Уткус,cyrillic
10549,583,1237,Copa America 2015,Brazil vs Venezuela,22.06.15,Venezuela,VE,2015,FAIL,0,0.0,True,not done yet,False,0,1. Бароха,cyrillic
10551,585,1237,Copa America 2015,Brazil vs Venezuela,22.06.15,Venezuela,VE,2015,FAIL,0,0.0,True,not done yet,False,0,3. Туньес,cyrillic
10552,586,1237,Copa America 2015,Brazil vs Venezuela,22.06.15,Venezuela,VE,2015,FAIL,0,0.0,True,not done yet,False,0,4. Визкаррондо,cyrillic
10553,587,1237,Copa America 2015,Brazil vs Venezuela,22.06.15,Venezuela,VE,2015,FAIL,0,0.0,True,not done yet,False,0,6. Сикеро,cyrillic
10554,588,1237,Copa America 2015,Brazil vs Venezuela,22.06.15,Venezuela,VE,2015,FAIL,0,0.0,True,not done yet,False,0,8. Ринкон Т.,cyrillic
10555,589,1237,Copa America 2015,Brazil vs Venezuela,22.06.15,Venezuela,VE,2015,FAIL,0,0.0,True,not done yet,False,0,10. Варгас,cyrillic
10556,590,1237,Copa America 2015,Brazil vs Venezuela,22.06.15,Venezuela,VE,2015,FAIL,0,0.0,True,not done yet,False,0,13. Сейхас,cyrillic
10557,591,1237,Copa America 2015,Brazil vs Venezuela,22.06.15,Venezuela,VE,2015,FAIL,0,0.0,True,not done yet,False,0,15. Гуэрра,cyrillic
10558,592,1237,Copa America 2015,Brazil vs Venezuela,22.06.15,Venezuela,VE,2015,FAIL,0,0.0,True,not done yet,False,0,16. Росалес,cyrillic
10559,593,1237,Copa America 2015,Brazil vs Venezuela,22.06.15,Venezuela,VE,2015,FAIL,0,0.0,True,not done yet,False,0,18. Аранго,cyrillic
10705,739,1245,Copa America 2016,Argentina vs Venezuela,19.06.16,Venezuela,VE,2016,FAIL,0,0.0,True,not done yet,False,0,4. Вискаррондо,cyrillic
10710,744,1245,Copa America 2016,Argentina vs Venezuela,19.06.16,Venezuela,VE,2016,FAIL,0,0.0,True,not done yet,False,0,13. Сейяс,cyrillic
11013,1047,1259,Copa America 2016,Jamaica vs Venezuela,06.06.16,Venezuela,VE,2016,FAIL,0,0.0,True,not done yet,False,0,4. Вискаррондо,cyrillic
11018,1052,1259,Copa America 2016,Jamaica vs Venezuela,06.06.16,Venezuela,VE,2016,FAIL,0,0.0,True,not done yet,False,0,13. Сейяс,cyrillic
11057,1091,1261,Copa America 2016,Uruguay vs Venezuela,10.06.16,Venezuela,VE,2016,FAIL,0,0.0,True,not done yet,False,0,4. Вискаррондо,cyrillic
11092,26,757,"Euros 2020, Qualifiers",Israel vs Slovenia,21.03.19,Israel,IL,2019,FAIL,0,0.0,True,not done yet,False,0,20. Бен-Харуш,cyrillic
11100,34,757,"Euros 2020, Qualifiers",Israel vs Slovenia,21.03.19,Slovenia,SI,2019,FAIL,0,0.0,True,not done yet,False,0,5. Струна Ал.,cyrillic
11125,59,758,"Euros 2020, Qualifiers",North Macedonia vs Latvia,21.03.19,Latvia,LV,2019,FAIL,0,0.0,True,not done yet,False,0,6. Габов,cyrillic
11129,63,758,"Euros 2020, Qualifiers",North Macedonia vs Latvia,21.03.19,Latvia,LV,2019,FAIL,0,0.0,True,not done yet,False,0,10. Шабала,cyrillic
11135,69,759,"Euros 2020, Qualifiers",Israel vs Austria,24.03.19,Israel,IL,2019,FAIL,0,0.0,True,not done yet,False,0,20. Бен-Харуш,cyrillic
11177,111,761,"Euros 2020, Qualifiers",Slovenia vs North Macedonia,24.03.19,Slovenia,SI,2019,FAIL,0,0.0,True,not done yet,False,0,5. Струна Ал.,cyrillic
11210,144,762,"Euros 2020, Qualifiers",Austria vs Slovenia,07.06.19,Slovenia,SI,2019,FAIL,0,0.0,True,not done yet,False,0,5. Струна Ал.,cyrillic
11214,148,762,"Euros 2020, Qualifiers",Austria vs Slovenia,07.06.19,Slovenia,SI,2019,FAIL,0,0.0,True,not done yet,False,0,15. Чернигой,cyrillic
11256,190,764,"Euros 2020, Qualifiers",Latvia vs Israel,07.06.19,Israel,IL,2019,FAIL,0,0.0,True,not done yet,False,0,20. Бен-Харуш,cyrillic
11278,212,765,"Euros 2020, Qualifiers",Poland vs Israel,10.06.19,Israel,IL,2019,FAIL,0,0.0,True,not done yet,False,0,20. Бен-Харуш,cyrillic
11320,254,767,"Euros 2020, Qualifiers",Latvia vs Slovenia,10.06.19,Slovenia,SI,2019,FAIL,0,0.0,True,not done yet,False,0,5. Струна Ал.,cyrillic
11324,258,767,"Euros 2020, Qualifiers",Latvia vs Slovenia,10.06.19,Slovenia,SI,2019,FAIL,0,0.0,True,not done yet,False,0,15. Чернигой,cyrillic
11334,268,768,"Euros 2020, Qualifiers",Israel vs North Macedonia,05.09.19,Israel,IL,2019,FAIL,0,0.0,True,not done yet,False,0,20. Бен-Харуш,cyrillic
11376,310,770,"Euros 2020, Qualifiers",Slovenia vs Poland,06.09.19,Slovenia,SI,2019,FAIL,0,0.0,True,not done yet,False,0,5. Струна Ал.,cyrillic
11399,333,771,"Euros 2020, Qualifiers",Poland vs Austria,09.09.19,Poland,PL,2019,FAIL,0,0.0,True,not done yet,False,0,15. Глик,cyrillic
11419,353,772,"Euros 2020, Qualifiers",Slovenia vs Israel,09.09.19,Slovenia,SI,2019,FAIL,0,0.0,True,not done yet,False,0,5. Струна Ал.,cyrillic
