,Unnamed: 0.1,Unnamed: 0,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Match(es) Found,Status
4,4,4,1204,539,"Euros 2016, Qualifiers",12.10.14,Austria vs Montenegro,2014,Montenegro,ME,7. Вукчевич,Vukcevic,"['Nikola Vukcevic', 'Marko Vukcevic', 'Simon Vukcevic', 'Andrija Vukcevic']",Success
7,7,7,1207,539,"Euros 2016, Qualifiers",12.10.14,Austria vs Montenegro,2014,Montenegro,ME,15. Савич,Savić,"['Stefan Savic', 'Vukan Savicevic']",Success
31,31,31,1231,541,"Euros 2016, Qualifiers",12.10.14,Sweden vs Liechtenstein,2014,Liechtenstein,LI,18. Хаслер,Hasler,"['Nicolas Hasler', 'David Hasler', 'Julien Hasler']",Success
34,34,34,1234,541,"Euros 2016, Qualifiers",12.10.14,Sweden vs Liechtenstein,2014,Liechtenstein,LI,10. Фрик,Frick,"['Mario Frick', 'Yanik Frick', 'Noah Frick']",Success
45,45,45,1245,543,"Euros 2016, Qualifiers",15.11.14,Moldova vs Liechtenstein,2014,Liechtenstein,LI,21. Б.Бюхель,Büchel,"['Benjamin Büchel', 'Martin Büchel', 'Marcel Büchel']",Success
60,60,60,1260,544,"Euros 2016, Qualifiers",15.11.14,Montenegro vs Sweden,2014,Montenegro,ME,15. Савич,Savić,"['Stefan Savic', 'Vukan Savicevic']",Success
74,74,74,1274,552,"Euros 2016, Qualifiers",05.09.15,Austria vs Moldova,2015,Moldova,MD,6. Жардан,Jardin,"['Ion Jardan', 'Vasile Jardan']",Success
77,77,77,1277,552,"Euros 2016, Qualifiers",05.09.15,Austria vs Moldova,2015,Moldova,MD,9. Андрончик,Andronchik,"['Gheorghe Andronic', 'Valeriu Andronic']",Success
82,82,82,1282,553,"Euros 2016, Qualifiers",05.09.15,Montenegro vs Liechtenstein,2015,Montenegro,ME,4. Вукчевич,Vukcevic,"['Nikola Vukcevic', 'Marko Vukcevic', 'Simon Vukcevic', 'Andrija Vukcevic']",Success
88,88,88,1288,553,"Euros 2016, Qualifiers",05.09.15,Montenegro vs Liechtenstein,2015,Montenegro,ME,15. Савич,Savić,"['Stefan Savic', 'Vukan Savicevic']",Success
89,89,89,1289,553,"Euros 2016, Qualifiers",05.09.15,Montenegro vs Liechtenstein,2015,Montenegro,ME,18. Болевич,Bolevich,"['Aleksandar Boljevic', 'Vladimir Boljevic']",Success
95,95,95,1295,553,"Euros 2016, Qualifiers",05.09.15,Montenegro vs Liechtenstein,2015,Liechtenstein,LI,10. Фрик,Frick,"['Mario Frick', 'Yanik Frick', 'Noah Frick']",Success
97,97,97,1297,553,"Euros 2016, Qualifiers",05.09.15,Montenegro vs Liechtenstein,2015,Liechtenstein,LI,13. Бюхель,Büchel,"['Benjamin Büchel', 'Martin Büchel', 'Marcel Büchel']",Success
100,100,0,2300,404,"Euros 2016, Qualifiers",06.09.15,Wales vs Israel,2015,Wales,WA,3. Тейлор,Taylor,"['Neil Taylor', 'Jake Taylor']",Success
