,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
1018,1018,3179,"World Cup Qualifiers, Europe, 2018",Liechtenstein vs Italy,12-11-2016,Liechtenstein,LI,2016,FAIL,"['Martin Büchel', 'Marcel Büchel']",0,True,"FILTERING USING MATCH DATE LEFT MULTIPLE RESULTS: [['Martin Büchel', 'Marcel Büchel']]",False,"['Martin Büchel', 'Marcel Büchel']",M Büchel,multiple
1020,1020,3179,"World Cup Qualifiers, Europe, 2018",Liechtenstein vs Italy,12-11-2016,Liechtenstein,LI,2016,FAIL,"['Martin Büchel', 'Marcel Büchel']",0,True,"FILTERING USING MATCH DATE LEFT MULTIPLE RESULTS: [['Martin Büchel', 'Marcel Büchel']]",False,"['Martin Büchel', 'Marcel Büchel']",M Büchel,multiple
1447,347,2694,"World Cup Qualifiers, Asia, 2022",Kyrgyzstan vs Tajikistan,19-11-2019,Tajikistan,TJ,2019,FAIL,"['Davronzhon Ergashev', 'Dzhakhongir Ergashev', 'Dorobdzhon Ergashev']",0,True,"FILTERING USING MATCH DATE LEFT MULTIPLE RESULTS: [['Davronzhon Ergashev', 'Dzhakhongir Ergashev']]",False,"['Davronzhon Ergashev', 'Dzhakhongir Ergashev', 'Dorobdzhon Ergashev']",D Ergashev,multiple
1484,384,2696,"World Cup Qualifiers, Asia, 2022",Malaysia vs Thailand,14-11-2019,Malaysia,MY,2019,FAIL,"['Syamim Yahya', 'Syahrul Azwari', 'Syawal Nordin', 'Syazwan Zaipol', 'Syazwan Andik', 'Syahmi Safari', 'Syamer Kutty', 'Syazwan Zainon', 'Syafiq Ahmad', 'Syahir Bashah']",0,True,"FILTERING USING MATCH DATE LEFT MULTIPLE RESULTS: [['Syahmi Safari', 'Syamer Kutty', 'Syafiq Ahmad']]",False,"['Syamim Yahya', 'Syahrul Azwari', 'Syawal Nordin', 'Syazwan Zaipol', 'Syazwan Andik', 'Syahmi Safari', 'Syamer Kutty', 'Syazwan Zainon', 'Syafiq Ahmad', 'Syahir Bashah']",Sya,multiple
1689,589,2706,"World Cup Qualifiers, Asia, 2026",Laos vs Nepal,17-10-2023,Nepal,NP,2023,FAIL,"['Anjan Bista', 'Arik Bista']",0,True,"FILTERING USING MATCH DATE LEFT MULTIPLE RESULTS: ['Anjan Bista', 'Arik Bista']",False,"['Anjan Bista', 'Arik Bista']",A Bista,multiple
1690,590,2706,"World Cup Qualifiers, Asia, 2026",Laos vs Nepal,17-10-2023,Nepal,NP,2023,FAIL,"['Anjan Bista', 'Arik Bista']",0,True,"FILTERING USING MATCH DATE LEFT MULTIPLE RESULTS: ['Anjan Bista', 'Arik Bista']",False,"['Anjan Bista', 'Arik Bista']",A Bista,multiple
1778,678,2710,"World Cup Qualifiers, Asia, 2026",Maldives vs Bangladesh,12-10-2023,Bangladesh,BD,2023,FAIL,"['Sohel Rana', 'Mohamed Sohel Rana', 'Md Sohel Rana']",0,True,"FILTERING USING MATCH DATE LEFT MULTIPLE RESULTS: ['Sohel Rana', 'Md Sohel Rana']",False,"['Sohel Rana', 'Mohamed Sohel Rana', 'Md Sohel Rana']",Sohel Rana,multiple
1822,722,2712,"World Cup Qualifiers, Asia, 2026",Australia vs Bangladesh,16-11-2023,Bangladesh,BD,2023,FAIL,"['Sohel Rana', 'Mohamed Sohel Rana', 'Md Sohel Rana']",0,True,"FILTERING USING MATCH DATE LEFT MULTIPLE RESULTS: [['Sohel Rana', 'Md Sohel Rana']]",False,"['Sohel Rana', 'Mohamed Sohel Rana', 'Md Sohel Rana']",Sohel Rana,multiple
1901,801,2716,"World Cup Qualifiers, Asia, 2026",Philippines vs Vietnam,16-11-2023,Philippines,PH,2023,FAIL,"['Manuel Ott', 'Mike Ott']",0,True,"FILTERING USING MATCH DATE LEFT MULTIPLE RESULTS: ['Manuel Ott', 'Mike Ott']",False,"['Manuel Ott', 'Mike Ott']",M Ott,multiple
1930,830,2717,"World Cup Qualifiers, Asia, 2026",Chinese Taipei vs Malaysia,21-11-2023,Malaysia,MY,2023,FAIL,"['Abdul Hadi Abdul Hamid', 'Sani Anuar Kamsani', 'Amirizwan Taj', 'Aidil Zafuan', 'Asraruddin Putra Omar', 'Zubir Azmi', 'Ashaari Samsuddin', 'Ahmad Fakri Saarani', 'Azammuddin Akil', 'Amri Yahyah', 'Hamad Al-Dakheel', 'Mohd Nizad Ayub', 'Abdul Hadi Yahya', 'Muslim Ahmad', 'Afif Amiruddin', 'Shahrom Abdul Kalam', 'Azrif Nasrulhaq', 'Shukor Adan', 'Azam Azih', ""Ismail Faruqi Asha'ri"", 'Syahrul Azwari', 'Afiq Azmi', 'Abdul Manaf Mamat', 'Farhan Abu Bakar', 'Abdul Latiff Suhaimi', 'Amirul Hadi Zainal', 'Amirul Hisyam', 'Zaquan Adha', 'Ifwat Akmal', 'Adam Nor Azlin', 'Amer Saidin', 'Ariff Farhan', 'Syazwan Andik', 'Amirul Azhan', 'Afiq Fazail', 'Akram Mahinan', 'Hadin Azman', 'Akhyar Rashid', 'Khairil Anuar', 'Syafiq Ahmad', 'Fakrul Aiman', 'Nik Akif', 'Azizzan Nordin', 'Danial Amier', 'Arif Aiman', 'Kalamullah Al-Hafiz', 'Amine Benadi', 'Arif Fadzilah', 'Azam Azmi', 'Mukhairi Ajmal', 'Sergio Aguero', 'Aliff Haiqal', 'Hakimi Abdullah', 'Al-Hafiz', 'Azri Ghani']",0,True,"FILTERING USING MATCH DATE LEFT MULTIPLE RESULTS: ['Afiq Fazail', 'Akhyar Rashid', 'Arif Aiman']",False,"['Abdul Hadi Abdul Hamid', 'Sani Anuar Kamsani', 'Amirizwan Taj', 'Aidil Zafuan', 'Asraruddin Putra Omar', 'Zubir Azmi', 'Ashaari Samsuddin', 'Ahmad Fakri Saarani', 'Azammuddin Akil', 'Amri Yahyah', 'Hamad Al-Dakheel', 'Mohd Nizad Ayub', 'Abdul Hadi Yahya', 'Muslim Ahmad', 'Afif Amiruddin', 'Shahrom Abdul Kalam', 'Azrif Nasrulhaq', 'Shukor Adan', 'Azam Azih', ""Ismail Faruqi Asha'ri"", 'Syahrul Azwari', 'Afiq Azmi', 'Abdul Manaf Mamat', 'Farhan Abu Bakar', 'Abdul Latiff Suhaimi', 'Amirul Hadi Zainal', 'Amirul Hisyam', 'Zaquan Adha', 'Ifwat Akmal', 'Adam Nor Azlin', 'Amer Saidin', 'Ariff Farhan', 'Syazwan Andik', 'Amirul Azhan', 'Afiq Fazail', 'Akram Mahinan', 'Hadin Azman', 'Akhyar Rashid', 'Khairil Anuar', 'Syafiq Ahmad', 'Fakrul Aiman', 'Nik Akif', 'Azizzan Nordin', 'Danial Amier', 'Arif Aiman', 'Kalamullah Al-Hafiz', 'Amine Benadi', 'Arif Fadzilah', 'Azam Azmi', 'Mukhairi Ajmal', 'Sergio Aguero', 'Aliff Haiqal', 'Hakimi Abdullah', 'Al-Hafiz', 'Azri Ghani']",A,multiple
