,Unnamed: 0.1,Unnamed: 0,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Match(es) Found,Status
13,13,13,1213,540,"Euros 2016, Qualifiers",12.10.14,Russia vs Moldova,2014,Moldova,MD,2. Армаш,Armash,0,Fail
24,24,24,1224,541,"Euros 2016, Qualifiers",12.10.14,Sweden vs Liechtenstein,2014,Liechtenstein,LI,12. Бичер,Beecher,0,Fail
30,30,30,1230,541,"Euros 2016, Qualifiers",12.10.14,Sweden vs Liechtenstein,2014,Liechtenstein,LI,13. Бюхель М.,M Büchel,0,Fail
36,36,36,1236,543,"Euros 2016, Qualifiers",15.11.14,Moldova vs Liechtenstein,2014,Moldova,MD,2. Армаш,Armash,0,Fail
39,39,39,1239,543,"Euros 2016, Qualifiers",15.11.14,Moldova vs Liechtenstein,2014,Moldova,MD,5. Раку,Cancer,0,Fail
52,52,52,1252,543,"Euros 2016, Qualifiers",15.11.14,Moldova vs Liechtenstein,2014,Liechtenstein,LI,18. Н.Хаслер,N Hasler,0,Fail
55,55,55,1255,543,"Euros 2016, Qualifiers",15.11.14,Moldova vs Liechtenstein,2014,Liechtenstein,LI,8. Визер,Vieser,0,Fail
61,61,61,1261,544,"Euros 2016, Qualifiers",15.11.14,Montenegro vs Sweden,2014,Montenegro,ME,4. Н.Вукчевич,N Vukchevych,0,Fail
70,70,70,1270,552,"Euros 2016, Qualifiers",05.09.15,Austria vs Moldova,2015,Moldova,MD,2. Армаш,Armash,0,Fail
94,94,94,1294,553,"Euros 2016, Qualifiers",05.09.15,Montenegro vs Liechtenstein,2015,Liechtenstein,LI,8. Визер,Vieser,0,Fail
117,117,17,2317,404,"Euros 2016, Qualifiers",06.09.15,Wales vs Israel,2015,Israel,IL,19. Огани,Ogani,0,Fail
134,134,34,2334,727,"Euros 2020, Qualifiers",23.03.19,Malta vs Faroe Islands,2019,Faroe Islands,FO,22. Томсен Я.Л.,YAL Tomsen,0,Fail
195,195,95,2395,18,"U-20 World Cup, 2015",02.06.15,Myanmar U-20 vs Ukraine U-20,2015,Myanmar,MM,14. Нан Ваи Мин,Nan Wai Min,0,Fail
216,216,16,1516,571,"Euros 2016, Qualifiers",13.10.14,Norway vs Bulgaria,2014,Bulgaria,BG,15. Христов,Christov,0,Fail
226,226,26,1526,572,"Euros 2016, Qualifiers",16.11.14,Azerbaijan vs Norway,2014,Azerbaijan,AZ,7. Джавадов,Javadov,0,Fail
249,249,49,1549,573,"Euros 2016, Qualifiers",16.11.14,Bulgaria vs Malta,2014,Bulgaria,BG,22. Г.Илиев,Giliev,0,Fail
285,285,85,1585,581,"Euros 2016, Qualifiers",03.09.15,Azerbaijan vs Croatia,2015,Azerbaijan,AZ,2. Гараев,Garaev,0,Fail
289,289,89,1589,581,"Euros 2016, Qualifiers",03.09.15,Azerbaijan vs Croatia,2015,Azerbaijan,AZ,10. Р.Гурбанов,R Gurbanov,0,Fail
322,322,22,122,611,"Euros 2016, Qualifiers",11.10.15,Armenia vs Albania,2015,Armenia,AM,3. Ароян,Aroyan,0,Fail
394,394,94,194,410,"Euros 2016, Qualifiers",13.10.15,Belgium vs Israel,2015,Israel,IL,19. Огани,Ogani,0,Fail
456,456,56,656,480,"Euros 2016, Qualifiers",12.10.14,Lithuania vs Slovenia,2014,Lithuania,LT,15. Хведукас,Khvedukas,0,Fail
473,473,73,673,481,"Euros 2016, Qualifiers",14.10.14,San Marino vs Switzerland,2014,San Marino,SM,4. Витайоли Ф.,F Vitaioli,0,Fail
493,493,93,693,483,"Euros 2016, Qualifiers",15.11.14,San Marino vs Estonia,2014,San Marino,SM,1. А.Симончини,Asimoncini,0,Fail
495,495,95,695,483,"Euros 2016, Qualifiers",15.11.14,San Marino vs Estonia,2014,San Marino,SM,4. Ф.Витайоли,F Witayoli,0,Fail
496,496,96,696,483,"Euros 2016, Qualifiers",15.11.14,San Marino vs Estonia,2014,San Marino,SM,5. Д.Симончини,D Simonchini,0,Fail
530,530,30,1930,361,"Euros 2016, Qualifiers",13.10.14,Latvia vs Turkey,2014,Latvia,LV,5. Вишняков А.,A  Vishnyakov,0,Fail
534,534,34,1934,361,"Euros 2016, Qualifiers",13.10.14,Latvia vs Turkey,2014,Latvia,LV,11. Вишняков Э.,E Vishnyakov,0,Fail
558,558,58,1958,362,"Euros 2016, Qualifiers",16.11.14,Netherlands vs Latvia,2014,Latvia,LV,11. Э.Вишняков,E Vishnyakov,0,Fail
581,581,81,1981,364,"Euros 2016, Qualifiers",16.11.14,Turkey vs Kazakhstan,2014,Kazakhstan,KZ,3. Гурман,The Gourmand,0,Fail
601,601,1,801,498,"Euros 2016, Qualifiers",09.10.15,Slovenia vs Lithuania,2015,Lithuania,LT,10. Сливка,Cream,0,Fail
606,606,6,806,499,"Euros 2016, Qualifiers",09.10.15,Switzerland vs San Marino,2015,San Marino,SM,11. Чезарини,Česarini,0,Fail
619,619,19,819,501,"Euros 2016, Qualifiers",12.10.15,Lithuania vs England,2015,Lithuania,LT,10. Сливка,Cream,0,Fail
638,638,38,838,1446,Nations League 2018-2020,07.09.18,Albania vs Israel,2018,Israel,IL,5. Капилото,Capiloto,0,Fail
646,646,46,846,1459,Nations League 2018-2020,15.10.18,Finland vs Greece,2018,Greece,GR,6. Циолис,Ciolis,0,Fail
661,661,61,861,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Romania,RO,7. Кипчу,Kipchu,0,Fail
663,663,63,863,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Romania,RO,17. Сынмэртян,Sinmartian,0,Fail
670,670,70,870,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Hungary,HU,23. Юхас,Yuhas,0,Fail
681,681,81,881,507,"Euros 2016, Qualifiers",11.10.14,Finland vs Greece,2014,Finland,FI,22. Хурме,Persimmon,0,Fail
768,768,68,2468,58,U-20 World Cup 2019,08.06.19,United States U-20 vs Ecuador U-20,2019,United States,US,3. Глостер,Gloucester,0,Fail
804,804,4,904,508,"Euros 2016, Qualifiers",11.10.14,Northern Ireland vs Faroe Islands,2014,North. Ireland, NI,7. Макгинн,Mc Ginn,0,Fail
814,814,14,914,508,"Euros 2016, Qualifiers",11.10.14,Northern Ireland vs Faroe Islands,2014,Faroe Islands,FO,2. Нес,Nes,0,Fail
815,815,15,915,508,"Euros 2016, Qualifiers",11.10.14,Northern Ireland vs Faroe Islands,2014,Faroe Islands,FO,6. Хансон,Hanson,0,Fail
821,821,21,921,509,"Euros 2016, Qualifiers",14.10.14,Faroe Islands vs Hungary,2014,Faroe Islands,FO,2. Нес,Nes,0,Fail
841,841,41,941,509,"Euros 2016, Qualifiers",14.10.14,Faroe Islands vs Hungary,2014,Hungary,HU,23. Юхас,Yuhas,0,Fail
855,855,55,955,510,"Euros 2016, Qualifiers",14.10.14,Finland vs Romania,2014,Romania,RO,4. Лукин,Lukin,0,Fail
858,858,58,958,510,"Euros 2016, Qualifiers",14.10.14,Finland vs Romania,2014,Romania,RO,7. Кипчу,Kipchu,0,Fail
887,887,87,987,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,Faroe Islands,FO,2. Нес,Nes,0,Fail
891,891,91,991,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,Faroe Islands,FO,8. Хенриксен,Henriksen,0,Fail
896,896,96,996,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,Faroe Islands,FO,15. Фере,Fere,0,Fail
910,910,10,10,1237,Copa America 2015,22.06.15,Brazil vs Venezuela,2015,Venezuela,VE,6. Сикеро,Siquero,0,Fail
987,987,87,87,607,"Euros 2016, Qualifiers",07.09.15,Armenia vs Denmark,2015,Armenia,AM,13. Оганесян,Oganesyan,0,Fail
1026,1026,26,1026,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Finland,FI,15. Халсти,Khalsti,0,Fail
1027,1027,27,1027,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Finland,FI,18. Уронен,Dropped,0,Fail
1040,1040,40,1040,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Hungary,HU,23. Юхас,Yuhas,0,Fail
1048,1048,48,1048,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Romania,RO,17. Сынмэртян,Sinmartian,0,Fail
1056,1056,56,1056,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Finland,FI,18. Уронен,Dropped,0,Fail
1062,1062,62,1062,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,2. Нес,Nes,0,Fail
1065,1065,65,1065,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,8. Хенриксен,Henriksen,0,Fail
1069,1069,69,1069,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,11. К. Ольсен,Colsen,0,Fail
1089,1089,89,1089,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Faroe Islands,FO,2. Нес,Nes,0,Fail
1202,1202,2,2102,380,"Euros 2016, Qualifiers",13.10.15,Latvia vs Kazakhstan,2015,Kazakhstan,KZ,23. Логвиненко,E ,0,Fail
1219,1219,19,2119,385,"Euros 2016, Qualifiers",10.10.14,Belgium vs Andorra,2014,Andorra,AD,2. К.Мартинес,K Martinez,0,Fail
1409,1409,9,509,461,"Euros 2016, Qualifiers",04.09.15,Georgia vs Scotland,2015,Georgia,GE,8. Казаишвили,Kazaishvili,0,Fail
