,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
25653,25653,287,1328,"Olympics, 2016",Iraq vs Denmark,2016-08-04,Iraq,IQ,2016,FAIL,"['Khaldoun Ibrahim', 'Ahmed Ibrahim Khalaf', 'Ahmed Nadhim']",0,True,"Olympics row. Couldn't filter names using Transfermarkt. remaining matches were ['Ahmed Ibrahim Khalaf', 'Ahmed Nadhim']",False,"['Khaldoun Ibrahim', 'Ahmed Ibrahim Khalaf', 'Ahmed Nadhim']",Ahmad Ibrahim,multiple
25730,25730,364,1331,"Olympics, 2016",Brazil vs Iraq,2016-08-07,Iraq,IQ,2016,FAIL,"['Khaldoun Ibrahim', 'Ahmed Ibrahim Khalaf', 'Ahmed Nadhim']",0,True,"Olympics row. Couldn't filter names using Transfermarkt. remaining matches were ['Ahmed Ibrahim Khalaf', 'Ahmed Nadhim']",False,"['Khaldoun Ibrahim', 'Ahmed Ibrahim Khalaf', 'Ahmed Nadhim']",Ahmad Ibrahim,multiple
25774,25774,408,1333,"Olympics, 2016",South Africa vs Iraq,2016-08-10,Iraq,IQ,2016,FAIL,"['Khaldoun Ibrahim', 'Ahmed Ibrahim Khalaf', 'Ahmed Nadhim']",0,True,"Olympics row. Couldn't filter names using Transfermarkt. remaining matches were ['Ahmed Ibrahim Khalaf', 'Ahmed Nadhim']",False,"['Khaldoun Ibrahim', 'Ahmed Ibrahim Khalaf', 'Ahmed Nadhim']",Ahmad Ibrahim,multiple
25797,25797,431,1334,"Olympics, 2016",Sweden vs Colombia,2016-08-04,Colombia,CO,2016,FAIL,"['Kevin Balanta', 'Leyvin Balanta', 'Éder Balanta']",0,True,"Olympics row. Couldn't filter names using Transfermarkt. remaining matches were ['Leyvin Balanta', 'Éder Balanta']",False,"['Kevin Balanta', 'Leyvin Balanta', 'Éder Balanta']",Deivy Balanta,multiple
25863,25863,497,1337,"Olympics, 2016",Japan vs Colombia,2016-08-07,Colombia,CO,2016,FAIL,"['Kevin Balanta', 'Leyvin Balanta', 'Éder Balanta']",0,True,"Olympics row. Couldn't filter names using Transfermarkt. remaining matches were ['Leyvin Balanta', 'Éder Balanta']",False,"['Kevin Balanta', 'Leyvin Balanta', 'Éder Balanta']",Deivy Balanta,multiple
25896,25896,530,1339,"Olympics, 2016",Colombia vs Nigeria,2016-08-10,Colombia,CO,2016,FAIL,"['Kevin Balanta', 'Leyvin Balanta', 'Éder Balanta']",0,True,"Olympics row. Couldn't filter names using Transfermarkt. remaining matches were ['Leyvin Balanta', 'Éder Balanta']",False,"['Kevin Balanta', 'Leyvin Balanta', 'Éder Balanta']",Deivy Balanta,multiple
26259,26259,893,1355,"Olympics, 2016",Brazil vs Colombia,2016-08-13,Colombia,CO,2016,FAIL,"['Kevin Balanta', 'Leyvin Balanta', 'Éder Balanta']",0,True,"Olympics row. Couldn't filter names using Transfermarkt. remaining matches were ['Leyvin Balanta', 'Éder Balanta']",False,"['Kevin Balanta', 'Leyvin Balanta', 'Éder Balanta']",Deivy Balanta,multiple
26368,26368,1002,1361,"Olympics, 2020",Mexico vs France,2021-07-22,France,FR,2021,FAIL,"['Clément Lenglet', 'Clément Grenier']",0,True,"Olympics row. Couldn't filter names using Transfermarkt. remaining matches were ['Clément Lenglet', 'Clément Grenier']",False,"['Clément Lenglet', 'Clément Grenier']",Clément Michelin,multiple
26401,26401,1035,1363,"Olympics, 2020",France vs South Africa,2021-07-25,France,FR,2021,FAIL,"['Clément Lenglet', 'Clément Grenier']",0,True,"Olympics row. Couldn't filter names using Transfermarkt. remaining matches were ['Clément Lenglet', 'Clément Grenier']",False,"['Clément Lenglet', 'Clément Grenier']",Clément Michelin,multiple
26445,26445,1079,1365,"Olympics, 2020",France vs Japan,2021-07-28,France,FR,2021,FAIL,"['Clément Lenglet', 'Clément Grenier']",0,True,"Olympics row. Couldn't filter names using Transfermarkt. remaining matches were ['Clément Lenglet', 'Clément Grenier']",False,"['Clément Lenglet', 'Clément Grenier']",Clément Michelin,multiple
