,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
2,2,3133,"World Cup Qualifiers, Europe, 2018",Luxembourg vs France,25-03-2017,Luxembourg,LU,2017,SUCCESS,Maxime Chanot,0.0,False,Not in either dataset for currect season but present in both seasons around match,True,Maxime Chanot,M Chanot,single
9,9,3133,"World Cup Qualifiers, Europe, 2018",Luxembourg vs France,25-03-2017,Luxembourg,LU,2017,SUCCESS,Stefano Bensi,0.0,False,Not in either dataset for currect season but present in both seasons around match,True,Stefano Bensi,S Bensi,single
26,26,3134,"World Cup Qualifiers, Europe, 2018",Norway vs Azerbaijan,01-09-2017,Norway,NO,2017,SUCCESS,Haitam Aleesami,0,False,Not in either dataset for currect season but present in both seasons around match,True,Haitam Aleesami,H Aleesami,single
57,57,3135,"World Cup Qualifiers, Europe, 2018",Netherlands vs Bulgaria,03-09-2017,Bulgaria,BG,2017,SUCCESS,Georgi Terziev,0,False,Not in either dataset for currect season but present in both seasons around match,True,Georgi Terziev,G Terziev,single
242,242,3144,"World Cup Qualifiers, Europe, 2018",Bulgaria vs Netherlands,25-03-2017,Bulgaria,BG,2017,SUCCESS,Nikolay Mihaylov,0,False,Not in either dataset for currect season but present in both seasons around match,True,Nikolay Mihaylov,N Mihaylov,single
267,267,3145,"World Cup Qualifiers, Europe, 2018",Republic of Ireland vs Wales,24-03-2017,Republic of Ireland,IE,2017,SUCCESS,Richard Keogh,0,False,Not in either dataset for currect season but present in both seasons around match,True,Richard Keogh,R Keogh,single
324,324,3147,"World Cup Qualifiers, Europe, 2018",San Marino vs Czech Republic,26-03-2017,Czech Republic,CZ,2017,SUCCESS,Borek Dockal,0,False,Not in either dataset for currect season but present in both seasons around match,True,Borek Dockal,B Dočkal,single
340,340,3148,"World Cup Qualifiers, Europe, 2018",Finland vs Iceland,02-09-2017,Finland,FI,2017,SUCCESS,Eero Markkanen,0,False,Not in either dataset for currect season but present in both seasons around match,True,Eero Markkanen,E Markkanen,single
462,462,3154,"World Cup Qualifiers, Europe, 2018",Lithuania vs Slovakia,10-06-2017,Lithuania,LT,2017,SUCCESS,Emilijus Zubas,0,False,Not in either dataset for currect season but present in both seasons around match,True,Emilijus Zubas,E Zubas,single
482,482,3154,"World Cup Qualifiers, Europe, 2018",Lithuania vs Slovakia,10-06-2017,Slovakia,SK,2017,SUCCESS,Vladimir Weiss,0,False,Not in either dataset for currect season but present in both seasons around match,True,Vladimir Weiss,V Weiss,single
614,614,3160,"World Cup Qualifiers, Europe, 2018",Luxembourg vs Bulgaria,10-10-2017,Bulgaria,BG,2017,SUCCESS,Bozhidar Kraev,0,False,Not in either dataset for currect season but present in both seasons around match,True,Bozhidar Kraev,B Kraev,single
