,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
0,7,4244,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Argentina,26-Mar-13,Bolivia,BO,2013,FAIL,"['Marvin Bejarano', 'Diego Bejarano', 'Danny Bejarano', 'Alejandro Bejarano']",0,TRUE,Name Confusion,FALSE,"['Marvin Bejarano', 'Diego Bejarano']",Bejarano,multiple,Multi
1,10,3997,"World Cup 2018, Qualifiers, CONCACAF",Canada vs Dominica,16-Jun-15,Dominica,DM,2015,FAIL,"['Glenson Prince', 'Hubert Prince', 'Joslyn Prince', 'Joel Prince']",0,TRUE,Name Confusion,FALSE,"['Glenson Prince', 'Hubert Prince']",Prince,multiple,Multi
2,11,3997,"World Cup 2018, Qualifiers, CONCACAF",Canada vs Dominica,16-Jun-15,Dominica,DM,2015,FAIL,"['Glenson Prince', 'Hubert Prince', 'Joslyn Prince', 'Joel Prince']",0,TRUE,Name Confusion,FALSE,"['Glenson Prince', 'Hubert Prince']",Prince,multiple,Multi
3,65,2267,"World Cup Qualifiers, Asia, 2018",Chinese Taipei vs Vietnam,08-09-2015,Vietnam,VN,2015,FAIL,"['Nguyen Manh Tran', 'Tien Thanh Dinh', 'Xuan Thanh Nguyen']",0,TRUE,Name Confusion,FALSE,"['Nguyen Manh Tran', 'Tien Thanh Dinh', 'Xuan Thanh Nguyen']",Nguyn Thanh Hin,multiple,Multi
4,67,2274,"World Cup Qualifiers, Asia, 2018",Vietnam vs Iraq,08-10-2015,Vietnam,VN,2015,FAIL,"['Nguyen Manh Tran', 'Tien Thanh Dinh', 'Xuan Thanh Nguyen']",0,TRUE,Name Confusion,FALSE,"['Tien Thanh Dinh', 'Xuan Thanh Nguyen']",Nguyn Thanh Hin,multiple,Multi
5,95,3653,"Gold Cup, 2013",Honduras vs Trinidad and Tobago,16-07-2013,Honduras,HN,2013,FAIL,"['Jerry Palacios', 'Johnny Palacios']",0,TRUE,Name Confusion,FALSE,"['Jerry Palacios', 'Johnny Palacios']",J Palacios,multiple,Multi
6,96,3653,"Gold Cup, 2013",Honduras vs Trinidad and Tobago,16-07-2013,Honduras,HN,2013,FAIL,"['Jerry Palacios', 'Johnny Palacios']",0,TRUE,Name Confusion,FALSE,"['Jerry Palacios', 'Johnny Palacios']",J Palacios,multiple,Multi
7,111,2179,"World Cup Qualifiers, Africa, 2022",Zimbabwe vs Somalia,10-09-2019,Somalia,SO,2019,FAIL,"['Mohamed Ali Mohamed', 'Mohamed Abukar Mohamed']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,,M Ali Mohamed,multiple,Done
8,118,2194,"World Cup Qualifiers, Africa, 2022",Angola vs Libya,07-09-2021,Libya,LY,2021,FAIL,"['Mohamed Ayad', 'Mohamed Zaabia', 'Mohammed Al Tuhami']",0,TRUE,Name Confusion,FALSE,"['Mohamed Zaabia', 'Mohammed Al Tuhami']",Mohammad Zubya,multiple,Multi
9,119,2198,"World Cup Qualifiers, Africa, 2022",Gabon vs Libya,12-11-2021,Libya,LY,2021,FAIL,"['Mohamed Ayad', 'Mohamed Zaabia', 'Mohammed Al Tuhami']",0,TRUE,Name Confusion,FALSE,"['Mohamed Zaabia', 'Mohammed Al Tuhami']",Mohammad Zubya,multiple,Multi
10,133,4260,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Ecuador,10-Sep-13,Bolivia,BO,2013,FAIL,"['Marvin Bejarano', 'Diego Bejarano', 'Danny Bejarano', 'Alejandro Bejarano']",0,TRUE,Name Confusion,FALSE,"['Marvin Bejarano', 'Diego Bejarano']",Bejarano,multiple,Multi
11,134,4260,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Ecuador,10-Sep-13,Bolivia,BO,2013,FAIL,"['Marvin Bejarano', 'Diego Bejarano', 'Danny Bejarano', 'Alejandro Bejarano']",0,TRUE,Name Confusion,FALSE,"['Marvin Bejarano', 'Diego Bejarano']",Bejarano,multiple,Multi
12,157,2446,"World Cup Qualifiers, Asia, 2018",Bangladesh vs Tajikistan,16-06-2015,Tajikistan,TJ,2015,FAIL,"['Umedzhon Sharipov', 'Umardzhon Sharipov']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Umardzhon Sharipov,U Sharipov,multiple,Done
13,180,2100,"World Cup Qualifiers, Africa, 2022",Egypt vs Libya,08-10-2021,Libya,LY,2021,FAIL,"['Mohamed Ayad', 'Mohamed Zaabia', 'Mohammed Al Tuhami']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Mohamed Zaabia,Mohammad Zubya,multiple,Done
14,184,2118,"World Cup Qualifiers, Africa, 2022",Libya vs Gabon,01-09-2021,Libya,LY,2021,FAIL,"['Mohamed Ayad', 'Mohamed Zaabia', 'Mohammed Al Tuhami']",0,TRUE,Name Confusion,FALSE,"['Mohamed Zaabia', 'Mohammed Al Tuhami']",Mohammad Zubya,multiple,Multi
