,Unnamed: 0,Jersey Name,Name Match,Date,Nationality,Country Code,Match ID,Competition,Match,Market Value,Lookup Still Required?,Lookup Return Case,Status
0,0,D Tošić,['Dusko Tosic'],09-10-2017,Serbia,RS,3136,"World Cup Qualifiers, Europe, 2018",Serbia vs Georgia,2000000,FALSE,Found in Curr Season,SUCCESS
1,1,J Næs,['Jónas Tór Naes'],13-11-2016,Faroe Islands,FO,3137,"World Cup Qualifiers, Europe, 2018",Switzerland vs Faroe Islands,100000,FALSE,Found in Curr Season,SUCCESS
2,2,S Kjær,['Simon Kjaer'],01-09-2017,Denmark,DK,3138,"World Cup Qualifiers, Europe, 2018",Denmark vs Poland,10000000,FALSE,Found in Curr Season,SUCCESS
3,3,E Višća,['Edin Visca'],06-09-2016,Bosnia-Herzegovina-Herzegovina,BA,3139,"World Cup Qualifiers, Europe, 2018",Bosnia-Herzegovina-Herzegovina vs Estonia,8000000,FALSE,Found in Curr Season,SUCCESS
4,4,A Gaţcan,['Alexandru Gatcan'],12-11-2016,Moldova,MD,3140,"World Cup Qualifiers, Europe, 2018",Georgia vs Moldova,1000000,FALSE,Found in Curr Season,SUCCESS
5,5,A Gaţcan,['Alexandru Gatcan'],05-09-2016,Moldova,MD,3142,"World Cup Qualifiers, Europe, 2018",Wales vs Moldova,1000000,FALSE,Found in Curr Season,SUCCESS
6,6,S Kjær,['Simon Kjaer'],05-10-2017,Denmark,DK,3158,"World Cup Qualifiers, Europe, 2018",Montenegro vs Denmark,10000000,FALSE,Found in Curr Season,SUCCESS
7,7,E Bičakčić,['Ermin Bicakcic'],07-10-2016,Bosnia-Herzegovina-Herzegovina,BA,3163,"World Cup Qualifiers, Europe, 2018",Belgium vs Bosnia-Herzegovina-Herzegovina,2250000,FALSE,Found in Curr Season,SUCCESS
8,8,D Subašić,['Danijel Subasic'],06-10-2016,Croatia,HR,3171,"World Cup Qualifiers, Europe, 2018",Kosovo vs Croatia,5000000,FALSE,Found in Curr Season,SUCCESS
9,9,S Kjær,['Simon Kjaer'],26-03-2017,Denmark,DK,3173,"World Cup Qualifiers, Europe, 2018",Romania vs Denmark,10000000,FALSE,Found in Curr Season,SUCCESS
10,10,J Næs,['Jónas Tór Naes'],09-06-2017,Faroe Islands,FO,3174,"World Cup Qualifiers, Europe, 2018",Faroe Islands vs Switzerland,100000,FALSE,Found in Curr Season,SUCCESS
11,11,Yan Junling,['Junling Yan'],24-03-2022,China PR,CN,2680,"World Cup Qualifiers, Asia, 2022",China PR vs Saudi Arabia,500000,FALSE,Found in Curr Season,SUCCESS
12,12,Gao Zhuniy,['Zhunyi Gao'],24-03-2022,China PR,CN,2680,"World Cup Qualifiers, Asia, 2022",China PR vs Saudi Arabia,500000,FALSE,Found in Curr Season,SUCCESS
13,13,Zhang Linpeng,['Linpeng Zhang'],24-03-2022,China PR,CN,2680,"World Cup Qualifiers, Asia, 2022",China PR vs Saudi Arabia,200000,FALSE,Found in Curr Season,SUCCESS
14,14,Zhu Chenjie,['Chenjie Zhu'],24-03-2022,China PR,CN,2680,"World Cup Qualifiers, Asia, 2022",China PR vs Saudi Arabia,500000,FALSE,Found in Curr Season,SUCCESS
15,15,Zheng Zheng,['Zheng Zheng'],24-03-2022,China PR,CN,2680,"World Cup Qualifiers, Asia, 2022",China PR vs Saudi Arabia,180000,FALSE,Only Before,SUCCESS
16,16,Liu Yang,['Yang Liu'],24-03-2022,China PR,CN,2680,"World Cup Qualifiers, Asia, 2022",China PR vs Saudi Arabia,375000,FALSE,Found in Curr Season,SUCCESS
17,17,Junmin Hao,['Junmin Hao'],24-03-2022,China PR,CN,2680,"World Cup Qualifiers, Asia, 2022",China PR vs Saudi Arabia,50000,FALSE,Found in Curr Season,SUCCESS
18,18,Liao Lisheng,['Lisheng Liao'],24-03-2022,China PR,CN,2680,"World Cup Qualifiers, Asia, 2022",China PR vs Saudi Arabia,200000,FALSE,Found in Curr Season,SUCCESS
19,19,Xu Xin,['Xin Xu'],24-03-2022,China PR,CN,2680,"World Cup Qualifiers, Asia, 2022",China PR vs Saudi Arabia,400000,FALSE,Found in Curr Season,SUCCESS
20,20,Liu Binbin,['Binbin Liu'],24-03-2022,China PR,CN,2680,"World Cup Qualifiers, Asia, 2022",China PR vs Saudi Arabia,450000,FALSE,Found in Curr Season,SUCCESS
21,21,Zhang Yuning,['Yuning Zhang'],24-03-2022,China PR,CN,2680,"World Cup Qualifiers, Asia, 2022",China PR vs Saudi Arabia,850000,FALSE,Found in Curr Season,SUCCESS
22,22,Helio Goncalves,['Hélio'],05-09-2019,Hong Kong,HK,2691,"World Cup Qualifiers, Asia, 2022",Cambodia vs Hong Kong,200000,FALSE,Found in Curr Season,SUCCESS
23,23,Choe Jin-Nam,['Jin-nam Choe'],21-11-2023,North Korea,KP,2709,"World Cup Qualifiers, Asia, 2026",Myanmar vs North Korea,0,FALSE,Both Empty,SUCCESS
24,24,Kim Kuk-Bom,['Kuk-bom Kim'],21-11-2023,North Korea,KP,2709,"World Cup Qualifiers, Asia, 2026",Myanmar vs North Korea,150000,FALSE,Found in Curr Season,SUCCESS
25,25,Chen Wei-chuan,['Wei-Chuan Chen'],16-11-2023,Chinese Taipei,TW,2711,"World Cup Qualifiers, Asia, 2026",Oman vs Chinese Taipei,50000,FALSE,Found in Curr Season,SUCCESS
26,26,Fong Shao-chi,['Shao-Chi Fong'],16-11-2023,Chinese Taipei,TW,2711,"World Cup Qualifiers, Asia, 2026",Oman vs Chinese Taipei,100000,FALSE,Found in Curr Season,SUCCESS
27,27,Chen Wei-chuan,['Wei-Chuan Chen'],21-11-2023,Chinese Taipei,TW,2717,"World Cup Qualifiers, Asia, 2026",Chinese Taipei vs Malaysia,50000,FALSE,Found in Curr Season,SUCCESS
28,28,Fong Shao-chi,['Shao-Chi Fong'],21-11-2023,Chinese Taipei,TW,2717,"World Cup Qualifiers, Asia, 2026",Chinese Taipei vs Malaysia,100000,FALSE,Found in Curr Season,SUCCESS
29,29,Chen Hao-wei,['Hao-Wei Chen'],21-11-2023,Chinese Taipei,TW,2717,"World Cup Qualifiers, Asia, 2026",Chinese Taipei vs Malaysia,75000,FALSE,Found in Curr Season,SUCCESS
30,30,Kim Pom Hyok,['Pom-hyok Kim'],16-11-2023,North Korea,KP,2718,"World Cup Qualifiers, Asia, 2026",Syria vs North Korea,100000,FALSE,Found in Curr Season,SUCCESS
31,31,Kim Kuk-Bom,['Kuk-bom Kim'],16-11-2023,North Korea,KP,2718,"World Cup Qualifiers, Asia, 2026",Syria vs North Korea,150000,FALSE,Found in Curr Season,SUCCESS
32,32,Helio Goncalves,['Hélio'],17-10-2023,Hong Kong,HK,2719,"World Cup Qualifiers, Asia, 2026",Bhutan vs Hong Kong,75000,FALSE,Found in Curr Season,SUCCESS
33,33,Helio Goncalves,['Hélio'],12-10-2023,Hong Kong,HK,2720,"World Cup Qualifiers, Asia, 2026",Hong Kong vs Bhutan,75000,FALSE,Found in Curr Season,SUCCESS
34,34,Fong Shao-chi,['Shao-Chi Fong'],17-10-2023,Chinese Taipei,TW,2723,"World Cup Qualifiers, Asia, 2026",Timor-Leste vs Chinese Taipei,100000,FALSE,Found in Curr Season,SUCCESS
35,35,Chen Wei-chuan,['Wei-Chuan Chen'],17-10-2023,Chinese Taipei,TW,2723,"World Cup Qualifiers, Asia, 2026",Timor-Leste vs Chinese Taipei,50000,FALSE,Found in Curr Season,SUCCESS
36,36,Ernan Siluane,['Ernan'],19-11-2023,Mozambique,MZ,2231,"World Cup Qualifiers, Africa, 2026",Mozambique vs Algeria,75000,FALSE,Found in Curr Season,SUCCESS
37,37,Gildo Vilanculos,['Gildo'],19-11-2023,Mozambique,MZ,2231,"World Cup Qualifiers, Africa, 2026",Mozambique vs Algeria,150000,FALSE,Found in Curr Season,SUCCESS
38,38,G Kalulu,['Gédéon Kalulu'],19-11-2023,Congo DR,DR,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR,4500000,FALSE,Found in Curr Season,SUCCESS
39,39,C Mbemba,['Chancel Mbemba'],19-11-2023,Congo DR,DR,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR,15000000,FALSE,Found in Curr Season,SUCCESS
40,40,H Inonga,['Henoc Inonga'],19-11-2023,Congo DR,DR,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR,200000,FALSE,Found in Curr Season,SUCCESS
41,41,J Kayembe,['Joris Kayembe'],19-11-2023,Congo DR,DR,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR,2500000,FALSE,Found in Curr Season,SUCCESS
42,42,T Bongonda,['Théo Bongonda'],19-11-2023,Congo DR,DR,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR,5000000,FALSE,Found in Curr Season,SUCCESS
43,43,A Tshibola,['Aaron Tshibola'],19-11-2023,Congo DR,DR,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR,450000,FALSE,Found in Curr Season,SUCCESS
44,44,C Pickel,['Charles Pickel'],19-11-2023,Congo DR,DR,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR,2700000,FALSE,Found in Curr Season,SUCCESS
45,45,Y Wissa,['Yoane Wissa'],19-11-2023,Congo DR,DR,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR,25000000,FALSE,Found in Curr Season,SUCCESS
46,46,G Diangana,['Grady Diangana'],19-11-2023,Congo DR,DR,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR,4500000,FALSE,Found in Curr Season,SUCCESS
47,47,S Banza,['Simon Banza'],19-11-2023,Congo DR,DR,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR,12000000,FALSE,Found in Curr Season,SUCCESS
48,48,Jang Hyun-Soo,['Hyun-soo Jang'],18-06-2013,South Korea,KR,2255,"World Cup Qualifiers, Asia, 2014",South Korea vs Iran,75000,FALSE,Found in Curr Season,SUCCESS
49,49,Kim Kee-Hee,['Kee-hee Kim'],18-06-2013,South Korea,KR,2255,"World Cup Qualifiers, Asia, 2014",South Korea vs Iran,100000,FALSE,Found in Curr Season,SUCCESS
50,50,Chang Hao-wei,['Hao-Wei Chang'],03-09-2015,Chinese Taipei,TW,2263,"World Cup Qualifiers, Asia, 2018",Iraq vs Chinese Taipei,0,FALSE,Only After + Zero After,SUCCESS
51,51,Yen Ho-shen,['Ho-Shen Yen'],03-09-2015,Chinese Taipei,TW,2263,"World Cup Qualifiers, Asia, 2018",Iraq vs Chinese Taipei,0,FALSE,Used Average of Season Before and After,SUCCESS
52,52,Ro Hak-Su,['Hak-su Ro'],16-06-2015,North Korea,KP,2264,"World Cup Qualifiers, Asia, 2018",North Korea vs Uzbekistan,50000,FALSE,Used Average of Season Before and After,SUCCESS
53,53,Chang Hao-wei,['Hao-Wei Chang'],08-09-2015,Chinese Taipei,TW,2267,"World Cup Qualifiers, Asia, 2018",Chinese Taipei vs Vietnam,0,FALSE,Only After + Zero After,SUCCESS
54,54,Wei Yu-jen,['Yu-Jen Wei'],08-09-2015,Chinese Taipei,TW,2267,"World Cup Qualifiers, Asia, 2018",Chinese Taipei vs Vietnam,0,FALSE,Only Before + Zero Before,SUCCESS
55,55,Ro Hak-Su,['Hak-su Ro'],29-03-2016,North Korea,KP,2268,"World Cup Qualifiers, Asia, 2018",Philippines vs North Korea,100000,FALSE,Found in Curr Season,SUCCESS
56,56,I ehić,['Ibrahim Sehic'],31-03-2021,Bosnia-Herzegovina-Herzegovina,BA,3295,"World Cup Qualifiers, Europe, 2022",Bosnia-Herzegovina-Herzegovina vs France,900000,FALSE,Found in Curr Season,SUCCESS
57,57,A Murić,['Arijanet Muric'],09-10-2021,Kosovo,XK,3298,"World Cup Qualifiers, Europe, 2022",Sweden vs Kosovo,1800000,FALSE,Found in Curr Season,SUCCESS
58,58,K Piątek,['Krzysztof Piatek'],31-03-2021,Poland,PL,3299,"World Cup Qualifiers, Europe, 2022",England vs Poland,21500000,FALSE,Found in Curr Season,SUCCESS
59,59,A ćekić,['Aleksandar Scekic'],01-09-2021,Montenegro,ME,3307,"World Cup Qualifiers, Europe, 2022",Turkey vs Montenegro,1600000,FALSE,Found in Curr Season,SUCCESS
60,60,S Kjær,['Simon Kjaer'],31-03-2021,Denmark,DK,3318,"World Cup Qualifiers, Europe, 2022",Austria vs Denmark,10000000,FALSE,Found in Curr Season,SUCCESS
61,61,M Sušić,['Mateo Susic'],16-11-2021,Bosnia-Herzegovina-Herzegovina,BA,3321,"World Cup Qualifiers, Europe, 2022",Bosnia-Herzegovina-Herzegovina vs Ukraine,1000000,FALSE,Found in Curr Season,SUCCESS
62,62,S Kjær,['Simon Kjaer'],25-03-2021,Denmark,DK,3322,"World Cup Qualifiers, Europe, 2022",Israel vs Denmark,10000000,FALSE,Found in Curr Season,SUCCESS
63,63,Maliy,['Sergey Maliy'],04.09.20,Kazakhstan,KZ,1673,Nations League 2020-2021,Lithuania vs Kazakhstan,1000000,FALSE,Found in Curr Season,SUCCESS
64,64,Maliy,['Sergey Maliy'],07.09.20,Kazakhstan,KZ,1675,Nations League 2020-2021,Kazakhstan vs Belarus,1000000,FALSE,Found in Curr Season,SUCCESS
65,65,Maliy,['Sergey Maliy'],14.10.20,Kazakhstan,KZ,1680,Nations League 2020-2021,Belarus vs Kazakhstan,1000000,FALSE,Found in Curr Season,SUCCESS
66,66,M Ošs,['Marcis Oss'],10.10.20,Latvia,LV,1689,Nations League 2020-2021,Faroe Islands vs Latvia,250000,FALSE,Found in Curr Season,SUCCESS
67,67,M Ošs,['Marcis Oss'],13.10.20,Latvia,LV,1691,Nations League 2020-2021,Latvia vs Malta,250000,FALSE,Found in Curr Season,SUCCESS
68,68,V Černý,['Vaclav Cerny'],17.06.23,Czech Republic,CZ,962,"Euros 2024, Qualifiers",Faroe Islands vs Czech,8000000,FALSE,Found in Curr Season,SUCCESS
69,69,V Černý,['Vaclav Cerny'],07.09.23,Czech Republic,CZ,966,"Euros 2024, Qualifiers",Czech vs Albania,8000000,FALSE,Found in Curr Season,SUCCESS
70,70,V Černý,['Vaclav Cerny'],12.10.23,Czech Republic,CZ,969,"Euros 2024, Qualifiers",Albania vs Czech,8000000,FALSE,Found in Curr Season,SUCCESS
71,71,V Černý,['Vaclav Cerny'],15.10.23,Czech Republic,CZ,971,"Euros 2024, Qualifiers",Czech vs Faroe Islands,8000000,FALSE,Found in Curr Season,SUCCESS
72,72,R Kidiaba,['Robert Muteba Kidiaba'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR,400000,FALSE,Only Before,SUCCESS
73,73,I Mpeko,['Issama Mpeko'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR,150000,FALSE,Found in Curr Season,SUCCESS
74,74,J Kimwaki,['Joël Kimwaki'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR,400000,FALSE,Found in Curr Season,SUCCESS
75,75,C Mongongu,['Cédric Mongongu'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR,2250000,FALSE,Found in Curr Season,SUCCESS
76,76,Y Mulumbu,['Youssouf Mulumbu'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR,5000000,FALSE,Found in Curr Season,SUCCESS
77,77,C Mbemba,['Chancel Mbemba'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR,4000000,FALSE,Found in Curr Season,SUCCESS
78,78,F Mubele,['Firmin Mubele'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR,0,FALSE,Used Average of Season Before and After,SUCCESS
79,79,Y Bolasie,['Yannick Bolasie'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR,4000000,FALSE,Found in Curr Season,SUCCESS
80,80,H Kage,['Hervé Kage'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR,1800000,FALSE,Only Before,SUCCESS
81,81,D Mbokani,['Dieumerci Mbokani'],18-01-2015,Congo DR,DR,3485,"African Cup of Nations, 2015",Zambia vs Congo DR,10000000,FALSE,Found in Curr Season,SUCCESS
82,82,Rui Gomes,['Rui'],17-01-2015,Equatorial Guinea,GQ,3488,"African Cup of Nations, 2015",Equatorial Guinea vs Congo,200000,FALSE,Found in Curr Season,SUCCESS
83,83,R Kidiaba,['Robert Muteba Kidiaba'],26-01-2015,Congo DR,DR,3490,"African Cup of Nations, 2015",Congo DR vs Tunisia,400000,FALSE,Only Before,SUCCESS
84,84,I Mpeko,['Issama Mpeko'],26-01-2015,Congo DR,DR,3490,"African Cup of Nations, 2015",Congo DR vs Tunisia,150000,FALSE,Found in Curr Season,SUCCESS
85,85,J Kimwaki,['Joël Kimwaki'],26-01-2015,Congo DR,DR,3490,"African Cup of Nations, 2015",Congo DR vs Tunisia,400000,FALSE,Found in Curr Season,SUCCESS
86,86,C Mongongu,['Cédric Mongongu'],26-01-2015,Congo DR,DR,3490,"African Cup of Nations, 2015",Congo DR vs Tunisia,2250000,FALSE,Found in Curr Season,SUCCESS
87,87,C Mbemba,['Chancel Mbemba'],26-01-2015,Congo DR,DR,3490,"African Cup of Nations, 2015",Congo DR vs Tunisia,4000000,FALSE,Found in Curr Season,SUCCESS
88,88,C Makiadi,['Cédric Makiadi'],26-01-2015,Congo DR,DR,3490,"African Cup of Nations, 2015",Congo DR vs Tunisia,2800000,FALSE,Only Before,SUCCESS
89,89,Y Bolasie,['Yannick Bolasie'],26-01-2015,Congo DR,DR,3490,"African Cup of Nations, 2015",Congo DR vs Tunisia,4000000,FALSE,Found in Curr Season,SUCCESS
90,90,Cedrick,['Cedrick'],26-01-2015,Congo DR,DR,3490,"African Cup of Nations, 2015",Congo DR vs Tunisia,1500000,FALSE,Found in Curr Season,SUCCESS
91,91,F Mubele,['Firmin Mubele'],26-01-2015,Congo DR,DR,3490,"African Cup of Nations, 2015",Congo DR vs Tunisia,0,FALSE,Used Average of Season Before and After,SUCCESS
92,92,D Mbokani,['Dieumerci Mbokani'],26-01-2015,Congo DR,DR,3490,"African Cup of Nations, 2015",Congo DR vs Tunisia,10000000,FALSE,Found in Curr Season,SUCCESS
93,93,R Kidiaba,['Robert Muteba Kidiaba'],31-01-2015,Congo DR,DR,3492,"African Cup of Nations, 2015",Congo vs Congo DR,400000,FALSE,Only Before,SUCCESS
94,94,I Mpeko,['Issama Mpeko'],31-01-2015,Congo DR,DR,3492,"African Cup of Nations, 2015",Congo vs Congo DR,150000,FALSE,Found in Curr Season,SUCCESS
95,95,G Zakuani,['Gabriel Zakuani'],31-01-2015,Congo DR,DR,3492,"African Cup of Nations, 2015",Congo vs Congo DR,400000,FALSE,Found in Curr Season,SUCCESS
96,96,C Mongongu,['Cédric Mongongu'],31-01-2015,Congo DR,DR,3492,"African Cup of Nations, 2015",Congo vs Congo DR,2250000,FALSE,Found in Curr Season,SUCCESS
97,97,C Mbemba,['Chancel Mbemba'],31-01-2015,Congo DR,DR,3492,"African Cup of Nations, 2015",Congo vs Congo DR,4000000,FALSE,Found in Curr Season,SUCCESS
98,98,C Makiadi,['Cédric Makiadi'],31-01-2015,Congo DR,DR,3492,"African Cup of Nations, 2015",Congo vs Congo DR,2800000,FALSE,Only Before,SUCCESS
99,99,J Bokila,['Jeremy Bokila'],31-01-2015,Congo DR,DR,3492,"African Cup of Nations, 2015",Congo vs Congo DR,1500000,FALSE,Found in Curr Season,SUCCESS
100,100,Cedrick,['Cedrick'],31-01-2015,Congo DR,DR,3492,"African Cup of Nations, 2015",Congo vs Congo DR,1500000,FALSE,Found in Curr Season,SUCCESS
101,101,Y Bolasie,['Yannick Bolasie'],31-01-2015,Congo DR,DR,3492,"African Cup of Nations, 2015",Congo vs Congo DR,4000000,FALSE,Found in Curr Season,SUCCESS
102,102,D Mbokani,['Dieumerci Mbokani'],31-01-2015,Congo DR,DR,3492,"African Cup of Nations, 2015",Congo vs Congo DR,10000000,FALSE,Found in Curr Season,SUCCESS
103,103,R Kidiaba,['Robert Muteba Kidiaba'],22-01-2015,Congo DR,DR,3496,"African Cup of Nations, 2015",Cape Verde vs Congo DR,400000,FALSE,Only Before,SUCCESS
104,104,I Mpeko,['Issama Mpeko'],22-01-2015,Congo DR,DR,3496,"African Cup of Nations, 2015",Cape Verde vs Congo DR,150000,FALSE,Found in Curr Season,SUCCESS
105,105,J Kimwaki,['Joël Kimwaki'],22-01-2015,Congo DR,DR,3496,"African Cup of Nations, 2015",Cape Verde vs Congo DR,400000,FALSE,Found in Curr Season,SUCCESS
106,106,C Mongongu,['Cédric Mongongu'],22-01-2015,Congo DR,DR,3496,"African Cup of Nations, 2015",Cape Verde vs Congo DR,2250000,FALSE,Found in Curr Season,SUCCESS
107,107,Y Mulumbu,['Youssouf Mulumbu'],22-01-2015,Congo DR,DR,3496,"African Cup of Nations, 2015",Cape Verde vs Congo DR,5000000,FALSE,Found in Curr Season,SUCCESS
108,108,C Mbemba,['Chancel Mbemba'],22-01-2015,Congo DR,DR,3496,"African Cup of Nations, 2015",Cape Verde vs Congo DR,4000000,FALSE,Found in Curr Season,SUCCESS
109,109,Cedrick,['Cedrick'],22-01-2015,Congo DR,DR,3496,"African Cup of Nations, 2015",Cape Verde vs Congo DR,1500000,FALSE,Found in Curr Season,SUCCESS
110,110,Y Bolasie,['Yannick Bolasie'],22-01-2015,Congo DR,DR,3496,"African Cup of Nations, 2015",Cape Verde vs Congo DR,4000000,FALSE,Found in Curr Season,SUCCESS
111,111,D Mbokani,['Dieumerci Mbokani'],22-01-2015,Congo DR,DR,3496,"African Cup of Nations, 2015",Cape Verde vs Congo DR,10000000,FALSE,Found in Curr Season,SUCCESS
112,112,Rui Gomes,['Rui'],25-01-2015,Equatorial Guinea,GQ,3498,"African Cup of Nations, 2015",Gabon vs Equatorial Guinea,200000,FALSE,Found in Curr Season,SUCCESS
113,113,L Matampi,['Ley Matampi'],29-01-2017,Congo DR,DR,3504,"African Cup of Nations, 2017",Congo DR vs Ghana,50000,FALSE,Found in Curr Season,SUCCESS
114,114,I Mpeko,['Issama Mpeko'],29-01-2017,Congo DR,DR,3504,"African Cup of Nations, 2017",Congo DR vs Ghana,150000,FALSE,Found in Curr Season,SUCCESS
115,115,M Bokadi,['Merveille Bokadi'],29-01-2017,Congo DR,DR,3504,"African Cup of Nations, 2017",Congo DR vs Ghana,1000000,FALSE,Found in Curr Season,SUCCESS
116,116,M Tisserand,['Marcel Tisserand'],29-01-2017,Congo DR,DR,3504,"African Cup of Nations, 2017",Congo DR vs Ghana,7500000,FALSE,Found in Curr Season,SUCCESS
117,117,L Mutambala,['Lomalisa Mutambala'],29-01-2017,Congo DR,DR,3504,"African Cup of Nations, 2017",Congo DR vs Ghana,0,FALSE,Only Before + Zero Before,SUCCESS
118,118,R Mulumba,['Remi Mulumba'],29-01-2017,Congo DR,DR,3504,"African Cup of Nations, 2017",Congo DR vs Ghana,700000,FALSE,Found in Curr Season,SUCCESS
119,119,C Mbemba,['Chancel Mbemba'],29-01-2017,Congo DR,DR,3504,"African Cup of Nations, 2017",Congo DR vs Ghana,6000000,FALSE,Found in Curr Season,SUCCESS
120,120,F Mubele,['Firmin Mubele'],29-01-2017,Congo DR,DR,3504,"African Cup of Nations, 2017",Congo DR vs Ghana,6000000,FALSE,Found in Curr Season,SUCCESS
