,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
0,8,2714,"World Cup Qualifiers, Asia, 2026",Turkmenistan vs Uzbekistan,16-11-2023,Turkmenistan,TM,2023,FAIL,"['Merdan Gurbanov', 'Amir Gurbani']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Yazgylyc Gurbanov,Y Gurbanow,multiple,Done
1,15,2728,"World Cup Qualifiers, Asia, 2026",Afghanistan vs Kuwait,21-11-2023,Kuwait,KW,2023,FAIL,"['Abdullah Al Saqer', 'Abdullah Al Faraj']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Abdullah Al-Ammar,Abdullah Ammar,multiple,Done
2,32,4240,"World Cup 2014, Qualifiers, CONMEBOL",Colombia vs Bolivia,22-Mar-13,Bolivia,BO,2013,FAIL,"['Ignacio García', 'John García']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Ronald Garcia,García,multiple,Done
3,37,4027,"World Cup 2018, Qualifiers, CONCACAF",Guatemala vs USA,25-Mar-16,USA,US,2016,FAIL,"['Omar González', 'Jesse González']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Omar Gonzalez,Gonzalez,multiple,Done
4,38,4028,"World Cup 2018, Qualifiers, CONCACAF",Trinidad and Tobago vs Saint Vincent and the Grenadines,29-Mar-16,Trinidad and Tobago,TT,2016,FAIL,"['Jamali Garcia', 'Justin Garcia']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Justin Garcia,Garcia,multiple,Done
5,40,4043,"World Cup 2018, Qualifiers, CONCACAF",USA vs Trinidad and Tobago,06-Sep-16,USA,US,2016,FAIL,"['Omar González', 'Jesse González']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Omar Gonzalez,Gonzalez,multiple,Done
6,42,4043,"World Cup 2018, Qualifiers, CONCACAF",USA vs Trinidad and Tobago,06-Sep-16,Trinidad and Tobago,TT,2016,FAIL,"['Jamali Garcia', 'Justin Garcia']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Justin Garcia,Garcia,multiple,Done
7,45,2232,"World Cup Qualifiers, Africa, 2026",Sierra Leone vs Egypt,19-11-2023,Sierra Leone,SL,2023,FAIL,"['Donald Kamara', 'Demba Kamara']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Demba Kamara,D Kamara,multiple,Done
8,50,2236,"World Cup Qualifiers, Africa, 2026",Sudan vs Congo DR,19-11-2023,Sudan,SD,2023,FAIL,"['Ali Abdalla', 'Faris Abdalla', 'Sofian Abdalla']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Al Hilal Omdurman,Abu Agla Abdalla,multiple,Done
9,72,4284,"World Cup 2018, Qualifiers, CONMEBOL",Bolivia vs Venezuela,12-Nov-15,Venezuela,VE,2015,FAIL,"['Luis González', 'Óscar González', 'César González']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Omar Gonzalez,Gonzalez,multiple,Done
