,Jersey Name,Name Match,Date,Nationality,Country Code,Match ID,Competition,Match
0,D Tošić,['Dusko Tosic'],09-10-2017,Serbia,RS,3136,"World Cup Qualifiers, Europe, 2018",Serbia vs Georgia
1,J Næs,['Jónas Tór Naes'],13-11-2016,Faroe Islands,FO,3137,"World Cup Qualifiers, Europe, 2018",Switzerland vs Faroe Islands
2,S Kjær,['Simon Kjaer'],01-09-2017,Denmark,DK,3138,"World Cup Qualifiers, Europe, 2018",Denmark vs Poland
3,E Višća,['Edin Visca'],06-09-2016,Bosnia-Herzegovina-Herzegovina,BA,3139,"World Cup Qualifiers, Europe, 2018",Bosnia-Herzegovina-Herzegovina vs Estonia
4,A Gaţcan,['Alexandru Gatcan'],12-11-2016,Moldova,MD,3140,"World Cup Qualifiers, Europe, 2018",Georgia vs Moldova
5,A Gaţcan,['Alexandru Gatcan'],05-09-2016,Moldova,MD,3142,"World Cup Qualifiers, Europe, 2018",Wales vs Moldova
6,S Kjær,['Simon Kjaer'],05-10-2017,Denmark,DK,3158,"World Cup Qualifiers, Europe, 2018",Montenegro vs Denmark
7,E Bičakčić,['Ermin Bicakcic'],07-10-2016,Bosnia-Herzegovina-Herzegovina,BA,3163,"World Cup Qualifiers, Europe, 2018",Belgium vs Bosnia-Herzegovina-Herzegovina
8,D Subašić,['Danijel Subasic'],06-10-2016,Croatia,HR,3171,"World Cup Qualifiers, Europe, 2018",Kosovo vs Croatia
9,S Kjær,['Simon Kjaer'],26-03-2017,Denmark,DK,3173,"World Cup Qualifiers, Europe, 2018",Romania vs Denmark
10,J Næs,['Jónas Tór Naes'],09-06-2017,Faroe Islands,FO,3174,"World Cup Qualifiers, Europe, 2018",Faroe Islands vs Switzerland
11,Yan Junling,['Junling Yan'],24-03-2022,China PR,CN,2680,"World Cup Qualifiers, Asia, 2022",China PR vs Saudi Arabia
12,Gao Zhuniy,['Zhunyi Gao'],24-03-2022,China PR,CN,2680,"World Cup Qualifiers, Asia, 2022",China PR vs Saudi Arabia
13,Zhang Linpeng,['Linpeng Zhang'],24-03-2022,China PR,CN,2680,"World Cup Qualifiers, Asia, 2022",China PR vs Saudi Arabia
14,Zhu Chenjie,['Chenjie Zhu'],24-03-2022,China PR,CN,2680,"World Cup Qualifiers, Asia, 2022",China PR vs Saudi Arabia
