,Match ID,Match,Date,Competition,Nationality,Country Code,ORIGINAL JERSEY,Names_Found,Season,Status
0,867,Finland vs Armenia,15.10.19,"Euros 2020, Qualifiers",Armenia,AM,Ghazaryan,['Gevorg Ghazaryan'],2019,Success
1,869,Liechtenstein vs Italy,15.10.19,"Euros 2020, Qualifiers",Liechtenstein,LI,M-n Buchel,Martin Büchel,2019,Success
2,870,Finland vs Liechtenstein,15.11.19,"Euros 2020, Qualifiers",Finland,FI,Hradecky,['Lukas Hradecky'],2019,Success
3,870,Finland vs Liechtenstein,15.11.19,"Euros 2020, Qualifiers",Liechtenstein,LI,M-n Buchel,Martin Büchel,2019,Success
4,875,Liechtenstein vs Bosnia-Herzegovina,18.11.19,"Euros 2020, Qualifiers",Liechtenstein,LI,M-n Buchel,Martin Büchel,2019,Success
5,877,Scotland vs Cyprus,25.03.23,"Euros 2024, Qualifiers",Scotland,SC,Mc Ginn,[],2023,Success
6,877,Scotland vs Cyprus,25.03.23,"Euros 2024, Qualifiers",Scotland,SC,Mc Gregor,[],2023,Success
7,877,Scotland vs Cyprus,25.03.23,"Euros 2024, Qualifiers",Cyprus,CY,Cham Kyriakou,['Charalampos Kyriakou'],2023,Success
8,878,Spain vs Norway,25.03.23,"Euros 2024, Qualifiers",Norway,NO,Berge,['Sander Berge'],2023,Success
9,879,Georgia vs Norway,28.03.23,"Euros 2024, Qualifiers",Norway,NO,Solbakken,Ola Solbakken,2023,Success
10,880,Scotland vs Spain,28.03.23,"Euros 2024, Qualifiers",Scotland,SC,Mc Ginn,[],2023,Success
11,880,Scotland vs Spain,28.03.23,"Euros 2024, Qualifiers",Scotland,SC,Mc Gregor,[],2023,Success
12,880,Scotland vs Spain,28.03.23,"Euros 2024, Qualifiers",Spain,ES,In Martinez,['Iñigo Martínez'],2023,Success
13,881,Norway vs Scotland,17.06.23,"Euros 2024, Qualifiers",Norway,NO,Solbakken,Ola Solbakken,2023,Success
