,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
0,0,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Qatar,QA,2023,SUCCESS,Meshaal Barsham,550000.0,False,Found in Curr Season,False,Meshaal Barsham,22 Meshaal Barsham,single
1,1,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Qatar,QA,2023,SUCCESS,Boualem Khoukhi,350000.0,False,Found in Curr Season,False,Boualem Khoukhi,16 Boualem Khoukhi,single
2,2,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Qatar,QA,2023,SUCCESS,Yousef Aymen,420000.0,False,Only Before,False,Yousef Aymen,17 Yousef Aymen,single
3,3,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Qatar,QA,2023,SUCCESS,Homam Al-Amin,500000.0,False,Found in Curr Season,False,Homam Al-Amin,14 Homam Al-Amin,single
4,4,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Qatar,QA,2023,SUCCESS,Pedro Miguel,225000.0,False,Found in Curr Season,False,Pedro Miguel,2 Pedro Miguel,single
5,5,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Qatar,QA,2023,SUCCESS,Ahmed Fathi,325000.0,False,Found in Curr Season,False,Ahmed Fathi,6 Ahmed Fathi,single
6,6,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Qatar,QA,2023,SUCCESS,Mustafa Mashaal,225000.0,False,Found in Curr Season,False,Mustafa Mashaal,23 Mustafa Mashaal,single
7,7,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Qatar,QA,2023,SUCCESS,Hasan Al-Haydos,650000.0,False,Found in Curr Season,False,Hasan Al-Haydos,10 Hasan Al-Haydos,single
8,8,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Qatar,QA,2023,SUCCESS,Akram Afif,4500000.0,False,Found in Curr Season,False,Akram Afif,11 Akram Afif,single
9,9,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Qatar,QA,2023,SUCCESS,Almoez Ali,2500000.0,False,Found in Curr Season,False,Almoez Ali,19 Almoez Ali,single
10,10,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Qatar,QA,2023,SUCCESS,Ahmed Alaaeldin,550000.0,False,Found in Curr Season,False,Ahmed Alaaeldin,7 Ahmed Alaaeldin,single
11,11,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Afghanistan,AF,2023,SUCCESS,Ovays Azizi,50000.0,False,Found in Curr Season,False,Ovays Azizi,1 Ovays Azizi,single
12,12,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Afghanistan,AF,2023,SUCCESS,Mahboob Hanifi,30000.0,False,Only Before,False,Mahboob Hanifi,3 Mahboob Hanifi,single
13,13,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Afghanistan,AF,2023,SUCCESS,Maroof Mohammadi,0.0,False,Both Empty,False,Maroof Mohammadi,17 Maroof Mohammadi,single
14,14,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Afghanistan,AF,2023,SUCCESS,Habibulla Askar,0.0,False,Both Empty,False,Habibulla Askar,11 Habibulla Askar,single
15,15,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Afghanistan,AF,2023,SUCCESS,Amanullah Sardari,0.0,False,Only Before X,False,Amanullah Sardari,2 Amanullah Sardari,single
16,16,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Afghanistan,AF,2023,SUCCESS,Ali Reza Panahi,0.0,False,Both Empty,False,Ali Reza Panahi,14 Ali Reza Panahi,single
17,17,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Afghanistan,AF,2023,SUCCESS,Jamshed Asekzai,0.0,False,Both Empty,False,Jamshed Asekzai,19 Jamshed Asekzai,single
18,18,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Afghanistan,AF,2023,SUCCESS,Mustafa Azadzoy,240000.0,False,Only Before,False,Mustafa Azadzoy,7 Mustafa Azadzoy,single
19,19,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Afghanistan,AF,2023,SUCCESS,Sayed Fatemi,0.0,False,Both Empty,False,Sayed Fatemi,10 Sayed Fatemi,single
20,20,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Afghanistan,AF,2023,SUCCESS,Balal Arezou,0.0,False,Only Before X,False,Balal Arezou,9 Balal Arezou,single
21,21,"World Cup Qualifiers, Asia_604","World Cup 2026, Qualifiers, Asia",Qatar vs Afghanistan,2023-11-16,Afghanistan,AF,2023,SUCCESS,Amiruddin Sharifi,125000.0,False,Found in Curr Season,False,Amiruddin Sharifi,18 Amiruddin Sharifi,single
22,22,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,Kuwait,KW,2023,SUCCESS,Abdulrahman Kameel,325000.0,False,Found in Curr Season,False,Abdulrahman Kameel,1 Abdulrahman Kameel,single
23,23,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,Kuwait,KW,2023,SUCCESS,Hassan Al-Enezi,270000.0,False,Only Before,False,Hassan Al-Enezi,2 Hassan Al-Enezi,single
24,24,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,Kuwait,KW,2023,SUCCESS,Khaled Ebrahim,0.0,False,Only Before X,False,Khaled Ebrahim,4 Khaled Ebrahim,single
25,25,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,Kuwait,KW,2023,SUCCESS,Sultan Al-Enezi,320000.0,False,Only Before,False,Sultan Al-Enezi,6 Sultan Al-Enezi,single
26,26,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,Kuwait,KW,2023,SUCCESS,Athbi Shehab,200000.0,False,Found in Curr Season,False,Athbi Shehab,18 Athbi Shehab,single
27,27,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,Kuwait,KW,2023,SUCCESS,Fahad Al-Hajeri,350000.0,False,Found in Curr Season,False,Fahad Al-Hajeri,5 Fahad Al-Hajeri,single
28,28,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,Kuwait,KW,2023,SUCCESS,Redha Hani,120000.0,False,Only Before,False,Redha Hani,14 Redha Hani,single
29,29,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,Kuwait,KW,2023,SUCCESS,Mohammad Daham,0.0,False,Only Before X,False,Mohammad Daham,21 Mohammad Daham,single
30,30,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,Kuwait,KW,2023,SUCCESS,Mubarak Al-Fnaini,480000.0,False,Only Before,False,Mubarak Al-Fnaini,16 Mubarak Al-Fnaini,single
31,31,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,Kuwait,KW,2023,SUCCESS,Shabaib Al-Khaldi,300000.0,False,Found in Curr Season,False,Shabaib Al-Khaldi,17 Shabaib Al-Khaldi,single
32,32,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,India,IN,2023,SUCCESS,Gurpreet Singh Sandhu,225000.0,False,Found in Curr Season,False,Gurpreet Singh Sandhu,1 Gurpreet Singh Sandhu,single
33,33,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,India,IN,2023,SUCCESS,Sandesh Jhingan,300000.0,False,Found in Curr Season,False,Sandesh Jhingan,5 Sandesh Jhingan,single
34,34,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,India,IN,2023,SUCCESS,Akash Mishra,325000.0,False,Found in Curr Season,False,Akash Mishra,6 Akash Mishra,single
35,35,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,India,IN,2023,SUCCESS,Nikhil Poojary,250000.0,False,Found in Curr Season,False,Nikhil Poojary,21 Nikhil Poojary,single
36,36,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,India,IN,2023,SUCCESS,Rahul Bheke,175000.0,False,Found in Curr Season,False,Rahul Bheke,2 Rahul Bheke,single
37,37,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,India,IN,2023,SUCCESS,Suresh Singh,250000.0,False,Found in Curr Season,False,Suresh Singh,8 Suresh Singh,single
38,38,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,India,IN,2023,SUCCESS,Apuia,325000.0,False,Found in Curr Season,False,Apuia,10 Apuia,single
39,39,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,India,IN,2023,SUCCESS,Sahal Abdul Samad,325000.0,False,Found in Curr Season,False,Sahal Abdul Samad,18 Sahal Abdul Samad,single
40,40,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,India,IN,2023,SUCCESS,Manvir Singh,250000.0,False,Found in Curr Season,False,Manvir Singh,9 Manvir Singh,single
41,41,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,India,IN,2023,SUCCESS,Naorem Mahesh Singh,300000.0,False,Found in Curr Season,False,Naorem Mahesh Singh,20 Naorem Mahesh Singh,single
42,42,"World Cup Qualifiers, Asia_605","World Cup 2026, Qualifiers, Asia",Kuwait vs India,2023-11-16,India,IN,2023,SUCCESS,Sunil Chhetri,75000.0,False,Found in Curr Season,False,Sunil Chhetri,11 Sunil Chhetri,single
43,43,"World Cup Qualifiers, Asia_606","World Cup 2026, Qualifiers, Asia",India vs Qatar,2023-11-21,India,IN,2023,SUCCESS,Amrinder Singh,250000.0,False,Found in Curr Season,False,Amrinder Singh,23 Amrinder Singh,single
44,44,"World Cup Qualifiers, Asia_606","World Cup 2026, Qualifiers, Asia",India vs Qatar,2023-11-21,India,IN,2023,SUCCESS,Sandesh Jhingan,300000.0,False,Found in Curr Season,False,Sandesh Jhingan,5 Sandesh Jhingan,single
45,45,"World Cup Qualifiers, Asia_606","World Cup 2026, Qualifiers, Asia",India vs Qatar,2023-11-21,India,IN,2023,SUCCESS,Rahul Bheke,175000.0,False,Found in Curr Season,False,Rahul Bheke,2 Rahul Bheke,single
46,46,"World Cup Qualifiers, Asia_606","World Cup 2026, Qualifiers, Asia",India vs Qatar,2023-11-21,India,IN,2023,SUCCESS,Subhasish Bose,275000.0,False,Found in Curr Season,False,Subhasish Bose,3 Subhasish Bose,single
47,47,"World Cup Qualifiers, Asia_606","World Cup 2026, Qualifiers, Asia",India vs Qatar,2023-11-21,India,IN,2023,SUCCESS,Nikhil Poojary,250000.0,False,Found in Curr Season,False,Nikhil Poojary,21 Nikhil Poojary,single
