,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
0,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,Germany,DE,2018,SUCCESS,Manuel Neuer,18000000.0,FALSE,Found in Curr Season,FALSE,Manuel Neuer,1 Manuel Neuer,single,
1,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,Germany,DE,2018,SUCCESS,Mats Hummels,35000000.0,FALSE,Found in Curr Season,FALSE,Mats Hummels,5 Mats Hummels,single,
2,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,Germany,DE,2018,SUCCESS,Jérôme Boateng,20000000.0,FALSE,Found in Curr Season,FALSE,Jérôme Boateng,17 Jérôme Boateng,single,
3,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,Germany,DE,2018,SUCCESS,Antonio Rüdiger,50000000.0,FALSE,Found in Curr Season,FALSE,Antonio Rüdiger,16 Antonio Rüdiger,single,
4,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,Germany,DE,2018,SUCCESS,Matthias Ginter,35000000.0,FALSE,Found in Curr Season,FALSE,Matthias Ginter,4 Matthias Ginter,single,
5,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,Germany,DE,2018,SUCCESS,Joshua Kimmich,70000000.0,FALSE,Found in Curr Season,FALSE,Joshua Kimmich,18 Joshua Kimmich,single,
6,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,Germany,DE,2018,SUCCESS,Toni Kroos,60000000.0,FALSE,Found in Curr Season,FALSE,Toni Kroos,8 Toni Kroos,single,
7,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,Germany,DE,2018,SUCCESS,Leon Goretzka,50000000.0,FALSE,Found in Curr Season,FALSE,Leon Goretzka,6 Leon Goretzka,single,
8,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,Germany,DE,2018,SUCCESS,Timo Werner,65000000.0,FALSE,Found in Curr Season,FALSE,Timo Werner,9 Timo Werner,single,
9,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,Germany,DE,2018,SUCCESS,Thomas Müller,35000000.0,FALSE,Found in Curr Season,FALSE,Thomas Müller,13 Thomas Müller,single,
10,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,Germany,DE,2018,SUCCESS,Marco Reus,50000000.0,FALSE,Found in Curr Season,FALSE,Marco Reus,11 Marco Reus,single,
11,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,France,FR,2018,SUCCESS,Alphonse Areola,17500000.0,FALSE,Found in Curr Season,FALSE,Alphonse Areola,16 Alphonse Areola,single,
12,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,France,FR,2018,SUCCESS,Samuel Umtiti,45000000.0,FALSE,Found in Curr Season,FALSE,Samuel Umtiti,5 Samuel Umtiti,single,
13,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,France,FR,2018,SUCCESS,Raphaël Varane,70000000.0,FALSE,Found in Curr Season,FALSE,Raphaël Varane,4 Raphaël Varane,single,
14,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,France,FR,2018,SUCCESS,Lucas Hernández,70000000.0,FALSE,Found in Curr Season,FALSE,Lucas Hernández,21 Lucas Hernández,single,
15,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,France,FR,2018,SUCCESS,Benjamin Pavard,30000000.0,FALSE,Found in Curr Season,FALSE,Benjamin Pavard,2 Benjamin Pavard,single,
16,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,France,FR,2018,SUCCESS,N'Golo Kanté,100000000.0,FALSE,Found in Curr Season,FALSE,N'Golo Kanté,13 N'Golo Kanté,single,
17,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,France,FR,2018,SUCCESS,Paul Pogba,100000000.0,FALSE,Found in Curr Season,FALSE,Paul Pogba,6 Paul Pogba,single,
18,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,France,FR,2018,SUCCESS,Blaise Matuidi,22000000.0,FALSE,Found in Curr Season,FALSE,Blaise Matuidi,14 Blaise Matuidi,single,
19,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,France,FR,2018,SUCCESS,Kylian Mbappé,200000000.0,FALSE,Found in Curr Season,FALSE,Kylian Mbappé,10 Kylian Mbappé,single,
20,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,France,FR,2018,SUCCESS,Antoine Griezmann,130000000.0,FALSE,Found in Curr Season,FALSE,Antoine Griezmann,7 Antoine Griezmann,single,
21,Nations League_0,Nations League 2018-2020,Germany vs France,2018-09-06,France,FR,2018,SUCCESS,Olivier Giroud,15000000.0,FALSE,Found in Curr Season,FALSE,Olivier Giroud,9 Olivier Giroud,single,
22,Nations League_1,Nations League 2018-2020,France vs Netherlands,2018-09-09,France,FR,2018,SUCCESS,Alphonse Areola,17500000.0,FALSE,Found in Curr Season,FALSE,Alphonse Areola,16 Alphonse Areola,single,
23,Nations League_1,Nations League 2018-2020,France vs Netherlands,2018-09-09,France,FR,2018,SUCCESS,Samuel Umtiti,45000000.0,FALSE,Found in Curr Season,FALSE,Samuel Umtiti,5 Samuel Umtiti,single,
24,Nations League_1,Nations League 2018-2020,France vs Netherlands,2018-09-09,France,FR,2018,SUCCESS,Raphaël Varane,70000000.0,FALSE,Found in Curr Season,FALSE,Raphaël Varane,4 Raphaël Varane,single,
25,Nations League_1,Nations League 2018-2020,France vs Netherlands,2018-09-09,France,FR,2018,SUCCESS,Lucas Hernández,70000000.0,FALSE,Found in Curr Season,FALSE,Lucas Hernández,21 Lucas Hernández,single,
26,Nations League_1,Nations League 2018-2020,France vs Netherlands,2018-09-09,France,FR,2018,SUCCESS,Benjamin Pavard,30000000.0,FALSE,Found in Curr Season,FALSE,Benjamin Pavard,2 Benjamin Pavard,single,
27,Nations League_1,Nations League 2018-2020,France vs Netherlands,2018-09-09,France,FR,2018,SUCCESS,N'Golo Kanté,100000000.0,FALSE,Found in Curr Season,FALSE,N'Golo Kanté,13 N'Golo Kanté,single,
28,Nations League_1,Nations League 2018-2020,France vs Netherlands,2018-09-09,France,FR,2018,SUCCESS,Paul Pogba,100000000.0,FALSE,Found in Curr Season,FALSE,Paul Pogba,6 Paul Pogba,single,
29,Nations League_1,Nations League 2018-2020,France vs Netherlands,2018-09-09,France,FR,2018,SUCCESS,Blaise Matuidi,22000000.0,FALSE,Found in Curr Season,FALSE,Blaise Matuidi,14 Blaise Matuidi,single,
30,Nations League_1,Nations League 2018-2020,France vs Netherlands,2018-09-09,France,FR,2018,SUCCESS,Kylian Mbappé,200000000.0,FALSE,Found in Curr Season,FALSE,Kylian Mbappé,10 Kylian Mbappé,single,
31,Nations League_1,Nations League 2018-2020,France vs Netherlands,2018-09-09,France,FR,2018,SUCCESS,Antoine Griezmann,130000000.0,FALSE,Found in Curr Season,FALSE,Antoine Griezmann,7 Antoine Griezmann,single,
32,Nations League_1,Nations League 2018-2020,France vs Netherlands,2018-09-09,France,FR,2018,SUCCESS,Olivier Giroud,15000000.0,FALSE,Found in Curr Season,FALSE,Olivier Giroud,9 Olivier Giroud,single,
33,Nations League_1,Nations League 2018-2020,France vs Netherlands,2018-09-09,Netherlands,NL,2018,SUCCESS,Jasper Cillessen,18000000.0,FALSE,Found in Curr Season,FALSE,Jasper Cillessen,1 Jasper Cillessen,single,
