,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Competition General,Date,Match
0,Italy,21 Gianluigi Donnarumma,3 Giorgio Chiellini,19 Leonardo Bonucci,13 Emerson,2 Giovanni Di Lorenzo,8 Jorginho,6 Marco Verratti,18 Nicolò Barella,10 Lorenzo Insigne,14 Federico Chiesa,17 Ciro Immobile,24 Alessandro Florenzi,5 Manuel Locatelli,16 Bryan Cristante,11 Domenico Berardi,20 Federico Bernardeschi,9 Andrea Belotti,26 Alex Meret,1 Salvatore Sirigu,15 Francesco Acerbi,23 Alessandro Bastoni,25 Rafael Tolói,12 Matteo Pessina,-,-,-,-,-,-,-,-,Euros 2020,Euros,"Sun Jul 11, 2021",Italy vs England
0,England,1 Jordan Pickford,5 John Stones,6 Harry Maguire,2 Kyle Walker,4 Declan Rice,14 Kalvin Phillips,12 Kieran Trippier,3 Luke Shaw,19 Mason Mount,10 Raheem Sterling,9 Harry Kane,8 Jordan Henderson,7 Jack Grealish,11 Marcus Rashford,17 Jadon Sancho,25 Bukayo Saka,13 Aaron Ramsdale,23 Sam Johnstone,15 Tyrone Mings,16 Conor Coady,24 Reece James,26 Jude Bellingham,18 Dominic Calvert-Lewin,-,-,-,-,-,-,-,-,Euros 2020,Euros,"Sun Jul 11, 2021",Italy vs England
1,Italy,21 Gianluigi Donnarumma,3 Giorgio Chiellini,19 Leonardo Bonucci,13 Emerson,2 Giovanni Di Lorenzo,8 Jorginho,6 Marco Verratti,18 Nicolò Barella,10 Lorenzo Insigne,14 Federico Chiesa,17 Ciro Immobile,25 Rafael Tolói,5 Manuel Locatelli,12 Matteo Pessina,11 Domenico Berardi,20 Federico Bernardeschi,9 Andrea Belotti,26 Alex Meret,1 Salvatore Sirigu,15 Francesco Acerbi,23 Alessandro Bastoni,24 Alessandro Florenzi,16 Bryan Cristante,-,-,-,-,-,-,-,-,Euros 2020,Euros,"Tue Jul 6, 2021",Italy vs Spain
1,Spain,23 Unai Simón,24 Aymeric Laporte,12 Eric García,18 Jordi Alba,2 César Azpilicueta,5 Sergio Busquets,8 Koke,26 Pedri,21 Mikel Oyarzabal,11 Ferran Torres,19 Dani Olmo,4 Pau Torres,16 Rodri,6 Marcos Llorente,10 Thiago,9 Gerard Moreno,7 Álvaro Morata,1 David de Gea,13 Robert Sánchez,3 Diego Llorente,14 José Gayà,17 Fabián Ruiz,20 Adama Traoré,-,-,-,-,-,-,-,-,Euros 2020,Euros,"Tue Jul 6, 2021",Italy vs Spain
2,England,1 Jordan Pickford,5 John Stones,6 Harry Maguire,3 Luke Shaw,2 Kyle Walker,4 Declan Rice,14 Kalvin Phillips,25 Bukayo Saka,19 Mason Mount,10 Raheem Sterling,9 Harry Kane,12 Kieran Trippier,8 Jordan Henderson,7 Jack Grealish,20 Phil Foden,-,13 Aaron Ramsdale,23 Sam Johnstone,15 Tyrone Mings,16 Conor Coady,24 Reece James,26 Jude Bellingham,11 Marcus Rashford,17 Jadon Sancho,-,-,-,-,-,-,-,Euros 2020,Euros,"Wed Jul 7, 2021",England vs Denmark
2,Denmark,1 Kasper Schmeichel,3 Jannik Vestergaard,4 Simon Kjaer,6 Andreas Christensen,23 Pierre-Emile Højbjerg,8 Thomas Delaney,17 Jens Stryger Larsen,5 Joakim Maehle,14 Mikkel Damsgaard,9 Martin Braithwaite,12 Kasper Dolberg,2 Joachim Andersen,15 Christian Nørgaard,18 Daniel Wass,24 Mathias Jensen,19 Jonas Wind,20 Yussuf Poulsen,16 Jonas Lössl,22 Frederik Rönnow,13 Zanka,7 Robert Skov,11 Andreas Skov Olsen,21 Andreas Cornelius,-,-,-,-,-,-,-,-,Euros 2020,Euros,"Wed Jul 7, 2021",England vs Denmark
3,Switzerland,1 Yann Sommer,13 Ricardo Rodríguez,4 Nico Elvedi,5 Manuel Akanji,6 Denis Zakaria,8 Remo Freuler,3 Silvan Widmer,14 Steven Zuber,23 Xherdan Shaqiri,7 Breel Embolo,9 Haris Seferovic,22 Fabian Schär,2 Kevin Mbabu,15 Djibril Sow,16 Christian Fassnacht,11 Rubén Vargas,19 Mario Gavranovic,12 Yvon Mvogo,21 Gregor Kobel,17 Loris Benito,20 Edimilson Fernandes,25 Eray Cömert,26 Jordan Lotomba,-,-,-,-,-,-,-,-,Euros 2020,Euros,"Fri Jul 2, 2021",Switzerland vs Spain
3,Spain,23 Unai Simón,4 Pau Torres,24 Aymeric Laporte,18 Jordi Alba,2 César Azpilicueta,5 Sergio Busquets,8 Koke,26 Pedri,22 Pablo Sarabia,11 Ferran Torres,7 Álvaro Morata,16 Rodri,6 Marcos Llorente,10 Thiago,19 Dani Olmo,21 Mikel Oyarzabal,9 Gerard Moreno,1 David de Gea,13 Robert Sánchez,3 Diego Llorente,12 Eric García,14 José Gayà,20 Adama Traoré,-,-,-,-,-,-,-,-,Euros 2020,Euros,"Fri Jul 2, 2021",Switzerland vs Spain
4,Belgium,1 Thibaut Courtois,3 Thomas Vermaelen,5 Jan Vertonghen,2 Toby Alderweireld,6 Axel Witsel,8 Youri Tielemans,15 Thomas Meunier,16 Thorgan Hazard,7 Kevin De Bruyne,25 Jérémy Doku,9 Romelu Lukaku,26 Dennis Praet,22 Nacer Chadli,14 Dries Mertens,-,-,12 Thomas Kaminski,13 Matz Sels,4 Dedryck Boyata,18 Jason Denayer,19 Leander Dendoncker,11 Yannick Carrasco,24 Leandro Trossard,20 Christian Benteke,23 Michy Batshuayi,-,-,-,-,-,-,Euros 2020,Euros,"Fri Jul 2, 2021",Belgium vs Italy
4,Italy,21 Gianluigi Donnarumma,3 Giorgio Chiellini,19 Leonardo Bonucci,4 Leonardo Spinazzola,2 Giovanni Di Lorenzo,8 Jorginho,6 Marco Verratti,18 Nicolò Barella,10 Lorenzo Insigne,14 Federico Chiesa,17 Ciro Immobile,25 Rafael Tolói,13 Emerson,16 Bryan Cristante,11 Domenico Berardi,9 Andrea Belotti,26 Alex Meret,1 Salvatore Sirigu,15 Francesco Acerbi,23 Alessandro Bastoni,5 Manuel Locatelli,12 Matteo Pessina,20 Federico Bernardeschi,-,-,-,-,-,-,-,-,Euros 2020,Euros,"Fri Jul 2, 2021",Belgium vs Italy
