,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,TM Link
0,1339,"Olympics, 2016",Colombia vs Nigeria,08-10-2016,Colombia,CO,2016,SUCCESS,Cristián Borja,450000,FALSE,Found in Curr Season,FALSE,Cristián Borja,Cristian Borja,single,https://www.transfermarkt.us/cristian-borja/profil/spieler/356099
1,1355,"Olympics, 2016",Brazil vs Colombia,08-13-2016,Colombia,CO,2016,SUCCESS,Cristián Borja,450000,FALSE,Found in Curr Season,FALSE,Cristián Borja,Cristian Borja,single,https://www.transfermarkt.us/cristian-borja/profil/spieler/356099
2,1362,"Olympics, 2020",Japan vs South Africa,07-22-2021,Japan,JP,2021,SUCCESS,Daichi Hayashi,650000,FALSE,Found in Curr Season,FALSE,Daichi Hayashi,Daichi Hayashi,single,https://www.transfermarkt.us/daichi-hayashi/profil/spieler/690993
3,1364,"Olympics, 2020",Japan vs Mexico,07-25-2021,Japan,JP,2021,SUCCESS,Daichi Hayashi,650000,FALSE,Found in Curr Season,FALSE,Daichi Hayashi,Daichi Hayashi,single,https://www.transfermarkt.us/daichi-hayashi/profil/spieler/690993
4,1386,"Olympics, 2020",Japan vs New Zealand,07-31-2021,Japan,JP,2021,SUCCESS,Daichi Hayashi,650000,FALSE,Found in Curr Season,FALSE,Daichi Hayashi,Daichi Hayashi,single,https://www.transfermarkt.us/daichi-hayashi/profil/spieler/690993
5,1390,"Olympics, 2020",Japan vs Spain,08-03-2021,Japan,JP,2021,SUCCESS,Daichi Hayashi,650000,FALSE,Found in Curr Season,FALSE,Daichi Hayashi,Daichi Hayashi,single,https://www.transfermarkt.us/daichi-hayashi/profil/spieler/690993
6,1391,"Olympics, 2020",Mexico vs Japan,08-06-2021,Japan,JP,2021,SUCCESS,Daichi Hayashi,650000,FALSE,Found in Curr Season,FALSE,Daichi Hayashi,Daichi Hayashi,single,https://www.transfermarkt.us/daichi-hayashi/profil/spieler/690993
7,1374,"Olympics, 2020",Argentina vs Australia,07-22-2021,Australia,AU,2021,SUCCESS,Daniel Arzani,700000,FALSE,Found in Curr Season,FALSE,Daniel Arzani,Daniel Arzani,single,https://www.transfermarkt.us/daniel-arzani/profil/spieler/399997
8,1376,"Olympics, 2020",Australia vs Spain,07-25-2021,Australia,AU,2021,SUCCESS,Daniel Arzani,700000,FALSE,Found in Curr Season,FALSE,Daniel Arzani,Daniel Arzani,single,https://www.transfermarkt.us/daniel-arzani/profil/spieler/399997
9,1334,"Olympics, 2016",Sweden vs Colombia,08-04-2016,Colombia,CO,2016,SUCCESS,Deiver Machado,700000,FALSE,Found in Curr Season,FALSE,Deiver Machado,Deiver Machado,single,https://www.transfermarkt.us/deiver-machado/profil/spieler/332560
10,1337,"Olympics, 2016",Japan vs Colombia,08-07-2016,Colombia,CO,2016,SUCCESS,Deiver Machado,700000,FALSE,Found in Curr Season,FALSE,Deiver Machado,Deiver Machado,single,https://www.transfermarkt.us/deiver-machado/profil/spieler/332560
11,1328,"Olympics, 2016",Iraq vs Denmark,08-04-2016,Denmark,DK,2016,SUCCESS,Eddi Gomes,775000,FALSE,Found in Curr Season,FALSE,Eddi Gomes,Edigeison Gomes,single,https://www.transfermarkt.us/eddi-gomes/profil/spieler/161137
12,1330,"Olympics, 2016",Denmark vs South Africa,08-07-2016,Denmark,DK,2016,SUCCESS,Eddi Gomes,775000,FALSE,Found in Curr Season,FALSE,Eddi Gomes,Edigeison Gomes,single,https://www.transfermarkt.us/eddi-gomes/profil/spieler/161137
13,1332,"Olympics, 2016",Denmark vs Brazil,08-10-2016,Denmark,DK,2016,SUCCESS,Eddi Gomes,775000,FALSE,Found in Curr Season,FALSE,Eddi Gomes,Edigeison Gomes,single,https://www.transfermarkt.us/eddi-gomes/profil/spieler/161137
14,1353,"Olympics, 2016",Nigeria vs Denmark,08-13-2016,Denmark,DK,2016,SUCCESS,Eddi Gomes,775000,FALSE,Found in Curr Season,FALSE,Eddi Gomes,Edigeison Gomes,single,https://www.transfermarkt.us/eddi-gomes/profil/spieler/161137
15,1371,"Olympics, 2020",Romania vs New Zealand,07-28-2021,Romania,RO,2021,SUCCESS,Eddi Gomes,775000,FALSE,Found in Curr Season,FALSE,Eddi Gomes,Eduard Florescu,single,https://www.transfermarkt.com/eduard-florescu/profil/spieler/379194
16,1345,"Olympics, 2016",South Korea vs Mexico,08-10-2016,Mexico,MX,2016,SUCCESS,Erick Aguirre,1000000,FALSE,Found in Curr Season,FALSE,Erick Aguirre,Erick Aguirre,single,https://www.transfermarkt.us/erick-aguirre/profil/spieler/295373
17,1374,"Olympics, 2020",Argentina vs Australia,07-22-2021,Argentina,AR,2021,SUCCESS,Ezequiel Barco,10000000,FALSE,Found in Curr Season,FALSE,Ezequiel Barco,Ezequiel Barco,single,https://www.transfermarkt.us/esequiel-barco/profil/spieler/456623
18,1375,"Olympics, 2020",Egypt vs Argentina,07-25-2021,Argentina,AR,2021,SUCCESS,Ezequiel Barco,10000000,FALSE,Found in Curr Season,FALSE,Ezequiel Barco,Ezequiel Barco,single,https://www.transfermarkt.us/esequiel-barco/profil/spieler/456623
19,1378,"Olympics, 2020",Spain vs Argentina,07-28-2021,Argentina,AR,2021,SUCCESS,Ezequiel Barco,10000000,FALSE,Found in Curr Season,FALSE,Ezequiel Barco,Ezequiel Barco,single,https://www.transfermarkt.us/esequiel-barco/profil/spieler/456623
20,1346,"Olympics, 2016",Honduras vs Algeria,08-04-2016,Algeria,DZ,2016,SUCCESS,Farid Chaâl,400000,FALSE,Found in Curr Season,FALSE,Farid Chaâl,Farid Chaâl,single,https://www.transfermarkt.com/farid-chaal/profil/spieler/315344
21,1349,"Olympics, 2016",Argentina vs Algeria,08-07-2016,Algeria,DZ,2016,SUCCESS,Farid Chaâl,400000,FALSE,Found in Curr Season,FALSE,Farid Chaâl,Farid Chaâl,single,https://www.transfermarkt.com/farid-chaal/profil/spieler/315344
22,1374,"Olympics, 2020",Argentina vs Australia,07-22-2021,Argentina,AR,2021,SUCCESS,Fausto Vera,8000000,FALSE,Found in Curr Season,FALSE,Fausto Vera,Fausto Vera,single,https://www.transfermarkt.com/fausto-vera/profil/spieler/491701
23,1375,"Olympics, 2020",Egypt vs Argentina,07-25-2021,Argentina,AR,2021,SUCCESS,Fausto Vera,8000000,FALSE,Found in Curr Season,FALSE,Fausto Vera,Fausto Vera,single,https://www.transfermarkt.com/fausto-vera/profil/spieler/491701
24,1378,"Olympics, 2020",Spain vs Argentina,07-28-2021,Argentina,AR,2021,SUCCESS,Fausto Vera,8000000,FALSE,Found in Curr Season,FALSE,Fausto Vera,Fausto Vera,single,https://www.transfermarkt.com/fausto-vera/profil/spieler/491701
25,1374,"Olympics, 2020",Argentina vs Australia,07-22-2021,Argentina,AR,2021,SUCCESS,Francisco Ortega,4200000,FALSE,Found in Curr Season,FALSE,Francisco Ortega,Francisco Ortega,single,https://www.transfermarkt.us/francisco-ortega/profil/spieler/553663
26,1351,"Olympics, 2016",Algeria vs Portugal,2016-08-10,Portugal,PT,2016,SUCCESS,Francisco Ramos,1500000,FALSE,Found in Curr Season,FALSE,Francisco Ramos,Francisco Ramos,single,https://www.transfermarkt.com/francisco-ramos/profil/spieler/198007
27,1367,"Olympics, 2020",New Zealand vs South Korea,07-22-2021,New Zealand,NZ,2021,SUCCESS,Gianni Stensness,325000,FALSE,Found in Curr Season,FALSE,Gianni Stensness,Gianni Stensness,single,https://www.transfermarkt.us/gianni-stensness/profil/spieler/627472
28,1369,"Olympics, 2020",New Zealand vs Honduras,07-25-2021,New Zealand,NZ,2021,SUCCESS,Gianni Stensness,325000,FALSE,Found in Curr Season,FALSE,Gianni Stensness,Gianni Stensness,single,https://www.transfermarkt.us/gianni-stensness/profil/spieler/627472
29,1371,"Olympics, 2020",Romania vs New Zealand,07-28-2021,New Zealand,NZ,2021,SUCCESS,Gianni Stensness,325000,FALSE,Found in Curr Season,FALSE,Gianni Stensness,Gianni Stensness,single,https://www.transfermarkt.us/gianni-stensness/profil/spieler/627472
30,1386,"Olympics, 2020",Japan vs New Zealand,07-31-2021,New Zealand,NZ,2021,SUCCESS,Gianni Stensness,325000,FALSE,Found in Curr Season,FALSE,Gianni Stensness,Gianni Stensness,single,https://www.transfermarkt.us/gianni-stensness/profil/spieler/627472
31,1346,"Olympics, 2016",Honduras vs Algeria,08-04-2016,Algeria,DZ,2016,SUCCESS,Haris Belkebla,800000,FALSE,Found in Curr Season,FALSE,Haris Belkebla,Haris Belkebla,single,https://www.transfermarkt.us/haris-belkebla/profil/spieler/138055
32,1349,"Olympics, 2016",Argentina vs Algeria,08-07-2016,Algeria,DZ,2016,SUCCESS,Haris Belkebla,800000,FALSE,Found in Curr Season,FALSE,Haris Belkebla,Haris Belkebla,single,https://www.transfermarkt.us/haris-belkebla/profil/spieler/138055
33,1339,"Olympics, 2016",Colombia vs Nigeria,08-10-2016,Colombia,CO,2016,SUCCESS,Harold Preciado,1000000,FALSE,Found in Curr Season,FALSE,Harold Preciado,Harold Preciado,single,https://www.transfermarkt.us/harold-preciado/profil/spieler/362668
34,1355,"Olympics, 2016",Brazil vs Colombia,08-13-2016,Colombia,CO,2016,SUCCESS,Harold Preciado,1000000,FALSE,Found in Curr Season,FALSE,Harold Preciado,Harold Preciado,single,https://www.transfermarkt.us/harold-preciado/profil/spieler/362668
