,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,Lookup Still Required?,Lookup Return Case,Name(s) Found,Translated Name,Original Case,To Remove
0,1804,201,2246,"World Cup Qualifiers, Africa, 2026",17-11-2023,Zambia vs Congo,2023,Congo,CG,W Mongondza,True,Lookup Required,0,,Match Date Filter Said 0,False
1,1805,202,2246,"World Cup Qualifiers, Africa, 2026",17-11-2023,Zambia vs Congo,2023,Congo,CG,V Illoy-Ayyet,True,Lookup Required,0,,Match Date Filter Said 0,False
2,1806,203,2246,"World Cup Qualifiers, Africa, 2026",17-11-2023,Zambia vs Congo,2023,Congo,CG,F Dembi,True,Lookup Required,0,,Match Date Filter Said 0,False
3,1807,204,2246,"World Cup Qualifiers, Africa, 2026",17-11-2023,Zambia vs Congo,2023,Congo,CG,M Bassouamina,True,Lookup Required,0,,Match Date Filter Said 0,False
4,1808,205,2246,"World Cup Qualifiers, Africa, 2026",17-11-2023,Zambia vs Congo,2023,Congo,CG,P Mboungou,True,Lookup Required,0,,Match Date Filter Said 0,False
5,1829,226,3488,"African Cup of Nations, 2015",17-01-2015,Equatorial Guinea vs Congo,2015,Congo,CG,C Mafoumbi,True,Lookup Required,0,,Match Date Filter Said 0,False
6,1830,227,3488,"African Cup of Nations, 2015",17-01-2015,Equatorial Guinea vs Congo,2015,Congo,CG,M Baudry,True,Lookup Required,0,,Match Date Filter Said 0,False
7,1831,228,3488,"African Cup of Nations, 2015",17-01-2015,Equatorial Guinea vs Congo,2015,Congo,CG,S Babélé,True,Lookup Required,0,,Match Date Filter Said 0,False
8,1832,229,3488,"African Cup of Nations, 2015",17-01-2015,Equatorial Guinea vs Congo,2015,Congo,CG,B Moubhio,True,Lookup Required,0,,Match Date Filter Said 0,False
9,1833,230,3488,"African Cup of Nations, 2015",17-01-2015,Equatorial Guinea vs Congo,2015,Congo,CG,F N'Ganga,True,Lookup Required,0,,Match Date Filter Said 0,False
10,1834,231,3488,"African Cup of Nations, 2015",17-01-2015,Equatorial Guinea vs Congo,2015,Congo,CG,C Gandzé,True,Lookup Required,0,,Match Date Filter Said 0,False
11,1835,232,3488,"African Cup of Nations, 2015",17-01-2015,Equatorial Guinea vs Congo,2015,Congo,CG,D NDinga,True,Lookup Required,0,,Match Date Filter Said 0,False
12,1838,235,3492,"African Cup of Nations, 2015",31-01-2015,Congo vs Congo DR,2015,Congo,CG,C Mafoumbi,True,Lookup Required,0,,Match Date Filter Said 0,False
13,1839,236,3492,"African Cup of Nations, 2015",31-01-2015,Congo vs Congo DR,2015,Congo,CG,M Baudry,True,Lookup Required,0,,Match Date Filter Said 0,False
14,1840,237,3492,"African Cup of Nations, 2015",31-01-2015,Congo vs Congo DR,2015,Congo,CG,S Babélé,True,Lookup Required,0,,Match Date Filter Said 0,False
15,1841,238,3492,"African Cup of Nations, 2015",31-01-2015,Congo vs Congo DR,2015,Congo,CG,B Moubhio,True,Lookup Required,0,,Match Date Filter Said 0,False
16,1842,239,3492,"African Cup of Nations, 2015",31-01-2015,Congo vs Congo DR,2015,Congo,CG,D Bissiki,True,Lookup Required,0,,Match Date Filter Said 0,False
17,1843,240,3492,"African Cup of Nations, 2015",31-01-2015,Congo vs Congo DR,2015,Congo,CG,D NDinga,True,Lookup Required,0,,Match Date Filter Said 0,False
18,2118,515,2073,"World Cup Qualifiers, Africa, 2022",02-09-2021,Namibia vs Congo,2021,Congo,CG,C Mafoumbi,True,Lookup Required,0,,Match Date Filter Said 0,False
19,2119,516,2073,"World Cup Qualifiers, Africa, 2022",02-09-2021,Namibia vs Congo,2021,Congo,CG,R Tsouka,True,Lookup Required,0,,Match Date Filter Said 0,False
20,2120,517,2073,"World Cup Qualifiers, Africa, 2022",02-09-2021,Namibia vs Congo,2021,Congo,CG,V Rozan,True,Lookup Required,0,,Match Date Filter Said 0,False
