,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,Lookup Still Required?,Lookup Return Case,Name(s) Found,Translated Name,Original Case,To Remove
0,5,5,11,"U-20 World Cup, 2015",10.06.15,Ukraine U-20 vs Senegal U-20,2015,Senegal,SN,4. М. Сане,True,Failed Using Name Looking at Season and Season +-1,['Mouhameth Sané'],M Sane,Cyrillic Dudes,False
1,6,6,11,"U-20 World Cup, 2015",10.06.15,Ukraine U-20 vs Senegal U-20,2015,Senegal,SN,8. Сиди Сарр,True,Failed Using Name Looking at Season and Season +-1,['Sidy Sarr'],Sidi Sarr,Cyrillic Dudes,False
2,7,7,11,"U-20 World Cup, 2015",10.06.15,Ukraine U-20 vs Senegal U-20,2015,Senegal,SN,12. М.Л. Ндиайе,True,Failed Using Name Looking at Season and Season +-1,['Mamadou Loum'],M L Ndiaye,Cyrillic Dudes,False
3,8,8,11,"U-20 World Cup, 2015",10.06.15,Ukraine U-20 vs Senegal U-20,2015,Senegal,SN,14. М. Коне,True,Failed Using Name Looking at Season and Season +-1,['Moussa Koné'],M Kone,Cyrillic Dudes,False
4,9,9,11,"U-20 World Cup, 2015",10.06.15,Ukraine U-20 vs Senegal U-20,2015,Senegal,SN,17. Роджер Гомис,True,Failed Using Name Looking at Season and Season +-1,['Roger Gomis'],Roger Gomis,Cyrillic Dudes,False
5,10,10,11,"U-20 World Cup, 2015",10.06.15,Ukraine U-20 vs Senegal U-20,2015,Senegal,SN,19. М. Тиам,True,Failed Using Name Looking at Season and Season +-1,['Mame Thiam'],M Tiam,Cyrillic Dudes,False
6,11,11,11,"U-20 World Cup, 2015",10.06.15,Ukraine U-20 vs Senegal U-20,2015,Senegal,SN,20. Реми Нассалан,True,Failed Using Name Looking at Season and Season +-1,['Rémi Nassalan'],Remi Nassalan,Cyrillic Dudes,False
7,12,12,11,"U-20 World Cup, 2015",10.06.15,Ukraine U-20 vs Senegal U-20,2015,Senegal,SN,7. Ваджи,True,Failed Using Name Looking at Season and Season +-1,['Ibrahima Wadji'],Vaji,Cyrillic Dudes,False
8,13,13,16,"U-20 World Cup, 2015",30.05.15,New Zealand U-20 vs Ukraine U-20,2015,New Zealand,NZ,20. Биллингсли,True,Failed Using Name Looking at Season and Season +-1,['Noah Billingsley'],Billingsley,Cyrillic Dudes,False
9,14,14,18,"U-20 World Cup, 2015",02.06.15,Myanmar U-20 vs Ukraine U-20,2015,Myanmar,MM,8. Маунг Маунг Сое,True,Failed Using Name Looking at Season and Season +-1,['Maung Maung Soe'],Maung Maung Soe,Cyrillic Dudes,False
10,15,15,21,"U-20 World Cup, 2015",05.06.15,Ukraine U-20 vs United States U-20,2015,United States,US,2. Мур,True,Failed Using Name Looking at Season and Season +-1,['Shaq Moore'],Moore,Cyrillic Dudes,False
11,16,16,21,"U-20 World Cup, 2015",05.06.15,Ukraine U-20 vs United States U-20,2015,United States,US,18. Палмер-Браун,True,Failed Using Name Looking at Season and Season +-1,['Erik Palmer-Brown'],Palmer Brown,Cyrillic Dudes,False
