,Unnamed: 0,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Match(es) Found,Status,Market Value,Lookup Still Required?,Lookup Return Case
0,0,1200,539,"Euros 2016, Qualifiers",12.10.14,Austria vs Montenegro,2014,Austria,AT,17. Кляйн,Klein,['Florian Klein'],SUCCESS,1500000,FALSE,Found in Curr Season
1,1,1201,539,"Euros 2016, Qualifiers",12.10.14,Austria vs Montenegro,2014,Montenegro,ME,1. Полексич,Poleksić,['Vukasin Poleksic'],SUCCESS,400000,FALSE,Found in Curr Season
2,2,1202,539,"Euros 2016, Qualifiers",12.10.14,Austria vs Montenegro,2014,Montenegro,ME,3. Волков,Volkov,['Vladimir Volkov'],SUCCESS,1500000,FALSE,Found in Curr Season
3,3,1203,539,"Euros 2016, Qualifiers",12.10.14,Austria vs Montenegro,2014,Montenegro,ME,5. Баша,Basha,['Marko Basa'],SUCCESS,2500000,FALSE,Found in Curr Season
4,5,1205,539,"Euros 2016, Qualifiers",12.10.14,Austria vs Montenegro,2014,Montenegro,ME,9. Вучинич,Vučinič,['Mirko Vucinic'],SUCCESS,9000000,FALSE,Found in Curr Season
5,6,1206,539,"Euros 2016, Qualifiers",12.10.14,Austria vs Montenegro,2014,Montenegro,ME,11. Бечирай,Beciray,['Fatos Beqiraj'],SUCCESS,1000000,FALSE,Found in Curr Season
6,8,1208,539,"Euros 2016, Qualifiers",12.10.14,Austria vs Montenegro,2014,Montenegro,ME,17. Зверотич,Zverotić,['Elsad Zverotic'],SUCCESS,750000,FALSE,Found in Curr Season
7,9,1209,539,"Euros 2016, Qualifiers",12.10.14,Austria vs Montenegro,2014,Montenegro,ME,19. Божович В.,V Bozovic,['Vladimir Bozovic'],SUCCESS,250000,FALSE,Found in Curr Season
8,10,1210,539,"Euros 2016, Qualifiers",12.10.14,Austria vs Montenegro,2014,Montenegro,ME,20. Николич,Nikolic,['Nemanja Nikolic'],SUCCESS,800000,FALSE,Found in Curr Season
9,11,1211,539,"Euros 2016, Qualifiers",12.10.14,Austria vs Montenegro,2014,Montenegro,ME,23. Симич,Simić,['Marko Simic'],SUCCESS,2000000,FALSE,Found in Curr Season
10,12,1212,540,"Euros 2016, Qualifiers",12.10.14,Russia vs Moldova,2014,Moldova,MD,1. Чебану,Cheban,['Ilie Cebanu'],SUCCESS,150000,FALSE,Found in Curr Season
11,14,1214,540,"Euros 2016, Qualifiers",12.10.14,Russia vs Moldova,2014,Moldova,MD,3. Епуряну А.,A Epureanu,['Alexandru Epureanu'],SUCCESS,4500000,FALSE,Found in Curr Season
12,15,1215,540,"Euros 2016, Qualifiers",12.10.14,Russia vs Moldova,2014,Moldova,MD,4. Головатенко,Golovatenko,['Victor Golovatenco'],SUCCESS,350000,FALSE,Found in Curr Season
13,16,1216,540,"Euros 2016, Qualifiers",12.10.14,Russia vs Moldova,2014,Moldova,MD,5. Жадан,Zhadan,['Vasile Jardan'],SUCCESS,100000,FALSE,Found in Curr Season
