,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
0,0,2682,"World Cup Qualifiers, Asia, 2022",Japan vs Saudi Arabia,01-02-2022,Japan,JP,2022,FAIL,Yuya Osako,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Yuya Osako,Y sako,single,Done
1,3,2689,"World Cup Qualifiers, Asia, 2022",Oman vs India,19-11-2019,Oman,OM,2019,FAIL,Mohsin Al Harbi,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Mohsin Al Harbi,Mohsin Al Khaldi,single,Done
2,4,2691,"World Cup Qualifiers, Asia, 2022",Cambodia vs Hong Kong,05-09-2019,Cambodia,KH,2019,FAIL,Ouk Sothy,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Ouk Sothy,Ouk Sovann,single,Done
3,9,2699,"World Cup Qualifiers, Asia, 2022",Kuwait vs Nepal,05-09-2019,Kuwait,KW,2019,FAIL,Fahad Aidh Al-Rashidi,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Fahad Aidh Al-Rashidi,Fahad Al Rashidi,single,Done
4,13,2703,"World Cup Qualifiers, Asia, 2022",Iran vs Syria,2-9-2021,Syria,SY,2021,FAIL,Esraa Al-Hamwiah,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Esraa Al-Hamwiah,Israa Hamwiah,single,Done
5,16,2709,"World Cup Qualifiers, Asia, 2026",Myanmar vs North Korea,21-11-2023,Myanmar,MM,2023,FAIL,Kyaw Lwin Moe,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Soe Kyaw Kyaw,Kyaw Soe Moe,single,Done
6,17,2709,"World Cup Qualifiers, Asia, 2026",Myanmar vs North Korea,21-11-2023,Myanmar,MM,2023,FAIL,Thein Zaw,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Thein Zaw,Thein Zaw Win,single,Done
7,18,2709,"World Cup Qualifiers, Asia, 2026",Myanmar vs North Korea,21-11-2023,North Korea,KP,2023,FAIL,Ok-Chol Jang,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Ok-Chol Jang,Choe Ok-Chol,single,Done
8,20,2709,"World Cup Qualifiers, Asia, 2026",Myanmar vs North Korea,21-11-2023,North Korea,KP,2023,FAIL,Chol-ung Song,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Chol-ung Song,Paek Chung Song,single,
9,21,2709,"World Cup Qualifiers, Asia, 2026",Myanmar vs North Korea,21-11-2023,North Korea,KP,2023,FAIL,Chol-ung Song,0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Chol-ung Song,Choe Ju-Song,single,
