,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Match(es) Found,Status
0,800,498,"Euros 2016, Qualifiers",09.10.15,Slovenia vs Lithuania,2015,Lithuania,LT,17. Жулпа,Zhulpa,['Arturas Zulpa'],Success
1,801,498,"Euros 2016, Qualifiers",09.10.15,Slovenia vs Lithuania,2015,Lithuania,LT,10. Сливка,Cream,0,Fail
2,802,498,"Euros 2016, Qualifiers",09.10.15,Slovenia vs Lithuania,2015,Lithuania,LT,18. Панка,Punk,"['Mindaugas Panka', 'Ignas Plukas', 'Lukas Paukste']",Success
3,803,498,"Euros 2016, Qualifiers",09.10.15,Slovenia vs Lithuania,2015,Lithuania,LT,19. Спальвис,Spalvis,['Lukas Spalvis'],Success
4,804,499,"Euros 2016, Qualifiers",09.10.15,Switzerland vs San Marino,2015,San Marino,SM,4. Делла Валле,Della Valle,"['Alessandro Della Valle', 'Alex Della Valle']",Success
5,805,499,"Euros 2016, Qualifiers",09.10.15,Switzerland vs San Marino,2015,San Marino,SM,8. Палацци,Palazzi,['Mirko Palazzi'],Success
6,806,499,"Euros 2016, Qualifiers",09.10.15,Switzerland vs San Marino,2015,San Marino,SM,11. Чезарини,Česarini,0,Fail
7,807,499,"Euros 2016, Qualifiers",09.10.15,Switzerland vs San Marino,2015,San Marino,SM,13. Берарди,Berardi,"['Marco Berardi', 'Filippo Berardi']",Success
8,808,499,"Euros 2016, Qualifiers",09.10.15,Switzerland vs San Marino,2015,San Marino,SM,6. Гасперини,Gasperini,"['Frederico Gasperoni', 'Alex Gasperoni', 'Lorenzo Gasperoni']",Success
9,809,499,"Euros 2016, Qualifiers",09.10.15,Switzerland vs San Marino,2015,San Marino,SM,9. Витайоли,Vitaioli,"['Fabio Vitaioli', 'Matteo Vitaioli']",Success
10,810,499,"Euros 2016, Qualifiers",09.10.15,Switzerland vs San Marino,2015,San Marino,SM,18. Голинуччи,Golinucci,"['Enrico Golinucci', 'Alessandro Golinucci']",Success
11,811,499,"Euros 2016, Qualifiers",09.10.15,Switzerland vs San Marino,2015,San Marino,SM,20. Този,This one,['Luca Tosi'],Success
12,812,499,"Euros 2016, Qualifiers",09.10.15,Switzerland vs San Marino,2015,San Marino,SM,22. Стефанелли,Stefanelli,['Mattia Stefanelli'],Success
13,813,500,"Euros 2016, Qualifiers",12.10.15,Estonia vs Switzerland,2015,Estonia,EE,1. Аксалу,Aksalu,['Mihkel Aksalu'],Success
14,814,500,"Euros 2016, Qualifiers",12.10.15,Estonia vs Switzerland,2015,Estonia,EE,3. Пикк,Pikk,['Artur Pikk'],Success
15,815,500,"Euros 2016, Qualifiers",12.10.15,Estonia vs Switzerland,2015,Estonia,EE,17. Яагер,Jaager,['Enar Jääger'],Success
16,816,500,"Euros 2016, Qualifiers",12.10.15,Estonia vs Switzerland,2015,Estonia,EE,18. Метс,Karol Mets,['Karol Mets'],Success
17,817,501,"Euros 2016, Qualifiers",12.10.15,Lithuania vs England,2015,Lithuania,LT,18. Панка,Punk,"['Mindaugas Panka', 'Ignas Plukas', 'Lukas Paukste']",Success
18,818,501,"Euros 2016, Qualifiers",12.10.15,Lithuania vs England,2015,Lithuania,LT,19. Спальвис,Spalvis,['Lukas Spalvis'],Success
19,819,501,"Euros 2016, Qualifiers",12.10.15,Lithuania vs England,2015,Lithuania,LT,10. Сливка,Cream,0,Fail
20,820,501,"Euros 2016, Qualifiers",12.10.15,Lithuania vs England,2015,Lithuania,LT,11. Новиковас,Novikovas,['Arvydas Novikovas'],Success
21,821,501,"Euros 2016, Qualifiers",12.10.15,Lithuania vs England,2015,Lithuania,LT,17. Жулпа,Zhulpa,['Arturas Zulpa'],Success
22,822,502,"Euros 2016, Qualifiers",12.10.15,San Marino vs Slovenia,2015,San Marino,SM,2. Валентини,Valentines,['Carlo Valentini'],Success
23,823,502,"Euros 2016, Qualifiers",12.10.15,San Marino vs Slovenia,2015,San Marino,SM,4. Бролли,Brolly,['Cristian Brolli'],Success
24,824,502,"Euros 2016, Qualifiers",12.10.15,San Marino vs Slovenia,2015,San Marino,SM,7. Витайоли,Vitaioli,"['Fabio Vitaioli', 'Matteo Vitaioli']",Success
25,825,502,"Euros 2016, Qualifiers",12.10.15,San Marino vs Slovenia,2015,San Marino,SM,8. Хирш,Hirsch,['Adolfo Hirsch'],Success
26,826,502,"Euros 2016, Qualifiers",12.10.15,San Marino vs Slovenia,2015,San Marino,SM,9. Палацци,Palazzi,['Mirko Palazzi'],Success
27,827,502,"Euros 2016, Qualifiers",12.10.15,San Marino vs Slovenia,2015,San Marino,SM,10. Селва,Selva,['Andy Selva'],Success
28,828,502,"Euros 2016, Qualifiers",12.10.15,San Marino vs Slovenia,2015,San Marino,SM,14. Кьяруцци,Chiaruzzi,['Nicola Chiaruzzi'],Success
29,829,502,"Euros 2016, Qualifiers",12.10.15,San Marino vs Slovenia,2015,San Marino,SM,19. Баттистини,Battistini,"['Manuel Battistini', 'Michael Battistini']",Success
30,830,502,"Euros 2016, Qualifiers",12.10.15,San Marino vs Slovenia,2015,San Marino,SM,20. Гасперони,Gasperoni,"['Frederico Gasperoni', 'Alex Gasperoni', 'Lorenzo Gasperoni']",Success
31,831,502,"Euros 2016, Qualifiers",12.10.15,San Marino vs Slovenia,2015,Slovenia,SI,5. Цесар,Bostjan Cesar,['Bostjan Cesar'],Success
32,832,1434,Nations League 2018-2020,08.09.18,Northern Ireland vs Bosnia-Herzegovina,2018,Bosnia,BA,Sarić,Sarić,"['Dario Saric', 'Elvis Saric']",Success
33,833,1435,Nations League 2018-2020,11.09.18,Bosnia-Herzegovina vs Austria,2018,Bosnia,BA,Sarić,Sarić,"['Dario Saric', 'Elvis Saric']",Success
34,834,1437,Nations League 2018-2020,15.10.18,Bosnia-Herzegovina vs Northern Ireland,2018,Bosnia,BA,Vranješ,Vranješ,"['Stojan Vranjes', 'Ognjen Vranjes']",Success
35,835,1437,Nations League 2018-2020,15.10.18,Bosnia-Herzegovina vs Northern Ireland,2018,Bosnia,BA,Sarić,Sarić,"['Dario Saric', 'Elvis Saric']",Success
36,836,1438,Nations League 2018-2020,15.11.18,Austria vs Bosnia-Herzegovina,2018,Bosnia,BA,Vranješ,Vranješ,"['Stojan Vranjes', 'Ognjen Vranjes']",Success
37,837,1438,Nations League 2018-2020,15.11.18,Austria vs Bosnia-Herzegovina,2018,Bosnia,BA,Sarić,Sarić,"['Dario Saric', 'Elvis Saric']",Success
38,838,1446,Nations League 2018-2020,07.09.18,Albania vs Israel,2018,Israel,IL,5. Капилото,Capiloto,0,Fail
39,839,1447,Nations League 2018-2020,10.09.18,Scotland vs Albania,2018,Scotland,SC,11. Рассел,Russell,"['Russell Martin', 'Johnny Russell']",Success
40,840,1447,Nations League 2018-2020,10.09.18,Scotland vs Albania,2018,Albania,AL,13. Лилай,Lilai,['Andi Lila'],Success
41,841,1448,Nations League 2018-2020,11.10.18,Israel vs Scotland,2018,Israel,IL,20. Бен-Харуш,Ben Harush,['Omri Ben Harush'],Success
42,842,1448,Nations League 2018-2020,11.10.18,Israel vs Scotland,2018,Scotland,SC,11. Рассел,Russell,"['Russell Martin', 'Johnny Russell']",Success
43,843,1449,Nations League 2018-2020,14.10.18,Israel vs Albania,2018,Israel,IL,20. Бен-Харуш,Ben Harush,['Omri Ben Harush'],Success
44,844,1451,Nations League 2018-2020,20.11.18,Scotland vs Israel,2018,Israel,IL,20. Бен-Харуш,Ben Harush,['Omri Ben Harush'],Success
45,845,1458,Nations League 2018-2020,15.10.18,Estonia vs Hungary,2018,Hungary,HU,5. Барат,Going,['Gábor Nagy'],Success
46,846,1459,Nations League 2018-2020,15.10.18,Finland vs Greece,2018,Greece,GR,6. Циолис,Ciolis,0,Fail
47,847,1461,Nations League 2018-2020,15.11.18,Hungary vs Estonia,2018,Hungary,HU,5. Барат,Going,['Gábor Nagy'],Success
48,848,1462,Nations League 2018-2020,18.11.18,Hungary vs Finland,2018,Hungary,HU,5. Барат,Going,['Gábor Nagy'],Success
49,849,1464,Nations League 2018-2020,06.09.18,Slovenia vs Bulgaria,2018,Slovenia,SI,5. Струна Ал.,String Al,['Aljaz Struna'],Success
50,850,1464,Nations League 2018-2020,06.09.18,Slovenia vs Bulgaria,2018,Bulgaria,BG,11. Бандаловски,Bandalowski,['Ivan Bandalovski'],Success
51,851,1465,Nations League 2018-2020,06.09.18,Norway vs Cyprus,2018,Cyprus,CY,4. Меркис,Merkis,['Georgios Merkis'],Success
52,852,1465,Nations League 2018-2020,06.09.18,Norway vs Cyprus,2018,Cyprus,CY,17. Маргаса,Margasa,['Renato Margaça'],Success
53,853,1466,Nations League 2018-2020,09.09.18,Bulgaria vs Norway,2018,Bulgaria,BG,11. Бандаловски,Bandalowski,['Ivan Bandalovski'],Success
54,854,1404,Nations League 2018-2020,08.09.18,Switzerland vs Iceland,2018,Iceland,IS,4. Пальссон,Palsson,"['Victor Pálsson', 'Emil Pálsson']",Success
55,855,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Romania,RO,12. Тэтэрушану,Teterushanu,['Ciprian Tătărușanu'],Success
56,856,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Romania,RO,3. Рац,Rats,['Răzvan Raţ'],Success
57,857,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Romania,RO,6. Кирикеш,Introduction,['No matches found even with the lowest threshold.'],Success
58,858,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Romania,RO,15. Гоян,Goyan,['Dorin Goian'],Success
59,859,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Romania,RO,21. Григоре,Grigore,['Dragoș Grigore'],Success
60,860,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Romania,RO,5. Хобан,Hoban,['Ovidiu Hoban'],Success
61,861,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Romania,RO,7. Кипчу,Kipchu,0,Fail
62,862,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Romania,RO,8. Пинтилий,Pintilius,['Mihai Pintilii'],Success
63,863,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Romania,RO,17. Сынмэртян,Sinmartian,0,Fail
64,864,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Romania,RO,20. Максим,Maksim,['Alexandru Maxim'],Success
65,865,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Romania,RO,9. Русеску,Rusesku,['Raul Rusescu'],Success
66,866,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Hungary,HU,1. Кирай,Kirai,['Gábor Király'],Success
67,867,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Hungary,HU,4. Кадар,Kadar,['Tamás Kádár'],Success
68,868,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Hungary,HU,6. Элек,Elek,['Ákos Elek'],Success
69,869,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Hungary,HU,7. Джужак,Dzhuzhak,['Balázs Dzsudzsák'],Success
70,870,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Hungary,HU,23. Юхас,Yuhas,0,Fail
71,871,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Hungary,HU,8. Варга,Varga,"['József Varga', 'Roland Varga', 'Kevin Varga', 'Barnabás Varga']",Success
