,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
0,0,805,805,3169,"World Cup Qualifiers, Europe, 2018",Germany vs San Marino,10-06-2017,San Marino,SM,2017,SUCCESS,"['Alessandro Della Valle', 'Alex Della Valle']",0.0,False,Large Dataset said 0,False,Alessandro Della Valle,A Della Valle,multiple,Done
1,1,1265,165,2686,"World Cup Qualifiers, Asia, 2022",Turkmenistan vs North Korea,14-11-2019,North Korea,KP,2019,SUCCESS,"['Tae-song An', 'Tae-song Sin']",0.0,False,Large Dataset said 0,False,Tae-song An,An Tae-Song,multiple,Done
2,2,1372,272,2691,"World Cup Qualifiers, Asia, 2022",Cambodia vs Hong Kong,05-09-2019,Cambodia,KH,2019,SUCCESS,"['Souhana Sos', 'Sok Sovan']",0.0,False,Large Dataset said 0,False,Souhana Sos,Sos Suhana,multiple,Done
3,3,1550,450,2699,"World Cup Qualifiers, Asia, 2022",Kuwait vs Nepal,05-09-2019,Kuwait,KW,2019,SUCCESS,"['Faisal Ajab', 'Faisal Al Enezi']",0.0,False,Large Dataset said 0,False,Faisal Zayed,Faisal Al Harbi,multiple,Done
4,4,1762,662,2710,"World Cup Qualifiers, Asia, 2026",Maldives vs Bangladesh,12-10-2023,Maldives,MV,2023,SUCCESS,"['Ahmed Rasheed', 'Ahmed Maish Rasheed', 'Ahnaf Rasheed']",0.0,False,Large Dataset said 0,False,Ahnaf Rasheed,A Rasheed,multiple,Done
5,5,2157,1057,2728,"World Cup Qualifiers, Asia, 2026",Afghanistan vs Kuwait,21-11-2023,Afghanistan,AF,2023,SUCCESS,"['Maruf Mohammadi', 'Maroof Mohammadi']",0.0,False,Large Dataset said 0,False,Maroof Mohammadi,M Mohammadi,multiple,Done
6,6,3164,964,4242,"World Cup 2014, Qualifiers, CONMEBOL",Argentina vs Venezuela,22-Mar-13,Venezuela,VE,2013,SUCCESS,"['Franklin Lucena', 'Ronaldo Lucena']",0.0,False,Large Dataset said 0,False,Franklin Lucena,Lucena,multiple,Done
7,7,3190,990,4244,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Argentina,26-Mar-13,Bolivia,BO,2013,SUCCESS,"['Marvin Bejarano', 'Diego Bejarano', 'Danny Bejarano', 'Alejandro Bejarano']",0.0,False,Large Dataset said 0,False,"['Marvin Bejarano', 'Diego Bejarano']",Bejarano,multiple,Multi
8,8,3241,1041,4246,"World Cup 2014, Qualifiers, CONMEBOL",Venezuela vs Colombia,26-Mar-13,Venezuela,VE,2013,SUCCESS,"['Franklin Lucena', 'Ronaldo Lucena']",0.0,False,Large Dataset said 0,False,Franklin Lucena,Lucena,multiple,Done
9,9,3295,1095,4248,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Venezuela,07-Jun-13,Venezuela,VE,2013,SUCCESS,"['Agnel Flores', 'Francisco Flores', 'Arles Flores', 'Leonardo Flores', 'Robinson Flores']",0.0,False,Large Dataset said 0,False,Agnel Flores,Flores,multiple,Done
10,10,3358,58,3997,"World Cup 2018, Qualifiers, CONCACAF",Canada vs Dominica,16-Jun-15,Dominica,DM,2015,SUCCESS,"['Glenson Prince', 'Hubert Prince', 'Joslyn Prince', 'Joel Prince']",0.0,False,Large Dataset said 0,False,"['Glenson Prince', 'Hubert Prince']",Prince,multiple,Multi
