,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
0,0,0,0,1066,1066,3181,"World Cup Qualifiers, Europe, 2018",Turkey vs Iceland,06-10-2017,Turkey,TR,2017,FAIL,"['Arda Turan', 'Atila Turan']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 10 A. Turan",FALSE,Arda Turan,A Turan,multiple,Done
1,1,1,1,1313,213,2688,"World Cup Qualifiers, Asia, 2022",Afghanistan vs Qatar,19-11-2019,Qatar,QA,2019,FAIL,"['Khaled Abdulraaouf', 'Meshaal Abdullah', 'Abdulrahman Anad']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Khaled Abdulraaouf', 'Meshaal Abdullah', 'Abdulrahman Anad']",FALSE,Fahad Shenain,Fahad Al Abdulrahman,multiple,Done
2,2,2,2,1327,227,2689,"World Cup Qualifiers, Asia, 2022",Oman vs India,19-11-2019,Oman,OM,2019,FAIL,"['Ahmed Al-Khamisi', 'Ahmed Al-Kaabi', 'Khalid Al-Hajri']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, ORIGINAL NAME WAS 12 Ahmad Almahaijri",FALSE,Ahmed Kano,Ahmad Almahaijri,multiple,Done
3,3,3,3,1538,438,2698,"World Cup Qualifiers, Asia, 2022",Oman vs Vietnam,12-10-2021,Vietnam,VN,2021,FAIL,"['Nguyen Sa Pham', 'Duy Cuong Luong']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Nguyen Sa Pham', 'Duy Cuong Luong']",FALSE,Cong Phuong Nguyen,Nguyn Công Phng,multiple,Done
4,4,4,4,1615,515,2702,"World Cup Qualifiers, Asia, 2022",Vietnam vs United Arab Emirates,14-11-2019,Vietnam,VN,2019,FAIL,"['Tuyen Quang Vu', 'Ngoc Quang Chau', 'Nguyen Manh Tran']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Tuyen Quang Vu', 'Ngoc Quang Chau', 'Nguyen Manh Tran']",FALSE,Quang Hai Nguyen,Nguyn Quang Hi,multiple,Done
5,5,5,5,1659,559,2704,"World Cup Qualifiers, Asia, 2022",Vietnam vs Thailand,19-11-2019,Vietnam,VN,2019,FAIL,"['Tuyen Quang Vu', 'Ngoc Quang Chau', 'Nguyen Manh Tran']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Tuyen Quang Vu', 'Ngoc Quang Chau', 'Nguyen Manh Tran']",FALSE,Quang Hai Nguyen,Nguyn Quang Hi,multiple,Done
6,6,6,6,1748,648,2709,"World Cup Qualifiers, Asia, 2026",Myanmar vs North Korea,21-11-2023,Myanmar,MM,2023,FAIL,"['Sithu Aung', 'Than Htet Aung', 'Thiha Htet Aung']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Sithu Aung', 'Than Htet Aung', 'Thiha Htet Aung']",FALSE,Aung Thu,Thu Aung,multiple,Done
7,7,7,7,1834,734,2713,"World Cup Qualifiers, Asia, 2026",Cambodia vs Pakistan,12-10-2023,Cambodia,KH,2023,FAIL,"['Sokheang Chea', 'Meng Chheng', 'Pok Chanthan']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Sokheang Chea', 'Meng Chheng', 'Pok Chanthan']",FALSE,Chanthea Sieng,Sieng Chanthea,multiple,Done
8,8,8,8,1849,749,2714,"World Cup Qualifiers, Asia, 2026",Turkmenistan vs Uzbekistan,16-11-2023,Turkmenistan,TM,2023,FAIL,"['Merdan Gurbanov', 'Amir Gurbani']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Merdan Gurbanov', 'Amir Gurbani']",FALSE,Yazgylyc Gurbanov,Y Gurbanow,multiple,Done
9,9,9,9,1904,804,2716,"World Cup Qualifiers, Asia, 2026",Philippines vs Vietnam,16-11-2023,Vietnam,VN,2023,FAIL,"['Nguyen Manh Tran', 'Tien Thanh Dinh', 'Xuan Thanh Nguyen']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Nguyen Manh Tran', 'Tien Thanh Dinh', 'Xuan Thanh Nguyen']",FALSE,Thanh Binh Nguyen,Nguyn Thanh Bình,multiple,Done
10,10,10,10,1906,806,2716,"World Cup Qualifiers, Asia, 2026",Philippines vs Vietnam,16-11-2023,Vietnam,VN,2023,FAIL,"['Thanh Trung Dinh', 'Tan Truong Bui']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Thanh Trung Dinh', 'Tan Truong Bui']",FALSE,Tuan Tai Phan,Phan Tun Tài,multiple,Done
11,11,11,11,1966,866,2719,"World Cup Qualifiers, Asia, 2026",Bhutan vs Hong Kong,17-10-2023,Bhutan,BT,2023,FAIL,"['Tshering Dorji', 'Yeshi Dorji', 'Chimi Dorji']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Tshering Dorji', 'Yeshi Dorji', 'Chimi Dorji']",FALSE,Sherub Dorji,Dorji Dorji,multiple,Done
12,12,12,12,1998,898,2720,"World Cup Qualifiers, Asia, 2026",Hong Kong vs Bhutan,12-10-2023,Bhutan,BT,2023,FAIL,"['Tshering Dorji', 'Yeshi Dorji', 'Chimi Dorji']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Tshering Dorji', 'Yeshi Dorji', 'Chimi Dorji']",FALSE,Sherub Dorji,Dorji Dorji,multiple,Done
13,13,13,13,2069,969,2724,"World Cup Qualifiers, Asia, 2026",Vietnam vs Iraq,21-11-2023,Vietnam,VN,2023,FAIL,"['Nguyen Manh Tran', 'Tien Thanh Dinh', 'Xuan Thanh Nguyen']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Nguyen Manh Tran', 'Tien Thanh Dinh', 'Xuan Thanh Nguyen']",FALSE,Thanh Binh Nguyen,Nguyn Thanh Bình,multiple,Done
14,14,14,14,2071,971,2724,"World Cup Qualifiers, Asia, 2026",Vietnam vs Iraq,21-11-2023,Vietnam,VN,2023,FAIL,"['Thanh Trung Dinh', 'Tan Truong Bui']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Thanh Trung Dinh', 'Tan Truong Bui']",FALSE,Tuan Tai Phan,Phan Tun Tài,multiple,Done
15,15,15,15,2168,1068,2728,"World Cup Qualifiers, Asia, 2026",Afghanistan vs Kuwait,21-11-2023,Kuwait,KW,2023,FAIL,"['Abdullah Al Saqer', 'Abdullah Al Faraj']",0.0,TRUE,"FILTERING USING MATCH DATE LEFT 0 RESULTS. BEFORE FILTERING, CANDIDATE NAMES WERE ['Abdullah Al Saqer', 'Abdullah Al Faraj']",FALSE,Abdullah Al-Ammar,Abdullah Ammar,multiple,Done
