,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Match(es) Found,Status
0,1700,592,"Euros 2016, Qualifiers",13.10.15,Malta vs Croatia,2015,Malta,MT,22. Мускат З.,Z Muskat,['Zach Muscat'],Success
1,1701,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Armenia,AM,1. Березовский,Berezovsky,['Roman Berezovskiy'],Success
2,1702,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Armenia,AM,3. Ароян,Aroyan,0,Fail
3,1703,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Armenia,AM,4. Восканян,Voskanyan,"['Taron Voskanyan', 'Andranik Voskanyan']",Success
4,1704,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Armenia,AM,5. Арзуманян,Arzumanyan,['Robert Arzumanyan'],Success
5,1705,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Armenia,AM,6. Мкртчян,Mkrtchyan,"['Karlen Mkrtchyan', 'Styopa Mkrtchyan', 'Rudik Mkrtchyan', 'Sergey Mkrtchyan']",Success
6,1706,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Armenia,AM,7. Едигарян,Edigarian,['Artak Yedigaryan'],Success
7,1707,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Armenia,AM,8. Пиззелли,Pizzelli,['Marcos Pizzelli'],Success
8,1708,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Armenia,AM,11. Саркисов,Sarkisov,['Artur Sarkisov'],Success
9,1709,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Armenia,AM,13. К.Оганесян,E ,0,Fail
10,1710,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Armenia,AM,20. Айрапетян,Hayrapetyan,"['Levon Hayrapetyan', 'Aram Hayrapetyan']",Success
11,1711,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Armenia,AM,22. Э.Манучарян,E Manucharyan,['Edgar Manucharyan'],Success
12,1712,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Serbia,RS,1. Стойкович,Stojkovic,"['Vladimir Stojkovic', 'Arandjel Stojkovic']",Success
13,1713,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Serbia,RS,5. Настасич,Nastasic,['Matija Nastasic'],Success
14,1714,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Serbia,RS,6. Иванович,"['Djordje Ivanovic', 'Branislav Ivanovic']","['Djordje Ivanovic', 'Branislav Ivanovic']",Success
15,1715,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Serbia,RS,11. Коларов,Kolarov,['Aleksandar Kolarov'],Success
16,1716,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Serbia,RS,13. С.Митрович,E ,0,Fail
17,1717,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Serbia,RS,7. Тошич,Tosic,"['Dusko Tosic', 'Zoran Tosic']",Success
18,1718,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Serbia,RS,8. Гудель,Gudel,['Nemanja Gudelj'],Success
19,1719,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Serbia,RS,9. Ф.Джоджевич,F Djodjevic,['Filip Djordjevic'],Success
20,1720,595,"Euros 2016, Qualifiers",11.10.14,Armenia vs Serbia,2014,Serbia,RS,14. Матич,Matic,"['Nemanja Matic', 'Uros Matic']",Success
