,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
4574,174,2231,"World Cup Qualifiers, Africa, 2026",Mozambique vs Algeria,19-11-2023,Algeria,DZ,2023,FAIL,0,0,True,Online Lookup Required,False,0,A Gouiri,none
4636,236,2234,"World Cup Qualifiers, Africa, 2026",Zimbabwe vs Nigeria,19-11-2023,Nigeria,NG,2023,FAIL,0,0,True,Online Lookup Required,False,0,N Tella,none
12342,176,3647,"Gold Cup, 2013",Martinique vs Mexico,14-07-2013,Martinique,MQ,2013,FAIL,0,0,True,Online Lookup Required,False,0,K Olimpa,none
12344,178,3647,"Gold Cup, 2013",Martinique vs Mexico,14-07-2013,Martinique,MQ,2013,FAIL,0,0,True,Online Lookup Required,False,0,G Arnolin,none
12345,179,3647,"Gold Cup, 2013",Martinique vs Mexico,14-07-2013,Martinique,MQ,2013,FAIL,0,0,True,Online Lookup Required,False,0,J Babin,none
12375,209,3648,"Gold Cup, 2013",Canada vs Martinique,07-07-2013,Martinique,MQ,2013,FAIL,0,0,True,Online Lookup Required,False,0,K Olimpa,none
12376,210,3648,"Gold Cup, 2013",Canada vs Martinique,07-07-2013,Martinique,MQ,2013,FAIL,0,0,True,Online Lookup Required,False,0,G Arnolin,none
12377,211,3648,"Gold Cup, 2013",Canada vs Martinique,07-07-2013,Martinique,MQ,2013,FAIL,0,0,True,Online Lookup Required,False,0,J Babin,none
12705,539,3663,"Gold Cup, 2013",Panama vs Martinique,12-07-2013,Martinique,MQ,2013,FAIL,0,0,True,Online Lookup Required,False,0,K Olimpa,none
12707,541,3663,"Gold Cup, 2013",Panama vs Martinique,12-07-2013,Martinique,MQ,2013,FAIL,0,0,True,Online Lookup Required,False,0,G Arnolin,none
12708,542,3663,"Gold Cup, 2013",Panama vs Martinique,12-07-2013,Martinique,MQ,2013,FAIL,0,0,True,Online Lookup Required,False,0,J Babin,none
13913,647,2203,"World Cup Qualifiers, Africa, 2026",Algeria vs Somalia,16-11-2023,Algeria,DZ,2023,FAIL,0,0,True,Online Lookup Required,False,0,A Gouiri,none
16404,938,2773,"World Cup Qualifiers, Europe, 2014",San Marino vs England,22-03-2013,England,EN,2013,FAIL,0,0,True,Online Lookup Required,False,0,J Lescott,none
17700,34,3794,"Gold Cup, 2023",Costa Rica vs Martinique,05-07-2023,Martinique,MQ,2023,FAIL,0,0,True,Online Lookup Required,False,0,R Labonne,none
17701,35,3794,"Gold Cup, 2023",Costa Rica vs Martinique,05-07-2023,Martinique,MQ,2023,FAIL,0,0,True,Online Lookup Required,False,0,F Poulolo,none
17702,36,3794,"Gold Cup, 2023",Costa Rica vs Martinique,05-07-2023,Martinique,MQ,2023,FAIL,0,0,True,Online Lookup Required,False,0,J Rivierez,none
17708,42,3794,"Gold Cup, 2023",Costa Rica vs Martinique,05-07-2023,Martinique,MQ,2023,FAIL,0,0,True,Online Lookup Required,False,0,P Burner,none
17709,43,3794,"Gold Cup, 2023",Costa Rica vs Martinique,05-07-2023,Martinique,MQ,2023,FAIL,0,0,True,Online Lookup Required,False,0,B Labeau,none
17754,88,3797,"Gold Cup, 2023",Guadeloupe vs Guatemala,05-07-2023,Guadeloupe,GP,2023,FAIL,0,0,True,Online Lookup Required,False,0,D Rouyard,none
