,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Competition General,Date,Match
0,Kazakhstan,22 Andrey Sidelnikov,4 Ilya Vorotnikov,5 Renat Abdulin,23 Yuriy Logvinenko,8 Samat Smakov,19 Anatoliy Bogdanov,15 Dmitriy Miroshnichenko,18 Dmitriy Shomko,9 Bauyrzhan Islamkhan,17 Tanat Nuserbaev,20 Sergey Khizhnichenko,13 Azat Nurgaliev,11 Bauyrzhan Dzholchiev,-,-,-,1 Aleksandr Mokin,12 Stas Pokatilov,2 Viktor Dmitrenko,3 Mark Gurman,16 Gafurzhan Suyumbaev,6 Ermek Kuantaev,21 Stanislav Lunin,10 Askhat Tagybergen,14 Aslan Darabaev,7 Ulan Konysbaev,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Sep 9, 2014",Kazakhstan vs Latvia
0,Latvia,12 Aleksandrs Kolinko,13 Kaspars Gorkss,3 Nauris Bulvitis,2 Vitalijs Maksimenko,6 Vladislavs Gabovs,15 Artis Lazdins,17 Arturs Zjuzins,7 Andrejs Kovalovs,5 Olegs Laizans,10 Valerijs Sabala,16 Artjoms Rudnevs,18 Aleksandrs Fertovs,11 Eduards Visnakovs,-,-,-,23 Pavels Steinbors,4 Kaspars Dubra,19 Vitalijs Jagodinskis,14 Ritvars Rugins,21 Gints Freimanis,22 Olegs Timofejevs,9 Jurijs Zigajevs,-,-,-,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Sep 9, 2014",Kazakhstan vs Latvia
1,Czechia,1 Petr Cech,3 Michal Kadlec,5 Vaclav Prochazka,8 David Limbersky,2 Pavel Kaderabek,13 Lukas Vacha,22 Vladimír Darida,9 Borek Dockal,7 Ladislav Krejci,10 Tomas Rosicky,21 David Lafata,6 Vaclav Pilar,14 Daniel Kolar,20 Matej Vydra,-,-,16 Tomas Vaclik,23 David Bicik,4 Marek Suchy,15 Ondrej Mazuch,11 Daniel Pudil,17 Radim Reznik,19 Petr Jiracek,18 Tomas Horava,12 Milan Petrzela,-,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Sep 9, 2014",Czechia vs Netherlands
1,Netherlands,1 Jasper Cillessen,5 Bruno Martins Indi,4 Stefan de Vrij,3 Joël Veltman,8 Daley Blind,2 Daryl Janmaat,6 Nigel de Jong,7 Georginio Wijnaldum,10 Wesley Sneijder,11 Memphis Depay,9 Robin van Persie,17 Luciano Narsingh,-,-,-,-,22 Tim Krul,23 Jeroen Zoet,15 Erik Pieters,13 Virgil van Dijk,12 Gregory van der Wiel,14 Paul Verhaegh,19 Leroy Fer,20 Davy Klaassen,18 Ibrahim Afellay,16 Dirk Kuyt,21 Jeremain Lens,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Sep 9, 2014",Czechia vs Netherlands
2,Iceland,1 Hannes Thór Halldórsson,6 Ragnar Sigurdsson,14 Kári Árnason,23 Ari Freyr Skúlason,18 Elmar Bjarnason,17 Aron Gunnarsson,10 Gylfi Sigurdsson,8 Birkir Bjarnason,20 Emil Hallfredsson,9 Kolbeinn Sigthórsson,22 Jón Dadi Bödvarsson,16 Ólafur Ingi Skúlason,19 Rúrik Gíslason,11 Vidar Örn Kjartansson,-,-,12 Gunnleifur Vignir Gunnleifsson,13 Ingvar Jónsson,3 Hallgrímur Jónasson,5 Sölvi Ottesen,21 Haukur Heidar Hauksson,4 Thórarinn Ingi Valdimarsson,2 Birkir Már Saevarsson,15 Helgi Danielsson,7 Jóhann Berg Gudmundsson,-,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Sep 9, 2014",Iceland vs Türkiye
2,Türkiye,1 Onur Kıvrak,22 Ersan Gülüm,21 Ömer Toprak,18 Caner Erkin,7 Gökhan Gönül,15 Mehmet Topal,5 Emre Belözoğlu,8 Selçuk İnan,10 Arda Turan,20 Olcan Adın,17 Burak Yılmaz,6 Hakan Çalhanoğlu,16 Ozan Tufan,19 Mustafa Pektemek,-,-,12 Mert Günok,23 Volkan Babacan,3 Hakan Balta,13 İsmail Köybaşı,4 Tarık Çamdal,11 Olcay Şahan,14 Ahmet İlhan Özek,9 Mevlüt Erdinç,-,-,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Sep 9, 2014",Iceland vs Türkiye
3,Latvia,12 Aleksandrs Kolinko,13 Kaspars Gorkss,3 Nauris Bulvitis,4 Kaspars Dubra,14 Ritvars Rugins,18 Aleksandrs Fertovs,2 Viktors Morozs,6 Vladislavs Gabovs,7 Andrejs Kovalovs,10 Valerijs Sabala,16 Artjoms Rudnevs,21 Gints Freimanis,5 Aleksejs Visnakovs,11 Eduards Visnakovs,-,-,23 Pavels Steinbors,19 Vitalijs Jagodinskis,20 Antons Kurakins,22 Olegs Timofejevs,9 Jurijs Zigajevs,8 Janis Ikaunieks,15 Deniss Rakels,-,-,-,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Oct 10, 2014",Latvia vs Iceland
3,Iceland,1 Hannes Thór Halldórsson,6 Ragnar Sigurdsson,14 Kári Árnason,23 Ari Freyr Skúlason,18 Elmar Bjarnason,17 Aron Gunnarsson,8 Birkir Bjarnason,20 Emil Hallfredsson,10 Gylfi Sigurdsson,9 Kolbeinn Sigthórsson,22 Jón Dadi Bödvarsson,16 Ólafur Ingi Skúlason,19 Rúrik Gíslason,11 Alfred Finnbogason,-,-,12 Gunnleifur Vignir Gunnleifsson,13 Ingvar Jónsson,3 Hallgrímur Jónasson,5 Sölvi Ottesen,4 Thórarinn Ingi Valdimarsson,2 Birkir Már Saevarsson,15 Helgi Danielsson,21 Vidar Örn Kjartansson,-,-,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Oct 10, 2014",Latvia vs Iceland
4,Netherlands,1 Jasper Cillessen,4 Bruno Martins Indi,3 Stefan de Vrij,5 Daley Blind,2 Gregory van der Wiel,6 Nigel de Jong,10 Wesley Sneijder,8 Ibrahim Afellay,7 Jeremain Lens,11 Arjen Robben,9 Robin van Persie,15 Leroy Fer,19 Klaas-Jan Huntelaar,-,-,-,22 Tim Krul,23 Jeroen Zoet,13 Jeffrey Bruma,12 Paul Verhaegh,14 Joël Veltman,16 Jordy Clasie,18 Georginio Wijnaldum,20 Davy Klaassen,21 Quincy Promes,17 Luciano Narsingh,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Oct 10, 2014",Netherlands vs Kazakhstan
4,Kazakhstan,1 Aleksandr Mokin,4 Ilya Vorotnikov,5 Renat Abdulin,8 Viktor Dmitrenko,16 Gafurzhan Suyumbaev,15 Dmitriy Miroshnichenko,6 Andrey Karpovich,19 Anatoliy Bogdanov,18 Dmitriy Shomko,11 Bauyrzhan Dzholchiev,20 Sergey Khizhnichenko,3 Mark Gurman,21 Valeriy Korobkin,13 Azat Nurgaliev,-,-,12 Stas Pokatilov,22 Andrey Sidelnikov,- Abzal Beysebekov,10 Askhat Tagybergen,7 Ulan Konysbaev,14 Toktar Zhangylyshbay,-,-,-,-,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Oct 10, 2014",Netherlands vs Kazakhstan
5,Türkiye,1 Tolga Zengin,2 Semih Kaya,15 Mehmet Topal,18 Caner Erkin,7 Gökhan Gönül,16 Ozan Tufan,8 Selçuk İnan,10 Arda Turan,21 Olcay Şahan,11 Gökhan Töre,9 Umut Bulut,14 Oğuzhan Özyakup,20 Olcan Adın,19 Muhammet Demir,-,-,12 Mert Günok,23 Volkan Babacan,4 Ümit Kurt,22 Ersan Gülüm,3 İsmail Köybaşı,17 Tarık Çamdal,6 Hamit Altıntop,5 Bilal Kısa,13 Adem Büyük,-,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Oct 10, 2014",Türkiye vs Czechia
5,Czechia,1 Petr Cech,3 Michal Kadlec,6 Tomas Sivok,8 David Limbersky,2 Pavel Kaderabek,15 Lukas Vacha,22 Vladimír Darida,9 Borek Dockal,19 Ladislav Krejci,10 Tomas Rosicky,21 David Lafata,13 Jaroslav Plasil,12 Vaclav Pilar,20 Matej Vydra,-,-,16 Tomas Vaclik,23 Jiri Pavlenka,5 Vaclav Prochazka,17 Marek Suchy,11 Daniel Pudil,4 Radim Reznik,14 Daniel Kolar,7 Tomas Necid,18 Josef Sural,-,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Oct 10, 2014",Türkiye vs Czechia
6,Kazakhstan,22 Andrey Sidelnikov,4 Ilya Vorotnikov,5 Renat Abdulin,23 Yuriy Logvinenko,18 Dmitriy Shomko,15 Dmitriy Miroshnichenko,6 Andrey Karpovich,10 Askhat Tagybergen,9 Bauyrzhan Islamkhan,17 Tanat Nuserbaev,20 Sergey Khizhnichenko,21 Abzal Beysebekov,13 Azat Nurgaliev,7 Ulan Konysbaev,-,-,1 Aleksandr Mokin,12 Stas Pokatilov,2 Aleksandr Kirov,3 Mark Gurman,16 Gafurzhan Suyumbaev,11 Evgeniy Kostrub,19 Anatoliy Bogdanov,8 Aslan Darabaev,14 Toktar Zhangylyshbay,-,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Oct 13, 2014",Kazakhstan vs Czechia
6,Czechia,1 Petr Cech,3 Michal Kadlec,6 Tomas Sivok,8 David Limbersky,2 Pavel Kaderabek,15 Lukas Vacha,22 Vladimír Darida,14 Daniel Kolar,19 Ladislav Krejci,9 Borek Dockal,21 David Lafata,5 Vaclav Prochazka,12 Vaclav Pilar,7 Tomas Necid,-,-,16 Tomas Vaclik,23 Jiri Pavlenka,17 Marek Suchy,11 Daniel Pudil,4 Radim Reznik,13 Jaroslav Plasil,10 Tomas Rosicky,18 Josef Sural,20 Matej Vydra,-,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Oct 13, 2014",Kazakhstan vs Czechia
7,Iceland,1 Hannes Thór Halldórsson,6 Ragnar Sigurdsson,14 Kári Árnason,23 Ari Freyr Skúlason,18 Elmar Bjarnason,17 Aron Gunnarsson,10 Gylfi Sigurdsson,8 Birkir Bjarnason,20 Emil Hallfredsson,9 Kolbeinn Sigthórsson,22 Jón Dadi Bödvarsson,2 Birkir Már Saevarsson,19 Rúrik Gíslason,-,-,-,12 Gunnleifur Vignir Gunnleifsson,13 Ingvar Jónsson,3 Hallgrímur Jónasson,5 Sölvi Ottesen,4 Thórarinn Ingi Valdimarsson,15 Helgi Danielsson,16 Ólafur Ingi Skúlason,11 Alfred Finnbogason,21 Vidar Örn Kjartansson,-,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Oct 13, 2014",Iceland vs Netherlands
7,Netherlands,1 Jasper Cillessen,4 Bruno Martins Indi,3 Stefan de Vrij,5 Daley Blind,2 Gregory van der Wiel,6 Nigel de Jong,10 Wesley Sneijder,8 Ibrahim Afellay,7 Jeremain Lens,11 Arjen Robben,9 Robin van Persie,18 Leroy Fer,21 Quincy Promes,19 Klaas-Jan Huntelaar,-,-,22 Kenneth Vermeer,23 Jeroen Zoet,13 Jeffrey Bruma,15 Virgil van Dijk,12 Paul Verhaegh,14 Joël Veltman,16 Jordy Clasie,20 Davy Klaassen,17 Luciano Narsingh,-,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Oct 13, 2014",Iceland vs Netherlands
8,Latvia,12 Aleksandrs Kolinko,13 Kaspars Gorkss,4 Kaspars Dubra,20 Antons Kurakins,6 Vladislavs Gabovs,18 Aleksandrs Fertovs,17 Arturs Zjuzins,5 Aleksejs Visnakovs,8 Janis Ikaunieks,10 Valerijs Sabala,11 Eduards Visnakovs,21 Gints Freimanis,2 Viktors Morozs,15 Deniss Rakels,-,-,23 Germans Malins,3 Nauris Bulvitis,19 Vitalijs Jagodinskis,14 Ritvars Rugins,22 Olegs Timofejevs,7 Andrejs Kovalovs,9 Jurijs Zigajevs,-,-,-,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Oct 13, 2014",Latvia vs Türkiye
8,Türkiye,23 Volkan Babacan,2 Semih Kaya,15 Mehmet Topal,18 Caner Erkin,7 Gökhan Gönül,16 Ozan Tufan,14 Oğuzhan Özyakup,10 Arda Turan,21 Olcay Şahan,11 Gökhan Töre,9 Umut Bulut,6 Hamit Altıntop,5 Bilal Kısa,13 Adem Büyük,-,-,1 Tolga Zengin,12 Mert Günok,4 Ümit Kurt,22 Ersan Gülüm,3 İsmail Köybaşı,19 Güray Vural,17 Tarık Çamdal,8 Selçuk İnan,20 Olcan Adın,-,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Oct 13, 2014",Latvia vs Türkiye
9,Netherlands,1 Jasper Cillessen,3 Jeffrey Bruma,4 Stefan de Vrij,5 Jetro Willems,2 Gregory van der Wiel,6 Daley Blind,8 Wesley Sneijder,10 Robin van Persie,7 Ibrahim Afellay,11 Arjen Robben,9 Klaas-Jan Huntelaar,16 Jordy Clasie,18 Georginio Wijnaldum,21 Memphis Depay,-,-,22 Tim Krul,23 Kenneth Vermeer,14 Karim Rekik,12 Ricardo van Rhijn,13 Joël Veltman,15 Leroy Fer,20 Quincy Promes,17 Luciano Narsingh,19 Luuk de Jong,-,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Nov 16, 2014",Netherlands vs Latvia
9,Latvia,12 Aleksandrs Kolinko,13 Kaspars Gorkss,4 Kaspars Dubra,20 Antons Kurakins,6 Vladislavs Gabovs,18 Aleksandrs Fertovs,17 Arturs Zjuzins,14 Janis Ikaunieks,21 Aleksejs Visnakovs,10 Valerijs Sabala,11 Eduards Visnakovs,8 Aleksandrs Cauna,5 Olegs Laizans,16 Artjoms Rudnevs,-,-,1 Kaspars Ikstens,23 Pavels Steinbors,2 Vitalijs Maksimenko,3 Nauris Bulvitis,19 Vitalijs Jagodinskis,22 Olegs Timofejevs,7 Andrejs Kovalovs,9 Jurijs Zigajevs,15 Deniss Rakels,-,-,-,-,-,-,"Euros 2016, Qualifiers","Euros, Qualifiers","Nov 16, 2014",Netherlands vs Latvia
