,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Competition General,Date,Match
0,Germany,1 Manuel Neuer,5 Mats Hummels,17 Jérôme Boateng,16 Antonio Rüdiger,4 Matthias Ginter,18 Joshua Kimmich,8 Toni Kroos,6 Leon Goretzka,9 Timo Werner,13 Thomas Müller,11 Marco Reus,21 İlkay Gündoğan,19 Leroy Sané,-,-,-,22 Marc-André ter Stegen,2 Jonathan Tah,3 Thilo Kehrer,15 Niklas Süle,14 Nico Schulz,20 Kai Havertz,10 Julian Brandt,7 Julian Draxler,23 Nils Petersen,-,-,-,-,-,-,Nations League 2018-2020,Nations League,"Sep 6, 2018",Germany vs France
0,France,16 Alphonse Areola,5 Samuel Umtiti,4 Raphaël Varane,21 Lucas Hernández,2 Benjamin Pavard,13 N'Golo Kanté,6 Paul Pogba,14 Blaise Matuidi,10 Kylian Mbappé,7 Antoine Griezmann,9 Olivier Giroud,12 Corentin Tolisso,18 Nabil Fekir,11 Ousmane Dembélé,-,-,1 Benjamin Lecomte,23 Benoît Costil,3 Presnel Kimpembe,17 Adil Rami,22 Benjamin Mendy,19 Djibril Sidibé,15 Steven Nzonzi,8 Thomas Lemar,20 Florian Thauvin,-,-,-,-,-,-,Nations League 2018-2020,Nations League,"Sep 6, 2018",Germany vs France
1,France,16 Alphonse Areola,5 Samuel Umtiti,4 Raphaël Varane,21 Lucas Hernández,2 Benjamin Pavard,13 N'Golo Kanté,6 Paul Pogba,14 Blaise Matuidi,10 Kylian Mbappé,7 Antoine Griezmann,9 Olivier Giroud,22 Benjamin Mendy,15 Steven Nzonzi,11 Ousmane Dembélé,-,-,1 Benjamin Lecomte,23 Benoît Costil,3 Presnel Kimpembe,17 Adil Rami,19 Djibril Sidibé,12 Corentin Tolisso,8 Thomas Lemar,18 Nabil Fekir,20 Florian Thauvin,-,-,-,-,-,-,Nations League 2018-2020,Nations League,"Sep 9, 2018",France vs Netherlands
1,Netherlands,1 Jasper Cillessen,3 Matthijs de Ligt,4 Virgil van Dijk,5 Daley Blind,2 Kenny Tete,6 Davy Pröpper,7 Frenkie de Jong,8 Georginio Wijnaldum,11 Ryan Babel,9 Quincy Promes,10 Memphis Depay,12 Daryl Janmaat,20 Ruud Vormer,19 Luuk de Jong,-,-,13 Jeroen Zoet,23 Sergio Padt,15 Nathan Aké,14 Stefan de Vrij,21 Patrick van Aanholt,18 Marten de Roon,16 Kevin Strootman,17 Donny van de Beek,22 Justin Kluivert,-,-,-,-,-,-,Nations League 2018-2020,Nations League,"Sep 9, 2018",France vs Netherlands
2,Netherlands,1 Jasper Cillessen,3 Matthijs de Ligt,4 Virgil van Dijk,5 Daley Blind,2 Denzel Dumfries,7 Frenkie de Jong,6 Marten de Roon,8 Georginio Wijnaldum,11 Ryan Babel,9 Steven Bergwijn,10 Memphis Depay,15 Nathan Aké,20 Quincy Promes,22 Arnaut Danjuma,-,-,13 Jeroen Zoet,23 Marco Bizot,14 Stefan de Vrij,16 Kevin Strootman,21 Tonny Vilhena,17 Donny van de Beek,12 Hans Hateboer,19 Luuk de Jong,-,-,-,-,-,-,-,Nations League 2018-2020,Nations League,"Oct 13, 2018",Netherlands vs Germany
2,Germany,1 Manuel Neuer,5 Mats Hummels,17 Jérôme Boateng,3 Jonas Hector,4 Matthias Ginter,18 Joshua Kimmich,11 Emre Can,8 Toni Kroos,9 Timo Werner,13 Thomas Müller,23 Mark Uth,10 Julian Brandt,7 Julian Draxler,19 Leroy Sané,-,-,12 Bernd Leno,22 Marc-André ter Stegen,2 Thilo Kehrer,15 Niklas Süle,20 Jonathan Tah,14 Nico Schulz,21 Sebastian Rudy,6 Serge Gnabry,-,-,-,-,-,-,-,Nations League 2018-2020,Nations League,"Oct 13, 2018",Netherlands vs Germany
3,France,1 Hugo Lloris,3 Presnel Kimpembe,4 Raphaël Varane,21 Lucas Hernández,2 Benjamin Pavard,13 N'Golo Kanté,6 Paul Pogba,14 Blaise Matuidi,10 Kylian Mbappé,7 Antoine Griezmann,9 Olivier Giroud,15 Steven Nzonzi,17 Tanguy Ndombélé,11 Ousmane Dembélé,-,-,16 Steve Mandanda,23 Alphonse Areola,5 Mamadou Sakho,22 Kurt Zouma,12 Lucas Digne,19 Djibril Sidibé,8 Thomas Lemar,18 Dimitri Payet,-,-,-,-,-,-,-,Nations League 2018-2020,Nations League,"Oct 16, 2018",France vs Germany
3,Germany,1 Manuel Neuer,4 Matthias Ginter,5 Mats Hummels,15 Niklas Süle,18 Joshua Kimmich,8 Toni Kroos,2 Thilo Kehrer,14 Nico Schulz,19 Leroy Sané,9 Timo Werner,6 Serge Gnabry,10 Julian Brandt,7 Julian Draxler,13 Thomas Müller,-,-,12 Bernd Leno,22 Marc-André ter Stegen,20 Jonathan Tah,3 Jonas Hector,11 Emre Can,21 Sebastian Rudy,23 Mark Uth,-,-,-,-,-,-,-,-,Nations League 2018-2020,Nations League,"Oct 16, 2018",France vs Germany
4,Netherlands,1 Jasper Cillessen,3 Matthijs de Ligt,4 Virgil van Dijk,5 Daley Blind,2 Denzel Dumfries,7 Frenkie de Jong,6 Marten de Roon,8 Georginio Wijnaldum,11 Ryan Babel,9 Steven Bergwijn,10 Memphis Depay,15 Nathan Aké,21 Tonny Vilhena,20 Quincy Promes,-,-,13 Jeroen Zoet,23 Marco Bizot,14 Stefan de Vrij,12 Kenny Tete,18 Pablo Rosario,16 Kevin Strootman,17 Donny van de Beek,22 Javairô Dilrosun,19 Luuk de Jong,-,-,-,-,-,-,Nations League 2018-2020,Nations League,"Nov 16, 2018",Netherlands vs France
4,France,1 Hugo Lloris,3 Presnel Kimpembe,4 Raphaël Varane,12 Lucas Digne,2 Benjamin Pavard,15 Steven Nzonzi,13 N'Golo Kanté,14 Blaise Matuidi,10 Kylian Mbappé,7 Antoine Griezmann,9 Olivier Giroud,6 Moussa Sissoko,21 Tanguy Ndombélé,11 Ousmane Dembélé,-,-,16 Steve Mandanda,23 Alphonse Areola,5 Mamadou Sakho,17 Adil Rami,22 Benjamin Mendy,19 Djibril Sidibé,18 Nabil Fekir,20 Florian Thauvin,8 Alassane Plea,-,-,-,-,-,-,Nations League 2018-2020,Nations League,"Nov 16, 2018",Netherlands vs France
