,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
0,"Africa Cup of Nations, Qualifiers_0","African Cup of Nations, 2015 Qualifiers",Sudan vs South Africa,2014-09-05,Sudan,SD,2014,SUCCESS,Elmuez Mahgoub,150000.0,False,Found in Curr Season,False,Elmuez Mahgoub,16 Elmuez Mahgoub,single
1,"Africa Cup of Nations, Qualifiers_0","African Cup of Nations, 2015 Qualifiers",Sudan vs South Africa,2014-09-05,Sudan,SD,2014,SUCCESS,Ali Gaffar,0.0,False,Both Empty,False,Ali Gaffar,7 Ali Gaffar,single
2,"Africa Cup of Nations, Qualifiers_0","African Cup of Nations, 2015 Qualifiers",Sudan vs South Africa,2014-09-05,Sudan,SD,2014,SUCCESS,Amier Kamal,200000.0,False,Found in Curr Season,False,Amier Kamal,18 Amier Kamal,single
3,"Africa Cup of Nations, Qualifiers_0","African Cup of Nations, 2015 Qualifiers",Sudan vs South Africa,2014-09-05,Sudan,SD,2014,SUCCESS,Faris Abdalla,0.0,False,Only After X,False,Faris Abdalla,19 Faris Abdalla,single
4,"Africa Cup of Nations, Qualifiers_0","African Cup of Nations, 2015 Qualifiers",Sudan vs South Africa,2014-09-05,Sudan,SD,2014,SUCCESS,Balla Jabir,100000.0,False,Found in Curr Season,False,Balla Jabir,23 Balla Jabir,single
5,"Africa Cup of Nations, Qualifiers_0","African Cup of Nations, 2015 Qualifiers",Sudan vs South Africa,2014-09-05,Sudan,SD,2014,SUCCESS,Nazar Hamid,300000.0,False,Found in Curr Season,False,Nazar Hamid,13 Nazar Hamid,single
6,"Africa Cup of Nations, Qualifiers_0","African Cup of Nations, 2015 Qualifiers",Sudan vs South Africa,2014-09-05,Sudan,SD,2014,SUCCESS,Omer Bakhit,250000.0,False,Found in Curr Season,False,Omer Bakhit,8 Omer Bakhit,single
7,"Africa Cup of Nations, Qualifiers_0","African Cup of Nations, 2015 Qualifiers",Sudan vs South Africa,2014-09-05,Sudan,SD,2014,SUCCESS,Alaa Eldin Yousif,150000.0,False,Found in Curr Season,False,Alaa Eldin Yousif,5 Alaa Eldin Yousif,single
8,"Africa Cup of Nations, Qualifiers_0","African Cup of Nations, 2015 Qualifiers",Sudan vs South Africa,2014-09-05,Sudan,SD,2014,SUCCESS,Mohamed Bashir,150000.0,False,Found in Curr Season,False,Mohamed Bashir,4 Mohamed Bashir,single
9,"Africa Cup of Nations, Qualifiers_0","African Cup of Nations, 2015 Qualifiers",Sudan vs South Africa,2014-09-05,Sudan,SD,2014,SUCCESS,Ramadan Agab,200000.0,False,Found in Curr Season,False,Ramadan Agab,7 Ramadan Agab,single
