,DF index,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,English Name,Match(es) Found,Status
0,1000,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,North. Ireland, NI,5. Эванс,Evans,"['Jonny Evans', 'Corry Evans']",Success
1,1001,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,North. Ireland, NI,6. Бейрд,Baird,['Chris Baird'],Success
2,1002,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,North. Ireland, NI,7. Макгинн,Mc Ginn,['Niall McGinn'],Success
3,1003,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,North. Ireland, NI,8. Дэвис,Davis,['Steven Davis'],Success
4,1004,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,North. Ireland, NI,10. Лафферти,Lafferty,"['Danny Lafferty', 'Kyle Lafferty']",Success
5,1005,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,North. Ireland, NI,11. Брант,Brant,['Chris Brunt'],Success
6,1006,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,North. Ireland, NI,14. Даллас,Dallas,['Stuart Dallas'],Success
7,1007,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,North. Ireland, NI,16. Норвуд,Norwood,['Oliver Norwood'],Success
8,1008,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Greece,GR,1. Карнезис,Orestis Karnezis,['Orestis Karnezis'],Success
9,1009,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Greece,GR,6. Циолис,Ciolis,['Alexandros Tziolis'],Success
10,1010,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Greece,GR,9. Митроглу,Mitroglou,['Konstantinos Mitroglou'],Success
11,1011,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Greece,GR,10. Фортунис,Fortunis,['Konstantinos Fortounis'],Success
12,1012,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Greece,GR,11. Винтра,Vintra,['Loukas Vyntra'],Success
13,1013,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Greece,GR,14. Папастатопулос,Papastathopoulos,['Sokratis Papastathopoulos'],Success
14,1014,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Greece,GR,14. Пападопулос,Papadopoulos,"['Avraam Papadopoulos', 'Dimitrios Papadopoulos', 'Kyriakos Papadopoulos']",Success
15,1015,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Greece,GR,16. Карелис,Karelis,['Nikolaos Karelis'],Success
16,1016,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Greece,GR,20. Олебас,Olebas,['Jose Cholevas'],Success
17,1017,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Greece,GR,21. Аравидис,Aravidis,['Christos Aravidis'],Success
18,1018,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Greece,GR,22. Самарис,Samaris,['Andreas Samaris'],Success
19,1019,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Finland,FI,1. Градецки,Gradecki,['Matej Hradecky'],Success
20,1020,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Finland,FI,2. Араюури,Arajuuri,['Paulus Arajuuri'],Success
21,1021,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Finland,FI,4. Тойвио,Toivio,['Joona Toivio'],Success
22,1022,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Finland,FI,8. Хетемай,Hetemai,"['Mehmet Hetemaj', 'Perparim Hetemaj']",Success
23,1023,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Finland,FI,10. Пукки,Pukki,['Teemu Pukki'],Success
24,1024,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Finland,FI,13. Аркивуо,Arquivuo,['Kari Arkivuo'],Success
25,1025,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Finland,FI,14. Спарв,Sparv,['Tim Sparv'],Success
26,1026,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Finland,FI,15. Халсти,Khalsti,0,Fail
27,1027,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Finland,FI,18. Уронен,Dropped,0,Fail
28,1028,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Finland,FI,19. Ринг,Boxing ring,['Alexander Ring'],Success
29,1029,522,"Euros 2016, Qualifiers",04.09.15,Greece vs Finland,2015,Finland,FI,21. Хямяляйнен,Hämäläinen,"['Kasper Hämäläinen', 'Niko Hämäläinen']",Success
30,1030,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Hungary,HU,1. Кирай,Kirai,['Gábor Király'],Success
31,1031,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Hungary,HU,3. Леандро,Leandro,['Leandro'],Success
32,1032,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Hungary,HU,4. Кадар,Kadar,['Tamás Kádár'],Success
33,1033,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Hungary,HU,5. Фиоло,Fiolo,['Attila Fiola'],Success
34,1034,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Hungary,HU,6. Элек,Elek,['Ákos Elek'],Success
35,1035,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Hungary,HU,7. Джуджак,Balazs Dzsudzsak,['Balázs Dzsudzsák'],Success
36,1036,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Hungary,HU,8. Тежер,Tezher,['Szilveszter Hangya'],Success
37,1037,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Hungary,HU,9. Солои,Soloi,['Ádám Szalai'],Success
38,1038,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Hungary,HU,17. Николич,Nikolic,['Nemanja Nikolics'],Success
39,1039,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Hungary,HU,18. Штибер,Stieber,['Dániel Tőzsér'],Success
40,1040,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Hungary,HU,23. Юхас,Yuhas,0,Fail
41,1041,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Romania,RO,12. Тэтэрушану,Teterushanu,['Ciprian Tătărușanu'],Success
42,1042,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Romania,RO,2. Папп,Papp,['Paul Papp'],Success
43,1043,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Romania,RO,3. Рац,Rats,['Răzvan Raţ'],Success
44,1044,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Romania,RO,5. Хобан,Hoban,['Ovidiu Hoban'],Success
45,1045,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Romania,RO,6. Кирикеш,Introduction,['No matches found even with the lowest threshold.'],Success
46,1046,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Romania,RO,11. Торже,Torje,['Gabriel Torje'],Success
47,1047,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Romania,RO,13. Кешерю,Kesheru,['Claudiu Keșerü'],Success
48,1048,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Romania,RO,17. Сынмэртян,Sinmartian,0,Fail
49,1049,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Romania,RO,18. Препелицэ,Prepelicé,['Andrei Prepeliță'],Success
50,1050,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Romania,RO,21. Григоре,Grigore,['Dragoș Grigore'],Success
51,1051,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Romania,RO,22. Попа,Popa,"['Adrian Popa', 'Mihai Popa']",Success
52,1052,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Finland,FI,1. Градецки,Gradecki,['Matej Hradecky'],Success
53,1053,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Finland,FI,2. Араюури,Arajuuri,['Paulus Arajuuri'],Success
54,1054,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Finland,FI,13. Аркивуо,Arquivuo,['Kari Arkivuo'],Success
55,1055,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Finland,FI,17. Лам,Lam,"['Veli Lampi', 'Thomas Lam']",Success
56,1056,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Finland,FI,18. Уронен,Dropped,0,Fail
57,1057,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Finland,FI,14. Спарв,Sparv,['Tim Sparv'],Success
58,1058,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Finland,FI,19. Ринг,Boxing ring,['Alexander Ring'],Success
59,1059,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Finland,FI,11. Риски,Risks,"['Roope Riski', 'Riku Riski']",Success
60,1060,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Finland,FI,20. Похьянпало,Pohjanpalo,['Joel Pohjanpalo'],Success
61,1061,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,1. Нильсен,Nielsen,"['Gunnar Nielsen', 'Eli Nielsen']",Success
62,1062,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,2. Нес,Nes,0,Fail
63,1063,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,5. Наттестад,Nattestad,['Sonni Nattestad'],Success
64,1064,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,7. Беньяминсен,Benjaminsen,"['Fródi Benjaminsen', 'Jann Benjaminsen']",Success
65,1065,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,8. Хенриксен,Henriksen,0,Fail
66,1066,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,14. С. Ванхамар,Swanhamar,['Gunnar Vatnhamar'],Success
67,1067,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,10. Хольст,Holst,['Christian Holst'],Success
68,1068,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,9. Серенсен,Serensen,['Hanus Sørensen'],Success
69,1069,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,11. К. Ольсен,Colsen,0,Fail
70,1070,525,"Euros 2016, Qualifiers",07.09.15,Northern Ireland vs Hungary,2015,North. Ireland, NI,2. Маклафлин,Mc Laughlin,"['Conor McLaughlin', 'Ryan McLaughlin']",Success
71,1071,525,"Euros 2016, Qualifiers",07.09.15,Northern Ireland vs Hungary,2015,North. Ireland, NI,6. Бэйрд,Baird,['Chris Baird'],Success
72,1072,525,"Euros 2016, Qualifiers",07.09.15,Northern Ireland vs Hungary,2015,North. Ireland, NI,14. Даллас,Dallas,['Stuart Dallas'],Success
73,1073,525,"Euros 2016, Qualifiers",07.09.15,Northern Ireland vs Hungary,2015,Hungary,HU,3. Леандро,Leandro,['Leandro'],Success
74,1074,525,"Euros 2016, Qualifiers",07.09.15,Northern Ireland vs Hungary,2015,Hungary,HU,4. Кадар,Kadar,['Tamás Kádár'],Success
75,1075,525,"Euros 2016, Qualifiers",07.09.15,Northern Ireland vs Hungary,2015,Hungary,HU,5. Фиола,Fiola,['Attila Fiola'],Success
76,1076,525,"Euros 2016, Qualifiers",07.09.15,Northern Ireland vs Hungary,2015,Hungary,HU,20. Гузмич,Guzmić,['Richárd Guzmics'],Success
77,1077,525,"Euros 2016, Qualifiers",07.09.15,Northern Ireland vs Hungary,2015,Hungary,HU,6. Элек,Elek,['Ákos Elek'],Success
78,1078,525,"Euros 2016, Qualifiers",07.09.15,Northern Ireland vs Hungary,2015,Hungary,HU,13. Кальмар,Squid,['Zsolt Kalmár'],Success
79,1079,526,"Euros 2016, Qualifiers",07.09.15,Romania vs Greece,2015,Romania,RO,5. Хобан,Hoban,['Ovidiu Hoban'],Success
80,1080,526,"Euros 2016, Qualifiers",07.09.15,Romania vs Greece,2015,Romania,RO,20. Будеску,Budescu,['Constantin Budescu'],Success
81,1081,526,"Euros 2016, Qualifiers",07.09.15,Romania vs Greece,2015,Greece,GR,15. Кициу,Kitiu,['Stelios Kitsiou'],Success
82,1082,526,"Euros 2016, Qualifiers",07.09.15,Romania vs Greece,2015,Greece,GR,6. Циолис,Ciolis,['Alexandros Tziolis'],Success
83,1083,526,"Euros 2016, Qualifiers",07.09.15,Romania vs Greece,2015,Greece,GR,21. Аравидис,Aravidis,['Christos Aravidis'],Success
84,1084,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Hungary,HU,5. Фиоло,Fiolo,['Attila Fiola'],Success
85,1085,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Hungary,HU,20. Гузмич,Guzmić,['Richárd Guzmics'],Success
86,1086,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Hungary,HU,8. Тежер,Tezher,['Szilveszter Hangya'],Success
87,1087,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Hungary,HU,16. Нодь А.,D ,['Ádám Nagy'],Success
88,1088,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Hungary,HU,Бёди,Bödi,['Ádám Bódi'],Success
89,1089,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Faroe Islands,FO,2. Нес,Nes,0,Fail
90,1090,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Faroe Islands,FO,3. Давидсен,Davidsen,"['Viljormur Davidsen', 'Jóhan Troest Davidsen', 'Jógvan Davidsen']",Success
91,1091,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Faroe Islands,FO,4. Грегерсен,Gregersen,['Atli Gregersen'],Success
92,1092,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Faroe Islands,FO,5. Наттестад,Nattestad,['Sonni Nattestad'],Success
93,1093,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Faroe Islands,FO,14. Ванхамар,Vanhamar,"['Sölvi Vatnhamar', 'Gunnar Vatnhamar']",Success
94,1094,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Faroe Islands,FO,16. Бартальсстову,Bartalsstow,['Kaj Leo í Bartalsstovu'],Success
95,1095,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Faroe Islands,FO,20. Якобсен,Jacobsen,"['Erling Jacobsen', 'Hanus Jacobsen', 'Magnus Jacobsen']",Success
96,1096,527,"Euros 2016, Qualifiers",08.10.15,Hungary vs Faroe Islands,2015,Faroe Islands,FO,21. Йоэнсен,Joensen,"['Kristian Joensen', 'René Joensen']",Success
97,1097,528,"Euros 2016, Qualifiers",08.10.15,Northern Ireland vs Greece,2015,North. Ireland, NI,14. Даллас,Dallas,['Stuart Dallas'],Success
98,1098,528,"Euros 2016, Qualifiers",08.10.15,Northern Ireland vs Greece,2015,Greece,GR,5. Морас,Vangelis Moras,['Vangelis Moras'],Success
99,1099,528,"Euros 2016, Qualifiers",08.10.15,Northern Ireland vs Greece,2015,Greece,GR,6. Циолис,Ciolis,['Alexandros Tziolis'],Success
