,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Date,Match
0,Ivory Coast,1 Boubacar Copa,22 Wilfried Kanon,4 Kolo Touré,21 Eric Bailly,20 Geoffroy Serey Dié,19 Yaya Touré,17 Serge Aurier,5 Siaka Tiéné,10 Gervinho,15 Max Gradel,12 Wilfried Bony,8 Salomon Kalou,7 Seydou Doumbia,11 Junior Tallo,-,-,23 Mandé Sayouba,2 Ousmane Viera,6 Cheick Doukouré,14 Ismaël Diomandé,13 Jean-Daniel Akpa Akpro,18 Lacina Traoré,3 Roger Assalé,-,-,-,-,-,-,-,-,African Cup of Nations 2015,"Sun Feb 8, 2015",Ivory Coast vs Ghana
0,Ghana,1 Brimah Razak,19 Jonathan Mensah,21 John Boye,17 Abdul Rahman Baba,23 Harrison Afful,6 Afriyie Acquah,11 Mubarak Wakaso,10 André Ayew,7 Christian Atsu,2 Kwesi Appiah,3 Asamoah Gyan,8 Emmanuel Badu,22 Frank Acheampong,9 Jordan Ayew,-,-,12 Ernest Sowah,16 Fatawu Dauda,4 Edwin Gyimah,5 Mohamed Awal,18 Daniel Amartey,13 Mohammed Rabiu,14 Solomon Asanté,20 David Accam,15 Mahatma Otoo,-,-,-,-,-,-,African Cup of Nations 2015,"Sun Feb 8, 2015",Ivory Coast vs Ghana
1,DR Congo,1 Robert Muteba Kidiaba,14 Gabriel Zakuani,17 Cédric Mongongu,3 Kilitcho Kasusula,2 Issama Mpeko,22 Chancel Mbemba,6 Cédric Makiadi,8 Hervé Kage,11 Yannick Bolasie,18 Cedrick,19 Jeremy Bokila,20 Chikito Lema Mabidi,13 Junior Kabananga,9 Dieumerci Mbokani,-,-,23 Parfait Mandanda,16 Nicaise Kudimbana,15 Joël Kimwaki,4 Christopher Oualembo,12 Bawaka Mabele,5 Nelson Munganga,7 Youssouf Mulumbu,10 Neeskens Kebano,21 Firmin Mubele,-,-,-,-,-,-,African Cup of Nations 2015,"Sat Feb 7, 2015",DR Congo vs Equat. Guinea
1,Equat. Guinea,1 Felipe Ovono,2 Daniel Evuy,4 Rui,16 Sipo,8 Randy,21 Iván Zarandona,6 Juvenal Edjogo,11 Javier Balboa,7 Rubén Belima,14 Kike Boula,10 Emilio Nsue,20 Miguel Ángel Mayé,18 Viera Ellong,9 Raúl Fabiani,-,-,23 Carlos Mosibe,13 Aitor Embela,3 Igor Engonga,5 Diosdado Mbele,19 Charly,22 Pablo Ganet,12 Iván Bolado,-,-,-,-,-,-,-,-,African Cup of Nations 2015,"Sat Feb 7, 2015",DR Congo vs Equat. Guinea
2,DR Congo,1 Robert Muteba Kidiaba,14 Gabriel Zakuani,15 Joël Kimwaki,3 Kilitcho Kasusula,2 Issama Mpeko,22 Chancel Mbemba,6 Cédric Makiadi,11 Yannick Bolasie,18 Cedrick,19 Jeremy Bokila,9 Dieumerci Mbokani,10 Neeskens Kebano,13 Junior Kabananga,21 Firmin Mubele,-,-,23 Parfait Mandanda,16 Nicaise Kudimbana,17 Cédric Mongongu,4 Christopher Oualembo,12 Bawaka Mabele,5 Nelson Munganga,7 Youssouf Mulumbu,20 Chikito Lema Mabidi,8 Hervé Kage,-,-,-,-,-,-,African Cup of Nations 2015,"Wed Feb 4, 2015",DR Congo vs Ivory Coast
2,Ivory Coast,16 Sylvain Gbohouo,22 Wilfried Kanon,4 Kolo Touré,21 Eric Bailly,20 Geoffroy Serey Dié,19 Yaya Touré,17 Serge Aurier,5 Siaka Tiéné,10 Gervinho,15 Max Gradel,12 Wilfried Bony,2 Ousmane Viera,8 Salomon Kalou,18 Lacina Traoré,-,-,1 Boubacar Copa,23 Mandé Sayouba,6 Cheick Doukouré,14 Ismaël Diomandé,13 Jean-Daniel Akpa Akpro,7 Seydou Doumbia,3 Roger Assalé,11 Junior Tallo,-,-,-,-,-,-,-,African Cup of Nations 2015,"Wed Feb 4, 2015",DR Congo vs Ivory Coast
3,Ghana,1 Brimah Razak,19 Jonathan Mensah,21 John Boye,17 Abdul Rahman Baba,23 Harrison Afful,6 Afriyie Acquah,11 Mubarak Wakaso,10 André Ayew,7 Christian Atsu,2 Kwesi Appiah,9 Jordan Ayew,8 Emmanuel Badu,22 Frank Acheampong,-,-,-,12 Ernest Sowah,16 Fatawu Dauda,4 Edwin Gyimah,5 Mohamed Awal,18 Daniel Amartey,13 Mohammed Rabiu,14 Solomon Asanté,20 David Accam,3 Asamoah Gyan,15 Mahatma Otoo,-,-,-,-,-,African Cup of Nations 2015,"Thu Feb 5, 2015",Ghana vs Equat. Guinea
3,Equat. Guinea,1 Felipe Ovono,4 Rui,5 Diosdado Mbele,7 Rubén Belima,2 Daniel Evuy,21 Iván Zarandona,18 Viera Ellong,11 Javier Balboa,15 Iban Salvador,14 Kike Boula,10 Emilio Nsue,16 Sipo,22 Pablo Ganet,9 Raúl Fabiani,-,-,23 Carlos Mosibe,13 Aitor Embela,3 Igor Engonga,20 Miguel Ángel Mayé,6 Juvenal Edjogo,19 Charly,8 Randy,12 Iván Bolado,-,-,-,-,-,-,-,African Cup of Nations 2015,"Thu Feb 5, 2015",Ghana vs Equat. Guinea
4,Congo,1 Christoffer Mafoumbi,4 Boris Moubhio,21 Sagesse Babélé,6 Dimitri Bissiki,18 Marvin Baudry,8 Delvin N'Dinga,7 Prince Oniangué,5 Arnold Bouka Moutou,12 Francis Litsingi,13 Thievy Bifouma,10 Férébory Doré,14 Césaire Gandzé,11 Fabrice Ondama,19 Dominique Malonga,-,-,16 Chancel Massa,22 Pavelh Ndzila,23 Cosme Mavoungou,2 Francis N'Ganga,3 Igor Nganga,20 Hardy Binguila,17 Chris Malonga,15 Ladislas Douniama,9 Silvere Ganvoula,-,-,-,-,-,-,African Cup of Nations 2015,"Sat Jan 31, 2015",Congo vs DR Congo
4,DR Congo,1 Robert Muteba Kidiaba,14 Gabriel Zakuani,17 Cédric Mongongu,3 Kilitcho Kasusula,2 Issama Mpeko,22 Chancel Mbemba,6 Cédric Makiadi,11 Yannick Bolasie,18 Cedrick,19 Jeremy Bokila,9 Dieumerci Mbokani,15 Joël Kimwaki,5 Nelson Munganga,10 Neeskens Kebano,-,-,23 Parfait Mandanda,16 Nicaise Kudimbana,4 Christopher Oualembo,12 Bawaka Mabele,7 Youssouf Mulumbu,20 Chikito Lema Mabidi,8 Hervé Kage,13 Junior Kabananga,21 Firmin Mubele,-,-,-,-,-,-,African Cup of Nations 2015,"Sat Jan 31, 2015",Congo vs DR Congo
