,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Competition General,Date,Match
0,Chile,1 Claudio Bravo,17 Gary Medel,5 Francisco Silva,15 Jean Beausejour,4 Mauricio Isla,21 Marcelo Díaz,8 Arturo Vidal,20 Charles Aránguiz,10 Jorge Valdivia,7 Alexis Sánchez,11 Eduardo Vargas,14 Matías Fernández,22 Ángelo Henríquez,-,-,-,12 Paulo Garcés,23 Johnny Herrera,13 José Rojas,2 Eugenio Mena,3 Miiko Albornoz,19 Felipe Gutiérrez,16 David Pizarro,6 José Pedro Fuenzalida,9 Mauricio Pinilla,-,-,-,-,-,-,Copa America 2015,Copa America,"Sat Jul 4, 2015",Chile vs Argentina
0,Argentina,1 Sergio Romero,15 Martín Demichelis,17 Nicolás Otamendi,16 Marcos Rojo,4 Pablo Zabaleta,14 Javier Mascherano,6 Lucas Biglia,21 Javier Pastore,7 Ángel Di María,10 Lionel Messi,11 Sergio Agüero,19 Éver Banega,22 Ezequiel Lavezzi,9 Gonzalo Higuaín,-,-,12 Nahuel Guzmán,23 Agustín Marchesín,2 Ezequiel Garay,3 Facundo Roncaglia,13 Milton Casco,5 Fernando Gago,8 Roberto Pereyra,20 Erik Lamela,18 Carlos Tevez,-,-,-,-,-,-,Copa America 2015,Copa America,"Sat Jul 4, 2015",Chile vs Argentina
1,Peru,1 Pedro Gallese,15 Christian Ramos,22 Carlos Ascues,6 Juan Manuel Vargas,17 Luis Advíncula,21 Josepmir Ballón,16 Carlos Lobatón,11 Yordy Reyna,8 Christian Cueva,18 André Carrillo,9 Paolo Guerrero,19 Yoshimar Yotún,7 Paolo Hurtado,20 Joel Sánchez,-,-,23 Salomón Libman,12 Diego Penny,3 Hansell Riojas,2 Jair Céspedes,4 Pedro Requena,13 Edwin Retamoso,10 Jefferson Farfán,14 Claudio Pizarro,-,-,-,-,-,-,-,Copa America 2015,Copa America,"Fri Jul 3, 2015",Peru vs Paraguay
1,Paraguay,1 Justo Villar,4 Pablo Aguilar,14 Paulo da Silva,6 Miguel Samudio,3 Marcos Cáceres,15 Víctor Cáceres,20 Néstor Ortigoza,17 Osvaldo Martínez,21 Óscar Romero,7 Raúl Bobadilla,8 Lucas Barrios,13 Richard Ortiz,22 Eduardo Aranda,11 Edgar Benítez,-,-,12 Antony Silva,23 Alfredo Aguilar,5 Bruno Valdez,19 Fabián Balbuena,2 Iván Piris,16 Osmar Molinas,-,-,-,-,-,-,-,-,-,Copa America 2015,Copa America,"Fri Jul 3, 2015",Peru vs Paraguay
2,Chile,1 Claudio Bravo,13 José Rojas,17 Gary Medel,3 Miiko Albornoz,4 Mauricio Isla,21 Marcelo Díaz,8 Arturo Vidal,20 Charles Aránguiz,10 Jorge Valdivia,7 Alexis Sánchez,11 Eduardo Vargas,2 Eugenio Mena,19 Felipe Gutiérrez,16 David Pizarro,-,-,12 Paulo Garcés,23 Johnny Herrera,15 Jean Beausejour,5 Francisco Silva,14 Matías Fernández,6 José Pedro Fuenzalida,9 Mauricio Pinilla,22 Ángelo Henríquez,-,-,-,-,-,-,-,Copa America 2015,Copa America,"Mon Jun 29, 2015",Chile vs Peru
2,Peru,1 Pedro Gallese,5 Carlos Zambrano,22 Carlos Ascues,6 Juan Manuel Vargas,17 Luis Advíncula,21 Josepmir Ballón,16 Carlos Lobatón,8 Christian Cueva,18 André Carrillo,10 Jefferson Farfán,9 Paolo Guerrero,15 Christian Ramos,19 Yoshimar Yotún,14 Claudio Pizarro,-,-,23 Salomón Libman,12 Diego Penny,3 Hansell Riojas,2 Jair Céspedes,4 Pedro Requena,13 Edwin Retamoso,7 Paolo Hurtado,20 Joel Sánchez,11 Yordy Reyna,-,-,-,-,-,-,Copa America 2015,Copa America,"Mon Jun 29, 2015",Chile vs Peru
3,Argentina,1 Sergio Romero,15 Martín Demichelis,17 Nicolás Otamendi,16 Marcos Rojo,4 Pablo Zabaleta,6 Lucas Biglia,14 Javier Mascherano,21 Javier Pastore,7 Ángel Di María,10 Lionel Messi,11 Sergio Agüero,5 Fernando Gago,19 Éver Banega,9 Gonzalo Higuaín,-,-,12 Nahuel Guzmán,23 Agustín Marchesín,3 Facundo Roncaglia,13 Milton Casco,8 Roberto Pereyra,22 Ezequiel Lavezzi,20 Erik Lamela,18 Carlos Tevez,-,-,-,-,-,-,-,Copa America 2015,Copa America,"Tue Jun 30, 2015",Argentina vs Paraguay
3,Paraguay,1 Justo Villar,4 Pablo Aguilar,14 Paulo da Silva,2 Iván Piris,5 Bruno Valdez,13 Richard Ortiz,15 Víctor Cáceres,18 Nelson Valdez,11 Edgar Benítez,10 Derlis González,9 Roque Santa Cruz,21 Óscar Romero,7 Raúl Bobadilla,8 Lucas Barrios,-,-,12 Antony Silva,23 Alfredo Aguilar,3 Marcos Cáceres,19 Fabián Balbuena,6 Miguel Samudio,16 Osmar Molinas,20 Néstor Ortigoza,17 Osvaldo Martínez,22 Eduardo Aranda,-,-,-,-,-,-,Copa America 2015,Copa America,"Tue Jun 30, 2015",Argentina vs Paraguay
4,Chile,1 Claudio Bravo,17 Gary Medel,18 Gonzalo Jara,2 Eugenio Mena,4 Mauricio Isla,21 Marcelo Díaz,8 Arturo Vidal,20 Charles Aránguiz,10 Jorge Valdivia,7 Alexis Sánchez,11 Eduardo Vargas,16 David Pizarro,14 Matías Fernández,9 Mauricio Pinilla,-,-,12 Paulo Garcés,23 Johnny Herrera,13 José Rojas,3 Miiko Albornoz,15 Jean Beausejour,5 Francisco Silva,19 Felipe Gutiérrez,6 José Pedro Fuenzalida,22 Ángelo Henríquez,-,-,-,-,-,-,Copa America 2015,Copa America,"Wed Jun 24, 2015",Chile vs Uruguay
4,Uruguay,1 Fernando Muslera,2 José María Giménez,3 Diego Godín,4 Jorge Fucile,16 Maximiliano Pereira,17 Egidio Arévalo Ríos,20 Álvaro González,5 Carlos Sánchez,7 Cristian Rodríguez,9 Diego Rolán,21 Edinson Cavani,8 Abel Hernández,22 Jonathan Rodríguez,-,-,-,12 Rodrigo Muñoz,23 Martín Silva,13 Gastón Silva,19 Sebastián Coates,18 Mathías Corujo,15 Guzmán Pereira,14 Nicolás Lodeiro,10 Giorgian de Arrascaeta,11 Cristhian Stuani,-,-,-,-,-,-,Copa America 2015,Copa America,"Wed Jun 24, 2015",Chile vs Uruguay
