,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Date,Match
0,Uruguay U20,12 Randall Rodríguez,16 Facundo González,2 Sebastián Boselli,13 Alan Matturro,8 Rodrigo Chagas,5 Fabricio Díaz,14 Damián García,10 Franco González,11 Juan Cruz de los Santos,19 Luciano Rodríguez,7 Anderson Duarte,18 Santiago Homenchenko,15 Ignacio Sosa,9 Andrés Ferrari,-,-,21 José Arbio,1 Facundo Machado,3 Mateo Antoni,6 Mathías de Ritis,4 Mateo Ponte,17 Matías Abaldo,20 Nicolás Siri,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Sun Jun 11, 2023",Uruguay U20 vs Italy U20
0,Italy U20,1 Sebastiano Desplanches,5 Daniele Ghilardi,14 Gabriele Guarino,6 Samuel Giovane,3 Riccardo Turicchia,16 Giacomo Faticanti,4 Matteo Prati,8 Cesare Casadei,10 Tommaso Baldanzi,20 Simone Pafundi,9 Giuseppe Ambrosino,2 Mattia Zanotti,17 Luca Lipani,7 Niccolò Pisilli,11 Daniele Montevago,18 Francesco Pio Esposito,12 Gioele Zacchi,21 Jacopo Sassi,15 Alessandro Fontanarosa,13 Filippo Fiumanò,19 Duccio Degli Innocenti,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Sun Jun 11, 2023",Uruguay U20 vs Italy U20
1,Israel U20,18 Ofek Melika,19 Hadar Fuchs,14 Roy Nawi,5 Shon Edri,2 Ilay Feingold,6 El Yam Kancepolsky,8 Ilay Madmon,15 Tai Abed,11 Hamza Shibli,16 Ran Binyamin,7 Anan Khalaili,13 Noam Ben Harush,20 Ahmad Salman,17 Omer Senior,-,-,21 Nitai Greis,10 Ariel Lugassy,-,-,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Sun Jun 11, 2023",Israel U20 vs South Korea U20
1,South Korea U20,1 Jun-hong Kim,4 Seok-hyeon Choi,20 Ji-soo Kim,19 Seo-joon Bae,2 Chang-woo Park,5 Chan-wook Lee,8 Seung-won Lee,17 Ji-han Lee,10 Jun-ho Bae,14 Sang-yun Kang,9 Young-jun Lee,13 Ye-hoon Choi,3 In-taek Hwang,7 Yong-hak Kim,11 Seong-jin Kang,-,12 Jung-hoon Kim,21 Hyeon-ho Moon,15 Young-kwang Cho,6 Hyun-bin Park,16 Seung-joon Lee,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Sun Jun 11, 2023",Israel U20 vs South Korea U20
2,Uruguay U20,12 Randall Rodríguez,16 Facundo González,2 Sebastián Boselli,13 Alan Matturro,8 Rodrigo Chagas,14 Damián García,5 Fabricio Díaz,15 Ignacio Sosa,11 Juan Cruz de los Santos,10 Franco González,7 Anderson Duarte,6 Mathías de Ritis,18 Santiago Homenchenko,9 Andrés Ferrari,20 Nicolás Siri,-,21 José Arbio,1 Facundo Machado,3 Mateo Antoni,17 Matías Abaldo,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Thu Jun 8, 2023",Uruguay U20 vs Israel U20
2,Israel U20,1 Tomer Tzarfati,3 Or Israelov,4 Stav Lemkin,12 Roy Revivo,2 Ilay Feingold,6 El Yam Kancepolsky,8 Ilay Madmon,15 Tai Abed,11 Hamza Shibli,7 Anan Khalaili,9 Dor Turgeman,13 Noam Ben Harush,14 Roy Nawi,16 Ran Binyamin,20 Ahmad Salman,17 Omer Senior,18 Ofek Melika,21 Nitai Greis,19 Hadar Fuchs,5 Shon Edri,10 Ariel Lugassy,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Thu Jun 8, 2023",Uruguay U20 vs Israel U20
3,Italy U20,1 Sebastiano Desplanches,5 Daniele Ghilardi,14 Gabriele Guarino,3 Riccardo Turicchia,2 Mattia Zanotti,4 Matteo Prati,8 Cesare Casadei,6 Samuel Giovane,10 Tommaso Baldanzi,9 Giuseppe Ambrosino,18 Francesco Pio Esposito,15 Alessandro Fontanarosa,13 Filippo Fiumanò,16 Giacomo Faticanti,20 Simone Pafundi,11 Daniele Montevago,12 Gioele Zacchi,21 Jacopo Sassi,17 Luca Lipani,19 Duccio Degli Innocenti,7 Niccolò Pisilli,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Thu Jun 8, 2023",Italy U20 vs South Korea U20
3,South Korea U20,1 Jun-hong Kim,4 Seok-hyeon Choi,20 Ji-soo Kim,13 Ye-hoon Choi,15 Young-kwang Cho,14 Sang-yun Kang,6 Hyun-bin Park,7 Yong-hak Kim,10 Jun-ho Bae,8 Seung-won Lee,9 Young-jun Lee,19 Seo-joon Bae,3 In-taek Hwang,17 Ji-han Lee,-,-,12 Jung-hoon Kim,21 Hyeon-ho Moon,5 Chan-wook Lee,2 Chang-woo Park,16 Seung-joon Lee,11 Seong-jin Kang,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Thu Jun 8, 2023",Italy U20 vs South Korea U20
4,Israel U20,1 Tomer Tzarfati,3 Or Israelov,4 Stav Lemkin,12 Roy Revivo,2 Ilay Feingold,6 El Yam Kancepolsky,8 Ilay Madmon,15 Tai Abed,10 Ariel Lugassy,7 Anan Khalaili,9 Dor Turgeman,5 Shon Edri,14 Roy Nawi,16 Ran Binyamin,11 Hamza Shibli,20 Ahmad Salman,17 Omer Senior,18 Ofek Melika,21 Nitai Greis,19 Hadar Fuchs,13 Noam Ben Harush,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Sat Jun 3, 2023",Israel U20 vs Brazil U20
4,Brazil U20,12 Kaique Pereira,3 Jean Pedroso,14 Douglas Mendes,11 Biro,13 André Dhominique,5 Andrey Santos,8 Marlon Gomes,10 Matheus Martins,20 Sávio,16 Marquinhos,9 Marcos Leonardo,15 Ronald Falkoski,18 Kevin,7 Giovani,17 Giovane,19 Matheus Nascimento,1 Mycael,21 Kauã Santos,6 Kaiki,-,-,-,-,-,-,-,-,-,-,-,-,U-20 World Cup 2023,"Sat Jun 3, 2023",Israel U20 vs Brazil U20
