,TeamName,Starter_1,Starter_2,Starter_3,Starter_4,Starter_5,Starter_6,Starter_7,Starter_8,Starter_9,Starter_10,Starter_11,Sub_1,Sub_2,Sub_3,Sub_4,Sub_5,Unused_1,Unused_2,Unused_3,Unused_4,Unused_5,Unused_6,Unused_7,Unused_8,Unused_9,Unused_10,Unused_11,Unused_12,Unused_13,Unused_14,Unused_15,Competition,Competition General,Date,Match
0,Uzbekistan,- Murod Zukhurov,- Anzur Ismoilov,- Islom Tukhtakhuzhaev,- Vitaliy Denisov,- Oleg Zoteev,- Akmal Shorakhmedov,- Odil Akhmedov,- Timur Kapadze,- Server Djeparov,- Jasur Khasanov,- Bakhodir Nasimov,- Sanzhar Tursunov,- Igor Sergeev,- Ivan Nagaev,-,-,- Aleksandr Lobanov,- Eldorbek Suyunov,- Artyom Filiposyan,- Shavkat Mulladzhanov,- Vladimir Kozak,- Jasur Khasanov,- Ulugbek Bakaev,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Tue Sep 10, 2013",Uzbekistan vs Jordan
0,Jordan,- Amer Shafi,- Anas Bani Yaseen,- Mohammad Mustafa,- Mohammad Al-Dmeiri,- Oday Zahran,- Saeed Murjan,- Khalil Bani Attiah,- Amer Deeb,- Mus'ab Al-Laham,- Ahmad Sameer,- Ahmad Hayel,- Odai Al-Saify,- Adnan Adous,- Abdallah Deeb,-,-,- Lo'ai Al-Amaireh,- Ahmed Abdel-Sattar,- Ibrahim Al-Zawahreh,- Shadi Abu Hash'hash,- Baha'a Abdulrahman,- Monther Abu Amara,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Tue Sep 10, 2013",Uzbekistan vs Jordan
1,Jordan,1 Amer Shafi,5 Mohammad Mustafa,19 Anas Bani Yaseen,21 Mohammad Al-Dmeiri,10 Oday Zahran,15 Shadi Abu Hash'hash,6 Saeed Murjan,13 Khalil Bani Attiah,18 Hassan Abdel Fattah,20 Mus'ab Al-Laham,10 Ahmad Hayel,8 Odai Al-Saify,7 Amer Deeb,14 Abdallah Deeb,-,-,12 Lo'ai Al-Amaireh,22 Ahmed Abdel-Sattar,17 Ibrahim Al-Zawahreh,4 Baha'a Abdulrahman,3 Mohammad Khier Al-Jammal,9 Adnan Adous,23 Ahmad Sameer,16 Monther Abu Amara,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Fri Sep 6, 2013",Jordan vs Uzbekistan
1,Uzbekistan,1 Murod Zukhurov,5 Anzur Ismoilov,2 Egor Krimets,19 Vitaliy Denisov,22 Islom Inomov,9 Odil Akhmedov,18 Timur Kapadze,6 Jasur Khasanov,8 Server Djeparov,17 Sanzhar Tursunov,11 Bakhodir Nasimov,20 Islom Tukhtakhuzhaev,14 Jamshid Iskanderov,10 Ulugbek Bakaev,-,-,21 Aleksandr Lobanov,12 Eldorbek Suyunov,3 Shavkat Mulladzhanov,13 Oleg Zoteev,23 Akmal Shorakhmedov,4 Vladimir Kozak,7 Dilshod Juraev,16 Jasur Khasanov,15 Igor Sergeev,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Fri Sep 6, 2013",Jordan vs Uzbekistan
2,Uzbekistan,12 Ignatiy Nesterov,2 Anzur Ismoilov,3 Shavkat Mulladzhanov,19 Vitaliy Denisov,22 Viktor Karpenko,7 Azizbek Khaydarov,18 Timur Kapadze,6 Jasur Khasanov,14 Stanislav Andreev,9 Odil Akhmedov,15 Aleksandr Geynrikh,13 Lutfulla Turaev,11 Marat Bikmaev,10 Ulugbek Bakaev,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Jun 3, 2012",Uzbekistan vs Iran
2,Iran,1 Mehdi Rahmati,4 Seyed Jalal Hosseini,15 Pejman Montazeri,18 Pejman Nouri,13 Hossein Mahini,6 Javad Nekounam,14 Andranik Teymourian,7 Mojtaba Jabbari,3 Ehsan Hajsafi,17 Mohammad Ebrahimi,8 Ali Karimi,2 Khosro Heydari,9 Mohammad Reza Khalatbari,10 Karim Ansarifard,-,-,12 Mohsen Forouzan,5 Hadi Aghili,22 Shoja Khalilzadeh,16 Reza Haghighi,19 Maziar Zare,23 Mehrdad Pooladi,20 Ghasem Dehnavi,11 Gholamreza Rezaei,21 Ashkan Dejagah,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Jun 3, 2012",Uzbekistan vs Iran
3,Lebanon,1 Ziad Al-Samad,3 Youssef Mohamad,16 Bilal Najarin,18 Walid Ismael,5 Ramez Dyoub,12 Hussein Dakik,15 Haytham Faour,10 Abbas Atwi,7 Hassan Maatouk,11 Ahmad Zreik,22 Mohamad Ghaddar,14 Nader Matar,8 Hassan Chaito,9 Hassan El Mohamad,-,-,23 Mohamad Hammoud,28 Abbas Hassan,2 Ali Al-Saadi,4 Mootaz Jounaidi,19 Ali Hamam,12 Mouhamad Chamass,- Amer Khan,9 Mohamad Haidar,- Zakaria Charara,16 Rabih Ataya,13 Akram Moghrabi,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Jun 3, 2012",Lebanon vs Qatar
3,Qatar,1 Qasem Burhan,13 Ibrahim Majed,3 Mohammed Kasola,19 Khalid Muftah,8 Mesaad Al-Hamad,7 Wesam Rizik,4 Anas Mubarak,- Yusef Ahmed Ali,- Adel Lamy,10 Khalfan Ibrahim,23 Sebastián Soria,14 Marcone,15 Talal Al-Bloushi,4 Younes Ali,-,-,- Ahmed Sofyan,1 Baba Malick N'Diaye,18 Ibrahim Al-Ghanim,2 Hamid Ismaeil,5 Majdi Siddiq,12 Magid Mohamed Hassan,18 Mohammad Jeddo,2 Hasan Al-Haydos,16 Mohamed Razak,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Jun 3, 2012",Lebanon vs Qatar
4,Lebanon,1 Ziad Al-Samad,3 Youssef Mohamad,16 Bilal Najarin,18 Walid Ismael,2 Ali Al-Saadi,12 Hussein Dakik,15 Haytham Faour,10 Abbas Atwi,11 Ahmad Zreik,7 Hassan Maatouk,9 Hassan El Mohamad,12 Mouhamad Chamass,14 Nader Matar,8 Hassan Chaito,-,-,23 Mohamad Hammoud,28 Abbas Hassan,4 Mootaz Jounaidi,19 Ali Hamam,- Amer Khan,9 Mohamad Haidar,- Zakaria Charara,13 Akram Moghrabi,22 Mohamad Ghaddar,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Jun 8, 2012",Lebanon vs Uzbekistan
4,Uzbekistan,12 Ignatiy Nesterov,2 Anzur Ismoilov,20 Islom Tukhtakhuzhaev,19 Vitaliy Denisov,22 Viktor Karpenko,9 Odil Akhmedov,18 Timur Kapadze,17 Sanzhar Tursunov,8 Server Djeparov,15 Aleksandr Geynrikh,- Jasur Khasanov,11 Marat Bikmaev,10 Ulugbek Bakaev,-,-,-,- Akbar Turaev,21 Murod Zukhurov,3 Shavkat Mulladzhanov,5 Artyom Filiposyan,- Oleg Zoteev,14 Stanislav Andreev,- Islom Inomov,13 Lutfulla Turaev,23 Vagiz Galiulin,-,-,-,-,-,-,"World Cup Qualifiers, 2014, Asia","World Cup Qualifiers, Asia","Jun 8, 2012",Lebanon vs Uzbekistan
