,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,Lookup Still Required?,Lookup Return Case,Name(s) Found,Translated Name,Original Case,To Remove
307,2714,"World Cup Qualifiers, Asia, 2026",16-11-2023,Turkmenistan vs Uzbekistan,2023,Turkmenistan,TM,Y Gurbanow,True,Failed Using Name Looking at Season and Season +-1,Yazgylyc Gurbanov,,Match Date Filter Said 0,False
308,2728,"World Cup Qualifiers, Asia, 2026",21-11-2023,Afghanistan vs Kuwait,2023,Kuwait,KW,Abdullah Ammar,True,Failed Using Name Looking at Season and Season +-1,Abdullah Al-Ammar,,Match Date Filter Said 0,False
309,2232,"World Cup Qualifiers, Africa, 2026",19-11-2023,Sierra Leone vs Egypt,2023,Sierra Leone,SL,D Kamara,True,Failed Using Name Looking at Season and Season +-1,Demba Kamara,,Match Date Filter Said 0,False
310,2236,"World Cup Qualifiers, Africa, 2026",19-11-2023,Sudan vs Congo DR,2023,Sudan,SD,Abu Agla Abdalla,True,Failed Using Name Looking at Season and Season +-1,Al Hilal Omdurman,,Match Date Filter Said 0,False
311,2751,"World Cup Qualifiers, Asia, 2026",12-10-2023,Myanmar vs Macao,2023,Macao,MF,Pang Chi-Hang,True,Failed Using Name Looking at Season and Season +-1,Must Chao Pak Kei,,Match Date Filter Said 0,False
312,2751,"World Cup Qualifiers, Asia, 2026",12-10-2023,Myanmar vs Macao,2023,Macao,MF,Cheong Hoi San,True,Failed Using Name Looking at Season and Season +-1,Hoi San Cheong,,Match Date Filter Said 0,False
313,2751,"World Cup Qualifiers, Asia, 2026",12-10-2023,Myanmar vs Macao,2023,Macao,MF,C Lei,True,Failed Using Name Looking at Season and Season +-1,Cheng Lam Lei,,Match Date Filter Said 0,False
314,2751,"World Cup Qualifiers, Asia, 2026",12-10-2023,Myanmar vs Macao,2023,Macao,MF,Ka Seng Lam,True,Failed Using Name Looking at Season and Season +-1,Ka Seng Lam,,Match Date Filter Said 0,False
315,2755,"World Cup Qualifiers, Asia, 2026",17-10-2023,Macao vs Myanmar,2023,Macao,MF,Ka Seng Lam,True,Failed Using Name Looking at Season and Season +-1,Ka Seng Lam,,Match Date Filter Said 0,False
316,2755,"World Cup Qualifiers, Asia, 2026",17-10-2023,Macao vs Myanmar,2023,Macao,MF,C Lei,True,Failed Using Name Looking at Season and Season +-1,Cheng Lam Lei,,Match Date Filter Said 0,False
