,Match ID,Competition,Date,Match,Season,Nationality,Country Code,ORIGINAL JERSEY,Lookup Still Required?,Lookup Return Case,Name(s) Found,Translated Name,Original Case,To Remove
0,540,"Euros 2016, Qualifiers",12.10.14,Russia vs Moldova,2014,Moldova,MD,7. Кожокарь,True,Failed Using Name Looking at Season and Season +-1,['No matches found even with the lowest threshold.'],Kozhokar,Cyrillic Dudes,False
1,543,"Euros 2016, Qualifiers",15.11.14,Moldova vs Liechtenstein,2014,Moldova,MD,9. Кожокарь,True,Failed Using Name Looking at Season and Season +-1,['No matches found even with the lowest threshold.'],Kozhokar,Cyrillic Dudes,False
2,552,"Euros 2016, Qualifiers",05.09.15,Austria vs Moldova,2015,Moldova,MD,7. Кожокарь,True,Failed Using Name Looking at Season and Season +-1,['No matches found even with the lowest threshold.'],Kozhokar,Cyrillic Dudes,False
3,553,"Euros 2016, Qualifiers",05.09.15,Montenegro vs Liechtenstein,2015,Liechtenstein,LI,6. Кристен,True,Failed Using Name Looking at Season and Season +-1,['Mathias Christen'],Kristen,Cyrillic Dudes,False
4,404,"Euros 2016, Qualifiers",06.09.15,Wales vs Israel,2015,Israel,IL,20. Бен-Аруш,True,Failed Using Name Looking at Season and Season +-1,['Eden Ben Basat'],Ben Arush,Cyrillic Dudes,False
5,581,"Euros 2016, Qualifiers",03.09.15,Azerbaijan vs Croatia,2015,Azerbaijan,AZ,14. Р.Ф.Садыгов,True,Failed Using Name Looking at Season and Season +-1,['Arif Isayev'],R F Sadygov,Cyrillic Dudes,False
6,637,"Euros 2020, Qualifiers",10.09.19,Montenegro vs Czech,2019,Montenegro,ME,3. Больевич В.,True,Failed Using Name Looking at Season and Season +-1,['Vladimir Boljevic'],V Bolyevich,Cyrillic Dudes,False
7,405,"Euros 2016, Qualifiers",06.09.15,Bosnia-Herzegovina vs Andorra,2015,Bosnia,BA,11. Джеко,True,Failed Using Name Looking at Season and Season +-1,['Smail Prevljak'],Jacko,Cyrillic Dudes,False
8,405,"Euros 2016, Qualifiers",06.09.15,Bosnia-Herzegovina vs Andorra,2015,Andorra,AD,3. Сан-Николас,True,Failed Using Name Looking at Season and Season +-1,['Luigi San Nicolas'],San Nicolas,Cyrillic Dudes,False
9,405,"Euros 2016, Qualifiers",06.09.15,Bosnia-Herzegovina vs Andorra,2015,Andorra,AD,21. Гарсия М.,True,Failed Using Name Looking at Season and Season +-1,['Christian Garcia'],M Garcia,Cyrillic Dudes,False
10,407,"Euros 2016, Qualifiers",10.10.15,Andorra vs Belgium,2015,Andorra,AD,3. Сан-Николас,True,Failed Using Name Looking at Season and Season +-1,['Luigi San Nicolas'],San Nicolas,Cyrillic Dudes,False
11,481,"Euros 2016, Qualifiers",14.10.14,San Marino vs Switzerland,2014,Switzerland,CH,17. Касами,True,Failed Using Name Looking at Season and Season +-1,['No matches found even with the lowest threshold.'],Cash desks,Cyrillic Dudes,False
12,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,6. Сигурдссон Р.,True,Failed Using Name Looking at Season and Season +-1,['Arnór Sigurdsson'],R Sigurdsson,Cyrillic Dudes,False
13,360,"Euros 2016, Qualifiers",13.10.14,Iceland vs Netherlands,2014,Iceland,IS,8. Б. Бьярнасон,True,Failed Using Name Looking at Season and Season +-1,['Aron Bjarnason'],B Bjarnason,Cyrillic Dudes,False
14,361,"Euros 2016, Qualifiers",13.10.14,Latvia vs Turkey,2014,Turkey,TR,11. Гекхан,True,Failed Using Name Looking at Season and Season +-1,['Gökhan Akkan'],Gekhan,Cyrillic Dudes,False
15,363,"Euros 2016, Qualifiers",16.11.14,Czech vs Iceland,2014,Iceland,IS,18. Э.Бьярнасон,True,Failed Using Name Looking at Season and Season +-1,['Aron Bjarnason'],A Bjarnason,Cyrillic Dudes,False
16,1458,Nations League 2018-2020,15.10.18,Estonia vs Hungary,2018,Hungary,HU,5. Барат,True,Failed Using Name Looking at Season and Season +-1,['Gábor Nagy'],Going,Cyrillic Dudes,False
17,1461,Nations League 2018-2020,15.11.18,Hungary vs Estonia,2018,Hungary,HU,5. Барат,True,Failed Using Name Looking at Season and Season +-1,['Gábor Nagy'],Going,Cyrillic Dudes,False
18,1462,Nations League 2018-2020,18.11.18,Hungary vs Finland,2018,Hungary,HU,5. Барат,True,Failed Using Name Looking at Season and Season +-1,['Gábor Nagy'],Going,Cyrillic Dudes,False
19,506,"Euros 2016, Qualifiers",11.10.14,Romania vs Hungary,2014,Romania,RO,6. Кирикеш,True,Failed Using Name Looking at Season and Season +-1,['No matches found even with the lowest threshold.'],Introduction,Cyrillic Dudes,False
20,509,"Euros 2016, Qualifiers",14.10.14,Faroe Islands vs Hungary,2014,Hungary,HU,9. Тежер,True,Failed Using Name Looking at Season and Season +-1,['Szilveszter Hangya'],Tezher,Cyrillic Dudes,False
21,510,"Euros 2016, Qualifiers",14.10.14,Finland vs Romania,2014,Finland,FI,4. Тойво,True,Failed Using Name Looking at Season and Season +-1,['Henri Toivomäki'],Toivo,Cyrillic Dudes,False
22,510,"Euros 2016, Qualifiers",14.10.14,Finland vs Romania,2014,Romania,RO,6. Кирикеш,True,Failed Using Name Looking at Season and Season +-1,['No matches found even with the lowest threshold.'],Introduction,Cyrillic Dudes,False
23,511,"Euros 2016, Qualifiers",14.10.14,Greece vs Northern Ireland,2014,Greece,GR,17. Анастасиадис,True,Failed Using Name Looking at Season and Season +-1,['Anastasios Donis'],Anastasiadis,Cyrillic Dudes,False
24,521,"Euros 2016, Qualifiers",04.09.15,Faroe Islands vs Northern Ireland,2015,Faroe Islands,FO,9. Серенсен,True,Failed Using Name Looking at Season and Season +-1,['Hanus Sørensen'],Serensen,Cyrillic Dudes,False
25,523,"Euros 2016, Qualifiers",04.09.15,Hungary vs Romania,2015,Romania,RO,6. Кирикеш,True,Failed Using Name Looking at Season and Season +-1,['No matches found even with the lowest threshold.'],Introduction,Cyrillic Dudes,False
26,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,14. С. Ванхамар,True,Failed Using Name Looking at Season and Season +-1,['Gunnar Vatnhamar'],Swanhamar,Cyrillic Dudes,False
27,524,"Euros 2016, Qualifiers",07.09.15,Finland vs Faroe Islands,2015,Faroe Islands,FO,9. Серенсен,True,Failed Using Name Looking at Season and Season +-1,['Hanus Sørensen'],Serensen,Cyrillic Dudes,False
28,217,World Cup 2014,18.06.14,Russia vs South Korea,2014,Korea Republic,KR,12. Ли Ён,True,Failed Using Name Looking at Season and Season +-1,['Lee Yong'],Li Yeon,Cyrillic Dudes,False
29,219,World Cup 2014,22.06.14,South Korea vs Algeria,2014,Algeria,DZ,18. Джабу,True,Failed Using Name Looking at Season and Season +-1,['Jaouen Hadjam'],Jabu,Cyrillic Dudes,False
30,220,World Cup 2014,26.06.14,South Korea vs Belgium,2014,Belgium,BE,15. ван Буйтен,True,Failed Using Name Looking at Season and Season +-1,['Van Buyten'],van Buyten,Cyrillic Dudes,False
31,221,World Cup 2014,26.06.14,Algeria vs Russia,2014,Algeria,DZ,18. Джабу,True,Failed Using Name Looking at Season and Season +-1,['Jaouen Hadjam'],Jabu,Cyrillic Dudes,False
32,276,World Cup 2018,18.06.18,Tunisia vs England,2018,Tunisia,TN,13. Сасси А.,True,Failed Using Name Looking at Season and Season +-1,['Mossaab Sassi'],A  Sassi,Cyrillic Dudes,False
33,277,World Cup 2018,23.06.18,Belgium vs Tunisia,2018,Tunisia,TN,13. Сасси А.,True,Failed Using Name Looking at Season and Season +-1,['Mossaab Sassi'],A  Sassi,Cyrillic Dudes,False
34,280,World Cup 2018,28.06.18,Panama vs Tunisia,2018,Tunisia,TN,13. Сасси А.,True,Failed Using Name Looking at Season and Season +-1,['Mossaab Sassi'],A  Sassi,Cyrillic Dudes,False
35,1477,Nations League 2018-2020,07.09.18,Romania vs Montenegro,2018,Montenegro,ME,3. Больевич В.,True,Failed Using Name Looking at Season and Season +-1,['Vladimir Boljevic'],V Bolyevich,Cyrillic Dudes,False
36,385,"Euros 2016, Qualifiers",10.10.14,Belgium vs Andorra,2014,Andorra,AD,13. Поль,True,Failed Using Name Looking at Season and Season +-1,['Eric de Pablos'],Paul,Cyrillic Dudes,False
