,index,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New,Market Value New
0,62313,3137,"World Cup Qualifiers, Europe, 2018",Switzerland vs Faroe Islands,13-11-2016,Faroe Islands,FO,2016,SUCCESS,Fródi Benjaminsen,0,False,Guy has 0 market value in this season,False,Fródi Benjaminsen,F Benjaminsen,single,Done,0
1,62314,3179,"World Cup Qualifiers, Europe, 2018",Liechtenstein vs Italy,12-11-2016,Liechtenstein,LI,2016,SUCCESS,Andreas Christen,0,False,Guy has 0 market value in this season,False,Andreas Christen,A Christen,single,Done,0
2,62315,2685,"World Cup Qualifiers, Asia, 2022",Maldives vs Guam,19-11-2019,Guam,GU,2019,SUCCESS,Michael Crowley,0,False,Guy has 0 market value in this season,False,Michael Crowley,M Crowley,single,Done,0
3,62316,2691,"World Cup Qualifiers, Asia, 2022",Cambodia vs Hong Kong,05-09-2019,Cambodia,KH,2019,SUCCESS,Phallin Hoy,0,False,Guy has 0 market value in this season,False,Phallin Hoy,Hoy Phallin,single,Done,0
4,62317,2693,"World Cup Qualifiers, Asia, 2022",Guam vs Philippines,10-09-2019,Guam,GU,2019,SUCCESS,Michael Crowley,0,False,Guy has 0 market value in this season,False,Michael Crowley,M Crowley,single,Done,0
5,62318,2693,"World Cup Qualifiers, Asia, 2022",Guam vs Philippines,10-09-2019,Philippines,PH,2019,SUCCESS,Yrick Gallantes,0,False,Guy has 0 market value in this season,False,Yrick Gallantes,Y Galantes,single,Done,0
6,62319,2699,"World Cup Qualifiers, Asia, 2022",Kuwait vs Nepal,05-09-2019,Kuwait,KW,2019,SUCCESS,Ahmad Raheel Al-Dhufairi,0,False,Guy has 0 market value in this season,False,Ahmad Raheel Al-Dhufairi,A Al Dhufairi,single,Done,0
7,62320,2710,"World Cup Qualifiers, Asia, 2026",Maldives vs Bangladesh,12-10-2023,Maldives,MV,2023,SUCCESS,Mohamed Naim,0,False,Guy has 0 market value in this season,False,Mohamed Naim,M Naim,single,Done,0
8,62321,2721,"World Cup Qualifiers, Asia, 2026",Mongolia vs Afghanistan,17-10-2023,Mongolia,MN,2023,SUCCESS,Filip Andersen,0,False,Guy has 0 market value in this season,False,Filip Andersen,F Andersen,single,Done,0
9,62322,2722,"World Cup Qualifiers, Asia, 2026",Sri Lanka vs Yemen,17-10-2023,Sri Lanka,LK,2023,SUCCESS,Kavindu Ishan,0,False,Guy has 0 market value in this season,False,Kavindu Ishan,K Ishan,single,Done,0
10,62323,2722,"World Cup Qualifiers, Asia, 2026",Sri Lanka vs Yemen,17-10-2023,Sri Lanka,LK,2023,SUCCESS,Rifkhan Mohamed,0,False,Guy has 0 market value in this season,False,Rifkhan Mohamed,Rifkhan Mohamed,single,Done,0
11,62324,2728,"World Cup Qualifiers, Asia, 2026",Afghanistan vs Kuwait,21-11-2023,Afghanistan,AF,2023,SUCCESS,Habibulla Askar,0,False,Guy has 0 market value in this season,False,Habibulla Askar,H Askar,single,Done,0
12,62325,2728,"World Cup Qualifiers, Asia, 2026",Afghanistan vs Kuwait,21-11-2023,Afghanistan,AF,2023,SUCCESS,Jamshed Asekzai,0,False,Guy has 0 market value in this season,False,Jamshed Asekzai,J Asekzai,single,Done,0
13,62326,4240,"World Cup 2014, Qualifiers, CONMEBOL",Colombia vs Bolivia,22-Mar-13,Bolivia,BO,2013,SUCCESS,Rony Jiménez,0,False,Guy has 0 market value in this season,False,Rony Jiménez,Jiménez,single,Done,0
14,62327,4243,"World Cup 2014, Qualifiers, CONMEBOL",Peru vs Chile,22-Mar-13,Peru,PE,2013,SUCCESS,Jefferson Farfán,0,False,working,False,Jefferson Farfán,Farfán,single,Done,18000000
15,62328,4248,"World Cup 2014, Qualifiers, CONMEBOL",Bolivia vs Venezuela,07-Jun-13,Bolivia,BO,2013,SUCCESS,Sergio Galarza,0,False,Guy has 0 market value in this season,False,Sergio Galarza,Galarza,single,Done,0
16,62329,4036,"World Cup 2018, Qualifiers, CONCACAF",Haiti vs Costa Rica,02-Sep-16,Haiti,HT,2016,SUCCESS,Ronaldo Damus,0,False,Guy has 0 market value in this season,False,Ronaldo Damus,Damus,single,Done,0
17,62330,4037,"World Cup 2018, Qualifiers, CONCACAF",Trinidad and Tobago vs Guatemala,02-Sep-16,Guatemala,GT,2016,SUCCESS,Jefrey Payeras,0,False,Guy has 0 market value in this season,False,Jefrey Payeras,Payeras,single,Done,0
18,62331,4038,"World Cup 2018, Qualifiers, CONCACAF",El Salvador vs Mexico,02-Sep-16,El Salvador,SV,2016,SUCCESS,Harold Alas,0,False,Guy has 0 market value in this season,False,Harold Alas,Alas,single,Done,0
19,62332,4040,"World Cup 2018, Qualifiers, CONCACAF",Guatemala vs Saint Vincent and the Grenadines,06-Sep-16,Guatemala,GT,2016,SUCCESS,Jefrey Payeras,0,False,Guy has 0 market value in this season,False,Jefrey Payeras,Payeras,single,Done,0
20,62333,4040,"World Cup 2018, Qualifiers, CONCACAF",Guatemala vs Saint Vincent and the Grenadines,06-Sep-16,Saint Vincent and the Grenadines,VC,2016,SUCCESS,Ezra Alleyne,0,False,Guy has 0 market value in this season,False,Ezra Alleyne,Alleyne,single,Done,0
21,62334,4041,"World Cup 2018, Qualifiers, CONCACAF",Canada vs El Salvador,06-Sep-16,El Salvador,SV,2016,SUCCESS,Harold Alas,0,False,Guy has 0 market value in this season,False,Harold Alas,Alas,single,Done,0
22,62335,4042,"World Cup 2018, Qualifiers, CONCACAF",Costa Rica vs Panama,06-Sep-16,Panama,PA,2016,SUCCESS,Richard Dixon,0,False,Guy has 0 market value in this season,False,Richard Dixon,Dixon,single,Done,0
23,62336,4044,"World Cup 2018, Qualifiers, CONCACAF",Jamaica vs Haiti,06-Sep-16,Haiti,HT,2016,SUCCESS,Andy Délice,0,False,Guy has 0 market value in this season,False,Andy Délice,Délice,single,Done,0
24,62337,2224,"World Cup Qualifiers, Africa, 2026",South Sudan vs Mauritania,21-11-2023,South Sudan,SS,2023,SUCCESS,Majak Mawith,0,False,Guy has 0 market value in this season,False,Majak Mawith,M Mawith,single,Done,0
25,62338,2225,"World Cup Qualifiers, Africa, 2026",Burundi vs Gambia,16-11-2023,Burundi,BI,2023,SUCCESS,Abdul Razak Fiston,0,False,Guy has 0 market value in this season,False,Abdul Razak Fiston,F Abdul Razak,single,Done,0
26,62339,2227,"World Cup Qualifiers, Africa, 2026",São Tomé and Príncipe vs Namibia,21-11-2023,São Tomé and Príncipe,ST,2023,SUCCESS,Denilson Silva,0,False,Guy has 0 market value in this season,False,Denilson Silva,Denilson Silva,single,Done,0
27,62340,2227,"World Cup Qualifiers, Africa, 2026",São Tomé and Príncipe vs Namibia,21-11-2023,São Tomé and Príncipe,ST,2023,SUCCESS,Mauro Vilhete,0,False,Guy has 0 market value in this season,False,Mauro Vilhete,Mauro Vilhete,single,Done,0
28,62341,2227,"World Cup Qualifiers, Africa, 2026",São Tomé and Príncipe vs Namibia,21-11-2023,São Tomé and Príncipe,ST,2023,SUCCESS,Álvaro Amado,0,False,Guy has 0 market value in this season,False,Álvaro Amado,Álvaro Amado,single,Done,0
29,62342,2228,"World Cup Qualifiers, Africa, 2026",Ethiopia vs Burkina Faso,21-11-2023,Ethiopia,ET,2023,SUCCESS,Wogene Gezahegn,0,False,Guy has 0 market value in this season,False,Wogene Gezahegn,W Gezahegn,single,Done,0
30,62343,2229,"World Cup Qualifiers, Africa, 2026",Lesotho vs Benin,21-11-2023,Lesotho,LS,2023,SUCCESS,Thabo Matsoele,0,False,Guy has 0 market value in this season,False,Thabo Matsoele,T Matsoele,single,Done,0
31,62344,2229,"World Cup Qualifiers, Africa, 2026",Lesotho vs Benin,21-11-2023,Lesotho,LS,2023,SUCCESS,Thabo Lesaoana,0,False,Guy has 0 market value in this season,False,Thabo Lesaoana,T Lesaoana,single,Done,0
32,62345,2232,"World Cup Qualifiers, Africa, 2026",Sierra Leone vs Egypt,19-11-2023,Sierra Leone,SL,2023,SUCCESS,Mohamed Kabia,0,False,Guy has 0 market value in this season,False,Mohamed Kabia,M Kabia,single,Done,0
33,62346,2234,"World Cup Qualifiers, Africa, 2026",Zimbabwe vs Nigeria,19-11-2023,Zimbabwe,ZW,2023,SUCCESS,Bernard Donovan,0,False,Guy has 0 market value in this season,False,Bernard Donovan,B Donovan,single,Done,0
34,62347,2234,"World Cup Qualifiers, Africa, 2026",Zimbabwe vs Nigeria,19-11-2023,Zimbabwe,ZW,2023,SUCCESS,Andrew Mbeba,0,False,Guy has 0 market value in this season,False,Andrew Mbeba,A Mbeba,single,Done,0
35,62348,2234,"World Cup Qualifiers, Africa, 2026",Zimbabwe vs Nigeria,19-11-2023,Zimbabwe,ZW,2023,SUCCESS,Walter Musona,0,False,Guy has 0 market value in this season,False,Walter Musona,W Musona,single,Done,0
36,62349,2239,"World Cup Qualifiers, Africa, 2026",Eswatini vs Cape Verde,21-11-2023,Eswatini,SZ,2023,SUCCESS,Khanyakwezwe Shabalala,0,False,Guy has 0 market value in this season,False,Khanyakwezwe Shabalala,K Shabalala,single,Done,0
37,62350,2241,"World Cup Qualifiers, Africa, 2026",Nigeria vs Lesotho,16-11-2023,Lesotho,LS,2023,SUCCESS,Thabo Matsoele,0,False,Guy has 0 market value in this season,False,Thabo Matsoele,T Matsoele,single,Done,0
38,62351,2241,"World Cup Qualifiers, Africa, 2026",Nigeria vs Lesotho,16-11-2023,Lesotho,LS,2023,SUCCESS,Thabo Lesaoana,0,False,Guy has 0 market value in this season,False,Thabo Lesaoana,T Lesaoana,single,Done,0
39,62352,2241,"World Cup Qualifiers, Africa, 2026",Nigeria vs Lesotho,16-11-2023,Lesotho,LS,2023,SUCCESS,Bokang Sello,0,False,Guy has 0 market value in this season,False,Bokang Sello,B Sello,single,Done,0
40,62353,2243,"World Cup Qualifiers, Africa, 2026",Liberia vs Equatorial Guinea,20-11-2023,Liberia,LR,2023,SUCCESS,Albert Korvah,0,False,Guy has 0 market value in this season,False,Albert Korvah,A Korvah,single,Done,0
41,62354,2243,"World Cup Qualifiers, Africa, 2026",Liberia vs Equatorial Guinea,20-11-2023,Liberia,LR,2023,SUCCESS,Edward Ledlum,0,False,Guy has 0 market value in this season,False,Edward Ledlum,E Ledlum,single,Done,0
42,62355,2244,"World Cup Qualifiers, Africa, 2026",Malawi vs Tunisia,21-11-2023,Malawi,MW,2023,SUCCESS,Tatenda Mbalaka,0,False,Guy has 0 market value in this season,False,Tatenda Mbalaka,T Mbalaka,single,Done,0
43,62356,2245,"World Cup Qualifiers, Africa, 2026",Cameroon vs Mauritius,17-11-2023,Mauritius,MU,2023,SUCCESS,Dorian Chiotti,0,False,Guy has 0 market value in this season,False,Dorian Chiotti,D Chiotti,single,Done,0
44,62357,2247,"World Cup Qualifiers, Africa, 2026",Cote d'Ivoire vs Seychelles,17-11-2023,Seychelles,SC,2023,SUCCESS,Carlos Simeon,0,False,Guy has 0 market value in this season,False,Carlos Simeon,C Simeon,single,Done,0
45,62358,2247,"World Cup Qualifiers, Africa, 2026",Cote d'Ivoire vs Seychelles,17-11-2023,Seychelles,SC,2023,SUCCESS,Markus Payet,0,False,Guy has 0 market value in this season,False,Markus Payet,M Payet,single,Done,0
46,62359,2250,"World Cup Qualifiers, Africa, 2026",Mauritius vs Angola,21-11-2023,Mauritius,MU,2023,SUCCESS,Dorian Chiotti,0,False,Guy has 0 market value in this season,False,Dorian Chiotti,D Chiotti,single,Done,0
47,62360,2251,"World Cup Qualifiers, Africa, 2026",Gabon vs Kenya,16-11-2023,Kenya,KE,2023,SUCCESS,Rooney Onyango,0,False,Guy has 0 market value in this season,False,Rooney Onyango,R Onyango,single,Done,0
48,62361,2252,"World Cup Qualifiers, Africa, 2026",Rwanda vs South Africa,21-11-2023,Rwanda,RW,2023,SUCCESS,Olivier Niyonzima,0,False,Guy has 0 market value in this season,False,Olivier Niyonzima,O Niyonzima,single,Done,0
49,62362,2252,"World Cup Qualifiers, Africa, 2026",Rwanda vs South Africa,21-11-2023,Rwanda,RW,2023,SUCCESS,Lague Byiringiro,0,False,Guy has 0 market value in this season,False,Lague Byiringiro,L Byiringiro,single,Done,0
50,62363,2254,"World Cup Qualifiers, Asia, 2014",Jordan vs Uzbekistan,06-09-2013,Jordan,JO,2013,SUCCESS,Mus'ab Al-Laham,0,False,Guy has 0 market value in this season,False,Mus'ab Al-Laham,Mussab Al Laham,single,Done,0
51,62364,2261,"World Cup Qualifiers, Asia, 2014",Uzbekistan vs Jordan,10-09-2013,Jordan,JO,2013,SUCCESS,Mus'ab Al-Laham,0,False,Guy has 0 market value in this season,False,Mus'ab Al-Laham,Mussab Al Laham,single,Done,0
52,62365,1698,Nations League 2020-2021,San Marino vs Liechtenstein,08.09.20,Liechtenstein,LI,2020,SUCCESS,Daniel Kaufmann,0,False,Guy has 0 market value in this season,False,Daniel Kaufmann,D Kaufmann,single,Done,0
53,62366,1699,Nations League 2020-2021,Liechtenstein vs Gibraltar,10.10.20,Liechtenstein,LI,2020,SUCCESS,Simon Kühne,0,False,Guy has 0 market value in this season,False,Simon Kühne,Kuhne,single,Done,0
54,62367,1700,Nations League 2020-2021,Liechtenstein vs San Marino,13.10.20,Liechtenstein,LI,2020,SUCCESS,Daniel Kaufmann,0,False,Guy has 0 market value in this season,False,Daniel Kaufmann,D Kaufmann,single,Done,0
55,62368,1702,Nations League 2020-2021,Gibraltar vs Liechtenstein,17.11.20,Liechtenstein,LI,2020,SUCCESS,Thomas Hobi,0,False,Guy has 0 market value in this season,False,Thomas Hobi,Hobi,single,Done,0
56,62369,1702,Nations League 2020-2021,Gibraltar vs Liechtenstein,17.11.20,Liechtenstein,LI,2020,SUCCESS,Simon Kühne,0,False,Guy has 0 market value in this season,False,Simon Kühne,Kuhne,single,Done,0
57,62370,3642,"Gold Cup, 2013",Honduras vs Costa Rica,22-07-2013,Honduras,HN,2013,SUCCESS,Rony Martínez,0,False,Guy has 0 market value in this season,False,Rony Martínez,R Martínez,single,Done,0
58,62371,3643,"Gold Cup, 2013",United States vs El Salvador,21-07-2013,El Salvador,SV,2013,SUCCESS,Dagoberto Portillo,0,False,Guy has 0 market value in this season,False,Dagoberto Portillo,D Portillo,single,Done,0
59,62372,3643,"Gold Cup, 2013",United States vs El Salvador,21-07-2013,El Salvador,SV,2013,SUCCESS,Marcelo Posadas,0,False,Guy has 0 market value in this season,False,Marcelo Posadas,M Posadas,single,Done,0
60,62373,3643,"Gold Cup, 2013",United States vs El Salvador,21-07-2013,El Salvador,SV,2013,SUCCESS,Víctor Turcios,0,False,Guy has 0 market value in this season,False,Víctor Turcios,V Turcios,single,Done,0
61,62374,3643,"Gold Cup, 2013",United States vs El Salvador,21-07-2013,El Salvador,SV,2013,SUCCESS,Léster Blanco,0,False,Guy has 0 market value in this season,False,Léster Blanco,L Blanco,single,Done,0
62,62375,3644,"Gold Cup, 2013",El Salvador vs Haiti,16-07-2013,El Salvador,SV,2013,SUCCESS,Dagoberto Portillo,0,False,Guy has 0 market value in this season,False,Dagoberto Portillo,D Portillo,single,Done,0
63,62376,3644,"Gold Cup, 2013",El Salvador vs Haiti,16-07-2013,El Salvador,SV,2013,SUCCESS,Víctor Turcios,0,False,Guy has 0 market value in this season,False,Víctor Turcios,V Turcios,single,Done,0
64,62377,3644,"Gold Cup, 2013",El Salvador vs Haiti,16-07-2013,El Salvador,SV,2013,SUCCESS,Marcelo Posadas,0,False,Guy has 0 market value in this season,False,Marcelo Posadas,M Posadas,single,Done,0
65,62378,3644,"Gold Cup, 2013",El Salvador vs Haiti,16-07-2013,El Salvador,SV,2013,SUCCESS,Léster Blanco,0,False,Guy has 0 market value in this season,False,Léster Blanco,L Blanco,single,Done,0
66,62379,3645,"Gold Cup, 2013",Cuba vs Belize,16-07-2013,Cuba,CU,2013,SUCCESS,Alianni Urgellés,0,False,Guy has 0 market value in this season,False,Alianni Urgellés,A Urgellés,single,Done,0
67,62380,3650,"Gold Cup, 2013",Costa Rica vs Cuba,10-07-2013,Cuba,CU,2013,SUCCESS,Alianni Urgellés,0,False,Guy has 0 market value in this season,False,Alianni Urgellés,A Urgellés,single,Done,0
68,62381,3651,"Gold Cup, 2013",El Salvador vs Trinidad and Tobago,09-07-2013,El Salvador,SV,2013,SUCCESS,Dagoberto Portillo,0,False,Guy has 0 market value in this season,False,Dagoberto Portillo,D Portillo,single,Done,0
69,62382,3651,"Gold Cup, 2013",El Salvador vs Trinidad and Tobago,09-07-2013,El Salvador,SV,2013,SUCCESS,Víctor Turcios,0,False,Guy has 0 market value in this season,False,Víctor Turcios,V Turcios,single,Done,0
70,62383,3651,"Gold Cup, 2013",El Salvador vs Trinidad and Tobago,09-07-2013,El Salvador,SV,2013,SUCCESS,Marcelo Posadas,0,False,Guy has 0 market value in this season,False,Marcelo Posadas,M Posadas,single,Done,0
71,62384,3653,"Gold Cup, 2013",Honduras vs Trinidad and Tobago,16-07-2013,Honduras,HN,2013,SUCCESS,Wilmer Fuentes,0,False,Guy has 0 market value in this season,False,Wilmer Fuentes,W Fuentes,single,Done,0
72,62385,3654,"Gold Cup, 2013",United States vs Cuba,13-07-2013,Cuba,CU,2013,SUCCESS,Alianni Urgellés,0,False,Guy has 0 market value in this season,False,Alianni Urgellés,A Urgellés,single,Done,0
73,62386,3659,"Gold Cup, 2013",Panama vs Cuba,20-07-2013,Cuba,CU,2013,SUCCESS,Alianni Urgellés,0,False,Guy has 0 market value in this season,False,Alianni Urgellés,A Urgellés,single,Done,0
74,62387,3661,"Gold Cup, 2013",Panama vs Canada,14-07-2013,Panama,PA,2013,SUCCESS,Eybir Bonaga,0,False,Guy has 0 market value in this season,False,Eybir Bonaga,E Bonaga,single,Done,0
75,62388,3662,"Gold Cup, 2013",Haiti vs Honduras,09-07-2013,Haiti,HT,2013,SUCCESS,Hérold Charles,0,False,Guy has 0 market value in this season,False,Hérold Charles,C Hérold,single,Done,0
76,62389,3662,"Gold Cup, 2013",Haiti vs Honduras,09-07-2013,Honduras,HN,2013,SUCCESS,Rony Martínez,0,False,Guy has 0 market value in this season,False,Rony Martínez,R Martínez,single,Done,0
77,62390,3664,"Gold Cup, 2013",Trinidad and Tobago vs Haiti,13-07-2013,Haiti,HT,2013,SUCCESS,Jean-Philippe Peguero,0,False,Guy has 0 market value in this season,False,Jean-Philippe Peguero,J Peguero,single,Done,0
78,62391,3665,"Gold Cup, 2013",Honduras vs El Salvador,13-07-2013,Honduras,HN,2013,SUCCESS,Rony Martínez,0,False,Guy has 0 market value in this season,False,Rony Martínez,R Martínez,single,Done,0
79,62392,3665,"Gold Cup, 2013",Honduras vs El Salvador,13-07-2013,El Salvador,SV,2013,SUCCESS,Dagoberto Portillo,0,False,Guy has 0 market value in this season,False,Dagoberto Portillo,D Portillo,single,Done,0
80,62393,3665,"Gold Cup, 2013",Honduras vs El Salvador,13-07-2013,El Salvador,SV,2013,SUCCESS,Marcelo Posadas,0,False,Guy has 0 market value in this season,False,Marcelo Posadas,M Posadas,single,Done,0
81,62394,3665,"Gold Cup, 2013",Honduras vs El Salvador,13-07-2013,El Salvador,SV,2013,SUCCESS,Víctor Turcios,0,False,Guy has 0 market value in this season,False,Víctor Turcios,V Turcios,single,Done,0
