,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
0,"World Cup Qualifiers, Asia_0","World Cup Qualifiers, 2014, Asia",Uzbekistan vs Jordan,2013-09-10,Uzbekistan,UZ,2013,SUCCESS,Murod Zukhurov,75000.0,False,Found in Curr Season,False,Murod Zukhurov,- Murod Zukhurov,single
1,"World Cup Qualifiers, Asia_0","World Cup Qualifiers, 2014, Asia",Uzbekistan vs Jordan,2013-09-10,Uzbekistan,UZ,2013,SUCCESS,Anzur Ismoilov,200000.0,False,Found in Curr Season,False,Anzur Ismoilov,- Anzur Ismoilov,single
2,"World Cup Qualifiers, Asia_0","World Cup Qualifiers, 2014, Asia",Uzbekistan vs Jordan,2013-09-10,Uzbekistan,UZ,2013,SUCCESS,Islom Tukhtakhuzhaev,350000.0,False,Found in Curr Season,False,Islom Tukhtakhuzhaev,- Islom Tukhtakhuzhaev,single
3,"World Cup Qualifiers, Asia_0","World Cup Qualifiers, 2014, Asia",Uzbekistan vs Jordan,2013-09-10,Uzbekistan,UZ,2013,SUCCESS,Vitaliy Denisov,3500000.0,False,Found in Curr Season,False,Vitaliy Denisov,- Vitaliy Denisov,single
4,"World Cup Qualifiers, Asia_0","World Cup Qualifiers, 2014, Asia",Uzbekistan vs Jordan,2013-09-10,Uzbekistan,UZ,2013,SUCCESS,Oleg Zoteev,275000.0,False,Used Average of Season Before and After,False,Oleg Zoteev,- Oleg Zoteev,single
5,"World Cup Qualifiers, Asia_0","World Cup Qualifiers, 2014, Asia",Uzbekistan vs Jordan,2013-09-10,Uzbekistan,UZ,2013,SUCCESS,Akmal Shorakhmedov,525000.0,False,Used Average of Season Before and After,False,Akmal Shorakhmedov,- Akmal Shorakhmedov,single
6,"World Cup Qualifiers, Asia_0","World Cup Qualifiers, 2014, Asia",Uzbekistan vs Jordan,2013-09-10,Uzbekistan,UZ,2013,SUCCESS,Odil Akhmedov,6000000.0,False,Found in Curr Season,False,Odil Akhmedov,- Odil Akhmedov,single
7,"World Cup Qualifiers, Asia_0","World Cup Qualifiers, 2014, Asia",Uzbekistan vs Jordan,2013-09-10,Uzbekistan,UZ,2013,SUCCESS,Timur Kapadze,650000.0,False,Used Average of Season Before and After,False,Timur Kapadze,- Timur Kapadze,single
8,"World Cup Qualifiers, Asia_0","World Cup Qualifiers, 2014, Asia",Uzbekistan vs Jordan,2013-09-10,Uzbekistan,UZ,2013,SUCCESS,Server Djeparov,1300000.0,False,Found in Curr Season,False,Server Djeparov,- Server Djeparov,single
9,"World Cup Qualifiers, Asia_0","World Cup Qualifiers, 2014, Asia",Uzbekistan vs Jordan,2013-09-10,Uzbekistan,UZ,2013,SUCCESS,Jasur Khasanov,250000.0,False,Found in Curr Season,False,Jasur Khasanov,- Jasur Khasanov,single
10,"World Cup Qualifiers, Asia_0","World Cup Qualifiers, 2014, Asia",Uzbekistan vs Jordan,2013-09-10,Uzbekistan,UZ,2013,SUCCESS,Bakhodir Nasimov,350000.0,False,Found in Curr Season,False,Bakhodir Nasimov,- Bakhodir Nasimov,single
11,"World Cup Qualifiers, Asia_0","World Cup Qualifiers, 2014, Asia",Uzbekistan vs Jordan,2013-09-10,Jordan,JO,2013,SUCCESS,Amer Shafi,100000.0,False,Found in Curr Season,False,Amer Shafi,- Amer Shafi,single
12,"World Cup Qualifiers, Asia_0","World Cup Qualifiers, 2014, Asia",Uzbekistan vs Jordan,2013-09-10,Jordan,JO,2013,SUCCESS,Anas Bani Yaseen,400000.0,False,Found in Curr Season,False,Anas Bani Yaseen,- Anas Bani Yaseen,single
13,"World Cup Qualifiers, Asia_0","World Cup Qualifiers, 2014, Asia",Uzbekistan vs Jordan,2013-09-10,Jordan,JO,2013,SUCCESS,Mohammad Mustafa,80000.0,False,Used Season After * .8 But Had Both,False,Mohammad Mustafa,- Mohammad Mustafa,single
14,"World Cup Qualifiers, Asia_0","World Cup Qualifiers, 2014, Asia",Uzbekistan vs Jordan,2013-09-10,Jordan,JO,2013,SUCCESS,Mohammad Al-Dmeiri,100000.0,False,Found in Curr Season,False,Mohammad Al-Dmeiri,- Mohammad Al-Dmeiri,single
15,"World Cup Qualifiers, Asia_0","World Cup Qualifiers, 2014, Asia",Uzbekistan vs Jordan,2013-09-10,Jordan,JO,2013,SUCCESS,Oday Zahran,80000.0,False,Used Season After * .8 But Had Both,False,Oday Zahran,- Oday Zahran,single
