,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case
0,0,U-20 World Cup_0,U-20 World Cup 2023,Uruguay U20 vs Italy U20,2023-06-11,Uruguay,UY,2023,SUCCESS,Randall Rodríguez,600000.0,False,Only Before,False,Randall Rodríguez,12 Randall Rodríguez,single
1,1,U-20 World Cup_0,U-20 World Cup 2023,Uruguay U20 vs Italy U20,2023-06-11,Uruguay,UY,2023,SUCCESS,Facundo González,1200000.0,False,Only Before,False,Facundo González,16 Facundo González,single
2,2,U-20 World Cup_0,U-20 World Cup 2023,Uruguay U20 vs Italy U20,2023-06-11,Uruguay,UY,2023,SUCCESS,Sebastián Boselli,1080000.0,False,Only Before,False,Sebastián Boselli,2 Sebastián Boselli,single
3,3,U-20 World Cup_0,U-20 World Cup 2023,Uruguay U20 vs Italy U20,2023-06-11,Uruguay,UY,2023,SUCCESS,Fabricio Díaz,6000000.0,False,Only Before,False,Fabricio Díaz,5 Fabricio Díaz,single
4,4,U-20 World Cup_0,U-20 World Cup 2023,Uruguay U20 vs Italy U20,2023-06-11,Uruguay,UY,2023,SUCCESS,Luciano Rodríguez,1800000.0,False,Only Before,False,Luciano Rodríguez,19 Luciano Rodríguez,single
5,5,U-20 World Cup_0,U-20 World Cup 2023,Uruguay U20 vs Italy U20,2023-06-11,Uruguay,UY,2023,SUCCESS,Anderson Duarte,300000.0,False,Only Before,False,Anderson Duarte,7 Anderson Duarte,single
6,6,U-20 World Cup_0,U-20 World Cup 2023,Uruguay U20 vs Italy U20,2023-06-11,Italy,IT,2023,SUCCESS,Simone Pafundi,9600000.0,False,Only Before,False,Simone Pafundi,20 Simone Pafundi,single
7,7,U-20 World Cup_1,U-20 World Cup 2023,Israel U20 vs South Korea U20,2023-06-11,Israel,IL,2023,SUCCESS,Anan Khalaili,1200000.0,False,Found in Curr Season,False,Anan Khalaili,7 Anan Khalaili,single
8,8,U-20 World Cup_1,U-20 World Cup 2023,Israel U20 vs South Korea U20,2023-06-11,South Korea,KR,2023,SUCCESS,Ji-soo Kim,600000.0,False,Found in Curr Season,False,Ji-soo Kim,20 Ji-soo Kim,single
9,9,U-20 World Cup_2,U-20 World Cup 2023,Uruguay U20 vs Israel U20,2023-06-08,Uruguay,UY,2023,SUCCESS,Randall Rodríguez,600000.0,False,Only Before,False,Randall Rodríguez,12 Randall Rodríguez,single
10,10,U-20 World Cup_2,U-20 World Cup 2023,Uruguay U20 vs Israel U20,2023-06-08,Uruguay,UY,2023,SUCCESS,Facundo González,1200000.0,False,Only Before,False,Facundo González,16 Facundo González,single
11,11,U-20 World Cup_2,U-20 World Cup 2023,Uruguay U20 vs Israel U20,2023-06-08,Uruguay,UY,2023,SUCCESS,Sebastián Boselli,1080000.0,False,Only Before,False,Sebastián Boselli,2 Sebastián Boselli,single
